,theatre,cinema,clubs,bars,restaurants,massage,spa	,cooking,hiking,cabane a sucre
2020-01-01,53.0,94.0,90.0,49.0,100.0,95.0,75.0,75.0,39.0,6.0
2020-01-02,49.0,100.0,35.0,23.0,69.0,100.0,100.0,33.0,72.0,9.0
2020-01-03,56.0,92.0,45.0,33.0,73.0,95.0,90.0,38.0,37.0,3.0
2020-01-04,72.0,90.0,63.0,40.0,66.0,75.0,90.0,51.0,28.0,6.0
2020-01-05,47.0,63.0,48.0,22.0,53.0,93.0,63.0,57.0,50.0,5.0
2020-01-06,43.0,47.0,33.0,23.0,31.0,90.0,69.0,49.0,26.0,7.0
2020-01-07,47.0,39.0,44.0,26.0,31.0,82.0,58.0,31.0,26.0,3.0
2020-01-08,54.0,33.0,27.0,31.0,38.0,83.0,69.0,43.0,25.0,4.0
2020-01-09,54.0,35.0,33.0,34.0,39.0,78.0,61.0,40.0,23.0,6.0
2020-01-10,53.0,55.0,39.0,24.0,39.0,80.0,63.0,41.0,26.0,7.0
2020-01-11,64.0,88.0,48.0,38.0,49.0,86.0,82.0,51.0,28.0,6.0
2020-01-12,47.0,57.0,67.0,25.0,42.0,69.0,55.0,61.0,26.0,7.0
2020-01-13,42.0,33.0,60.0,22.0,47.0,80.0,51.0,31.0,57.0,5.0
2020-01-14,63.0,41.0,74.0,23.0,41.0,76.0,60.0,50.0,23.0,7.0
2020-01-15,57.0,34.0,43.0,22.0,47.0,86.0,76.0,36.0,30.0,6.0
2020-01-16,76.0,33.0,27.0,24.0,36.0,81.0,72.0,31.0,36.0,5.0
2020-01-17,80.0,51.0,33.0,23.0,52.0,73.0,64.0,47.0,26.0,6.0
2020-01-18,76.0,83.0,31.0,39.0,58.0,78.0,83.0,42.0,43.0,7.0
2020-01-19,65.0,52.0,60.0,28.0,40.0,100.0,66.0,44.0,34.0,7.0
2020-01-20,89.0,31.0,65.0,21.0,31.0,83.0,67.0,43.0,23.0,6.0
2020-01-21,61.0,38.0,59.0,25.0,46.0,81.0,63.0,30.0,30.0,3.0
2020-01-22,57.0,30.0,33.0,23.0,42.0,77.0,67.0,21.0,46.0,3.0
2020-01-23,71.0,37.0,25.0,23.0,39.0,74.0,73.0,46.0,31.0,6.0
2020-01-24,66.0,59.0,39.0,38.0,50.0,90.0,74.0,28.0,23.0,4.0
2020-01-25,69.0,80.0,67.0,36.0,65.0,92.0,71.0,31.0,40.0,8.0
2020-01-26,87.0,56.0,70.0,16.0,41.0,81.0,71.0,63.0,33.0,3.0
2020-01-27,55.0,28.0,26.0,22.0,39.0,99.0,55.0,41.0,45.0,8.0
2020-01-28,47.0,34.0,55.0,25.0,30.0,94.0,70.0,30.0,25.0,8.0
2020-01-29,56.0,27.0,37.0,33.0,26.0,79.0,64.0,39.0,45.0,6.0
2020-01-30,67.0,23.0,44.0,34.0,42.0,80.0,73.0,34.0,21.0,9.0
2020-01-31,49.0,46.0,28.0,33.0,38.0,94.0,75.0,25.0,21.0,11.0
2020-02-01,65.0,63.0,61.0,29.0,64.0,93.0,95.0,38.0,40.0,14.0
2020-02-02,57.0,43.0,30.0,31.0,39.0,81.0,72.0,57.0,33.0,4.0
2020-02-03,51.0,27.0,34.0,23.0,40.0,71.0,63.0,47.0,18.0,7.0
2020-02-04,54.0,34.0,43.0,13.0,48.0,73.0,73.0,49.0,30.0,10.0
2020-02-05,51.0,27.0,64.0,26.0,42.0,86.0,81.0,27.0,30.0,11.0
2020-02-06,71.0,25.0,43.0,21.0,42.0,73.0,66.0,27.0,60.0,10.0
2020-02-07,64.0,40.0,26.0,29.0,43.0,92.0,72.0,32.0,29.0,7.0
2020-02-08,70.0,66.0,44.0,33.0,65.0,59.0,87.0,43.0,36.0,12.0
2020-02-09,63.0,48.0,63.0,24.0,55.0,84.0,87.0,48.0,23.0,17.0
2020-02-10,79.0,31.0,32.0,24.0,40.0,82.0,68.0,27.0,60.0,14.0
2020-02-11,51.0,39.0,21.0,27.0,41.0,75.0,67.0,27.0,40.0,13.0
2020-02-12,47.0,35.0,59.0,26.0,50.0,88.0,75.0,46.0,46.0,15.0
2020-02-13,62.0,33.0,43.0,24.0,50.0,66.0,75.0,49.0,23.0,20.0
2020-02-14,67.0,67.0,33.0,27.0,72.0,80.0,75.0,22.0,15.0,16.0
2020-02-15,79.0,88.0,78.0,42.0,84.0,84.0,89.0,58.0,23.0,13.0
2020-02-16,65.0,60.0,100.0,35.0,65.0,84.0,75.0,87.0,100.0,21.0
2020-02-17,68.0,31.0,26.0,35.0,58.0,82.0,64.0,53.0,54.0,17.0
2020-02-18,57.0,36.0,41.0,30.0,42.0,77.0,63.0,29.0,29.0,19.0
2020-02-19,46.0,30.0,67.0,20.0,41.0,67.0,68.0,32.0,19.0,24.0
2020-02-20,53.0,34.0,47.0,27.0,47.0,83.0,69.0,35.0,44.0,22.0
2020-02-21,60.0,48.0,27.0,29.0,38.0,82.0,68.0,33.0,40.0,26.0
2020-02-22,86.0,77.0,53.0,42.0,57.0,80.0,74.0,60.0,50.0,35.0
2020-02-23,80.0,51.0,40.0,20.0,53.0,77.0,63.0,56.0,44.0,46.0
2020-02-24,60.0,27.0,41.0,24.0,37.0,65.0,59.0,41.0,44.0,42.0
2020-02-25,81.0,38.0,36.0,31.0,32.0,84.0,74.0,35.0,57.0,27.0
2020-02-26,44.0,26.0,20.0,22.0,31.0,76.0,64.0,22.0,28.0,33.0
2020-02-27,56.0,31.0,47.0,23.0,34.0,66.0,65.0,27.0,27.0,19.0
2020-02-28,41.0,51.0,42.0,21.0,49.0,64.0,67.0,39.0,22.0,37.0
2020-02-29,85.0,85.0,89.0,31.0,67.0,89.0,95.0,54.0,45.0,57.0
2020-03-01,73.0,75.0,76.0,39.0,48.0,87.0,89.0,63.0,22.0,78.0
2020-03-02,64.0,65.0,41.0,19.0,42.0,80.0,65.0,32.0,58.0,61.0
2020-03-03,58.0,89.0,16.0,15.0,43.0,72.0,77.0,35.0,34.0,62.0
2020-03-04,54.0,75.0,16.0,20.0,37.0,75.0,94.0,20.0,22.0,56.0
2020-03-05,56.0,57.0,32.0,18.0,57.0,83.0,82.0,30.0,38.0,52.0
2020-03-06,81.0,71.0,16.0,30.0,56.0,67.0,58.0,42.0,30.0,55.0
2020-03-07,82.0,72.0,47.0,45.0,64.0,88.0,60.0,40.0,39.0,99.0
2020-03-08,72.0,47.0,63.0,15.0,49.0,73.0,57.0,45.0,75.0,100.0
2020-03-09,41.0,25.0,25.0,20.0,35.0,81.0,67.0,45.0,23.0,64.0
2020-03-10,44.0,28.0,44.0,20.0,31.0,60.0,48.0,41.0,60.0,56.0
2020-03-11,70.0,21.0,46.0,19.0,31.0,72.0,51.0,26.0,43.0,41.0
2020-03-12,100.0,23.0,34.0,25.0,30.0,49.0,47.0,25.0,28.0,35.0
2020-03-13,64.0,34.0,48.0,31.0,37.0,50.0,38.0,19.0,36.0,26.0
2020-03-14,47.0,48.0,58.0,40.0,44.0,53.0,51.0,36.0,44.0,66.0
2020-03-15,35.0,36.0,40.0,100.0,57.0,63.0,53.0,51.0,53.0,66.0
2020-03-16,26.0,10.0,29.0,55.0,46.0,54.0,38.0,38.0,37.0,18.0
2020-03-17,15.0,9.0,24.0,25.0,29.0,42.0,26.0,55.0,28.0,9.0
2020-03-18,25.0,7.0,45.0,21.0,18.0,44.0,25.0,42.0,23.0,9.0
2020-03-19,25.0,5.0,20.0,21.0,23.0,54.0,23.0,33.0,23.0,10.0
2020-03-20,23.0,5.0,36.0,19.0,21.0,46.0,30.0,59.0,20.0,18.0
2020-03-21,21.0,4.0,16.0,27.0,21.0,49.0,30.0,52.0,56.0,26.0
2020-03-22,16.0,4.0,16.0,20.0,21.0,52.0,28.0,73.0,51.0,25.0
2020-03-23,11.0,3.0,13.0,16.0,20.0,33.0,22.0,32.0,30.0,6.0
2020-03-24,13.0,4.0,28.0,12.0,13.0,37.0,22.0,59.0,18.0,11.0
2020-03-25,24.0,2.0,52.0,13.0,13.0,48.0,21.0,51.0,28.0,12.0
2020-03-26,19.0,3.0,15.0,11.0,11.0,41.0,18.0,50.0,41.0,13.0
2020-03-27,24.0,3.0,43.0,13.0,18.0,40.0,21.0,46.0,27.0,12.0
2020-03-28,7.0,5.0,24.0,21.0,15.0,39.0,22.0,49.0,20.0,23.0
2020-03-29,25.0,5.0,21.0,8.0,12.0,40.0,17.0,67.0,24.0,29.0
2020-03-30,16.0,3.0,14.0,15.0,14.0,36.0,22.0,31.0,17.0,7.0
2020-03-31,12.0,3.0,28.0,17.0,16.0,36.0,24.0,54.0,13.0,12.0
2020-04-01,15.0,3.0,21.0,16.0,12.0,33.0,21.0,55.0,26.0,12.0
2020-04-02,17.0,4.0,14.0,22.0,9.0,43.0,22.0,57.0,21.0,16.0
2020-04-03,17.0,6.0,37.0,17.0,17.0,36.0,22.0,63.0,13.0,15.0
2020-04-04,18.0,6.0,0.0,15.0,17.0,38.0,33.0,65.0,15.0,19.0
2020-04-05,17.0,3.0,15.0,23.0,17.0,50.0,26.0,97.0,35.0,20.0
2020-04-06,10.0,4.0,40.0,16.0,11.0,25.0,24.0,43.0,33.0,12.0
2020-04-07,11.0,3.0,0.0,12.0,8.0,41.0,21.0,68.0,13.0,23.0
2020-04-08,15.0,3.0,27.0,21.0,16.0,34.0,23.0,43.0,19.0,21.0
2020-04-09,27.0,4.0,31.0,19.0,17.0,40.0,29.0,71.0,19.0,20.0
2020-04-10,20.0,6.0,14.0,22.0,14.0,46.0,27.0,67.0,33.0,47.0
2020-04-11,17.0,6.0,30.0,20.0,16.0,35.0,26.0,63.0,43.0,39.0
2020-04-12,16.0,8.0,40.0,22.0,18.0,40.0,33.0,100.0,30.0,45.0
2020-04-13,18.0,5.0,23.0,18.0,12.0,46.0,23.0,57.0,20.0,18.0
2020-04-14,13.0,3.0,13.0,18.0,11.0,39.0,24.0,56.0,13.0,7.0
2020-04-15,20.0,3.0,13.0,13.0,12.0,38.0,21.0,59.0,0.0,6.0
2020-04-16,16.0,5.0,34.0,18.0,13.0,43.0,31.0,49.0,26.0,10.0
2020-04-17,26.0,3.0,32.0,23.0,20.0,47.0,28.0,47.0,13.0,11.0
2020-04-18,17.0,4.0,53.0,29.0,19.0,36.0,32.0,78.0,30.0,12.0
2020-04-19,16.0,5.0,15.0,20.0,23.0,34.0,37.0,64.0,35.0,5.0
2020-04-20,16.0,4.0,34.0,24.0,13.0,47.0,28.0,61.0,30.0,7.0
2020-04-21,18.0,3.0,35.0,20.0,15.0,37.0,22.0,45.0,31.0,7.0
2020-04-22,18.0,3.0,31.0,27.0,12.0,36.0,32.0,56.0,25.0,4.0
2020-04-23,21.0,3.0,27.0,15.0,12.0,32.0,29.0,57.0,17.0,7.0
2020-04-24,18.0,3.0,29.0,11.0,18.0,39.0,28.0,46.0,18.0,5.0
2020-04-25,27.0,3.0,33.0,20.0,23.0,49.0,41.0,75.0,46.0,7.0
2020-04-26,17.0,4.0,23.0,22.0,18.0,36.0,46.0,88.0,44.0,7.0
2020-04-27,12.0,3.0,22.0,17.0,15.0,41.0,35.0,43.0,13.0,2.0
2020-04-28,10.0,3.0,43.0,28.0,21.0,34.0,31.0,56.0,22.0,3.0
2020-04-29,32.0,2.0,29.0,24.0,18.0,47.0,30.0,41.0,32.0,3.0
2020-04-30,8.0,4.0,56.0,24.0,16.0,35.0,31.0,54.0,12.0,3.0
2020-05-01,20.0,5.0,14.0,22.0,18.0,41.0,28.0,29.0,26.0,2.0
2020-05-02,7.0,5.0,22.0,26.0,22.0,45.0,47.0,60.0,26.0,2.0
2020-05-03,25.0,4.0,16.0,23.0,18.0,55.0,52.0,60.0,35.0,3.0
2020-05-04,13.0,4.0,20.0,16.0,12.0,43.0,35.0,55.0,31.0,2.0
2020-05-05,18.0,3.0,34.0,13.0,14.0,39.0,38.0,41.0,32.0,3.0
2020-05-06,29.0,3.0,23.0,20.0,11.0,40.0,40.0,63.0,18.0,3.0
2020-05-07,21.0,4.0,21.0,16.0,16.0,36.0,31.0,40.0,22.0,2.0
2020-05-08,17.0,3.0,21.0,13.0,16.0,47.0,39.0,61.0,17.0,2.0
2020-05-09,18.0,4.0,25.0,28.0,19.0,42.0,38.0,56.0,57.0,3.0
2020-05-10,14.0,4.0,51.0,27.0,28.0,48.0,28.0,72.0,38.0,4.0
