,beer,wine,spirits,cocktails,cider,Corona beer,Coors,rum,drunk,alcoholic
2020-01-01,57.0,100.0,24.0,81.0,52.0,0.0,0.0,100.0,46.0,32.0
2020-01-02,56.0,59.0,20.0,28.0,67.0,0.0,66.0,59.0,33.0,27.0
2020-01-03,49.0,77.0,29.0,27.0,75.0,0.0,32.0,32.0,25.0,53.0
2020-01-04,52.0,62.0,41.0,57.0,79.0,0.0,34.0,61.0,54.0,56.0
2020-01-05,70.0,56.0,42.0,28.0,23.0,0.0,34.0,94.0,13.0,28.0
2020-01-06,46.0,65.0,28.0,25.0,82.0,0.0,30.0,30.0,54.0,50.0
2020-01-07,29.0,45.0,38.0,26.0,52.0,0.0,46.0,25.0,12.0,26.0
2020-01-08,44.0,47.0,37.0,51.0,40.0,20.0,0.0,30.0,24.0,100.0
2020-01-09,35.0,48.0,19.0,25.0,31.0,0.0,31.0,46.0,18.0,25.0
2020-01-10,61.0,59.0,19.0,39.0,42.0,0.0,31.0,28.0,37.0,52.0
2020-01-11,53.0,57.0,42.0,42.0,79.0,0.0,100.0,47.0,46.0,0.0
2020-01-12,74.0,72.0,19.0,26.0,32.0,21.0,47.0,38.0,50.0,26.0
2020-01-13,45.0,38.0,35.0,24.0,19.0,0.0,28.0,23.0,39.0,24.0
2020-01-14,39.0,51.0,17.0,46.0,37.0,0.0,41.0,25.0,27.0,46.0
2020-01-15,44.0,59.0,0.0,25.0,40.0,0.0,44.0,36.0,24.0,25.0
2020-01-16,49.0,40.0,19.0,39.0,52.0,0.0,30.0,37.0,24.0,0.0
2020-01-17,55.0,48.0,38.0,26.0,21.0,0.0,31.0,38.0,56.0,26.0
2020-01-18,90.0,68.0,42.0,39.0,46.0,0.0,35.0,31.0,27.0,29.0
2020-01-19,68.0,79.0,0.0,38.0,46.0,0.0,34.0,54.0,27.0,28.0
2020-01-20,33.0,53.0,19.0,25.0,41.0,0.0,0.0,27.0,36.0,25.0
2020-01-21,30.0,42.0,47.0,50.0,31.0,0.0,0.0,42.0,59.0,25.0
2020-01-22,45.0,52.0,0.0,38.0,41.0,0.0,0.0,37.0,12.0,51.0
2020-01-23,65.0,48.0,19.0,26.0,42.0,0.0,61.0,31.0,24.0,51.0
2020-01-24,60.0,54.0,19.0,26.0,42.0,0.0,31.0,37.0,49.0,26.0
2020-01-25,56.0,80.0,21.0,29.0,58.0,47.0,68.0,41.0,20.0,29.0
2020-01-26,64.0,61.0,30.0,69.0,44.0,22.0,32.0,46.0,78.0,82.0
2020-01-27,51.0,38.0,18.0,25.0,20.0,40.0,0.0,17.0,23.0,24.0
2020-01-28,52.0,53.0,18.0,25.0,80.0,30.0,0.0,18.0,29.0,25.0
2020-01-29,41.0,46.0,37.0,25.0,51.0,31.0,61.0,36.0,36.0,25.0
2020-01-30,76.0,47.0,19.0,52.0,31.0,42.0,46.0,49.0,31.0,26.0
2020-01-31,66.0,60.0,0.0,26.0,53.0,53.0,31.0,37.0,37.0,52.0
2020-02-01,100.0,77.0,53.0,29.0,58.0,24.0,69.0,34.0,21.0,29.0
2020-02-02,84.0,61.0,31.0,42.0,90.0,23.0,33.0,40.0,20.0,42.0
2020-02-03,46.0,47.0,25.0,23.0,0.0,0.0,27.0,33.0,38.0,23.0
2020-02-04,44.0,36.0,0.0,25.0,51.0,0.0,45.0,36.0,54.0,50.0
2020-02-05,40.0,49.0,19.0,42.0,41.0,0.0,30.0,54.0,18.0,38.0
2020-02-06,43.0,40.0,19.0,25.0,31.0,21.0,30.0,54.0,36.0,25.0
2020-02-07,54.0,52.0,36.0,24.0,29.0,0.0,58.0,23.0,23.0,24.0
2020-02-08,69.0,92.0,43.0,59.0,24.0,73.0,35.0,63.0,21.0,29.0
2020-02-09,75.0,80.0,0.0,66.0,56.0,0.0,56.0,47.0,33.0,28.0
2020-02-10,42.0,55.0,0.0,25.0,40.0,0.0,30.0,18.0,36.0,75.0
2020-02-11,45.0,59.0,74.0,37.0,70.0,0.0,58.0,53.0,18.0,0.0
2020-02-12,66.0,51.0,0.0,50.0,20.0,0.0,60.0,30.0,30.0,0.0
2020-02-13,53.0,47.0,19.0,25.0,20.0,21.0,30.0,54.0,18.0,38.0
2020-02-14,90.0,75.0,19.0,51.0,41.0,0.0,46.0,42.0,18.0,0.0
2020-02-15,84.0,87.0,32.0,43.0,23.0,46.0,57.0,82.0,41.0,0.0
2020-02-16,74.0,70.0,31.0,28.0,34.0,0.0,66.0,79.0,72.0,28.0
2020-02-17,70.0,42.0,36.0,24.0,49.0,20.0,43.0,52.0,29.0,24.0
2020-02-18,47.0,56.0,27.0,49.0,20.0,0.0,29.0,23.0,28.0,24.0
2020-02-19,58.0,45.0,18.0,24.0,19.0,20.0,29.0,34.0,45.0,48.0
2020-02-20,54.0,61.0,18.0,25.0,59.0,0.0,0.0,64.0,23.0,49.0
2020-02-21,49.0,60.0,37.0,25.0,0.0,0.0,30.0,42.0,24.0,25.0
2020-02-22,69.0,78.0,20.0,28.0,22.0,0.0,0.0,59.0,78.0,73.0
2020-02-23,68.0,64.0,40.0,46.0,44.0,0.0,65.0,59.0,39.0,27.0
