,Netflix,Crave,Disney+	,Spotify,Audible,Prime video,Hulu,Hbo,Apple TV	,Apple Music
2020-01-01,59.0,3.0,99.0,58.0,42.0,48.0,34.0,37.0,91.0,100.0
2020-01-02,66.0,10.0,85.0,42.0,32.0,37.0,29.0,27.0,72.0,72.0
2020-01-03,58.0,6.0,88.0,59.0,48.0,43.0,28.0,23.0,59.0,31.0
2020-01-04,69.0,8.0,87.0,73.0,22.0,64.0,50.0,24.0,66.0,58.0
2020-01-05,65.0,6.0,78.0,56.0,65.0,41.0,60.0,44.0,89.0,37.0
2020-01-06,55.0,8.0,67.0,62.0,30.0,56.0,67.0,62.0,43.0,45.0
2020-01-07,40.0,4.0,65.0,75.0,40.0,36.0,24.0,29.0,51.0,52.0
2020-01-08,39.0,5.0,60.0,54.0,60.0,28.0,18.0,25.0,38.0,33.0
2020-01-09,35.0,5.0,54.0,53.0,20.0,31.0,18.0,22.0,36.0,67.0
2020-01-10,38.0,4.0,46.0,62.0,54.0,36.0,18.0,30.0,39.0,68.0
2020-01-11,59.0,7.0,80.0,63.0,29.0,24.0,20.0,60.0,65.0,24.0
2020-01-12,56.0,9.0,86.0,51.0,41.0,59.0,19.0,56.0,79.0,46.0
2020-01-13,43.0,3.0,59.0,56.0,37.0,40.0,34.0,40.0,42.0,48.0
2020-01-14,37.0,5.0,55.0,52.0,48.0,31.0,33.0,33.0,30.0,27.0
2020-01-15,43.0,4.0,50.0,68.0,52.0,25.0,36.0,57.0,33.0,37.0
2020-01-16,37.0,4.0,37.0,60.0,20.0,27.0,18.0,48.0,19.0,67.0
2020-01-17,41.0,3.0,49.0,77.0,61.0,24.0,19.0,28.0,29.0,84.0
2020-01-18,55.0,6.0,83.0,58.0,22.0,50.0,20.0,31.0,57.0,59.0
2020-01-19,58.0,6.0,84.0,53.0,66.0,47.0,33.0,36.0,68.0,41.0
2020-01-20,40.0,6.0,51.0,60.0,40.0,30.0,27.0,69.0,38.0,56.0
2020-01-21,36.0,9.0,54.0,64.0,26.0,23.0,18.0,29.0,47.0,44.0
2020-01-22,38.0,26.0,44.0,62.0,50.0,29.0,36.0,36.0,22.0,52.0
2020-01-23,40.0,26.0,63.0,61.0,80.0,34.0,18.0,26.0,34.0,67.0
2020-01-24,41.0,16.0,58.0,60.0,41.0,16.0,37.0,26.0,37.0,45.0
2020-01-25,59.0,14.0,65.0,54.0,22.0,46.0,31.0,33.0,49.0,50.0
2020-01-26,57.0,15.0,95.0,60.0,29.0,50.0,39.0,27.0,62.0,40.0
2020-01-27,42.0,7.0,55.0,47.0,26.0,22.0,17.0,45.0,39.0,36.0
2020-01-28,35.0,15.0,52.0,75.0,45.0,40.0,44.0,10.0,35.0,65.0
2020-01-29,32.0,19.0,64.0,50.0,59.0,25.0,36.0,38.0,21.0,58.0
2020-01-30,37.0,16.0,54.0,57.0,40.0,34.0,31.0,26.0,46.0,23.0
