,Bank of Montreal,Desjardins,Laurentian Bank,TD,CIBC,RBC,HSBC,Banque Nationale,BMO,Bitcoin
2020-01-01,84.0,51.0,49.0,38.0,39.0,50.0,18.0,41.0,42.0,30.0
2020-01-02,95.0,93.0,41.0,65.0,97.0,84.0,38.0,67.0,100.0,22.0
2020-01-03,45.0,96.0,85.0,57.0,85.0,79.0,15.0,72.0,88.0,20.0
2020-01-04,49.0,58.0,42.0,38.0,46.0,58.0,48.0,50.0,50.0,17.0
2020-01-05,0.0,42.0,21.0,36.0,40.0,44.0,47.0,34.0,33.0,20.0
2020-01-06,55.0,84.0,57.0,58.0,68.0,69.0,50.0,76.0,59.0,21.0
2020-01-07,22.0,77.0,38.0,52.0,56.0,61.0,22.0,64.0,52.0,34.0
2020-01-08,22.0,75.0,75.0,53.0,50.0,69.0,35.0,55.0,53.0,42.0
2020-01-09,44.0,91.0,57.0,62.0,77.0,62.0,57.0,68.0,65.0,31.0
2020-01-10,45.0,71.0,38.0,55.0,71.0,73.0,29.0,50.0,57.0,20.0
2020-01-11,0.0,57.0,41.0,43.0,40.0,48.0,31.0,43.0,34.0,19.0
2020-01-12,23.0,37.0,33.0,28.0,35.0,35.0,0.0,22.0,34.0,25.0
2020-01-13,61.0,70.0,29.0,45.0,64.0,57.0,33.0,46.0,47.0,20.0
2020-01-14,40.0,71.0,57.0,49.0,48.0,62.0,19.0,56.0,50.0,23.0
2020-01-15,51.0,76.0,50.0,48.0,55.0,70.0,63.0,64.0,65.0,30.0
2020-01-16,33.0,91.0,44.0,51.0,66.0,85.0,29.0,72.0,57.0,29.0
2020-01-17,30.0,75.0,32.0,61.0,81.0,68.0,29.0,60.0,51.0,29.0
2020-01-18,25.0,52.0,35.0,34.0,42.0,59.0,24.0,41.0,40.0,27.0
2020-01-19,36.0,42.0,63.0,33.0,34.0,35.0,31.0,36.0,36.0,32.0
2020-01-20,88.0,79.0,63.0,50.0,70.0,63.0,21.0,57.0,55.0,29.0
2020-01-21,36.0,80.0,44.0,51.0,61.0,62.0,35.0,62.0,57.0,25.0
2020-01-22,29.0,77.0,76.0,58.0,54.0,67.0,35.0,58.0,55.0,28.0
2020-01-23,59.0,79.0,44.0,59.0,60.0,76.0,50.0,64.0,59.0,27.0
2020-01-24,89.0,75.0,39.0,57.0,72.0,62.0,29.0,64.0,51.0,18.0
2020-01-25,41.0,56.0,43.0,48.0,32.0,54.0,32.0,40.0,38.0,23.0
2020-01-26,24.0,41.0,0.0,37.0,42.0,44.0,31.0,31.0,32.0,14.0
2020-01-27,32.0,76.0,24.0,52.0,52.0,59.0,41.0,62.0,47.0,16.0
2020-01-28,43.0,81.0,31.0,52.0,70.0,62.0,55.0,55.0,50.0,18.0
2020-01-29,29.0,71.0,56.0,56.0,70.0,65.0,14.0,61.0,56.0,33.0
