,toilet paper,tissues,towels,soap,shampoo,razor,hair clipper,toothpaste,deodorant,conditioner
2020-01-01,6.0,0.0,40.0,40.0,35.0,38.0,53.0,34.0,22.0,0.0
2020-01-02,0.0,37.0,34.0,34.0,51.0,65.0,0.0,59.0,18.0,31.0
2020-01-03,4.0,0.0,33.0,29.0,62.0,49.0,0.0,56.0,18.0,30.0
2020-01-04,0.0,0.0,35.0,41.0,84.0,40.0,0.0,0.0,47.0,12.0
2020-01-05,5.0,38.0,69.0,44.0,79.0,66.0,0.0,60.0,56.0,40.0
2020-01-06,0.0,0.0,0.0,37.0,48.0,18.0,0.0,27.0,34.0,7.0
2020-01-07,0.0,0.0,32.0,35.0,44.0,30.0,0.0,55.0,51.0,15.0
2020-01-08,2.0,0.0,0.0,24.0,51.0,18.0,0.0,54.0,42.0,11.0
2020-01-09,6.0,0.0,48.0,27.0,64.0,54.0,0.0,27.0,51.0,15.0
2020-01-10,2.0,0.0,32.0,24.0,36.0,30.0,0.0,41.0,17.0,15.0
2020-01-11,3.0,38.0,52.0,40.0,74.0,46.0,0.0,30.0,0.0,16.0
2020-01-12,2.0,36.0,33.0,49.0,37.0,56.0,0.0,28.0,0.0,23.0
2020-01-13,2.0,63.0,73.0,37.0,33.0,28.0,0.0,50.0,31.0,17.0
2020-01-14,0.0,31.0,29.0,45.0,69.0,38.0,0.0,37.0,46.0,36.0
2020-01-15,0.0,0.0,0.0,44.0,47.0,24.0,0.0,80.0,17.0,14.0
2020-01-16,2.0,34.0,65.0,32.0,52.0,0.0,0.0,27.0,17.0,15.0
2020-01-17,2.0,0.0,33.0,32.0,61.0,24.0,0.0,56.0,69.0,19.0
2020-01-18,3.0,0.0,36.0,56.0,31.0,47.0,0.0,31.0,38.0,20.0
2020-01-19,3.0,0.0,35.0,43.0,61.0,30.0,0.0,74.0,19.0,8.0
2020-01-20,0.0,34.0,32.0,34.0,48.0,24.0,43.0,27.0,34.0,11.0
2020-01-21,7.0,0.0,31.0,26.0,55.0,53.0,0.0,81.0,0.0,18.0
2020-01-22,0.0,0.0,95.0,42.0,32.0,42.0,0.0,27.0,59.0,15.0
2020-01-23,2.0,0.0,0.0,40.0,32.0,24.0,0.0,0.0,34.0,15.0
2020-01-24,2.0,0.0,0.0,54.0,69.0,55.0,0.0,83.0,17.0,7.0
2020-01-25,3.0,39.0,36.0,68.0,63.0,34.0,0.0,30.0,48.0,8.0
2020-01-26,3.0,0.0,68.0,54.0,60.0,29.0,0.0,44.0,55.0,16.0
2020-01-27,2.0,0.0,31.0,41.0,80.0,35.0,41.0,0.0,32.0,7.0
2020-01-28,2.0,100.0,0.0,28.0,35.0,17.0,0.0,52.0,16.0,11.0
2020-01-29,2.0,0.0,0.0,39.0,51.0,59.0,0.0,27.0,17.0,7.0
2020-01-30,2.0,0.0,64.0,45.0,48.0,42.0,0.0,82.0,17.0,15.0
2020-01-31,0.0,0.0,49.0,32.0,69.0,37.0,0.0,55.0,52.0,37.0
2020-02-01,4.0,39.0,84.0,39.0,45.0,40.0,48.0,30.0,38.0,33.0
2020-02-02,3.0,0.0,0.0,43.0,65.0,85.0,0.0,29.0,55.0,20.0
2020-02-03,2.0,0.0,38.0,24.0,36.0,32.0,0.0,24.0,15.0,29.0
