,toilet paper,tissues,towels,soap,shampoo,razor,hair clipper,toothpaste,deodorant,conditioner
2020-01-01,5.0,0.0,39.0,15.0,25.0,44.0,0.0,26.0,47.0,14.0
2020-01-02,2.0,0.0,33.0,52.0,60.0,44.0,0.0,22.0,27.0,32.0
2020-01-03,0.0,0.0,32.0,44.0,76.0,48.0,0.0,42.0,43.0,29.0
2020-01-04,2.0,0.0,68.0,43.0,62.0,51.0,0.0,23.0,64.0,18.0
2020-01-05,0.0,0.0,51.0,53.0,62.0,51.0,0.0,34.0,68.0,31.0
2020-01-06,0.0,0.0,0.0,42.0,73.0,52.0,0.0,27.0,25.0,33.0
2020-01-07,2.0,0.0,31.0,49.0,91.0,41.0,25.0,21.0,100.0,30.0
2020-01-08,0.0,0.0,30.0,30.0,34.0,34.0,0.0,20.0,57.0,18.0
2020-01-09,0.0,0.0,31.0,27.0,52.0,44.0,0.0,21.0,37.0,18.0
2020-01-10,4.0,0.0,32.0,37.0,66.0,36.0,26.0,42.0,38.0,23.0
2020-01-11,0.0,0.0,51.0,30.0,42.0,76.0,0.0,22.0,81.0,18.0
2020-01-12,2.0,0.0,48.0,37.0,44.0,45.0,0.0,21.0,63.0,23.0
2020-01-13,4.0,51.0,29.0,42.0,56.0,27.0,0.0,31.0,23.0,20.0
2020-01-14,0.0,0.0,28.0,46.0,78.0,26.0,0.0,18.0,37.0,25.0
2020-01-15,2.0,0.0,45.0,30.0,76.0,28.0,0.0,100.0,24.0,22.0
2020-01-16,4.0,0.0,31.0,42.0,43.0,17.0,0.0,20.0,25.0,18.0
2020-01-17,2.0,58.0,63.0,53.0,53.0,27.0,0.0,0.0,25.0,19.0
2020-01-18,2.0,0.0,35.0,65.0,44.0,49.0,28.0,38.0,56.0,19.0
2020-01-19,0.0,0.0,35.0,50.0,53.0,48.0,28.0,45.0,41.0,31.0
2020-01-20,2.0,0.0,61.0,24.0,64.0,43.0,25.0,20.0,57.0,15.0
2020-01-21,0.0,0.0,0.0,48.0,51.0,29.0,0.0,20.0,49.0,26.0
