,Starbucks,Tim Hortons,tea,coffee,Nespresso,cappuccino ,iced coffee,Red Bull,instant coffee,espresso
2020-01-01,100.0,100.0,66.0,99.0,51.0,58.0,0.0,33.0,0.0,58.0
2020-01-02,52.0,29.0,86.0,83.0,58.0,16.0,0.0,0.0,43.0,92.0
2020-01-03,40.0,30.0,77.0,58.0,42.0,16.0,34.0,0.0,41.0,78.0
2020-01-04,45.0,27.0,58.0,60.0,59.0,100.0,36.0,29.0,0.0,78.0
2020-01-05,43.0,34.0,77.0,48.0,56.0,17.0,0.0,14.0,0.0,51.0
2020-01-06,48.0,26.0,61.0,48.0,33.0,15.0,0.0,13.0,0.0,42.0
2020-01-07,38.0,38.0,63.0,58.0,51.0,16.0,0.0,0.0,0.0,61.0
2020-01-08,36.0,30.0,88.0,64.0,40.0,15.0,0.0,0.0,0.0,35.0
2020-01-09,45.0,37.0,68.0,58.0,36.0,15.0,0.0,13.0,0.0,78.0
2020-01-10,48.0,30.0,71.0,53.0,31.0,23.0,33.0,27.0,0.0,72.0
2020-01-11,56.0,43.0,67.0,51.0,55.0,17.0,36.0,28.0,43.0,54.0
2020-01-12,33.0,38.0,82.0,87.0,42.0,24.0,0.0,27.0,41.0,51.0
2020-01-13,40.0,44.0,71.0,58.0,33.0,28.0,0.0,36.0,0.0,43.0
2020-01-14,31.0,39.0,54.0,71.0,30.0,14.0,30.0,18.0,36.0,39.0
2020-01-15,41.0,24.0,60.0,53.0,49.0,15.0,48.0,26.0,39.0,38.0
2020-01-16,35.0,26.0,72.0,50.0,31.0,46.0,34.0,13.0,0.0,43.0
2020-01-17,44.0,36.0,59.0,40.0,23.0,15.0,0.0,40.0,41.0,51.0
2020-01-18,40.0,44.0,74.0,84.0,34.0,26.0,37.0,51.0,0.0,84.0
2020-01-19,42.0,49.0,86.0,62.0,51.0,34.0,37.0,29.0,0.0,51.0
2020-01-20,37.0,22.0,62.0,42.0,50.0,0.0,0.0,32.0,0.0,42.0
2020-01-21,40.0,24.0,64.0,60.0,50.0,15.0,0.0,26.0,0.0,24.0
2020-01-22,37.0,36.0,62.0,43.0,30.0,0.0,33.0,19.0,39.0,71.0
2020-01-23,27.0,27.0,61.0,59.0,54.0,0.0,0.0,40.0,0.0,75.0
2020-01-24,44.0,29.0,79.0,44.0,36.0,16.0,0.0,13.0,0.0,69.0
2020-01-25,52.0,40.0,76.0,89.0,46.0,17.0,37.0,15.0,0.0,56.0
2020-01-26,39.0,37.0,91.0,74.0,38.0,16.0,36.0,28.0,0.0,30.0
2020-01-27,30.0,28.0,57.0,56.0,31.0,29.0,31.0,19.0,0.0,44.0
