,BMW,sell car,car rental,used Cars,auto trader,toyota	,electric car,Mercedes Benz,Tesla,car dealership
2020-01-01,68.0,57.0,62.0,32.0,32.0,58.0,61.0,23.0,40.0,0.0
2020-01-02,57.0,49.0,58.0,34.0,0.0,66.0,47.0,29.0,29.0,0.0
2020-01-03,58.0,47.0,61.0,59.0,27.0,83.0,30.0,68.0,35.0,0.0
2020-01-04,45.0,49.0,74.0,49.0,28.0,66.0,53.0,39.0,28.0,61.0
2020-01-05,37.0,0.0,84.0,77.0,56.0,63.0,63.0,39.0,28.0,41.0
2020-01-06,43.0,0.0,74.0,44.0,42.0,80.0,86.0,30.0,34.0,37.0
2020-01-07,54.0,45.0,61.0,45.0,26.0,56.0,48.0,66.0,29.0,37.0
2020-01-08,56.0,0.0,66.0,31.0,25.0,68.0,47.0,44.0,35.0,0.0
2020-01-09,48.0,0.0,59.0,25.0,77.0,71.0,29.0,66.0,31.0,0.0
2020-01-10,53.0,0.0,69.0,52.0,39.0,68.0,59.0,43.0,28.0,0.0
2020-01-11,57.0,0.0,59.0,41.0,28.0,86.0,78.0,32.0,28.0,80.0
2020-01-12,50.0,94.0,67.0,39.0,53.0,64.0,50.0,25.0,23.0,38.0
2020-01-13,73.0,83.0,85.0,18.0,35.0,76.0,54.0,55.0,25.0,68.0
2020-01-14,65.0,0.0,83.0,52.0,23.0,96.0,52.0,65.0,45.0,33.0
2020-01-15,79.0,44.0,72.0,65.0,50.0,66.0,47.0,35.0,30.0,36.0
2020-01-16,68.0,0.0,70.0,64.0,43.0,92.0,58.0,24.0,31.0,0.0
2020-01-17,77.0,0.0,58.0,71.0,26.0,82.0,59.0,55.0,40.0,38.0
2020-01-18,96.0,100.0,88.0,43.0,43.0,85.0,65.0,100.0,36.0,84.0
2020-01-19,63.0,0.0,80.0,49.0,0.0,80.0,64.0,40.0,37.0,0.0
2020-01-20,55.0,89.0,56.0,63.0,25.0,85.0,29.0,35.0,32.0,0.0
2020-01-21,70.0,44.0,75.0,50.0,0.0,80.0,71.0,41.0,29.0,72.0
2020-01-22,67.0,89.0,54.0,38.0,25.0,98.0,86.0,36.0,49.0,0.0
2020-01-23,72.0,90.0,61.0,38.0,52.0,84.0,44.0,45.0,38.0,37.0
2020-01-24,79.0,0.0,78.0,71.0,26.0,95.0,39.0,49.0,41.0,0.0
2020-01-25,63.0,0.0,58.0,50.0,57.0,76.0,65.0,40.0,52.0,0.0
2020-01-26,91.0,49.0,74.0,41.0,27.0,81.0,72.0,67.0,35.0,0.0
2020-01-27,53.0,0.0,60.0,78.0,24.0,83.0,27.0,40.0,38.0,35.0
