,nonprofit,donate,food bank,charities,World Vision,Red Cross,Doctors Without Borders,blood donation,donation,thrift store
2020-01-01,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,32.0
2020-01-02,0.0,37.0,73.0,0.0,93.0,48.0,0.0,0.0,35.0,55.0
2020-01-03,0.0,23.0,69.0,0.0,89.0,62.0,0.0,0.0,33.0,0.0
2020-01-04,0.0,25.0,37.0,0.0,0.0,99.0,0.0,61.0,62.0,56.0
2020-01-05,53.0,42.0,74.0,51.0,0.0,98.0,0.0,0.0,26.0,28.0
2020-01-06,0.0,76.0,34.0,0.0,85.0,100.0,0.0,0.0,32.0,51.0
2020-01-07,49.0,92.0,34.0,0.0,0.0,50.0,0.0,0.0,24.0,0.0
2020-01-08,0.0,53.0,0.0,46.0,0.0,30.0,0.0,0.0,56.0,25.0
2020-01-09,49.0,57.0,0.0,46.0,86.0,30.0,0.0,0.0,40.0,26.0
2020-01-10,0.0,39.0,34.0,0.0,87.0,31.0,0.0,56.0,65.0,26.0
2020-01-11,0.0,25.0,37.0,0.0,0.0,77.0,0.0,0.0,17.0,0.0
2020-01-12,0.0,31.0,35.0,95.0,0.0,31.0,0.0,57.0,33.0,52.0
2020-01-13,45.0,21.0,31.0,43.0,79.0,55.0,0.0,0.0,37.0,23.0
2020-01-14,0.0,21.0,30.0,0.0,0.0,68.0,0.0,0.0,14.0,23.0
2020-01-15,0.0,45.0,33.0,0.0,0.0,30.0,0.0,0.0,55.0,50.0
2020-01-16,49.0,23.0,33.0,0.0,0.0,0.0,0.0,56.0,24.0,34.0
2020-01-17,99.0,35.0,0.0,47.0,0.0,31.0,0.0,0.0,25.0,0.0
2020-01-18,0.0,0.0,0.0,51.0,0.0,34.0,0.0,0.0,18.0,0.0
2020-01-19,0.0,100.0,74.0,0.0,0.0,0.0,100.0,0.0,26.0,0.0
2020-01-20,49.0,34.0,33.0,46.0,85.0,30.0,0.0,0.0,16.0,25.0
2020-01-21,48.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,74.0
2020-01-22,0.0,45.0,34.0,69.0,0.0,40.0,0.0,0.0,0.0,38.0
2020-01-23,0.0,23.0,0.0,47.0,87.0,0.0,0.0,55.0,16.0,25.0
2020-01-24,49.0,23.0,0.0,0.0,0.0,31.0,0.0,56.0,33.0,39.0
2020-01-25,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,43.0
2020-01-26,0.0,25.0,36.0,0.0,0.0,32.0,98.0,0.0,26.0,55.0
2020-01-27,0.0,22.0,33.0,43.0,0.0,29.0,0.0,0.0,0.0,48.0
2020-01-28,47.0,22.0,0.0,0.0,0.0,58.0,0.0,54.0,23.0,25.0
2020-01-29,48.0,44.0,0.0,90.0,0.0,59.0,0.0,54.0,24.0,25.0
2020-01-30,49.0,23.0,0.0,93.0,87.0,0.0,0.0,56.0,33.0,26.0
2020-01-31,0.0,23.0,35.0,47.0,87.0,31.0,0.0,0.0,16.0,26.0
2020-02-01,0.0,38.0,0.0,0.0,0.0,67.0,0.0,62.0,18.0,100.0
2020-02-02,0.0,25.0,0.0,0.0,93.0,65.0,0.0,0.0,35.0,28.0
2020-02-03,0.0,31.0,30.0,41.0,77.0,0.0,0.0,0.0,100.0,23.0
2020-02-04,0.0,37.0,33.0,45.0,0.0,30.0,88.0,0.0,16.0,38.0
2020-02-05,48.0,23.0,100.0,68.0,0.0,30.0,0.0,0.0,16.0,25.0
2020-02-06,0.0,45.0,0.0,68.0,0.0,0.0,0.0,54.0,16.0,0.0
2020-02-07,0.0,29.0,32.0,0.0,0.0,28.0,0.0,0.0,31.0,24.0
2020-02-08,0.0,26.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,30.0
2020-02-09,0.0,25.0,37.0,51.0,0.0,33.0,0.0,0.0,26.0,42.0
2020-02-10,94.0,23.0,33.0,45.0,0.0,29.0,0.0,54.0,47.0,50.0
2020-02-11,0.0,22.0,33.0,0.0,0.0,0.0,0.0,0.0,31.0,50.0
