,Banana Republic,Old Navy	,Gap,Holt Renfrew,Harry Rosen,H&M,Zara,Neon,Winners,Forever 21
2020-01-01,21.0,21.0,33.0,69.0,0.0,34.0,42.0,28.0,31.0,30.0
2020-01-02,81.0,34.0,32.0,68.0,26.0,46.0,87.0,76.0,36.0,51.0
2020-01-03,26.0,35.0,74.0,37.0,25.0,54.0,67.0,52.0,21.0,61.0
2020-01-04,47.0,31.0,33.0,50.0,40.0,64.0,66.0,61.0,33.0,39.0
2020-01-05,37.0,38.0,25.0,44.0,27.0,48.0,62.0,88.0,25.0,52.0
2020-01-06,0.0,19.0,39.0,27.0,25.0,46.0,73.0,53.0,44.0,24.0
2020-01-07,34.0,26.0,73.0,68.0,49.0,37.0,34.0,86.0,19.0,48.0
2020-01-08,42.0,21.0,59.0,80.0,24.0,49.0,70.0,45.0,24.0,35.0
2020-01-09,76.0,24.0,63.0,68.0,0.0,35.0,69.0,65.0,18.0,48.0
2020-01-10,43.0,26.0,40.0,68.0,49.0,49.0,64.0,61.0,21.0,48.0
2020-01-11,46.0,23.0,43.0,98.0,27.0,46.0,79.0,82.0,24.0,39.0
2020-01-12,61.0,32.0,51.0,83.0,38.0,42.0,56.0,62.0,26.0,24.0
2020-01-13,46.0,37.0,33.0,33.0,44.0,42.0,65.0,62.0,24.0,22.0
2020-01-14,38.0,23.0,50.0,49.0,22.0,38.0,68.0,68.0,15.0,21.0
2020-01-15,50.0,28.0,32.0,35.0,0.0,44.0,81.0,59.0,20.0,47.0
2020-01-16,26.0,24.0,50.0,63.0,0.0,44.0,80.0,45.0,20.0,24.0
2020-01-17,34.0,35.0,37.0,55.0,49.0,61.0,70.0,54.0,16.0,48.0
2020-01-18,47.0,18.0,70.0,61.0,54.0,38.0,77.0,62.0,19.0,53.0
2020-01-19,37.0,36.0,50.0,49.0,26.0,54.0,62.0,44.0,25.0,52.0
2020-01-20,34.0,38.0,33.0,0.0,24.0,44.0,74.0,67.0,26.0,24.0
2020-01-21,33.0,33.0,29.0,0.0,24.0,50.0,59.0,49.0,24.0,24.0
2020-01-22,34.0,16.0,49.0,27.0,24.0,35.0,68.0,50.0,18.0,47.0
2020-01-23,25.0,26.0,53.0,54.0,37.0,45.0,67.0,60.0,16.0,36.0
2020-01-24,43.0,34.0,23.0,64.0,25.0,40.0,66.0,46.0,15.0,36.0
2020-01-25,47.0,43.0,44.0,61.0,68.0,49.0,65.0,34.0,18.0,0.0
2020-01-26,27.0,50.0,32.0,29.0,52.0,35.0,68.0,48.0,22.0,76.0
2020-01-27,32.0,20.0,22.0,52.0,23.0,38.0,43.0,58.0,51.0,45.0
2020-01-28,65.0,30.0,38.0,39.0,24.0,45.0,58.0,53.0,20.0,34.0
2020-01-29,17.0,17.0,39.0,44.0,24.0,23.0,57.0,49.0,13.0,46.0
2020-01-30,51.0,28.0,27.0,54.0,37.0,43.0,57.0,51.0,17.0,36.0
2020-01-31,34.0,33.0,40.0,64.0,100.0,48.0,41.0,56.0,23.0,0.0
2020-02-01,66.0,39.0,48.0,40.0,27.0,41.0,85.0,56.0,28.0,27.0
2020-02-02,37.0,24.0,29.0,68.0,0.0,38.0,73.0,54.0,31.0,26.0
2020-02-03,30.0,17.0,35.0,36.0,22.0,42.0,49.0,27.0,24.0,0.0
2020-02-04,74.0,30.0,32.0,35.0,24.0,59.0,52.0,34.0,16.0,23.0
2020-02-05,33.0,31.0,29.0,53.0,24.0,57.0,40.0,35.0,16.0,47.0
2020-02-06,25.0,31.0,19.0,44.0,0.0,33.0,50.0,44.0,11.0,93.0
2020-02-07,24.0,24.0,50.0,51.0,46.0,40.0,52.0,43.0,16.0,45.0
2020-02-08,20.0,30.0,31.0,63.0,28.0,49.0,80.0,41.0,30.0,27.0
2020-02-09,46.0,28.0,65.0,45.0,40.0,62.0,54.0,28.0,36.0,78.0
2020-02-10,41.0,24.0,42.0,53.0,24.0,39.0,59.0,39.0,100.0,35.0
2020-02-11,83.0,24.0,35.0,44.0,24.0,43.0,46.0,44.0,40.0,23.0
2020-02-12,25.0,30.0,39.0,62.0,0.0,42.0,61.0,59.0,36.0,23.0
2020-02-13,58.0,22.0,36.0,40.0,48.0,54.0,57.0,49.0,24.0,23.0
2020-02-14,25.0,28.0,46.0,27.0,24.0,51.0,47.0,53.0,17.0,0.0
2020-02-15,84.0,49.0,44.0,75.0,40.0,69.0,43.0,50.0,27.0,53.0
2020-02-16,27.0,36.0,82.0,58.0,39.0,46.0,66.0,49.0,33.0,26.0
2020-02-17,96.0,37.0,50.0,69.0,23.0,45.0,49.0,38.0,23.0,23.0
2020-02-18,47.0,28.0,62.0,42.0,69.0,36.0,64.0,42.0,19.0,33.0
2020-02-19,32.0,34.0,43.0,76.0,0.0,53.0,50.0,47.0,27.0,22.0
2020-02-20,40.0,24.0,60.0,0.0,23.0,50.0,59.0,53.0,13.0,45.0
2020-02-21,33.0,30.0,74.0,26.0,48.0,30.0,63.0,44.0,14.0,58.0
2020-02-22,55.0,57.0,46.0,59.0,0.0,61.0,65.0,71.0,27.0,77.0
2020-02-23,72.0,32.0,63.0,67.0,0.0,63.0,56.0,80.0,17.0,50.0
