,laptop,tablet,ipad,iphone,macbook,ssd,microsoft,zoom,5G,gaming pc
2020-01-01,38.0,65.0,58.0,91.0,42.0,23.0,27.0,1.0,21.0,24.0
2020-01-02,61.0,100.0,70.0,83.0,48.0,44.0,31.0,4.0,12.0,34.0
2020-01-03,40.0,89.0,54.0,83.0,46.0,65.0,37.0,4.0,10.0,26.0
2020-01-04,62.0,34.0,59.0,85.0,38.0,65.0,26.0,5.0,8.0,56.0
2020-01-05,44.0,71.0,54.0,89.0,40.0,33.0,23.0,4.0,10.0,21.0
2020-01-06,46.0,61.0,53.0,77.0,62.0,59.0,49.0,3.0,11.0,19.0
2020-01-07,45.0,69.0,51.0,79.0,50.0,34.0,55.0,6.0,19.0,29.0
2020-01-08,43.0,57.0,45.0,71.0,39.0,55.0,51.0,4.0,11.0,74.0
2020-01-09,34.0,69.0,40.0,76.0,51.0,48.0,44.0,4.0,8.0,48.0
2020-01-10,47.0,56.0,44.0,78.0,44.0,53.0,54.0,3.0,23.0,19.0
2020-01-11,40.0,48.0,57.0,88.0,47.0,48.0,33.0,2.0,10.0,55.0
2020-01-12,27.0,32.0,58.0,85.0,54.0,50.0,35.0,3.0,14.0,26.0
2020-01-13,60.0,57.0,45.0,66.0,61.0,51.0,45.0,2.0,9.0,18.0
2020-01-14,33.0,53.0,38.0,73.0,43.0,60.0,61.0,4.0,10.0,26.0
2020-01-15,45.0,47.0,39.0,72.0,40.0,58.0,48.0,5.0,16.0,0.0
2020-01-16,41.0,59.0,41.0,70.0,40.0,45.0,54.0,4.0,19.0,19.0
2020-01-17,25.0,63.0,43.0,66.0,40.0,87.0,56.0,4.0,6.0,32.0
2020-01-18,66.0,50.0,54.0,77.0,42.0,46.0,39.0,4.0,21.0,21.0
2020-01-19,63.0,79.0,49.0,80.0,35.0,41.0,37.0,2.0,12.0,21.0
2020-01-20,36.0,44.0,58.0,70.0,57.0,66.0,40.0,4.0,17.0,19.0
2020-01-21,36.0,67.0,49.0,69.0,57.0,55.0,48.0,4.0,6.0,37.0
2020-01-22,38.0,54.0,45.0,69.0,54.0,92.0,50.0,6.0,15.0,28.0
2020-01-23,49.0,59.0,43.0,78.0,56.0,37.0,47.0,4.0,13.0,29.0
2020-01-24,49.0,52.0,44.0,69.0,60.0,42.0,49.0,3.0,15.0,19.0
2020-01-25,29.0,92.0,60.0,89.0,55.0,42.0,33.0,1.0,19.0,22.0
2020-01-26,56.0,62.0,56.0,87.0,56.0,32.0,38.0,3.0,26.0,20.0
2020-01-27,50.0,65.0,37.0,75.0,66.0,53.0,55.0,2.0,30.0,27.0
2020-01-28,61.0,60.0,42.0,70.0,48.0,40.0,42.0,5.0,40.0,28.0
2020-01-29,40.0,44.0,35.0,68.0,54.0,55.0,51.0,6.0,17.0,56.0
2020-01-30,43.0,66.0,45.0,62.0,60.0,26.0,46.0,6.0,23.0,19.0
2020-01-31,43.0,35.0,45.0,65.0,52.0,57.0,45.0,5.0,8.0,19.0
2020-02-01,75.0,54.0,58.0,81.0,48.0,46.0,30.0,3.0,11.0,0.0
2020-02-02,59.0,56.0,65.0,75.0,56.0,49.0,43.0,3.0,18.0,42.0
2020-02-03,72.0,33.0,37.0,63.0,54.0,23.0,55.0,4.0,10.0,34.0
2020-02-04,47.0,57.0,33.0,59.0,60.0,40.0,37.0,6.0,11.0,18.0
2020-02-05,56.0,61.0,41.0,76.0,47.0,51.0,60.0,4.0,11.0,19.0
2020-02-06,60.0,34.0,50.0,60.0,44.0,51.0,49.0,6.0,17.0,28.0
2020-02-07,50.0,36.0,38.0,69.0,45.0,28.0,44.0,3.0,19.0,30.0
2020-02-08,33.0,59.0,47.0,71.0,32.0,69.0,35.0,4.0,9.0,37.0
2020-02-09,51.0,34.0,61.0,75.0,55.0,74.0,28.0,3.0,12.0,21.0
2020-02-10,61.0,57.0,43.0,60.0,51.0,43.0,42.0,5.0,15.0,19.0
2020-02-11,29.0,46.0,38.0,64.0,51.0,36.0,57.0,4.0,16.0,54.0
2020-02-12,30.0,30.0,39.0,67.0,29.0,51.0,57.0,5.0,28.0,28.0
2020-02-13,64.0,44.0,48.0,67.0,50.0,44.0,47.0,6.0,24.0,28.0
2020-02-14,38.0,41.0,33.0,67.0,39.0,41.0,51.0,4.0,26.0,19.0
2020-02-15,58.0,68.0,52.0,80.0,40.0,70.0,31.0,3.0,17.0,53.0
2020-02-16,48.0,37.0,57.0,74.0,64.0,40.0,30.0,4.0,12.0,48.0
2020-02-17,50.0,33.0,32.0,68.0,42.0,32.0,43.0,4.0,23.0,0.0
2020-02-18,50.0,54.0,40.0,62.0,43.0,28.0,36.0,5.0,14.0,45.0
2020-02-19,66.0,48.0,49.0,61.0,45.0,83.0,47.0,7.0,18.0,30.0
2020-02-20,50.0,33.0,44.0,70.0,52.0,50.0,53.0,5.0,14.0,36.0
2020-02-21,52.0,37.0,49.0,64.0,47.0,27.0,43.0,5.0,7.0,18.0
2020-02-22,33.0,59.0,56.0,72.0,53.0,44.0,37.0,3.0,22.0,20.0
2020-02-23,28.0,33.0,62.0,80.0,35.0,48.0,25.0,3.0,6.0,20.0
2020-02-24,40.0,64.0,44.0,62.0,42.0,21.0,44.0,5.0,19.0,18.0
2020-02-25,43.0,35.0,39.0,56.0,42.0,55.0,50.0,5.0,24.0,18.0
2020-02-26,52.0,22.0,35.0,61.0,41.0,37.0,44.0,5.0,22.0,26.0
2020-02-27,39.0,45.0,42.0,57.0,48.0,23.0,41.0,5.0,10.0,25.0
2020-02-28,39.0,46.0,38.0,63.0,32.0,54.0,43.0,5.0,11.0,37.0
2020-02-29,40.0,45.0,51.0,74.0,36.0,36.0,33.0,5.0,8.0,21.0
2020-03-01,44.0,55.0,58.0,78.0,55.0,56.0,29.0,5.0,12.0,34.0
2020-03-02,40.0,52.0,39.0,68.0,36.0,49.0,45.0,4.0,25.0,18.0
2020-03-03,56.0,29.0,44.0,65.0,47.0,67.0,56.0,5.0,9.0,49.0
2020-03-04,46.0,52.0,42.0,65.0,39.0,17.0,49.0,5.0,8.0,18.0
2020-03-05,39.0,50.0,46.0,60.0,43.0,62.0,49.0,5.0,11.0,19.0
2020-03-06,49.0,30.0,34.0,65.0,36.0,40.0,43.0,7.0,18.0,37.0
2020-03-07,55.0,41.0,39.0,71.0,52.0,73.0,35.0,2.0,25.0,0.0
2020-03-08,53.0,32.0,39.0,77.0,40.0,54.0,35.0,2.0,22.0,20.0
2020-03-09,33.0,34.0,35.0,62.0,56.0,51.0,49.0,7.0,32.0,40.0
2020-03-10,25.0,49.0,38.0,57.0,41.0,43.0,50.0,4.0,20.0,40.0
2020-03-11,49.0,32.0,33.0,58.0,44.0,45.0,52.0,6.0,23.0,36.0
2020-03-12,47.0,28.0,30.0,45.0,40.0,33.0,48.0,10.0,23.0,17.0
2020-03-13,59.0,33.0,35.0,56.0,43.0,33.0,48.0,12.0,17.0,34.0
2020-03-14,32.0,65.0,43.0,62.0,52.0,31.0,45.0,9.0,28.0,34.0
2020-03-15,54.0,46.0,43.0,65.0,51.0,23.0,52.0,11.0,26.0,33.0
2020-03-16,58.0,43.0,33.0,52.0,54.0,36.0,83.0,29.0,28.0,34.0
2020-03-17,69.0,43.0,42.0,55.0,44.0,33.0,80.0,32.0,39.0,28.0
2020-03-18,64.0,50.0,50.0,54.0,58.0,50.0,79.0,44.0,37.0,52.0
2020-03-19,53.0,47.0,66.0,60.0,64.0,40.0,78.0,40.0,34.0,35.0
2020-03-20,74.0,48.0,53.0,58.0,65.0,32.0,83.0,46.0,31.0,42.0
2020-03-21,63.0,55.0,70.0,51.0,66.0,22.0,41.0,37.0,19.0,51.0
2020-03-22,66.0,44.0,64.0,63.0,62.0,48.0,40.0,38.0,30.0,19.0
2020-03-23,54.0,38.0,50.0,58.0,49.0,29.0,84.0,57.0,44.0,30.0
2020-03-24,65.0,39.0,57.0,57.0,80.0,19.0,84.0,73.0,23.0,50.0
2020-03-25,66.0,44.0,57.0,56.0,57.0,30.0,82.0,70.0,24.0,23.0
2020-03-26,78.0,64.0,59.0,55.0,72.0,50.0,99.0,70.0,32.0,23.0
2020-03-27,79.0,53.0,60.0,62.0,74.0,32.0,75.0,75.0,29.0,17.0
2020-03-28,54.0,68.0,72.0,69.0,61.0,67.0,44.0,63.0,32.0,29.0
2020-03-29,63.0,52.0,73.0,68.0,64.0,100.0,49.0,57.0,51.0,66.0
2020-03-30,83.0,29.0,70.0,61.0,65.0,50.0,86.0,89.0,49.0,32.0
2020-03-31,61.0,62.0,49.0,64.0,88.0,45.0,93.0,94.0,54.0,44.0
2020-04-01,63.0,46.0,66.0,64.0,58.0,38.0,79.0,84.0,51.0,32.0
2020-04-02,77.0,38.0,61.0,63.0,70.0,50.0,86.0,100.0,90.0,21.0
2020-04-03,71.0,65.0,65.0,62.0,76.0,67.0,89.0,94.0,84.0,33.0
2020-04-04,62.0,48.0,63.0,67.0,74.0,44.0,50.0,63.0,88.0,44.0
2020-04-05,80.0,60.0,64.0,57.0,67.0,51.0,62.0,72.0,100.0,47.0
2020-04-06,64.0,45.0,50.0,57.0,60.0,42.0,80.0,82.0,87.0,36.0
2020-04-07,79.0,58.0,54.0,67.0,51.0,44.0,71.0,80.0,97.0,48.0
2020-04-08,57.0,51.0,61.0,55.0,83.0,55.0,74.0,88.0,48.0,21.0
2020-04-09,87.0,47.0,66.0,63.0,63.0,42.0,69.0,76.0,63.0,41.0
2020-04-10,68.0,54.0,88.0,65.0,74.0,52.0,72.0,63.0,88.0,41.0
2020-04-11,81.0,64.0,76.0,65.0,72.0,52.0,48.0,61.0,63.0,100.0
2020-04-12,61.0,70.0,66.0,71.0,71.0,40.0,54.0,67.0,72.0,68.0
2020-04-13,58.0,52.0,63.0,62.0,78.0,38.0,63.0,51.0,88.0,48.0
2020-04-14,64.0,42.0,72.0,71.0,84.0,43.0,91.0,66.0,46.0,52.0
2020-04-15,79.0,34.0,71.0,90.0,71.0,37.0,81.0,70.0,54.0,37.0
2020-04-16,69.0,54.0,69.0,100.0,93.0,49.0,100.0,62.0,45.0,47.0
2020-04-17,72.0,89.0,65.0,91.0,78.0,59.0,88.0,63.0,35.0,48.0
2020-04-18,64.0,63.0,68.0,82.0,67.0,79.0,38.0,42.0,64.0,65.0
2020-04-19,100.0,83.0,100.0,77.0,83.0,53.0,41.0,38.0,57.0,51.0
2020-04-20,47.0,62.0,67.0,68.0,68.0,49.0,77.0,63.0,50.0,84.0
2020-04-21,89.0,55.0,72.0,73.0,81.0,54.0,87.0,63.0,45.0,56.0
2020-04-22,83.0,79.0,73.0,79.0,72.0,34.0,91.0,62.0,66.0,36.0
2020-04-23,64.0,74.0,55.0,71.0,84.0,50.0,84.0,66.0,61.0,79.0
2020-04-24,62.0,48.0,63.0,73.0,74.0,46.0,72.0,55.0,76.0,25.0
2020-04-25,71.0,90.0,77.0,83.0,83.0,60.0,44.0,37.0,57.0,51.0
2020-04-26,69.0,62.0,73.0,76.0,65.0,32.0,41.0,35.0,59.0,72.0
2020-04-27,47.0,51.0,58.0,66.0,66.0,34.0,72.0,55.0,65.0,47.0
