,dating apps,Tinder,Bumble,Happn,Hinge,online dating,Facebook dating,Coffee Meets Bagel,sugar daddy,OKCupid
2020-01-01,65.0,67.0,51.0,0.0,51.0,59.0,52.0,0.0,41.0,0.0
2020-01-02,55.0,89.0,22.0,96.0,48.0,50.0,44.0,0.0,34.0,31.0
2020-01-03,0.0,69.0,73.0,0.0,31.0,0.0,43.0,0.0,66.0,30.0
2020-01-04,0.0,58.0,44.0,0.0,33.0,0.0,45.0,0.0,35.0,32.0
2020-01-05,0.0,63.0,100.0,0.0,0.0,0.0,46.0,0.0,47.0,95.0
2020-01-06,52.0,52.0,30.0,89.0,0.0,46.0,0.0,0.0,32.0,44.0
2020-01-07,52.0,61.0,20.0,0.0,46.0,47.0,42.0,0.0,32.0,59.0
2020-01-08,0.0,50.0,39.0,0.0,29.0,0.0,0.0,0.0,31.0,0.0
2020-01-09,0.0,22.0,40.0,88.0,0.0,47.0,0.0,0.0,64.0,29.0
2020-01-10,0.0,77.0,41.0,0.0,31.0,0.0,42.0,0.0,65.0,30.0
2020-01-11,0.0,60.0,22.0,0.0,33.0,0.0,45.0,0.0,69.0,0.0
2020-01-12,0.0,40.0,31.0,0.0,31.0,0.0,85.0,0.0,49.0,60.0
2020-01-13,47.0,41.0,37.0,81.0,28.0,43.0,0.0,0.0,29.0,27.0
2020-01-14,46.0,46.0,18.0,0.0,27.0,0.0,56.0,0.0,58.0,0.0
2020-01-15,0.0,52.0,20.0,0.0,29.0,45.0,40.0,0.0,0.0,28.0
2020-01-16,51.0,39.0,20.0,0.0,30.0,0.0,0.0,0.0,0.0,29.0
2020-01-17,0.0,52.0,51.0,91.0,46.0,0.0,0.0,0.0,98.0,44.0
2020-01-18,58.0,69.0,23.0,0.0,0.0,52.0,93.0,0.0,55.0,66.0
2020-01-19,57.0,70.0,33.0,0.0,67.0,0.0,0.0,0.0,53.0,32.0
2020-01-20,50.0,52.0,59.0,0.0,0.0,0.0,0.0,0.0,32.0,29.0
2020-01-21,0.0,56.0,30.0,87.0,0.0,0.0,40.0,0.0,64.0,29.0
2020-01-22,51.0,47.0,30.0,89.0,30.0,0.0,0.0,0.0,32.0,29.0
2020-01-23,0.0,51.0,40.0,90.0,0.0,0.0,41.0,0.0,33.0,0.0
2020-01-24,0.0,60.0,31.0,0.0,61.0,47.0,0.0,0.0,33.0,0.0
2020-01-25,57.0,64.0,45.0,0.0,34.0,0.0,0.0,0.0,36.0,33.0
2020-01-26,0.0,94.0,43.0,0.0,75.0,100.0,44.0,0.0,0.0,31.0
2020-01-27,97.0,64.0,19.0,0.0,100.0,44.0,79.0,0.0,46.0,28.0
2020-01-28,0.0,67.0,0.0,87.0,29.0,0.0,0.0,0.0,0.0,28.0
2020-01-29,51.0,44.0,0.0,0.0,0.0,0.0,41.0,0.0,32.0,0.0
2020-01-30,0.0,60.0,51.0,0.0,30.0,0.0,0.0,0.0,33.0,0.0
2020-01-31,52.0,46.0,31.0,0.0,46.0,0.0,0.0,0.0,66.0,0.0
2020-02-01,0.0,69.0,46.0,0.0,45.0,52.0,0.0,0.0,72.0,49.0
2020-02-02,0.0,53.0,22.0,0.0,33.0,51.0,90.0,0.0,0.0,32.0
2020-02-03,46.0,67.0,45.0,0.0,54.0,42.0,36.0,0.0,29.0,52.0
2020-02-04,0.0,86.0,0.0,0.0,30.0,46.0,81.0,0.0,42.0,29.0
2020-02-05,0.0,66.0,30.0,0.0,59.0,91.0,41.0,0.0,63.0,29.0
2020-02-06,0.0,54.0,20.0,0.0,40.0,0.0,40.0,0.0,0.0,29.0
2020-02-07,49.0,50.0,38.0,0.0,29.0,44.0,0.0,0.0,30.0,0.0
2020-02-08,0.0,61.0,23.0,0.0,35.0,0.0,0.0,0.0,56.0,67.0
2020-02-09,0.0,58.0,33.0,0.0,66.0,51.0,45.0,0.0,47.0,32.0
2020-02-10,0.0,47.0,39.0,0.0,30.0,91.0,0.0,0.0,31.0,0.0
2020-02-11,0.0,63.0,49.0,0.0,29.0,0.0,40.0,0.0,31.0,37.0
2020-02-12,0.0,54.0,40.0,88.0,30.0,0.0,0.0,0.0,32.0,29.0
2020-02-13,51.0,52.0,50.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0
2020-02-14,52.0,59.0,40.0,90.0,0.0,0.0,41.0,0.0,32.0,0.0
2020-02-15,0.0,68.0,34.0,100.0,50.0,0.0,91.0,0.0,36.0,32.0
2020-02-16,83.0,68.0,44.0,0.0,44.0,50.0,0.0,0.0,70.0,32.0
2020-02-17,49.0,81.0,19.0,0.0,43.0,0.0,39.0,0.0,31.0,56.0
2020-02-18,0.0,52.0,76.0,0.0,28.0,0.0,0.0,0.0,40.0,28.0
2020-02-19,0.0,51.0,0.0,0.0,42.0,0.0,0.0,0.0,30.0,27.0
2020-02-20,0.0,70.0,19.0,86.0,29.0,0.0,0.0,0.0,61.0,0.0
2020-02-21,50.0,61.0,30.0,87.0,29.0,0.0,40.0,0.0,0.0,85.0
2020-02-22,83.0,51.0,22.0,0.0,33.0,0.0,45.0,0.0,35.0,32.0
2020-02-23,82.0,56.0,43.0,0.0,48.0,0.0,0.0,0.0,0.0,93.0
2020-02-24,48.0,59.0,19.0,0.0,38.0,0.0,39.0,0.0,30.0,41.0
2020-02-25,0.0,55.0,19.0,0.0,28.0,0.0,38.0,0.0,30.0,27.0
2020-02-26,0.0,37.0,0.0,0.0,55.0,43.0,0.0,0.0,44.0,26.0
2020-02-27,90.0,39.0,18.0,0.0,53.0,0.0,36.0,0.0,56.0,25.0
2020-02-28,0.0,49.0,39.0,86.0,58.0,0.0,0.0,0.0,47.0,42.0
2020-02-29,0.0,57.0,33.0,96.0,76.0,0.0,0.0,0.0,0.0,32.0
2020-03-01,0.0,55.0,65.0,0.0,48.0,0.0,0.0,0.0,34.0,31.0
2020-03-02,0.0,44.0,39.0,0.0,57.0,44.0,39.0,0.0,60.0,28.0
2020-03-03,49.0,43.0,19.0,0.0,29.0,0.0,0.0,0.0,31.0,28.0
2020-03-04,0.0,52.0,38.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0
2020-03-05,0.0,42.0,20.0,87.0,59.0,0.0,0.0,0.0,0.0,0.0
2020-03-06,0.0,40.0,39.0,87.0,44.0,46.0,41.0,0.0,63.0,28.0
2020-03-07,0.0,82.0,22.0,0.0,33.0,0.0,67.0,0.0,70.0,32.0
2020-03-08,0.0,60.0,53.0,0.0,79.0,0.0,0.0,0.0,67.0,30.0
2020-03-09,0.0,70.0,18.0,81.0,55.0,42.0,37.0,0.0,29.0,53.0
2020-03-10,46.0,46.0,0.0,0.0,68.0,0.0,0.0,0.0,29.0,0.0
2020-03-11,0.0,38.0,28.0,0.0,28.0,0.0,39.0,0.0,0.0,27.0
2020-03-12,46.0,51.0,18.0,0.0,27.0,0.0,0.0,0.0,29.0,26.0
2020-03-13,45.0,43.0,53.0,0.0,0.0,0.0,0.0,0.0,57.0,25.0
2020-03-14,0.0,48.0,43.0,96.0,0.0,0.0,44.0,0.0,34.0,0.0
2020-03-15,0.0,44.0,62.0,0.0,92.0,0.0,42.0,0.0,33.0,30.0
2020-03-16,47.0,45.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,52.0
2020-03-17,0.0,38.0,36.0,80.0,54.0,0.0,37.0,0.0,0.0,26.0
2020-03-18,47.0,39.0,18.0,0.0,41.0,0.0,37.0,0.0,29.0,53.0
2020-03-19,47.0,48.0,36.0,80.0,54.0,0.0,37.0,0.0,29.0,26.0
2020-03-20,0.0,36.0,70.0,0.0,0.0,0.0,36.0,0.0,28.0,51.0
2020-03-21,51.0,30.0,30.0,0.0,75.0,0.0,0.0,0.0,32.0,29.0
2020-03-22,0.0,54.0,40.0,0.0,59.0,46.0,41.0,0.0,64.0,86.0
2020-03-23,0.0,37.0,24.0,71.0,56.0,0.0,0.0,0.0,0.0,0.0
2020-03-24,89.0,46.0,26.0,0.0,26.0,40.0,36.0,0.0,0.0,25.0
2020-03-25,47.0,57.0,55.0,0.0,27.0,63.0,38.0,0.0,29.0,0.0
2020-03-26,0.0,56.0,36.0,79.0,54.0,83.0,37.0,0.0,43.0,26.0
2020-03-27,45.0,44.0,26.0,78.0,39.0,40.0,0.0,0.0,28.0,25.0
2020-03-28,0.0,60.0,30.0,0.0,30.0,0.0,41.0,0.0,0.0,0.0
2020-03-29,48.0,50.0,19.0,0.0,29.0,0.0,39.0,91.0,0.0,27.0
2020-03-30,43.0,46.0,34.0,0.0,25.0,39.0,35.0,0.0,27.0,24.0
2020-03-31,0.0,41.0,87.0,0.0,26.0,0.0,36.0,0.0,28.0,25.0
2020-04-01,0.0,53.0,59.0,0.0,38.0,0.0,35.0,0.0,27.0,0.0
2020-04-02,0.0,53.0,34.0,0.0,51.0,39.0,0.0,0.0,54.0,61.0
2020-04-03,0.0,49.0,17.0,0.0,39.0,0.0,0.0,0.0,28.0,25.0
2020-04-04,0.0,100.0,20.0,0.0,30.0,47.0,41.0,0.0,0.0,29.0
2020-04-05,47.0,62.0,19.0,0.0,55.0,43.0,0.0,0.0,29.0,27.0
2020-04-06,0.0,46.0,16.0,0.0,24.0,38.0,67.0,0.0,0.0,0.0
2020-04-07,43.0,58.0,17.0,0.0,25.0,0.0,35.0,0.0,54.0,73.0
2020-04-08,43.0,71.0,42.0,0.0,33.0,39.0,34.0,0.0,27.0,49.0
2020-04-09,41.0,42.0,40.0,0.0,24.0,0.0,0.0,0.0,34.0,35.0
2020-04-10,0.0,60.0,35.0,0.0,52.0,40.0,0.0,0.0,28.0,38.0
2020-04-11,48.0,53.0,19.0,0.0,42.0,0.0,58.0,0.0,30.0,0.0
2020-04-12,50.0,44.0,30.0,87.0,30.0,46.0,40.0,0.0,47.0,28.0
2020-04-13,87.0,60.0,0.0,75.0,77.0,0.0,0.0,0.0,54.0,50.0
2020-04-14,0.0,38.0,50.0,0.0,50.0,38.0,0.0,0.0,40.0,24.0
2020-04-15,0.0,44.0,0.0,0.0,50.0,39.0,34.0,0.0,0.0,24.0
2020-04-16,0.0,47.0,25.0,0.0,25.0,39.0,34.0,0.0,40.0,25.0
2020-04-17,43.0,36.0,0.0,0.0,51.0,39.0,35.0,0.0,27.0,24.0
2020-04-18,50.0,51.0,20.0,0.0,29.0,68.0,40.0,0.0,47.0,0.0
2020-04-19,46.0,81.0,18.0,0.0,54.0,42.0,37.0,0.0,0.0,26.0
2020-04-20,42.0,62.0,51.0,74.0,37.0,0.0,68.0,0.0,26.0,36.0
2020-04-21,42.0,44.0,0.0,0.0,33.0,38.0,100.0,0.0,39.0,71.0
2020-04-22,0.0,47.0,25.0,73.0,25.0,0.0,34.0,0.0,27.0,24.0
2020-04-23,43.0,39.0,0.0,0.0,25.0,39.0,34.0,0.0,27.0,24.0
2020-04-24,45.0,59.0,53.0,0.0,53.0,41.0,36.0,0.0,28.0,26.0
2020-04-25,0.0,49.0,51.0,0.0,61.0,47.0,0.0,0.0,32.0,29.0
2020-04-26,0.0,50.0,19.0,0.0,28.0,44.0,39.0,0.0,41.0,28.0
2020-04-27,42.0,52.0,17.0,0.0,33.0,38.0,34.0,0.0,53.0,24.0
2020-04-28,45.0,44.0,17.0,0.0,52.0,0.0,0.0,0.0,28.0,25.0
2020-04-29,0.0,53.0,36.0,0.0,26.0,41.0,0.0,0.0,28.0,38.0
2020-04-30,41.0,37.0,24.0,0.0,24.0,0.0,0.0,0.0,34.0,46.0
2020-05-01,0.0,59.0,17.0,0.0,26.0,40.0,35.0,0.0,27.0,25.0
2020-05-02,53.0,58.0,31.0,0.0,0.0,0.0,42.0,0.0,0.0,30.0
2020-05-03,100.0,61.0,49.0,0.0,39.0,0.0,40.0,0.0,0.0,28.0
2020-05-04,42.0,50.0,25.0,0.0,74.0,0.0,34.0,0.0,26.0,24.0
2020-05-05,0.0,40.0,24.0,0.0,47.0,36.0,0.0,0.0,25.0,0.0
2020-05-06,0.0,52.0,35.0,0.0,26.0,0.0,36.0,0.0,37.0,25.0
2020-05-07,44.0,45.0,26.0,77.0,52.0,0.0,35.0,0.0,27.0,100.0
2020-05-08,44.0,45.0,34.0,0.0,38.0,40.0,35.0,0.0,27.0,0.0
2020-05-09,0.0,54.0,46.0,0.0,69.0,0.0,0.0,0.0,59.0,53.0
2020-05-10,48.0,56.0,47.0,82.0,56.0,43.0,77.0,0.0,0.0,27.0
2020-05-11,43.0,56.0,34.0,0.0,25.0,38.0,34.0,0.0,27.0,24.0
