,Rencontre,tinder,Bumble,Happn,Charnière,en ligne Rencontre,Facebook dating,Coffee Meets Bagel,sugar daddy,OKCupid
2020-01-01,71.0,46.0,29.0,0.0,0.0,0.0,0.0,0.0,39.0,55.0
2020-01-02,83.0,76.0,25.0,95.0,17.0,0.0,48.0,0.0,0.0,46.0
2020-01-03,60.0,46.0,30.0,0.0,0.0,0.0,46.0,0.0,31.0,59.0
2020-01-04,83.0,69.0,19.0,0.0,17.0,0.0,74.0,0.0,34.0,47.0
2020-01-05,100.0,78.0,70.0,0.0,17.0,0.0,49.0,0.0,55.0,47.0
2020-01-06,82.0,54.0,40.0,0.0,15.0,0.0,0.0,0.0,46.0,57.0
2020-01-07,61.0,28.0,29.0,0.0,16.0,0.0,45.0,0.0,31.0,29.0
2020-01-08,56.0,62.0,52.0,0.0,0.0,0.0,44.0,0.0,30.0,28.0
2020-01-09,59.0,43.0,52.0,0.0,23.0,0.0,45.0,92.0,46.0,29.0
2020-01-10,53.0,72.0,41.0,91.0,16.0,0.0,45.0,0.0,31.0,29.0
2020-01-11,51.0,66.0,19.0,0.0,0.0,0.0,49.0,0.0,66.0,31.0
2020-01-12,71.0,53.0,18.0,0.0,0.0,100.0,46.0,0.0,47.0,44.0
2020-01-13,72.0,26.0,37.0,82.0,14.0,0.0,41.0,0.0,28.0,0.0
2020-01-14,64.0,37.0,16.0,0.0,14.0,45.0,40.0,84.0,27.0,52.0
2020-01-15,76.0,57.0,34.0,0.0,15.0,0.0,0.0,0.0,45.0,0.0
2020-01-16,73.0,34.0,18.0,90.0,15.0,0.0,45.0,0.0,61.0,72.0
2020-01-17,68.0,70.0,18.0,0.0,0.0,0.0,0.0,0.0,41.0,29.0
2020-01-18,48.0,51.0,39.0,100.0,17.0,0.0,0.0,0.0,68.0,80.0
2020-01-19,77.0,75.0,38.0,0.0,0.0,54.0,98.0,0.0,67.0,31.0
2020-01-20,79.0,56.0,29.0,0.0,0.0,0.0,45.0,0.0,60.0,43.0
2020-01-21,48.0,83.0,26.0,87.0,15.0,0.0,0.0,0.0,30.0,0.0
2020-01-22,58.0,58.0,23.0,0.0,31.0,0.0,0.0,0.0,30.0,0.0
2020-01-23,47.0,45.0,18.0,0.0,16.0,0.0,45.0,0.0,30.0,29.0
2020-01-24,58.0,66.0,18.0,91.0,16.0,0.0,0.0,0.0,31.0,29.0
2020-01-25,75.0,75.0,45.0,100.0,17.0,0.0,0.0,0.0,51.0,96.0
2020-01-26,65.0,99.0,93.0,0.0,0.0,53.0,48.0,0.0,0.0,31.0
2020-01-27,62.0,68.0,0.0,84.0,0.0,0.0,0.0,0.0,29.0,54.0
2020-01-28,61.0,75.0,0.0,86.0,15.0,0.0,43.0,0.0,0.0,55.0
2020-01-29,91.0,51.0,26.0,87.0,15.0,0.0,0.0,0.0,45.0,28.0
2020-01-30,53.0,61.0,44.0,89.0,16.0,0.0,0.0,0.0,31.0,58.0
2020-01-31,78.0,44.0,18.0,0.0,16.0,0.0,0.0,0.0,62.0,58.0
2020-02-01,73.0,58.0,26.0,0.0,0.0,0.0,100.0,0.0,34.0,32.0
2020-02-02,66.0,58.0,25.0,0.0,0.0,0.0,48.0,100.0,33.0,31.0
2020-02-03,72.0,69.0,16.0,0.0,0.0,0.0,60.0,0.0,27.0,26.0
2020-02-04,81.0,44.0,51.0,0.0,0.0,0.0,44.0,0.0,0.0,84.0
2020-02-05,62.0,72.0,26.0,89.0,0.0,0.0,44.0,0.0,0.0,28.0
2020-02-06,76.0,68.0,34.0,0.0,15.0,48.0,44.0,0.0,45.0,85.0
2020-02-07,61.0,41.0,33.0,0.0,74.0,47.0,0.0,0.0,0.0,0.0
2020-02-08,59.0,57.0,40.0,0.0,0.0,0.0,0.0,0.0,35.0,100.0
2020-02-09,65.0,71.0,45.0,0.0,17.0,0.0,49.0,0.0,100.0,31.0
2020-02-10,53.0,55.0,17.0,0.0,30.0,48.0,0.0,0.0,30.0,28.0
2020-02-11,45.0,75.0,25.0,0.0,0.0,0.0,43.0,0.0,0.0,28.0
2020-02-12,76.0,36.0,40.0,0.0,15.0,0.0,44.0,0.0,75.0,0.0
2020-02-13,58.0,47.0,34.0,0.0,0.0,0.0,44.0,0.0,40.0,28.0
2020-02-14,55.0,58.0,29.0,0.0,16.0,0.0,0.0,0.0,30.0,28.0
2020-02-15,63.0,100.0,26.0,0.0,17.0,0.0,0.0,0.0,34.0,32.0
2020-02-16,79.0,72.0,19.0,0.0,17.0,0.0,0.0,0.0,33.0,31.0
2020-02-17,72.0,58.0,28.0,0.0,15.0,46.0,0.0,0.0,29.0,41.0
2020-02-18,76.0,68.0,22.0,0.0,0.0,0.0,42.0,0.0,38.0,27.0
