,funeral,death,coffin,dead,cremation,after death,heaven ,murder,hell,soul
2020-01-01,31.0,48.0,29.0,20.0,0.0,48.0,71.0,25.0,90.0,60.0
2020-01-02,57.0,27.0,24.0,29.0,0.0,0.0,42.0,18.0,51.0,49.0
2020-01-03,66.0,40.0,47.0,34.0,0.0,39.0,22.0,15.0,49.0,55.0
2020-01-04,39.0,37.0,25.0,36.0,43.0,41.0,52.0,12.0,57.0,55.0
2020-01-05,55.0,34.0,25.0,35.0,85.0,41.0,47.0,21.0,48.0,36.0
2020-01-06,60.0,28.0,45.0,28.0,78.0,37.0,47.0,6.0,59.0,27.0
2020-01-07,75.0,28.0,23.0,23.0,39.0,38.0,56.0,17.0,48.0,35.0
2020-01-08,67.0,28.0,22.0,25.0,38.0,0.0,60.0,16.0,35.0,27.0
2020-01-09,57.0,23.0,23.0,25.0,0.0,75.0,65.0,7.0,40.0,54.0
2020-01-10,36.0,32.0,23.0,33.0,79.0,38.0,70.0,19.0,36.0,44.0
2020-01-11,51.0,37.0,25.0,34.0,42.0,0.0,47.0,13.0,60.0,63.0
2020-01-12,58.0,31.0,0.0,39.0,0.0,77.0,67.0,27.0,33.0,49.0
2020-01-13,88.0,29.0,41.0,25.0,35.0,35.0,51.0,15.0,36.0,38.0
2020-01-14,32.0,24.0,20.0,22.0,35.0,0.0,43.0,13.0,57.0,49.0
2020-01-15,66.0,35.0,33.0,27.0,38.0,37.0,51.0,16.0,39.0,43.0
2020-01-16,54.0,28.0,23.0,23.0,39.0,38.0,35.0,17.0,48.0,37.0
2020-01-17,47.0,32.0,0.0,17.0,39.0,38.0,57.0,14.0,73.0,42.0
2020-01-18,24.0,45.0,25.0,28.0,43.0,0.0,87.0,20.0,27.0,65.0
2020-01-19,51.0,30.0,25.0,26.0,42.0,0.0,57.0,23.0,43.0,50.0
2020-01-20,50.0,28.0,45.0,27.0,38.0,0.0,30.0,21.0,35.0,27.0
2020-01-21,42.0,26.0,45.0,23.0,0.0,0.0,34.0,13.0,62.0,51.0
2020-01-22,53.0,22.0,23.0,30.0,0.0,37.0,47.0,9.0,51.0,51.0
2020-01-23,100.0,27.0,0.0,28.0,39.0,0.0,65.0,20.0,32.0,48.0
2020-01-24,65.0,38.0,0.0,23.0,39.0,0.0,39.0,17.0,56.0,46.0
2020-01-25,75.0,35.0,25.0,34.0,0.0,42.0,58.0,18.0,20.0,53.0
2020-01-26,53.0,100.0,24.0,90.0,41.0,0.0,65.0,14.0,51.0,49.0
2020-01-27,54.0,70.0,0.0,40.0,37.0,71.0,62.0,17.0,42.0,47.0
2020-01-28,62.0,44.0,22.0,34.0,37.0,0.0,50.0,18.0,34.0,34.0
2020-01-29,73.0,42.0,22.0,29.0,0.0,37.0,63.0,14.0,58.0,52.0
2020-01-30,54.0,42.0,23.0,24.0,79.0,38.0,30.0,11.0,40.0,29.0
2020-01-31,76.0,34.0,46.0,29.0,40.0,0.0,31.0,11.0,32.0,53.0
2020-02-01,68.0,38.0,25.0,28.0,0.0,42.0,58.0,13.0,44.0,74.0
2020-02-02,85.0,44.0,49.0,27.0,84.0,41.0,56.0,15.0,64.0,63.0
2020-02-03,60.0,37.0,30.0,23.0,0.0,33.0,46.0,21.0,42.0,46.0
2020-02-04,69.0,33.0,22.0,26.0,38.0,0.0,42.0,13.0,62.0,30.0
2020-02-05,53.0,43.0,37.0,29.0,38.0,0.0,60.0,14.0,66.0,39.0
2020-02-06,77.0,41.0,22.0,28.0,38.0,0.0,38.0,16.0,51.0,45.0
2020-02-07,74.0,39.0,21.0,25.0,49.0,36.0,37.0,11.0,37.0,49.0
2020-02-08,74.0,38.0,26.0,30.0,90.0,44.0,50.0,14.0,32.0,41.0
2020-02-09,70.0,45.0,0.0,36.0,42.0,0.0,76.0,13.0,70.0,100.0
2020-02-10,66.0,37.0,22.0,25.0,38.0,0.0,38.0,10.0,31.0,44.0
2020-02-11,21.0,37.0,22.0,25.0,38.0,37.0,42.0,16.0,38.0,34.0
2020-02-12,67.0,28.0,22.0,24.0,38.0,0.0,21.0,14.0,35.0,33.0
2020-02-13,42.0,33.0,0.0,21.0,0.0,0.0,51.0,9.0,23.0,39.0
2020-02-14,46.0,24.0,45.0,24.0,77.0,0.0,58.0,9.0,51.0,33.0
2020-02-15,35.0,43.0,25.0,33.0,86.0,0.0,52.0,20.0,57.0,41.0
2020-02-16,61.0,38.0,0.0,42.0,42.0,0.0,60.0,23.0,43.0,60.0
2020-02-17,61.0,32.0,22.0,32.0,37.0,72.0,54.0,10.0,64.0,55.0
2020-02-18,33.0,37.0,63.0,27.0,36.0,0.0,48.0,10.0,33.0,33.0
2020-02-19,44.0,37.0,21.0,31.0,0.0,35.0,65.0,17.0,48.0,43.0
2020-02-20,44.0,31.0,21.0,25.0,49.0,36.0,66.0,16.0,30.0,57.0
2020-02-21,76.0,32.0,22.0,27.0,0.0,73.0,50.0,11.0,69.0,56.0
2020-02-22,58.0,39.0,25.0,35.0,0.0,41.0,80.0,15.0,43.0,65.0
2020-02-23,57.0,40.0,24.0,37.0,82.0,80.0,55.0,12.0,88.0,59.0
2020-02-24,81.0,41.0,21.0,35.0,37.0,36.0,28.0,14.0,41.0,56.0
2020-02-25,87.0,30.0,42.0,26.0,0.0,0.0,53.0,17.0,37.0,39.0
2020-02-26,52.0,32.0,20.0,31.0,0.0,0.0,35.0,9.0,32.0,37.0
2020-02-27,43.0,34.0,20.0,26.0,34.0,0.0,34.0,18.0,55.0,29.0
2020-02-28,66.0,39.0,22.0,24.0,0.0,36.0,59.0,22.0,50.0,34.0
2020-02-29,54.0,53.0,0.0,30.0,63.0,0.0,37.0,28.0,43.0,54.0
2020-03-01,50.0,40.0,24.0,35.0,42.0,41.0,56.0,15.0,89.0,53.0
2020-03-02,64.0,40.0,43.0,30.0,37.0,36.0,86.0,18.0,41.0,45.0
2020-03-03,54.0,39.0,22.0,25.0,74.0,0.0,74.0,11.0,38.0,43.0
