,Uber Eats,Foodora,Fedex,Amazon Prime,Cookit,Lufa,Iga delivery,Walmart delivery	,Provigo delivery,Metro delivery
2020-01-01,57.0,47.0,15.0,44.0,0.0,14.0,12.0,36.0,0.0,0.0
2020-01-02,47.0,13.0,51.0,45.0,0.0,24.0,0.0,31.0,0.0,0.0
2020-01-03,31.0,30.0,34.0,54.0,28.0,23.0,0.0,0.0,0.0,0.0
2020-01-04,35.0,34.0,13.0,52.0,29.0,37.0,0.0,0.0,0.0,17.0
2020-01-05,39.0,27.0,31.0,60.0,29.0,28.0,0.0,0.0,0.0,17.0
2020-01-06,29.0,12.0,73.0,41.0,26.0,31.0,0.0,28.0,0.0,0.0
2020-01-07,37.0,12.0,54.0,52.0,27.0,11.0,0.0,0.0,0.0,0.0
2020-01-08,19.0,18.0,74.0,30.0,35.0,28.0,0.0,0.0,0.0,0.0
2020-01-09,26.0,12.0,64.0,44.0,0.0,23.0,0.0,0.0,20.0,0.0
2020-01-10,32.0,29.0,74.0,35.0,27.0,17.0,9.0,0.0,0.0,15.0
2020-01-11,34.0,31.0,10.0,50.0,0.0,31.0,10.0,0.0,0.0,16.0
2020-01-12,40.0,51.0,24.0,57.0,27.0,23.0,0.0,0.0,21.0,0.0
2020-01-13,31.0,23.0,65.0,42.0,25.0,18.0,0.0,0.0,0.0,0.0
2020-01-14,35.0,22.0,62.0,32.0,48.0,33.0,0.0,0.0,18.0,0.0
2020-01-15,21.0,18.0,85.0,44.0,39.0,25.0,0.0,0.0,0.0,0.0
2020-01-16,34.0,25.0,55.0,45.0,27.0,20.0,9.0,29.0,0.0,0.0
2020-01-17,40.0,57.0,87.0,40.0,54.0,20.0,0.0,0.0,0.0,0.0
2020-01-18,48.0,28.0,29.0,51.0,0.0,25.0,0.0,0.0,0.0,0.0
2020-01-19,54.0,14.0,18.0,58.0,59.0,31.0,0.0,31.0,0.0,0.0
2020-01-20,23.0,20.0,73.0,42.0,27.0,31.0,0.0,28.0,20.0,15.0
2020-01-21,37.0,18.0,67.0,46.0,53.0,25.0,0.0,0.0,0.0,0.0
2020-01-22,10.0,18.0,44.0,35.0,26.0,14.0,0.0,0.0,0.0,0.0
2020-01-23,22.0,21.0,81.0,27.0,54.0,28.0,0.0,0.0,0.0,0.0
2020-01-24,44.0,25.0,70.0,58.0,0.0,34.0,0.0,0.0,0.0,0.0
2020-01-25,42.0,49.0,21.0,49.0,30.0,19.0,0.0,0.0,0.0,0.0
2020-01-26,34.0,26.0,13.0,53.0,29.0,51.0,10.0,0.0,0.0,0.0
2020-01-27,26.0,18.0,63.0,38.0,25.0,35.0,0.0,0.0,0.0,0.0
2020-01-28,32.0,20.0,48.0,46.0,26.0,27.0,9.0,28.0,0.0,15.0
2020-01-29,23.0,49.0,86.0,36.0,26.0,25.0,0.0,0.0,0.0,0.0
2020-01-30,32.0,17.0,86.0,30.0,27.0,20.0,9.0,0.0,0.0,0.0
2020-01-31,24.0,21.0,34.0,37.0,27.0,20.0,0.0,0.0,0.0,0.0
2020-02-01,33.0,47.0,21.0,38.0,30.0,10.0,10.0,33.0,0.0,0.0
2020-02-02,28.0,27.0,28.0,53.0,29.0,31.0,0.0,0.0,0.0,0.0
2020-02-03,16.0,26.0,67.0,52.0,24.0,22.0,0.0,0.0,18.0,0.0
2020-02-04,25.0,12.0,92.0,30.0,26.0,25.0,0.0,28.0,0.0,0.0
2020-02-05,29.0,24.0,56.0,30.0,27.0,28.0,0.0,0.0,0.0,0.0
2020-02-06,27.0,16.0,58.0,41.0,26.0,11.0,0.0,0.0,0.0,15.0
2020-02-07,43.0,20.0,58.0,38.0,25.0,21.0,9.0,0.0,0.0,0.0
2020-02-08,50.0,19.0,27.0,50.0,31.0,20.0,11.0,33.0,0.0,26.0
2020-02-09,54.0,37.0,13.0,50.0,0.0,28.0,0.0,31.0,0.0,16.0
2020-02-10,29.0,30.0,58.0,29.0,0.0,49.0,0.0,28.0,0.0,15.0
2020-02-11,30.0,30.0,73.0,48.0,64.0,38.0,0.0,0.0,0.0,0.0
2020-02-12,31.0,20.0,72.0,34.0,26.0,28.0,9.0,0.0,0.0,0.0
2020-02-13,35.0,20.0,75.0,30.0,27.0,25.0,9.0,28.0,0.0,0.0
2020-02-14,55.0,29.0,52.0,25.0,27.0,36.0,0.0,0.0,0.0,0.0
2020-02-15,37.0,37.0,16.0,42.0,30.0,28.0,0.0,0.0,22.0,0.0
2020-02-16,45.0,34.0,10.0,34.0,29.0,30.0,10.0,0.0,0.0,0.0
2020-02-17,28.0,20.0,54.0,36.0,51.0,27.0,0.0,41.0,19.0,0.0
2020-02-18,31.0,46.0,64.0,34.0,0.0,29.0,9.0,26.0,0.0,14.0
2020-02-19,22.0,15.0,73.0,35.0,42.0,16.0,0.0,27.0,0.0,0.0
2020-02-20,37.0,24.0,56.0,35.0,26.0,19.0,0.0,0.0,0.0,0.0
2020-02-21,40.0,24.0,95.0,43.0,26.0,28.0,9.0,0.0,0.0,0.0
2020-02-22,27.0,27.0,15.0,48.0,29.0,21.0,0.0,0.0,0.0,16.0
2020-02-23,31.0,26.0,8.0,57.0,29.0,48.0,20.0,0.0,0.0,16.0
2020-02-24,20.0,16.0,73.0,34.0,25.0,24.0,9.0,0.0,0.0,0.0
2020-02-25,22.0,15.0,73.0,48.0,25.0,26.0,9.0,27.0,19.0,0.0
2020-02-26,29.0,23.0,62.0,37.0,49.0,26.0,17.0,0.0,18.0,0.0
2020-02-27,38.0,32.0,51.0,35.0,23.0,17.0,8.0,25.0,0.0,0.0
2020-02-28,40.0,32.0,53.0,36.0,26.0,35.0,0.0,0.0,0.0,14.0
2020-02-29,28.0,27.0,21.0,49.0,0.0,6.0,0.0,32.0,0.0,16.0
2020-03-01,34.0,27.0,13.0,48.0,0.0,43.0,0.0,31.0,0.0,16.0
2020-03-02,22.0,23.0,51.0,35.0,51.0,43.0,0.0,0.0,19.0,0.0
2020-03-03,36.0,24.0,75.0,38.0,25.0,40.0,9.0,0.0,0.0,14.0
2020-03-04,26.0,23.0,67.0,36.0,38.0,13.0,9.0,0.0,0.0,0.0
2020-03-05,38.0,24.0,64.0,51.0,26.0,11.0,9.0,28.0,0.0,15.0
2020-03-06,35.0,16.0,56.0,32.0,26.0,30.0,0.0,0.0,0.0,15.0
2020-03-07,34.0,41.0,8.0,35.0,29.0,12.0,10.0,31.0,0.0,0.0
2020-03-08,35.0,17.0,15.0,43.0,42.0,41.0,10.0,0.0,0.0,0.0
2020-03-09,25.0,15.0,52.0,36.0,24.0,23.0,0.0,26.0,0.0,0.0
2020-03-10,23.0,22.0,63.0,42.0,24.0,25.0,0.0,0.0,0.0,0.0
2020-03-11,18.0,12.0,57.0,26.0,0.0,21.0,0.0,0.0,19.0,0.0
2020-03-12,26.0,33.0,70.0,28.0,0.0,25.0,0.0,0.0,0.0,13.0
2020-03-13,26.0,29.0,44.0,43.0,24.0,30.0,12.0,26.0,0.0,26.0
2020-03-14,46.0,20.0,27.0,59.0,0.0,30.0,10.0,0.0,28.0,24.0
2020-03-15,20.0,32.0,29.0,72.0,0.0,35.0,19.0,0.0,21.0,21.0
2020-03-16,68.0,15.0,86.0,50.0,24.0,63.0,8.0,25.0,0.0,40.0
2020-03-17,78.0,19.0,61.0,46.0,24.0,76.0,25.0,26.0,54.0,31.0
2020-03-18,62.0,11.0,49.0,42.0,32.0,51.0,79.0,26.0,42.0,75.0
2020-03-19,64.0,15.0,58.0,60.0,37.0,38.0,67.0,51.0,48.0,23.0
2020-03-20,53.0,18.0,50.0,54.0,47.0,69.0,56.0,75.0,58.0,35.0
2020-03-21,67.0,33.0,19.0,66.0,27.0,59.0,69.0,42.0,66.0,70.0
2020-03-22,56.0,33.0,18.0,65.0,0.0,67.0,55.0,66.0,72.0,34.0
2020-03-23,45.0,25.0,65.0,49.0,21.0,69.0,55.0,45.0,53.0,63.0
2020-03-24,51.0,32.0,58.0,57.0,47.0,64.0,100.0,100.0,58.0,100.0
2020-03-25,52.0,23.0,56.0,56.0,49.0,100.0,63.0,95.0,55.0,46.0
2020-03-26,67.0,33.0,53.0,69.0,48.0,33.0,74.0,38.0,45.0,54.0
2020-03-27,56.0,43.0,74.0,62.0,39.0,42.0,36.0,50.0,52.0,43.0
2020-03-28,80.0,33.0,12.0,74.0,26.0,98.0,46.0,100.0,100.0,35.0
2020-03-29,61.0,17.0,11.0,76.0,25.0,53.0,56.0,54.0,57.0,66.0
2020-03-30,43.0,36.0,87.0,63.0,33.0,61.0,58.0,40.0,39.0,50.0
2020-03-31,39.0,27.0,73.0,74.0,58.0,44.0,40.0,50.0,17.0,39.0
2020-04-01,56.0,17.0,58.0,64.0,45.0,40.0,50.0,40.0,56.0,29.0
2020-04-02,70.0,38.0,64.0,73.0,45.0,24.0,47.0,24.0,39.0,51.0
2020-04-03,78.0,32.0,51.0,71.0,31.0,56.0,55.0,57.0,52.0,39.0
2020-04-04,100.0,62.0,26.0,82.0,27.0,67.0,41.0,67.0,73.0,40.0
2020-04-05,74.0,23.0,28.0,87.0,49.0,62.0,51.0,26.0,43.0,23.0
2020-04-06,54.0,30.0,60.0,50.0,43.0,76.0,41.0,54.0,16.0,37.0
2020-04-07,50.0,21.0,66.0,64.0,45.0,48.0,35.0,56.0,25.0,25.0
2020-04-08,65.0,41.0,80.0,67.0,66.0,51.0,23.0,39.0,17.0,29.0
2020-04-09,57.0,33.0,70.0,67.0,64.0,41.0,29.0,34.0,16.0,18.0
2020-04-10,63.0,21.0,45.0,100.0,23.0,61.0,28.0,50.0,41.0,35.0
2020-04-11,90.0,40.0,31.0,79.0,74.0,50.0,34.0,27.0,37.0,14.0
2020-04-12,75.0,36.0,23.0,99.0,61.0,61.0,27.0,28.0,20.0,29.0
2020-04-13,65.0,28.0,62.0,85.0,60.0,67.0,39.0,24.0,17.0,34.0
2020-04-14,47.0,24.0,89.0,69.0,44.0,67.0,22.0,55.0,33.0,16.0
2020-04-15,57.0,24.0,59.0,67.0,96.0,33.0,27.0,55.0,22.0,12.0
