,mediterranean diet,diet,atkins diet,dash diet,keto diet,weight loss,low carb diet,raw vegan,carnivore diet,plant based diet
2020-01-01,45.0,59.0,0.0,0.0,32.0,23.0,0.0,0.0,0.0,0.0
2020-01-02,39.0,72.0,0.0,100.0,80.0,24.0,53.0,64.0,48.0,64.0
2020-01-03,56.0,99.0,0.0,0.0,47.0,46.0,0.0,0.0,0.0,31.0
2020-01-04,0.0,77.0,0.0,50.0,63.0,64.0,0.0,65.0,48.0,33.0
2020-01-05,40.0,67.0,95.0,50.0,100.0,56.0,0.0,0.0,0.0,65.0
2020-01-06,36.0,59.0,0.0,45.0,68.0,33.0,49.0,60.0,0.0,0.0
2020-01-07,0.0,85.0,0.0,46.0,40.0,33.0,0.0,60.0,0.0,0.0
2020-01-08,0.0,74.0,85.0,0.0,75.0,61.0,49.0,0.0,43.0,29.0
2020-01-09,36.0,61.0,0.0,0.0,57.0,44.0,98.0,0.0,44.0,30.0
2020-01-10,55.0,53.0,88.0,46.0,64.0,30.0,0.0,0.0,0.0,30.0
2020-01-11,39.0,65.0,93.0,0.0,50.0,56.0,0.0,0.0,48.0,0.0
2020-01-12,37.0,100.0,89.0,0.0,65.0,57.0,51.0,0.0,45.0,0.0
2020-01-13,100.0,50.0,0.0,0.0,26.0,24.0,46.0,0.0,41.0,0.0
2020-01-14,0.0,58.0,0.0,41.0,41.0,33.0,0.0,0.0,40.0,27.0
2020-01-15,0.0,60.0,0.0,0.0,50.0,32.0,0.0,0.0,0.0,29.0
2020-01-16,0.0,51.0,0.0,0.0,40.0,26.0,100.0,0.0,0.0,0.0
2020-01-17,0.0,51.0,0.0,0.0,35.0,26.0,0.0,0.0,0.0,61.0
2020-01-18,40.0,66.0,0.0,0.0,32.0,16.0,55.0,0.0,0.0,0.0
2020-01-19,40.0,66.0,0.0,0.0,69.0,20.0,55.0,66.0,0.0,33.0
2020-01-20,0.0,71.0,0.0,0.0,28.0,22.0,49.0,0.0,0.0,30.0
2020-01-21,35.0,56.0,0.0,45.0,45.0,47.0,0.0,0.0,44.0,29.0
2020-01-22,0.0,43.0,0.0,0.0,42.0,11.0,49.0,0.0,44.0,0.0
2020-01-23,36.0,56.0,87.0,0.0,52.0,37.0,0.0,0.0,0.0,0.0
2020-01-24,37.0,60.0,0.0,0.0,35.0,7.0,0.0,61.0,68.0,30.0
2020-01-25,0.0,69.0,0.0,0.0,38.0,33.0,55.0,0.0,0.0,33.0
2020-01-26,0.0,65.0,0.0,0.0,36.0,16.0,0.0,0.0,0.0,32.0
2020-01-27,0.0,60.0,0.0,0.0,92.0,24.0,0.0,0.0,0.0,0.0
2020-01-28,35.0,63.0,0.0,0.0,39.0,36.0,0.0,0.0,0.0,0.0
2020-01-29,36.0,53.0,0.0,0.0,34.0,29.0,0.0,0.0,0.0,29.0
2020-01-30,36.0,58.0,0.0,0.0,40.0,19.0,0.0,0.0,0.0,30.0
2020-01-31,36.0,48.0,0.0,0.0,35.0,26.0,50.0,0.0,0.0,0.0
