,LSD,tobacco,magic mushrooms,crack,heroin,opioids,cocaine,meth,MDMA,steroids
2020-01-01,29.0,42.0,61.0,42.0,34.0,0.0,67.0,58.0,54.0,33.0
2020-01-02,25.0,54.0,0.0,48.0,0.0,0.0,25.0,66.0,31.0,56.0
2020-01-03,32.0,26.0,49.0,72.0,28.0,0.0,36.0,32.0,59.0,27.0
2020-01-04,38.0,27.0,0.0,53.0,0.0,0.0,26.0,0.0,32.0,29.0
2020-01-05,25.0,41.0,0.0,65.0,0.0,0.0,13.0,0.0,63.0,29.0
2020-01-06,31.0,33.0,48.0,41.0,27.0,0.0,12.0,31.0,57.0,26.0
2020-01-07,46.0,50.0,0.0,41.0,54.0,0.0,12.0,31.0,29.0,26.0
2020-01-08,23.0,24.0,0.0,55.0,27.0,84.0,23.0,30.0,28.0,0.0
2020-01-09,46.0,25.0,0.0,44.0,27.0,0.0,36.0,46.0,0.0,53.0
2020-01-10,23.0,25.0,0.0,41.0,28.0,87.0,36.0,63.0,0.0,26.0
2020-01-11,25.0,27.0,52.0,56.0,30.0,0.0,26.0,0.0,63.0,29.0
2020-01-12,24.0,43.0,49.0,34.0,0.0,87.0,24.0,63.0,44.0,27.0
2020-01-13,32.0,69.0,44.0,51.0,50.0,0.0,11.0,28.0,0.0,48.0
2020-01-14,0.0,37.0,0.0,27.0,25.0,0.0,32.0,56.0,26.0,24.0
2020-01-15,38.0,33.0,0.0,80.0,27.0,84.0,35.0,0.0,28.0,51.0
2020-01-16,35.0,37.0,0.0,67.0,27.0,87.0,24.0,31.0,29.0,40.0
2020-01-17,31.0,51.0,0.0,68.0,28.0,0.0,12.0,63.0,29.0,53.0
2020-01-18,26.0,28.0,53.0,46.0,0.0,0.0,47.0,69.0,97.0,29.0
2020-01-19,25.0,41.0,0.0,89.0,0.0,0.0,45.0,34.0,63.0,43.0
2020-01-20,46.0,37.0,47.0,51.0,27.0,0.0,24.0,30.0,29.0,26.0
2020-01-21,34.0,37.0,0.0,40.0,27.0,0.0,29.0,30.0,0.0,0.0
2020-01-22,23.0,33.0,0.0,37.0,54.0,85.0,12.0,30.0,57.0,0.0
2020-01-23,23.0,50.0,0.0,44.0,28.0,0.0,12.0,31.0,43.0,26.0
2020-01-24,0.0,25.0,48.0,56.0,28.0,87.0,24.0,52.0,58.0,0.0
2020-01-25,39.0,28.0,0.0,37.0,46.0,0.0,60.0,52.0,0.0,29.0
2020-01-26,37.0,44.0,0.0,47.0,29.0,91.0,13.0,0.0,31.0,0.0
2020-01-27,44.0,47.0,0.0,53.0,0.0,0.0,11.0,29.0,27.0,37.0
2020-01-28,67.0,32.0,46.0,32.0,26.0,83.0,17.0,74.0,55.0,51.0
2020-01-29,45.0,37.0,0.0,40.0,27.0,0.0,17.0,30.0,56.0,39.0
2020-01-30,69.0,25.0,48.0,52.0,0.0,0.0,36.0,31.0,29.0,27.0
2020-01-31,47.0,51.0,97.0,53.0,0.0,0.0,48.0,94.0,44.0,0.0
2020-02-01,52.0,28.0,54.0,50.0,30.0,0.0,100.0,35.0,81.0,29.0
2020-02-02,38.0,41.0,52.0,24.0,0.0,0.0,19.0,33.0,31.0,0.0
2020-02-03,21.0,55.0,0.0,49.0,24.0,76.0,63.0,55.0,26.0,0.0
2020-02-04,23.0,24.0,0.0,54.0,27.0,84.0,35.0,45.0,28.0,51.0
2020-02-05,23.0,33.0,0.0,44.0,27.0,0.0,29.0,30.0,28.0,26.0
2020-02-06,0.0,61.0,0.0,47.0,27.0,0.0,29.0,60.0,42.0,26.0
2020-02-07,76.0,23.0,0.0,26.0,39.0,0.0,22.0,0.0,54.0,100.0
2020-02-08,27.0,77.0,0.0,56.0,0.0,100.0,34.0,36.0,100.0,0.0
2020-02-09,38.0,41.0,53.0,73.0,30.0,0.0,20.0,34.0,0.0,29.0
2020-02-10,34.0,40.0,0.0,61.0,0.0,83.0,35.0,45.0,28.0,26.0
2020-02-11,22.0,49.0,0.0,40.0,53.0,0.0,17.0,30.0,56.0,0.0
2020-02-12,34.0,49.0,0.0,55.0,27.0,0.0,35.0,30.0,0.0,39.0
2020-02-13,23.0,49.0,0.0,55.0,27.0,84.0,47.0,61.0,28.0,26.0
2020-02-14,23.0,33.0,0.0,48.0,0.0,0.0,47.0,76.0,29.0,26.0
2020-02-15,77.0,46.0,0.0,33.0,30.0,0.0,39.0,34.0,32.0,58.0
2020-02-16,33.0,54.0,0.0,40.0,0.0,0.0,64.0,33.0,31.0,0.0
2020-02-17,44.0,35.0,0.0,64.0,0.0,83.0,51.0,44.0,28.0,50.0
2020-02-18,32.0,54.0,0.0,41.0,26.0,0.0,22.0,0.0,27.0,37.0
2020-02-19,43.0,47.0,0.0,56.0,26.0,80.0,34.0,87.0,27.0,25.0
2020-02-20,22.0,48.0,0.0,39.0,26.0,82.0,11.0,59.0,54.0,0.0
2020-02-21,45.0,36.0,46.0,32.0,26.0,83.0,58.0,30.0,0.0,51.0
2020-02-22,25.0,72.0,0.0,60.0,29.0,0.0,77.0,33.0,47.0,0.0
2020-02-23,25.0,26.0,0.0,43.0,29.0,0.0,32.0,33.0,31.0,28.0
2020-02-24,65.0,39.0,0.0,52.0,26.0,0.0,17.0,48.0,27.0,0.0
2020-02-25,58.0,47.0,0.0,52.0,26.0,0.0,33.0,29.0,0.0,25.0
2020-02-26,42.0,68.0,0.0,40.0,37.0,0.0,27.0,28.0,26.0,36.0
2020-02-27,27.0,29.0,41.0,61.0,0.0,0.0,26.0,40.0,25.0,22.0
2020-02-28,52.0,32.0,0.0,39.0,0.0,0.0,17.0,59.0,28.0,26.0
2020-02-29,38.0,27.0,52.0,36.0,0.0,93.0,51.0,100.0,62.0,0.0
2020-03-01,25.0,80.0,0.0,52.0,29.0,0.0,51.0,77.0,62.0,28.0
2020-03-02,0.0,31.0,0.0,52.0,26.0,81.0,51.0,73.0,54.0,0.0
2020-03-03,22.0,32.0,0.0,39.0,0.0,0.0,28.0,29.0,27.0,25.0
2020-03-04,44.0,31.0,0.0,45.0,26.0,82.0,23.0,29.0,27.0,25.0
2020-03-05,30.0,33.0,0.0,54.0,27.0,0.0,64.0,75.0,28.0,26.0
2020-03-06,34.0,24.0,0.0,47.0,0.0,0.0,40.0,30.0,56.0,76.0
2020-03-07,33.0,27.0,0.0,68.0,30.0,0.0,58.0,50.0,47.0,0.0
2020-03-08,61.0,26.0,100.0,89.0,29.0,89.0,44.0,32.0,60.0,55.0
2020-03-09,32.0,68.0,0.0,47.0,0.0,0.0,16.0,0.0,53.0,24.0
2020-03-10,41.0,37.0,0.0,46.0,25.0,76.0,37.0,54.0,51.0,23.0
2020-03-11,36.0,35.0,0.0,48.0,25.0,80.0,33.0,29.0,27.0,0.0
2020-03-12,21.0,22.0,42.0,46.0,0.0,77.0,26.0,27.0,26.0,23.0
2020-03-13,20.0,33.0,0.0,29.0,24.0,76.0,10.0,27.0,25.0,0.0
2020-03-14,66.0,80.0,0.0,75.0,29.0,0.0,32.0,49.0,0.0,56.0
2020-03-15,48.0,52.0,0.0,57.0,0.0,0.0,37.0,0.0,29.0,28.0
2020-03-16,27.0,22.0,43.0,49.0,24.0,0.0,48.0,27.0,0.0,23.0
2020-03-17,21.0,37.0,0.0,46.0,49.0,0.0,53.0,27.0,39.0,0.0
2020-03-18,31.0,34.0,0.0,64.0,25.0,0.0,43.0,28.0,39.0,0.0
2020-03-19,21.0,34.0,0.0,67.0,25.0,0.0,16.0,37.0,39.0,24.0
2020-03-20,20.0,29.0,0.0,42.0,0.0,75.0,10.0,27.0,25.0,23.0
2020-03-21,23.0,37.0,0.0,63.0,0.0,0.0,24.0,31.0,29.0,26.0
2020-03-22,23.0,37.0,47.0,47.0,27.0,0.0,12.0,61.0,57.0,26.0
2020-03-23,18.0,26.0,37.0,55.0,21.0,0.0,28.0,25.0,34.0,21.0
2020-03-24,20.0,43.0,0.0,32.0,0.0,0.0,36.0,40.0,37.0,0.0
2020-03-25,42.0,30.0,43.0,47.0,0.0,78.0,38.0,0.0,26.0,24.0
2020-03-26,31.0,33.0,0.0,59.0,24.0,0.0,37.0,27.0,64.0,0.0
2020-03-27,50.0,32.0,41.0,51.0,24.0,0.0,26.0,0.0,25.0,45.0
2020-03-28,34.0,58.0,0.0,62.0,0.0,0.0,12.0,41.0,29.0,0.0
2020-03-29,44.0,23.0,45.0,73.0,26.0,0.0,22.0,58.0,54.0,0.0
2020-03-30,39.0,56.0,0.0,65.0,0.0,71.0,20.0,34.0,36.0,22.0
2020-03-31,100.0,36.0,41.0,61.0,0.0,0.0,31.0,40.0,25.0,23.0
2020-04-01,49.0,63.0,40.0,65.0,23.0,0.0,35.0,39.0,36.0,0.0
2020-04-02,19.0,69.0,0.0,43.0,23.0,71.0,20.0,34.0,0.0,22.0
2020-04-03,20.0,57.0,41.0,54.0,23.0,0.0,20.0,26.0,48.0,66.0
2020-04-04,23.0,37.0,48.0,100.0,27.0,0.0,36.0,31.0,86.0,0.0
2020-04-05,21.0,31.0,0.0,75.0,100.0,0.0,38.0,29.0,78.0,24.0
2020-04-06,0.0,54.0,0.0,72.0,44.0,0.0,29.0,25.0,70.0,21.0
2020-04-07,39.0,42.0,0.0,65.0,0.0,0.0,15.0,26.0,48.0,22.0
2020-04-08,38.0,41.0,40.0,52.0,23.0,0.0,30.0,77.0,24.0,22.0
2020-04-09,37.0,30.0,0.0,47.0,22.0,0.0,29.0,49.0,23.0,0.0
2020-04-10,20.0,43.0,41.0,74.0,24.0,74.0,31.0,27.0,37.0,0.0
2020-04-11,43.0,35.0,0.0,55.0,25.0,0.0,44.0,57.0,26.0,49.0
2020-04-12,23.0,36.0,47.0,65.0,27.0,0.0,41.0,30.0,28.0,26.0
2020-04-13,19.0,32.0,81.0,53.0,23.0,72.0,50.0,39.0,24.0,0.0
2020-04-14,19.0,41.0,39.0,61.0,22.0,0.0,15.0,42.0,0.0,22.0
2020-04-15,48.0,21.0,0.0,43.0,22.0,0.0,10.0,34.0,47.0,0.0
2020-04-16,19.0,41.0,0.0,77.0,34.0,0.0,40.0,26.0,24.0,0.0
2020-04-17,59.0,42.0,40.0,75.0,68.0,0.0,30.0,26.0,49.0,22.0
2020-04-18,34.0,64.0,0.0,75.0,0.0,82.0,29.0,50.0,28.0,38.0
2020-04-19,52.0,22.0,0.0,86.0,25.0,0.0,0.0,27.0,26.0,23.0
2020-04-20,19.0,41.0,40.0,46.0,34.0,0.0,20.0,50.0,24.0,0.0
2020-04-21,0.0,67.0,58.0,60.0,0.0,0.0,24.0,37.0,23.0,21.0
2020-04-22,19.0,55.0,39.0,58.0,22.0,0.0,20.0,34.0,24.0,0.0
2020-04-23,19.0,42.0,40.0,56.0,23.0,71.0,35.0,26.0,0.0,22.0
2020-04-24,40.0,44.0,84.0,52.0,36.0,0.0,10.0,0.0,38.0,23.0
2020-04-25,47.0,50.0,48.0,82.0,0.0,0.0,36.0,62.0,29.0,27.0
2020-04-26,22.0,35.0,45.0,81.0,26.0,0.0,45.0,29.0,27.0,0.0
2020-04-27,32.0,41.0,0.0,70.0,0.0,71.0,24.0,25.0,47.0,21.0
2020-04-28,20.0,32.0,41.0,51.0,23.0,0.0,36.0,40.0,25.0,0.0
2020-04-29,30.0,37.0,42.0,59.0,0.0,0.0,16.0,54.0,25.0,23.0
2020-04-30,64.0,39.0,38.0,67.0,0.0,0.0,14.0,48.0,34.0,21.0
2020-05-01,40.0,28.0,41.0,54.0,0.0,73.0,46.0,26.0,24.0,22.0
2020-05-02,47.0,38.0,48.0,56.0,28.0,0.0,24.0,0.0,59.0,27.0
2020-05-03,45.0,48.0,0.0,68.0,0.0,0.0,29.0,30.0,42.0,0.0
2020-05-04,74.0,50.0,0.0,45.0,22.0,0.0,14.0,25.0,47.0,43.0
2020-05-05,54.0,48.0,0.0,43.0,0.0,0.0,23.0,36.0,0.0,0.0
2020-05-06,20.0,21.0,41.0,48.0,35.0,0.0,31.0,40.0,25.0,23.0
2020-05-07,20.0,21.0,41.0,44.0,47.0,0.0,20.0,26.0,37.0,22.0
2020-05-08,0.0,21.0,0.0,50.0,23.0,0.0,41.0,35.0,25.0,22.0
2020-05-09,42.0,46.0,43.0,57.0,25.0,0.0,27.0,65.0,26.0,24.0
2020-05-10,29.0,31.0,0.0,48.0,25.0,0.0,27.0,72.0,53.0,48.0
2020-05-11,32.0,41.0,40.0,40.0,23.0,0.0,40.0,26.0,48.0,0.0
2020-05-12,26.0,41.0,39.0,43.0,23.0,0.0,25.0,26.0,24.0,22.0
2020-05-13,29.0,21.0,40.0,44.0,23.0,73.0,15.0,26.0,0.0,45.0
2020-05-14,40.0,36.0,41.0,64.0,0.0,74.0,26.0,27.0,25.0,0.0
2020-05-15,29.0,28.0,80.0,56.0,34.0,0.0,10.0,39.0,0.0,44.0
2020-05-16,54.0,100.0,48.0,22.0,27.0,86.0,12.0,31.0,29.0,27.0
2020-05-17,48.0,52.0,49.0,86.0,0.0,0.0,31.0,0.0,60.0,68.0
2020-05-18,33.0,55.0,45.0,56.0,0.0,0.0,17.0,39.0,54.0,25.0
2020-05-19,52.0,77.0,0.0,53.0,23.0,0.0,15.0,0.0,24.0,0.0
2020-05-20,46.0,86.0,0.0,38.0,0.0,0.0,41.0,44.0,25.0,23.0
2020-05-21,34.0,44.0,42.0,59.0,24.0,0.0,21.0,36.0,0.0,0.0
