,medical school,McGill,student loan,HEC Montreal,Law School,student jobs,CEGEP,UQAM,Concordia,UdeM
2020-01-01,0.0,19.0,0.0,13.0,43.0,42.0,6.0,25.0,19.0,16.0
2020-01-02,0.0,27.0,51.0,18.0,37.0,0.0,16.0,40.0,34.0,25.0
2020-01-03,0.0,40.0,33.0,21.0,0.0,0.0,17.0,43.0,29.0,36.0
2020-01-04,55.0,35.0,35.0,16.0,38.0,0.0,12.0,39.0,36.0,29.0
2020-01-05,27.0,38.0,35.0,16.0,0.0,37.0,17.0,47.0,40.0,29.0
2020-01-06,0.0,91.0,31.0,46.0,0.0,50.0,28.0,100.0,100.0,100.0
2020-01-07,50.0,100.0,63.0,40.0,34.0,67.0,28.0,96.0,88.0,94.0
2020-01-08,24.0,71.0,62.0,26.0,33.0,0.0,25.0,94.0,90.0,64.0
2020-01-09,50.0,78.0,32.0,20.0,34.0,67.0,24.0,78.0,61.0,77.0
2020-01-10,26.0,64.0,65.0,27.0,0.0,34.0,23.0,54.0,70.0,65.0
2020-01-11,0.0,39.0,34.0,22.0,37.0,37.0,20.0,35.0,27.0,32.0
2020-01-12,26.0,38.0,65.0,21.0,0.0,0.0,20.0,31.0,38.0,26.0
2020-01-13,23.0,75.0,0.0,31.0,32.0,31.0,33.0,70.0,70.0,65.0
2020-01-14,0.0,70.0,28.0,33.0,0.0,31.0,34.0,68.0,68.0,69.0
2020-01-15,37.0,78.0,31.0,34.0,33.0,33.0,34.0,52.0,71.0,60.0
2020-01-16,0.0,66.0,32.0,27.0,34.0,50.0,39.0,62.0,56.0,52.0
2020-01-17,25.0,60.0,0.0,48.0,35.0,0.0,20.0,45.0,63.0,41.0
2020-01-18,0.0,37.0,35.0,26.0,39.0,38.0,17.0,23.0,28.0,22.0
2020-01-19,0.0,34.0,70.0,37.0,57.0,37.0,24.0,31.0,32.0,23.0
2020-01-20,25.0,73.0,42.0,43.0,51.0,100.0,38.0,63.0,55.0,51.0
2020-01-21,24.0,63.0,62.0,43.0,67.0,33.0,34.0,47.0,52.0,59.0
