,solar energy,climate change,global warming,pollution,Greta,recycling	,waste,sustainability,us epa,covid pollution
2020-01-01,0.0,43.0,56.0,14.0,29.0,50.0,81.0,80.0,0.0,0.0
2020-01-02,0.0,32.0,48.0,12.0,32.0,25.0,23.0,34.0,0.0,0.0
2020-01-03,0.0,47.0,0.0,0.0,24.0,35.0,45.0,33.0,0.0,0.0
2020-01-04,0.0,50.0,0.0,12.0,29.0,0.0,36.0,35.0,0.0,0.0
2020-01-05,0.0,0.0,100.0,0.0,18.0,57.0,30.0,35.0,0.0,0.0
2020-01-06,47.0,33.0,0.0,23.0,21.0,34.0,48.0,32.0,0.0,0.0
2020-01-07,0.0,23.0,0.0,11.0,15.0,46.0,44.0,33.0,0.0,0.0
2020-01-08,0.0,44.0,0.0,44.0,15.0,50.0,32.0,31.0,0.0,0.0
2020-01-09,95.0,60.0,45.0,28.0,17.0,51.0,49.0,32.0,0.0,0.0
2020-01-10,0.0,58.0,0.0,46.0,8.0,0.0,33.0,33.0,100.0,0.0
2020-01-11,53.0,37.0,49.0,12.0,18.0,28.0,62.0,0.0,0.0,0.0
2020-01-12,0.0,47.0,92.0,12.0,19.0,44.0,28.0,65.0,0.0,0.0
2020-01-13,45.0,28.0,41.0,31.0,11.0,37.0,55.0,44.0,0.0,0.0
2020-01-14,87.0,41.0,80.0,51.0,11.0,36.0,44.0,43.0,0.0,0.0
2020-01-15,0.0,66.0,44.0,28.0,16.0,100.0,53.0,47.0,0.0,0.0
2020-01-16,0.0,38.0,45.0,17.0,5.0,17.0,65.0,32.0,0.0,0.0
2020-01-17,49.0,54.0,0.0,17.0,8.0,35.0,61.0,33.0,0.0,0.0
2020-01-18,0.0,0.0,0.0,19.0,8.0,29.0,73.0,36.0,0.0,0.0
2020-01-19,0.0,100.0,0.0,31.0,10.0,38.0,30.0,0.0,0.0,0.0
2020-01-20,48.0,37.0,44.0,39.0,10.0,59.0,53.0,31.0,0.0,0.0
2020-01-21,0.0,44.0,45.0,34.0,14.0,56.0,27.0,63.0,0.0,0.0
2020-01-22,0.0,67.0,45.0,23.0,13.0,28.0,59.0,0.0,0.0,0.0
2020-01-23,48.0,53.0,0.0,46.0,16.0,46.0,70.0,80.0,0.0,0.0
2020-01-24,49.0,61.0,46.0,46.0,14.0,26.0,66.0,65.0,0.0,0.0
2020-01-25,54.0,51.0,0.0,19.0,14.0,19.0,49.0,36.0,0.0,0.0
2020-01-26,0.0,24.0,0.0,12.0,10.0,64.0,23.0,0.0,0.0,0.0
2020-01-27,0.0,36.0,0.0,43.0,13.0,32.0,62.0,40.0,0.0,0.0
2020-01-28,0.0,36.0,43.0,11.0,12.0,22.0,26.0,46.0,0.0,0.0
2020-01-29,0.0,37.0,0.0,50.0,14.0,34.0,69.0,31.0,0.0,0.0
2020-01-30,49.0,23.0,0.0,34.0,8.0,40.0,55.0,32.0,0.0,0.0
2020-01-31,0.0,57.0,46.0,12.0,13.0,29.0,50.0,32.0,0.0,0.0
2020-02-01,0.0,26.0,0.0,13.0,10.0,29.0,55.0,72.0,0.0,0.0
2020-02-02,0.0,33.0,0.0,43.0,8.0,56.0,100.0,35.0,0.0,0.0
2020-02-03,0.0,20.0,0.0,15.0,7.0,84.0,48.0,0.0,0.0,0.0
2020-02-04,47.0,52.0,88.0,11.0,14.0,62.0,53.0,63.0,0.0,0.0
2020-02-05,0.0,30.0,0.0,22.0,11.0,28.0,43.0,31.0,0.0,0.0
2020-02-06,0.0,45.0,0.0,28.0,7.0,34.0,37.0,47.0,0.0,0.0
2020-02-07,0.0,43.0,43.0,16.0,7.0,32.0,62.0,0.0,0.0,0.0
