,McDonald's,KFC,Pizza hut,Burger king,Wendy's,A&W,St-Hubert,Subway,Domino's,Taco Bell
2020-01-01,100.0,83.0,100.0,87.0,63.0,100.0,57.0,100.0,100.0,0.0
2020-01-02,70.0,45.0,72.0,87.0,46.0,85.0,47.0,34.0,61.0,27.0
2020-01-03,50.0,68.0,33.0,71.0,22.0,91.0,39.0,40.0,44.0,53.0
2020-01-04,45.0,31.0,63.0,76.0,47.0,66.0,40.0,52.0,47.0,42.0
2020-01-05,45.0,46.0,54.0,70.0,24.0,54.0,40.0,46.0,49.0,28.0
2020-01-06,27.0,28.0,26.0,46.0,28.0,55.0,33.0,40.0,33.0,51.0
2020-01-07,43.0,28.0,42.0,46.0,21.0,52.0,30.0,42.0,34.0,26.0
2020-01-08,36.0,32.0,29.0,42.0,42.0,40.0,44.0,41.0,26.0,25.0
2020-01-09,46.0,37.0,44.0,35.0,43.0,53.0,45.0,57.0,42.0,26.0
2020-01-10,45.0,38.0,59.0,35.0,44.0,46.0,41.0,49.0,41.0,0.0
2020-01-11,45.0,31.0,69.0,31.0,39.0,37.0,42.0,30.0,67.0,56.0
2020-01-12,42.0,58.0,53.0,36.0,33.0,26.0,31.0,39.0,59.0,27.0
2020-01-13,15.0,30.0,33.0,58.0,39.0,33.0,37.0,37.0,33.0,35.0
2020-01-14,37.0,21.0,29.0,57.0,39.0,19.0,38.0,44.0,35.0,35.0
2020-01-15,33.0,46.0,42.0,51.0,42.0,40.0,36.0,37.0,33.0,49.0
2020-01-16,44.0,42.0,48.0,75.0,21.0,43.0,47.0,47.0,29.0,26.0
2020-01-17,28.0,36.0,55.0,53.0,36.0,63.0,43.0,37.0,55.0,26.0
2020-01-18,41.0,100.0,71.0,65.0,32.0,53.0,46.0,41.0,50.0,43.0
2020-01-19,42.0,36.0,44.0,51.0,39.0,28.0,28.0,45.0,63.0,0.0
2020-01-20,13.0,41.0,39.0,57.0,21.0,23.0,30.0,30.0,30.0,25.0
2020-01-21,33.0,32.0,33.0,63.0,21.0,46.0,38.0,23.0,33.0,51.0
2020-01-22,30.0,23.0,28.0,69.0,32.0,34.0,40.0,36.0,25.0,38.0
2020-01-23,32.0,28.0,28.0,81.0,43.0,45.0,47.0,35.0,52.0,26.0
2020-01-24,26.0,57.0,62.0,47.0,36.0,54.0,44.0,47.0,65.0,39.0
2020-01-25,32.0,42.0,64.0,52.0,48.0,62.0,55.0,44.0,72.0,57.0
2020-01-26,46.0,55.0,40.0,86.0,69.0,50.0,37.0,39.0,55.0,54.0
2020-01-27,35.0,22.0,38.0,44.0,51.0,35.0,35.0,29.0,34.0,97.0
2020-01-28,40.0,36.0,27.0,33.0,48.0,25.0,32.0,35.0,39.0,25.0
2020-01-29,38.0,28.0,35.0,34.0,63.0,36.0,42.0,20.0,30.0,25.0
2020-01-30,38.0,38.0,50.0,70.0,21.0,32.0,38.0,39.0,42.0,26.0
2020-01-31,30.0,43.0,53.0,47.0,44.0,46.0,52.0,46.0,44.0,26.0
2020-02-01,33.0,37.0,98.0,59.0,36.0,51.0,44.0,21.0,60.0,58.0
2020-02-02,43.0,87.0,80.0,82.0,23.0,47.0,46.0,38.0,62.0,0.0
2020-02-03,23.0,25.0,30.0,36.0,19.0,42.0,34.0,23.0,35.0,34.0
2020-02-04,27.0,18.0,31.0,51.0,28.0,30.0,38.0,31.0,40.0,100.0
2020-02-05,31.0,28.0,25.0,60.0,21.0,50.0,38.0,38.0,31.0,25.0
2020-02-06,25.0,23.0,29.0,91.0,42.0,34.0,53.0,44.0,31.0,25.0
2020-02-07,37.0,49.0,45.0,60.0,20.0,34.0,50.0,30.0,43.0,24.0
2020-02-08,42.0,54.0,80.0,60.0,49.0,76.0,55.0,42.0,72.0,29.0
2020-02-09,37.0,41.0,61.0,57.0,39.0,45.0,45.0,32.0,65.0,28.0
2020-02-10,30.0,32.0,27.0,45.0,21.0,35.0,31.0,22.0,26.0,25.0
2020-02-11,25.0,27.0,46.0,84.0,21.0,31.0,41.0,22.0,34.0,25.0
2020-02-12,26.0,62.0,35.0,91.0,42.0,30.0,43.0,47.0,34.0,25.0
2020-02-13,36.0,32.0,45.0,40.0,21.0,44.0,50.0,34.0,49.0,25.0
2020-02-14,32.0,33.0,61.0,58.0,32.0,68.0,78.0,57.0,58.0,25.0
2020-02-15,54.0,68.0,79.0,77.0,40.0,43.0,64.0,42.0,68.0,84.0
2020-02-16,56.0,56.0,36.0,62.0,23.0,39.0,39.0,33.0,57.0,56.0
2020-02-17,29.0,45.0,30.0,44.0,48.0,31.0,29.0,37.0,44.0,36.0
2020-02-18,23.0,46.0,43.0,60.0,20.0,28.0,42.0,37.0,29.0,24.0
2020-02-19,31.0,31.0,26.0,54.0,40.0,34.0,38.0,42.0,25.0,47.0
2020-02-20,29.0,40.0,40.0,99.0,31.0,47.0,39.0,36.0,44.0,25.0
2020-02-21,21.0,50.0,37.0,95.0,21.0,58.0,46.0,42.0,45.0,37.0
2020-02-22,35.0,20.0,62.0,82.0,69.0,37.0,50.0,31.0,57.0,28.0
2020-02-23,42.0,37.0,51.0,86.0,46.0,55.0,49.0,25.0,49.0,27.0
2020-02-24,19.0,44.0,20.0,41.0,30.0,26.0,36.0,42.0,33.0,48.0
2020-02-25,26.0,65.0,18.0,54.0,33.0,16.0,33.0,31.0,39.0,24.0
