,McDonalds,KFC,Pizza hut,Burger King,Wendy,A & W,St-Hubert,Métro,Domino,Taco Bell
2020-01-01,100.0,61.0,100.0,73.0,47.0,41.0,73.0,50.0,76.0,29.0
2020-01-02,53.0,63.0,94.0,35.0,33.0,53.0,46.0,41.0,24.0,50.0
2020-01-03,33.0,71.0,44.0,30.0,32.0,67.0,40.0,38.0,92.0,71.0
2020-01-04,44.0,47.0,47.0,50.0,41.0,48.0,49.0,32.0,25.0,25.0
2020-01-05,37.0,35.0,62.0,40.0,20.0,36.0,31.0,23.0,0.0,51.0
2020-01-06,24.0,24.0,14.0,45.0,18.0,32.0,31.0,33.0,52.0,23.0
2020-01-07,23.0,43.0,43.0,33.0,68.0,33.0,28.0,48.0,30.0,23.0
2020-01-08,35.0,47.0,34.0,32.0,36.0,32.0,44.0,41.0,37.0,0.0
2020-01-09,30.0,37.0,26.0,29.0,37.0,0.0,36.0,54.0,60.0,23.0
2020-01-10,30.0,59.0,43.0,29.0,25.0,33.0,43.0,42.0,53.0,47.0
2020-01-11,27.0,52.0,62.0,27.0,40.0,36.0,37.0,42.0,32.0,51.0
2020-01-12,23.0,60.0,41.0,38.0,51.0,34.0,37.0,39.0,61.0,24.0
2020-01-13,28.0,54.0,31.0,38.0,34.0,30.0,31.0,35.0,34.0,21.0
2020-01-14,25.0,19.0,28.0,28.0,33.0,0.0,38.0,33.0,34.0,21.0
2020-01-15,24.0,31.0,42.0,28.0,36.0,0.0,42.0,33.0,44.0,0.0
2020-01-16,30.0,37.0,29.0,53.0,74.0,33.0,30.0,51.0,75.0,24.0
2020-01-17,27.0,38.0,55.0,63.0,66.0,33.0,44.0,42.0,38.0,24.0
2020-01-18,44.0,65.0,73.0,51.0,21.0,0.0,41.0,36.0,50.0,78.0
2020-01-19,39.0,35.0,47.0,54.0,40.0,0.0,31.0,35.0,98.0,63.0
2020-01-20,26.0,42.0,20.0,37.0,0.0,33.0,41.0,40.0,22.0,23.0
2020-01-21,34.0,37.0,28.0,36.0,48.0,32.0,36.0,52.0,58.0,92.0
2020-01-22,26.0,48.0,51.0,49.0,28.0,33.0,42.0,54.0,30.0,0.0
2020-01-23,28.0,21.0,34.0,74.0,37.0,66.0,44.0,45.0,45.0,23.0
2020-01-24,29.0,70.0,55.0,58.0,56.0,100.0,40.0,42.0,45.0,24.0
2020-01-25,42.0,66.0,60.0,69.0,41.0,74.0,49.0,32.0,92.0,52.0
2020-01-26,28.0,85.0,64.0,83.0,53.0,35.0,34.0,36.0,40.0,25.0
2020-01-27,27.0,30.0,24.0,29.0,35.0,0.0,33.0,41.0,36.0,44.0
2020-01-28,33.0,46.0,27.0,28.0,27.0,32.0,33.0,55.0,21.0,0.0
2020-01-29,24.0,21.0,25.0,36.0,30.0,32.0,43.0,37.0,66.0,23.0
2020-01-30,40.0,64.0,54.0,31.0,19.0,0.0,39.0,24.0,68.0,35.0
2020-01-31,31.0,33.0,52.0,42.0,38.0,33.0,50.0,36.0,61.0,24.0
2020-02-01,47.0,60.0,57.0,55.0,31.0,37.0,35.0,36.0,50.0,26.0
2020-02-02,53.0,46.0,52.0,53.0,50.0,0.0,49.0,33.0,40.0,50.0
2020-02-03,25.0,19.0,38.0,40.0,16.0,0.0,25.0,27.0,27.0,0.0
2020-02-04,24.0,21.0,33.0,24.0,42.0,32.0,32.0,56.0,22.0,45.0
2020-02-05,34.0,24.0,36.0,24.0,36.0,32.0,36.0,45.0,15.0,0.0
2020-02-06,26.0,21.0,31.0,48.0,36.0,32.0,46.0,44.0,44.0,0.0
2020-02-07,29.0,30.0,43.0,31.0,35.0,62.0,45.0,35.0,42.0,22.0
2020-02-08,24.0,65.0,86.0,33.0,21.0,57.0,55.0,52.0,35.0,0.0
2020-02-09,29.0,47.0,44.0,32.0,40.0,36.0,41.0,52.0,73.0,51.0
2020-02-10,20.0,47.0,17.0,32.0,42.0,0.0,32.0,40.0,58.0,23.0
2020-02-11,30.0,46.0,30.0,32.0,24.0,0.0,34.0,32.0,29.0,0.0
2020-02-12,19.0,37.0,31.0,32.0,24.0,48.0,40.0,49.0,44.0,46.0
2020-02-13,32.0,47.0,39.0,40.0,42.0,0.0,39.0,28.0,81.0,0.0
2020-02-14,26.0,37.0,71.0,57.0,61.0,32.0,63.0,38.0,59.0,23.0
2020-02-15,19.0,71.0,75.0,45.0,48.0,0.0,43.0,42.0,58.0,51.0
2020-02-16,16.0,43.0,43.0,44.0,40.0,35.0,37.0,33.0,80.0,25.0
2020-02-17,22.0,46.0,30.0,31.0,0.0,47.0,27.0,33.0,21.0,44.0
2020-02-18,25.0,40.0,32.0,23.0,52.0,30.0,25.0,37.0,56.0,44.0
2020-02-19,14.0,45.0,24.0,46.0,35.0,31.0,38.0,49.0,28.0,0.0
2020-02-20,43.0,56.0,33.0,43.0,35.0,32.0,48.0,42.0,42.0,0.0
