,happy,anxiety,angry,sad,depression,horny,lonely,bored,worried,in love
2020-01-01,100.0,45.0,55.0,39.0,87.0,38.0,26.0,0.0,0.0,65.0
2020-01-02,29.0,55.0,30.0,54.0,60.0,52.0,88.0,63.0,38.0,61.0
2020-01-03,22.0,49.0,29.0,47.0,81.0,50.0,77.0,30.0,0.0,41.0
2020-01-04,17.0,96.0,41.0,33.0,72.0,53.0,53.0,16.0,0.0,60.0
2020-01-05,13.0,43.0,61.0,50.0,55.0,13.0,90.0,0.0,39.0,46.0
2020-01-06,23.0,55.0,19.0,86.0,68.0,0.0,41.0,15.0,35.0,49.0
2020-01-07,14.0,76.0,44.0,56.0,78.0,36.0,89.0,15.0,0.0,45.0
2020-01-08,12.0,86.0,37.0,65.0,71.0,36.0,61.0,22.0,0.0,39.0
2020-01-09,16.0,52.0,81.0,46.0,53.0,42.0,48.0,22.0,0.0,38.0
2020-01-10,12.0,48.0,56.0,72.0,47.0,37.0,69.0,22.0,0.0,40.0
2020-01-11,15.0,26.0,41.0,66.0,71.0,39.0,56.0,32.0,38.0,46.0
2020-01-12,13.0,33.0,25.0,62.0,67.0,25.0,63.0,0.0,0.0,60.0
2020-01-13,14.0,36.0,43.0,46.0,77.0,22.0,63.0,27.0,0.0,52.0
2020-01-14,13.0,61.0,45.0,50.0,65.0,16.0,56.0,13.0,0.0,36.0
2020-01-15,17.0,70.0,43.0,74.0,58.0,35.0,54.0,43.0,35.0,44.0
2020-01-16,15.0,60.0,62.0,66.0,69.0,24.0,89.0,45.0,0.0,33.0
2020-01-17,17.0,36.0,50.0,41.0,35.0,18.0,63.0,30.0,0.0,41.0
2020-01-18,18.0,76.0,42.0,45.0,84.0,40.0,84.0,66.0,40.0,58.0
2020-01-19,15.0,52.0,88.0,77.0,68.0,33.0,52.0,16.0,0.0,46.0
2020-01-20,13.0,67.0,46.0,35.0,62.0,42.0,41.0,15.0,0.0,49.0
2020-01-21,12.0,86.0,49.0,65.0,71.0,30.0,54.0,37.0,53.0,30.0
2020-01-22,15.0,63.0,46.0,40.0,68.0,30.0,48.0,29.0,0.0,54.0
2020-01-23,16.0,72.0,62.0,66.0,69.0,30.0,55.0,15.0,0.0,33.0
2020-01-24,20.0,61.0,76.0,82.0,70.0,24.0,49.0,23.0,0.0,48.0
2020-01-25,19.0,45.0,49.0,94.0,49.0,27.0,61.0,16.0,0.0,66.0
2020-01-26,15.0,64.0,73.0,87.0,80.0,13.0,37.0,32.0,38.0,53.0
2020-01-27,15.0,53.0,65.0,82.0,62.0,23.0,85.0,14.0,0.0,67.0
2020-01-28,11.0,65.0,72.0,73.0,72.0,35.0,33.0,14.0,34.0,59.0
2020-01-29,13.0,54.0,54.0,54.0,67.0,12.0,53.0,14.0,35.0,46.0
2020-01-30,14.0,100.0,31.0,41.0,91.0,30.0,34.0,30.0,0.0,52.0
2020-01-31,12.0,24.0,32.0,52.0,54.0,61.0,83.0,0.0,36.0,24.0
2020-02-01,15.0,36.0,49.0,45.0,77.0,20.0,84.0,49.0,0.0,100.0
2020-02-02,11.0,39.0,50.0,71.0,81.0,20.0,100.0,0.0,0.0,81.0
2020-02-03,10.0,64.0,39.0,54.0,100.0,32.0,43.0,13.0,0.0,65.0
2020-02-04,13.0,74.0,36.0,54.0,76.0,24.0,67.0,14.0,35.0,39.0
2020-02-05,16.0,67.0,55.0,65.0,55.0,12.0,40.0,22.0,35.0,39.0
2020-02-06,14.0,55.0,43.0,60.0,58.0,18.0,30.0,15.0,35.0,48.0
2020-02-07,14.0,64.0,53.0,53.0,59.0,40.0,32.0,21.0,0.0,44.0
2020-02-08,13.0,46.0,79.0,53.0,29.0,56.0,55.0,34.0,0.0,71.0
2020-02-09,13.0,83.0,48.0,39.0,55.0,40.0,60.0,16.0,39.0,75.0
2020-02-10,10.0,39.0,100.0,69.0,55.0,23.0,33.0,0.0,0.0,60.0
2020-02-11,10.0,62.0,42.0,39.0,73.0,35.0,60.0,14.0,34.0,64.0
2020-02-12,13.0,86.0,55.0,75.0,64.0,24.0,40.0,14.0,35.0,65.0
2020-02-13,20.0,55.0,49.0,70.0,64.0,65.0,20.0,14.0,0.0,65.0
2020-02-14,46.0,87.0,93.0,55.0,46.0,42.0,47.0,29.0,35.0,91.0
2020-02-15,19.0,53.0,48.0,84.0,38.0,20.0,68.0,24.0,39.0,73.0
2020-02-16,12.0,60.0,93.0,33.0,54.0,59.0,81.0,16.0,0.0,58.0
2020-02-17,13.0,46.0,62.0,53.0,92.0,63.0,46.0,56.0,34.0,56.0
2020-02-18,16.0,56.0,52.0,47.0,76.0,17.0,76.0,14.0,33.0,61.0
