,Just For Laughs,Eventbrite,Osheaga,Piknic Electronik,Ticketmaster,Jazz Fest,Mural Festival,Francos de Montreal,Montreal Pride,Fringe Festival
2020-01-01,58.0,0.0,5.0,0.0,24.0,0.0,0.0,0.0,67.0,0.0
2020-01-02,49.0,0.0,0.0,0.0,21.0,47.0,0.0,0.0,0.0,0.0
2020-01-03,47.0,0.0,5.0,0.0,11.0,46.0,95.0,0.0,0.0,0.0
2020-01-04,51.0,0.0,3.0,0.0,12.0,0.0,0.0,0.0,0.0,100.0
2020-01-05,51.0,23.0,0.0,0.0,14.0,48.0,0.0,0.0,59.0,0.0
2020-01-06,0.0,20.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0
2020-01-07,46.0,21.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,92.0
2020-01-08,45.0,49.0,0.0,0.0,15.0,0.0,0.0,0.0,51.0,0.0
2020-01-09,0.0,20.0,2.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0
2020-01-10,93.0,42.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0
2020-01-11,50.0,22.0,0.0,0.0,14.0,48.0,0.0,0.0,58.0,0.0
2020-01-12,0.0,21.0,3.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
2020-01-13,43.0,46.0,2.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0
2020-01-14,62.0,55.0,0.0,0.0,23.0,0.0,84.0,0.0,0.0,0.0
2020-01-15,45.0,39.0,2.0,42.0,23.0,43.0,90.0,0.0,0.0,0.0
2020-01-16,0.0,20.0,2.0,0.0,17.0,0.0,0.0,89.0,0.0,0.0
2020-01-17,47.0,21.0,0.0,0.0,31.0,45.0,0.0,0.0,0.0,0.0
2020-01-18,0.0,23.0,4.0,0.0,19.0,100.0,0.0,100.0,0.0,0.0
2020-01-19,51.0,0.0,5.0,48.0,7.0,0.0,0.0,0.0,0.0,0.0
2020-01-20,45.0,20.0,2.0,0.0,6.0,44.0,0.0,0.0,0.0,0.0
2020-01-21,68.0,20.0,7.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0
2020-01-22,46.0,20.0,2.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0
2020-01-23,0.0,41.0,4.0,43.0,76.0,0.0,0.0,0.0,0.0,0.0
2020-01-24,47.0,41.0,5.0,44.0,100.0,0.0,0.0,0.0,0.0,0.0
2020-01-25,0.0,0.0,3.0,49.0,46.0,0.0,0.0,0.0,0.0,0.0
2020-01-26,0.0,22.0,0.0,0.0,17.0,0.0,0.0,0.0,56.0,0.0
2020-01-27,0.0,76.0,100.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0
2020-01-28,44.0,39.0,71.0,0.0,54.0,43.0,0.0,86.0,0.0,0.0
2020-01-29,45.0,20.0,36.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0
2020-01-30,47.0,0.0,18.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0
2020-01-31,0.0,21.0,16.0,0.0,70.0,45.0,0.0,0.0,0.0,0.0
2020-02-01,52.0,0.0,22.0,0.0,27.0,50.0,0.0,0.0,0.0,0.0
2020-02-02,75.0,22.0,24.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0
2020-02-03,41.0,36.0,8.0,0.0,25.0,0.0,0.0,0.0,93.0,0.0
2020-02-04,91.0,40.0,19.0,43.0,55.0,0.0,0.0,0.0,0.0,0.0
2020-02-05,45.0,20.0,8.0,0.0,48.0,0.0,90.0,0.0,52.0,0.0
2020-02-06,45.0,79.0,8.0,43.0,65.0,0.0,0.0,0.0,0.0,0.0
2020-02-07,0.0,19.0,8.0,0.0,75.0,42.0,0.0,0.0,0.0,0.0
2020-02-08,0.0,0.0,7.0,100.0,35.0,0.0,0.0,0.0,61.0,0.0
2020-02-09,0.0,22.0,7.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0
2020-02-10,45.0,59.0,6.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0
2020-02-11,44.0,29.0,5.0,0.0,68.0,0.0,0.0,0.0,51.0,0.0
2020-02-12,45.0,50.0,7.0,0.0,59.0,0.0,91.0,0.0,52.0,0.0
2020-02-13,0.0,40.0,7.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0
2020-02-14,0.0,100.0,10.0,0.0,71.0,44.0,0.0,0.0,53.0,90.0
2020-02-15,0.0,23.0,11.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0
2020-02-16,49.0,0.0,5.0,47.0,28.0,0.0,0.0,0.0,57.0,0.0
2020-02-17,0.0,19.0,6.0,0.0,27.0,0.0,0.0,84.0,0.0,0.0
2020-02-18,0.0,29.0,7.0,0.0,24.0,42.0,87.0,0.0,0.0,0.0
2020-02-19,43.0,38.0,8.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0
2020-02-20,44.0,19.0,12.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0
