,loan,mortgage loan,dow jones,mortgage,interest rate,savings,debt,bonds,stock market	,mutual funds
2020-01-01,31.0,0.0,3.0,23.0,14.0,13.0,77.0,0.0,6.0,40.0
2020-01-02,57.0,0.0,14.0,31.0,12.0,12.0,46.0,27.0,5.0,34.0
2020-01-03,26.0,0.0,10.0,31.0,35.0,14.0,44.0,26.0,3.0,33.0
2020-01-04,48.0,51.0,2.0,28.0,24.0,10.0,34.0,56.0,6.0,0.0
2020-01-05,31.0,51.0,2.0,21.0,12.0,12.0,61.0,37.0,8.0,35.0
2020-01-06,52.0,46.0,12.0,35.0,0.0,7.0,36.0,37.0,13.0,47.0
2020-01-07,56.0,0.0,8.0,24.0,22.0,11.0,56.0,25.0,7.0,32.0
2020-01-08,64.0,91.0,8.0,31.0,22.0,10.0,48.0,25.0,13.0,52.0
2020-01-09,40.0,47.0,14.0,24.0,17.0,12.0,37.0,38.0,9.0,32.0
2020-01-10,63.0,47.0,11.0,25.0,34.0,9.0,75.0,39.0,7.0,32.0
2020-01-11,34.0,0.0,1.0,26.0,12.0,11.0,0.0,0.0,3.0,34.0
2020-01-12,42.0,0.0,1.0,22.0,12.0,17.0,38.0,53.0,6.0,0.0
2020-01-13,57.0,0.0,9.0,28.0,15.0,6.0,28.0,39.0,5.0,73.0
2020-01-14,62.0,41.0,10.0,26.0,25.0,16.0,50.0,46.0,5.0,56.0
2020-01-15,48.0,45.0,12.0,28.0,11.0,11.0,30.0,49.0,6.0,62.0
2020-01-16,31.0,47.0,11.0,29.0,11.0,13.0,55.0,50.0,9.0,32.0
2020-01-17,51.0,0.0,10.0,25.0,11.0,17.0,31.0,60.0,10.0,0.0
2020-01-18,52.0,0.0,3.0,30.0,13.0,10.0,48.0,29.0,8.0,71.0
2020-01-19,45.0,0.0,0.0,24.0,0.0,10.0,34.0,56.0,3.0,0.0
2020-01-20,61.0,0.0,8.0,32.0,22.0,11.0,36.0,25.0,17.0,31.0
2020-01-21,64.0,0.0,11.0,30.0,17.0,13.0,66.0,50.0,7.0,78.0
2020-01-22,83.0,0.0,16.0,33.0,22.0,4.0,55.0,33.0,9.0,32.0
2020-01-23,44.0,0.0,10.0,43.0,28.0,13.0,80.0,51.0,7.0,0.0
2020-01-24,51.0,0.0,9.0,40.0,11.0,8.0,31.0,52.0,4.0,64.0
2020-01-25,35.0,0.0,3.0,26.0,25.0,12.0,52.0,28.0,0.0,0.0
2020-01-26,60.0,100.0,1.0,19.0,12.0,6.0,46.0,27.0,6.0,0.0
2020-01-27,68.0,0.0,16.0,44.0,11.0,7.0,23.0,64.0,14.0,30.0
2020-01-28,45.0,0.0,15.0,20.0,11.0,13.0,89.0,37.0,10.0,91.0
2020-01-29,55.0,46.0,14.0,36.0,22.0,7.0,54.0,25.0,3.0,0.0
2020-01-30,53.0,47.0,11.0,26.0,22.0,9.0,56.0,26.0,12.0,0.0
2020-01-31,51.0,0.0,18.0,33.0,23.0,12.0,31.0,64.0,15.0,64.0
2020-02-01,42.0,0.0,4.0,34.0,13.0,8.0,52.0,43.0,3.0,36.0
2020-02-02,34.0,0.0,1.0,22.0,0.0,8.0,40.0,69.0,11.0,34.0
2020-02-03,41.0,0.0,15.0,28.0,10.0,17.0,55.0,22.0,13.0,28.0
2020-02-04,52.0,46.0,18.0,30.0,11.0,9.0,54.0,25.0,7.0,31.0
