,pilates,zumba,gym,aerobic,weight loss,yoga,jogging,squat,push-up,running
2020-01-01,37.0,23.0,37.0,0.0,22.0,64.0,32.0,18.0,0.0,60.0
2020-01-02,25.0,49.0,51.0,28.0,39.0,69.0,42.0,44.0,0.0,65.0
2020-01-03,48.0,19.0,43.0,0.0,43.0,94.0,17.0,38.0,0.0,56.0
2020-01-04,58.0,30.0,44.0,0.0,51.0,78.0,24.0,25.0,0.0,48.0
2020-01-05,64.0,50.0,35.0,29.0,46.0,87.0,30.0,25.0,0.0,54.0
2020-01-06,58.0,45.0,51.0,26.0,37.0,100.0,28.0,47.0,0.0,74.0
2020-01-07,71.0,37.0,41.0,27.0,32.0,98.0,56.0,46.0,0.0,46.0
2020-01-08,35.0,54.0,42.0,0.0,39.0,94.0,44.0,59.0,0.0,54.0
2020-01-09,35.0,73.0,30.0,0.0,37.0,94.0,22.0,41.0,0.0,57.0
2020-01-10,48.0,46.0,39.0,27.0,27.0,90.0,50.0,65.0,0.0,50.0
2020-01-11,26.0,20.0,45.0,29.0,43.0,74.0,27.0,40.0,0.0,58.0
2020-01-12,27.0,19.0,41.0,41.0,40.0,73.0,43.0,38.0,95.0,76.0
2020-01-13,59.0,42.0,45.0,24.0,27.0,83.0,20.0,42.0,85.0,52.0
2020-01-14,37.0,24.0,40.0,24.0,43.0,89.0,23.0,66.0,0.0,43.0
2020-01-15,35.0,27.0,41.0,26.0,29.0,77.0,44.0,31.0,0.0,57.0
2020-01-16,100.0,37.0,35.0,26.0,15.0,81.0,17.0,37.0,0.0,44.0
2020-01-17,72.0,37.0,35.0,0.0,22.0,64.0,28.0,23.0,0.0,52.0
2020-01-18,33.0,20.0,44.0,30.0,22.0,61.0,37.0,41.0,0.0,49.0
2020-01-19,51.0,20.0,34.0,29.0,19.0,62.0,48.0,25.0,0.0,68.0
2020-01-20,47.0,63.0,38.0,26.0,27.0,79.0,17.0,23.0,0.0,45.0
2020-01-21,46.0,18.0,33.0,52.0,43.0,91.0,33.0,32.0,0.0,65.0
2020-01-22,47.0,36.0,36.0,0.0,32.0,93.0,33.0,54.0,0.0,45.0
2020-01-23,59.0,55.0,24.0,0.0,34.0,69.0,50.0,41.0,0.0,38.0
2020-01-24,36.0,18.0,31.0,27.0,20.0,63.0,17.0,28.0,95.0,35.0
2020-01-25,60.0,30.0,38.0,30.0,38.0,64.0,47.0,20.0,0.0,74.0
2020-01-26,38.0,39.0,40.0,0.0,29.0,63.0,18.0,20.0,0.0,38.0
2020-01-27,45.0,26.0,36.0,26.0,42.0,80.0,47.0,44.0,0.0,58.0
2020-01-28,25.0,44.0,33.0,25.0,24.0,89.0,24.0,40.0,0.0,51.0
2020-01-29,52.0,35.0,35.0,26.0,31.0,73.0,41.0,54.0,0.0,65.0
2020-01-30,35.0,55.0,34.0,26.0,32.0,81.0,28.0,32.0,0.0,53.0
2020-01-31,36.0,18.0,32.0,0.0,22.0,57.0,0.0,28.0,95.0,42.0
2020-02-01,39.0,61.0,31.0,44.0,33.0,68.0,31.0,46.0,0.0,51.0
2020-02-02,32.0,39.0,32.0,0.0,56.0,53.0,36.0,30.0,0.0,66.0
2020-02-03,32.0,32.0,32.0,24.0,28.0,68.0,15.0,37.0,0.0,54.0
2020-02-04,46.0,53.0,30.0,26.0,41.0,76.0,24.0,49.0,0.0,52.0
2020-02-05,35.0,18.0,31.0,26.0,36.0,80.0,24.0,50.0,0.0,52.0
2020-02-06,61.0,45.0,25.0,0.0,29.0,72.0,22.0,40.0,0.0,50.0
2020-02-07,0.0,26.0,25.0,25.0,23.0,64.0,24.0,43.0,0.0,54.0
2020-02-08,41.0,32.0,31.0,0.0,34.0,73.0,32.0,37.0,0.0,48.0
2020-02-09,45.0,40.0,30.0,29.0,27.0,73.0,37.0,38.0,0.0,48.0
2020-02-10,40.0,35.0,33.0,26.0,24.0,62.0,16.0,45.0,0.0,57.0
2020-02-11,51.0,27.0,34.0,25.0,62.0,68.0,24.0,22.0,91.0,48.0
2020-02-12,23.0,18.0,30.0,39.0,48.0,73.0,16.0,45.0,0.0,60.0
2020-02-13,43.0,18.0,29.0,26.0,65.0,73.0,41.0,49.0,0.0,37.0
2020-02-14,41.0,36.0,32.0,26.0,66.0,61.0,33.0,27.0,0.0,56.0
2020-02-15,26.0,20.0,27.0,29.0,30.0,44.0,18.0,35.0,0.0,58.0
2020-02-16,44.0,58.0,31.0,0.0,21.0,64.0,36.0,49.0,100.0,79.0
2020-02-17,84.0,26.0,37.0,0.0,35.0,68.0,39.0,52.0,0.0,56.0
2020-02-18,16.0,17.0,35.0,25.0,41.0,79.0,15.0,17.0,0.0,49.0
2020-02-19,33.0,43.0,33.0,0.0,39.0,52.0,0.0,30.0,0.0,60.0
