,ice cream,cake,poutine,hamburger,hot dog,pizza,chips,fries,sandwich,cheese
2020-01-01,27.0,39.0,31.0,19.0,52.0,100.0,33.0,32.0,68.0,83.0
2020-01-02,37.0,40.0,21.0,33.0,66.0,66.0,54.0,38.0,70.0,51.0
2020-01-03,41.0,44.0,22.0,15.0,38.0,55.0,69.0,23.0,83.0,45.0
2020-01-04,26.0,49.0,26.0,26.0,30.0,71.0,33.0,28.0,82.0,77.0
2020-01-05,26.0,39.0,34.0,45.0,30.0,56.0,53.0,22.0,62.0,52.0
2020-01-06,40.0,23.0,20.0,41.0,21.0,36.0,57.0,37.0,71.0,38.0
2020-01-07,27.0,36.0,15.0,30.0,27.0,37.0,55.0,45.0,54.0,60.0
2020-01-08,27.0,45.0,17.0,23.0,23.0,37.0,40.0,0.0,53.0,59.0
2020-01-09,26.0,43.0,35.0,27.0,48.0,44.0,51.0,35.0,75.0,48.0
2020-01-10,19.0,41.0,30.0,24.0,42.0,62.0,43.0,31.0,51.0,46.0
2020-01-11,32.0,53.0,27.0,45.0,35.0,77.0,62.0,71.0,84.0,79.0
2020-01-12,24.0,55.0,24.0,36.0,28.0,56.0,48.0,36.0,70.0,55.0
2020-01-13,32.0,50.0,11.0,35.0,25.0,34.0,43.0,28.0,74.0,55.0
2020-01-14,36.0,41.0,12.0,35.0,41.0,36.0,49.0,41.0,51.0,50.0
2020-01-15,23.0,42.0,33.0,29.0,54.0,39.0,40.0,30.0,85.0,70.0
2020-01-16,34.0,39.0,19.0,27.0,37.0,47.0,43.0,25.0,75.0,54.0
2020-01-17,54.0,47.0,31.0,33.0,28.0,66.0,47.0,54.0,79.0,53.0
2020-01-18,44.0,59.0,40.0,59.0,54.0,78.0,100.0,68.0,83.0,83.0
2020-01-19,35.0,57.0,26.0,42.0,55.0,65.0,66.0,39.0,65.0,72.0
2020-01-20,24.0,42.0,21.0,44.0,54.0,39.0,66.0,15.0,39.0,52.0
2020-01-21,47.0,33.0,16.0,26.0,47.0,33.0,40.0,25.0,56.0,65.0
2020-01-22,26.0,41.0,21.0,35.0,27.0,36.0,40.0,20.0,77.0,48.0
2020-01-23,37.0,42.0,24.0,24.0,32.0,38.0,47.0,15.0,60.0,64.0
2020-01-24,54.0,42.0,39.0,27.0,35.0,64.0,62.0,31.0,79.0,55.0
2020-01-25,36.0,64.0,44.0,43.0,100.0,82.0,50.0,45.0,97.0,87.0
2020-01-26,40.0,61.0,26.0,54.0,44.0,56.0,65.0,49.0,86.0,66.0
2020-01-27,28.0,38.0,33.0,42.0,39.0,33.0,44.0,29.0,34.0,40.0
2020-01-28,15.0,34.0,45.0,23.0,35.0,37.0,45.0,29.0,66.0,40.0
2020-01-29,36.0,32.0,47.0,32.0,31.0,34.0,59.0,22.0,47.0,41.0
2020-01-30,44.0,35.0,41.0,39.0,48.0,44.0,67.0,30.0,54.0,54.0
2020-01-31,38.0,44.0,66.0,39.0,28.0,63.0,48.0,46.0,52.0,55.0
2020-02-01,30.0,53.0,100.0,33.0,23.0,68.0,48.0,34.0,73.0,87.0
2020-02-02,37.0,49.0,74.0,48.0,30.0,72.0,64.0,33.0,58.0,71.0
2020-02-03,33.0,42.0,68.0,37.0,37.0,32.0,61.0,13.0,66.0,51.0
