,poker,sports betting,casino,online casino,Bet365,Primedice,betting,flashscore,blackjack,Vegas Casino Online
2020-01-01,100.0,56.0,80.0,51.0,75.0,0.0,0.0,91.0,0.0,0.0
2020-01-02,79.0,48.0,57.0,22.0,20.0,0.0,20.0,39.0,39.0,0.0
2020-01-03,58.0,0.0,47.0,42.0,42.0,0.0,75.0,37.0,66.0,0.0
2020-01-04,80.0,0.0,54.0,23.0,71.0,0.0,20.0,99.0,80.0,0.0
2020-01-05,66.0,0.0,45.0,45.0,75.0,0.0,0.0,52.0,59.0,100.0
2020-01-06,43.0,45.0,37.0,20.0,46.0,0.0,18.0,48.0,22.0,90.0
2020-01-07,38.0,0.0,41.0,21.0,60.0,0.0,37.0,60.0,65.0,0.0
2020-01-08,37.0,0.0,39.0,20.0,34.0,0.0,36.0,83.0,36.0,0.0
2020-01-09,60.0,89.0,36.0,41.0,32.0,0.0,18.0,36.0,0.0,0.0
2020-01-10,47.0,0.0,41.0,42.0,28.0,0.0,0.0,36.0,22.0,0.0
2020-01-11,77.0,0.0,48.0,67.0,65.0,0.0,20.0,39.0,23.0,0.0
2020-01-12,55.0,46.0,42.0,42.0,47.0,0.0,75.0,37.0,22.0,0.0
2020-01-13,30.0,0.0,46.0,38.0,38.0,0.0,50.0,0.0,59.0,84.0
2020-01-14,46.0,40.0,32.0,37.0,37.0,0.0,25.0,32.0,29.0,0.0
2020-01-15,32.0,0.0,34.0,20.0,47.0,0.0,0.0,0.0,42.0,0.0
2020-01-16,41.0,45.0,40.0,21.0,55.0,0.0,37.0,35.0,22.0,0.0
2020-01-17,63.0,45.0,40.0,31.0,42.0,0.0,28.0,37.0,44.0,0.0
2020-01-18,71.0,50.0,49.0,23.0,56.0,0.0,21.0,80.0,36.0,0.0
2020-01-19,56.0,0.0,48.0,22.0,100.0,0.0,100.0,78.0,24.0,0.0
2020-01-20,51.0,0.0,33.0,41.0,45.0,0.0,28.0,89.0,22.0,0.0
2020-01-21,27.0,44.0,39.0,20.0,50.0,0.0,18.0,70.0,21.0,0.0
2020-01-22,43.0,0.0,49.0,51.0,41.0,0.0,27.0,83.0,36.0,0.0
2020-01-23,45.0,0.0,38.0,0.0,37.0,0.0,18.0,36.0,22.0,0.0
2020-01-24,57.0,45.0,43.0,21.0,28.0,0.0,19.0,36.0,33.0,0.0
2020-01-25,71.0,50.0,52.0,0.0,31.0,0.0,20.0,100.0,49.0,0.0
2020-01-26,53.0,0.0,55.0,44.0,34.0,0.0,0.0,58.0,23.0,0.0
2020-01-27,34.0,0.0,36.0,29.0,13.0,0.0,35.0,34.0,0.0,0.0
2020-01-28,35.0,0.0,29.0,40.0,22.0,0.0,0.0,46.0,35.0,0.0
2020-01-29,44.0,0.0,35.0,40.0,54.0,0.0,18.0,35.0,21.0,0.0
2020-01-30,59.0,0.0,39.0,0.0,55.0,0.0,28.0,36.0,22.0,92.0
2020-01-31,37.0,0.0,45.0,21.0,28.0,0.0,19.0,0.0,44.0,0.0
2020-02-01,77.0,100.0,58.0,23.0,72.0,0.0,21.0,54.0,57.0,0.0
