,board games,Minecraft,piccolo,Miniclip,online games,Xbox,World of Warcraft,Nintendo Switch,PlayStation,Risk
2020-01-01,0.0,52.0,53.0,52.0,10.0,53.0,57.0,63.0,62.0,40.0
2020-01-02,51.0,44.0,45.0,59.0,33.0,54.0,36.0,43.0,54.0,56.0
2020-01-03,40.0,47.0,0.0,57.0,20.0,57.0,35.0,46.0,41.0,25.0
2020-01-04,26.0,42.0,0.0,40.0,21.0,49.0,74.0,44.0,41.0,27.0
2020-01-05,38.0,34.0,45.0,30.0,17.0,47.0,37.0,45.0,54.0,33.0
2020-01-06,23.0,50.0,0.0,27.0,23.0,36.0,33.0,24.0,33.0,57.0
2020-01-07,58.0,26.0,0.0,69.0,19.0,42.0,34.0,30.0,38.0,46.0
2020-01-08,34.0,32.0,41.0,41.0,19.0,33.0,33.0,26.0,16.0,53.0
2020-01-09,35.0,30.0,42.0,28.0,8.0,33.0,68.0,17.0,35.0,82.0
2020-01-10,0.0,20.0,43.0,37.0,16.0,38.0,34.0,29.0,24.0,37.0
2020-01-11,42.0,59.0,91.0,75.0,13.0,52.0,0.0,41.0,36.0,20.0
2020-01-12,48.0,56.0,42.0,28.0,24.0,47.0,35.0,32.0,24.0,28.0
2020-01-13,22.0,26.0,38.0,77.0,35.0,34.0,31.0,23.0,37.0,36.0
2020-01-14,28.0,23.0,74.0,100.0,24.0,29.0,41.0,29.0,30.0,35.0
2020-01-15,23.0,36.0,40.0,0.0,15.0,34.0,49.0,27.0,60.0,77.0
2020-01-16,35.0,28.0,70.0,28.0,15.0,24.0,34.0,23.0,50.0,49.0
2020-01-17,24.0,38.0,42.0,70.0,8.0,34.0,69.0,16.0,38.0,19.0
2020-01-18,26.0,48.0,0.0,31.0,39.0,42.0,75.0,34.0,45.0,34.0
2020-01-19,34.0,57.0,46.0,30.0,21.0,40.0,75.0,31.0,39.0,27.0
2020-01-20,0.0,31.0,0.0,27.0,8.0,25.0,34.0,27.0,30.0,39.0
2020-01-21,46.0,32.0,0.0,40.0,8.0,20.0,50.0,19.0,21.0,35.0
2020-01-22,54.0,24.0,0.0,68.0,11.0,29.0,67.0,21.0,21.0,39.0
2020-01-23,47.0,26.0,42.0,83.0,31.0,19.0,34.0,28.0,26.0,43.0
2020-01-24,0.0,42.0,0.0,42.0,16.0,33.0,34.0,32.0,29.0,52.0
2020-01-25,66.0,48.0,70.0,62.0,26.0,42.0,76.0,31.0,37.0,37.0
2020-01-26,0.0,45.0,59.0,0.0,41.0,36.0,71.0,39.0,25.0,26.0
2020-01-27,22.0,20.0,78.0,26.0,15.0,32.0,32.0,15.0,18.0,52.0
2020-01-28,23.0,24.0,40.0,27.0,22.0,25.0,66.0,17.0,23.0,53.0
2020-01-29,23.0,39.0,0.0,27.0,15.0,27.0,33.0,21.0,30.0,60.0
2020-01-30,35.0,37.0,0.0,56.0,16.0,31.0,34.0,17.0,24.0,24.0
2020-01-31,32.0,30.0,0.0,70.0,27.0,33.0,51.0,20.0,41.0,43.0
2020-02-01,35.0,55.0,0.0,62.0,61.0,47.0,38.0,33.0,24.0,24.0
2020-02-02,0.0,46.0,45.0,60.0,8.0,35.0,37.0,25.0,21.0,33.0
2020-02-03,21.0,27.0,37.0,25.0,14.0,21.0,30.0,24.0,29.0,67.0
2020-02-04,23.0,39.0,40.0,54.0,30.0,25.0,0.0,18.0,27.0,59.0
2020-02-05,23.0,36.0,0.0,54.0,19.0,22.0,0.0,19.0,23.0,48.0
2020-02-06,46.0,30.0,41.0,82.0,27.0,29.0,33.0,22.0,26.0,21.0
