,seeds,garden,planting,fertilizer,plants,indoor plants,outdoor plants,soil,gardening	,when to plant
2020-01-01,18.0,27.0,38.0,0.0,8.0,0.0,0.0,25.0,0.0,0.0
2020-01-02,35.0,38.0,16.0,0.0,18.0,37.0,0.0,20.0,30.0,0.0
2020-01-03,27.0,22.0,0.0,23.0,18.0,35.0,0.0,20.0,29.0,0.0
2020-01-04,29.0,28.0,17.0,25.0,17.0,38.0,0.0,0.0,31.0,0.0
2020-01-05,26.0,37.0,25.0,0.0,16.0,37.0,0.0,18.0,0.0,25.0
2020-01-06,38.0,18.0,0.0,23.0,21.0,34.0,0.0,26.0,28.0,0.0
2020-01-07,35.0,32.0,15.0,34.0,14.0,34.0,0.0,14.0,0.0,22.0
2020-01-08,6.0,14.0,0.0,22.0,14.0,0.0,0.0,14.0,28.0,0.0
2020-01-09,29.0,27.0,0.0,0.0,13.0,0.0,0.0,14.0,0.0,0.0
2020-01-10,32.0,24.0,0.0,23.0,12.0,0.0,0.0,30.0,28.0,0.0
2020-01-11,22.0,26.0,16.0,0.0,16.0,0.0,0.0,10.0,31.0,0.0
2020-01-12,24.0,38.0,0.0,0.0,21.0,0.0,0.0,15.0,0.0,0.0
2020-01-13,43.0,13.0,0.0,0.0,18.0,31.0,0.0,26.0,26.0,0.0
2020-01-14,32.0,32.0,14.0,41.0,14.0,0.0,0.0,17.0,51.0,0.0
2020-01-15,34.0,30.0,15.0,0.0,18.0,0.0,0.0,24.0,0.0,44.0
2020-01-16,27.0,27.0,23.0,23.0,20.0,35.0,0.0,19.0,0.0,0.0
2020-01-17,24.0,40.0,15.0,23.0,11.0,69.0,0.0,10.0,29.0,0.0
2020-01-18,23.0,32.0,17.0,0.0,9.0,0.0,0.0,11.0,32.0,0.0
2020-01-19,61.0,35.0,17.0,25.0,21.0,37.0,0.0,10.0,0.0,0.0
2020-01-20,20.0,27.0,15.0,22.0,21.0,0.0,40.0,38.0,28.0,0.0
2020-01-21,17.0,27.0,0.0,23.0,17.0,0.0,0.0,19.0,0.0,0.0
2020-01-22,38.0,21.0,15.0,45.0,13.0,34.0,0.0,14.0,0.0,0.0
2020-01-23,26.0,27.0,0.0,0.0,10.0,0.0,39.0,15.0,0.0,0.0
2020-01-24,15.0,29.0,15.0,23.0,16.0,35.0,0.0,23.0,43.0,0.0
2020-01-25,29.0,30.0,0.0,25.0,31.0,0.0,0.0,14.0,31.0,25.0
2020-01-26,38.0,25.0,16.0,24.0,17.0,36.0,0.0,14.0,30.0,0.0
2020-01-27,17.0,31.0,0.0,22.0,15.0,33.0,0.0,14.0,0.0,0.0
2020-01-28,42.0,27.0,14.0,22.0,11.0,33.0,0.0,9.0,27.0,0.0
2020-01-29,34.0,26.0,0.0,22.0,8.0,33.0,39.0,14.0,28.0,44.0
2020-01-30,18.0,31.0,15.0,23.0,12.0,0.0,0.0,10.0,28.0,0.0
2020-01-31,36.0,18.0,15.0,23.0,9.0,0.0,0.0,16.0,0.0,0.0
2020-02-01,36.0,31.0,17.0,25.0,22.0,38.0,0.0,22.0,32.0,0.0
2020-02-02,45.0,20.0,16.0,25.0,21.0,37.0,0.0,16.0,0.0,0.0
2020-02-03,34.0,30.0,27.0,20.0,21.0,30.0,0.0,9.0,25.0,20.0
2020-02-04,40.0,33.0,15.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0
2020-02-05,23.0,26.0,15.0,22.0,14.0,34.0,0.0,25.0,0.0,0.0
2020-02-06,29.0,34.0,0.0,0.0,15.0,67.0,0.0,9.0,28.0,0.0
2020-02-07,22.0,31.0,0.0,21.0,11.0,33.0,0.0,18.0,27.0,0.0
2020-02-08,31.0,40.0,17.0,26.0,24.0,0.0,0.0,17.0,33.0,0.0
2020-02-09,45.0,35.0,17.0,25.0,26.0,37.0,0.0,14.0,0.0,0.0
2020-02-10,40.0,26.0,30.0,55.0,11.0,0.0,0.0,0.0,0.0,22.0
2020-02-11,43.0,29.0,15.0,22.0,8.0,0.0,0.0,14.0,27.0,0.0
2020-02-12,29.0,30.0,15.0,22.0,24.0,34.0,0.0,16.0,0.0,0.0
2020-02-13,26.0,34.0,0.0,22.0,11.0,0.0,39.0,9.0,28.0,0.0
2020-02-14,29.0,32.0,15.0,23.0,17.0,0.0,0.0,24.0,0.0,23.0
2020-02-15,32.0,29.0,17.0,0.0,13.0,38.0,0.0,16.0,31.0,0.0
2020-02-16,54.0,44.0,16.0,49.0,24.0,55.0,0.0,21.0,0.0,0.0
2020-02-17,42.0,37.0,0.0,43.0,17.0,65.0,0.0,12.0,27.0,0.0
2020-02-18,36.0,26.0,14.0,28.0,13.0,32.0,37.0,0.0,0.0,21.0
2020-02-19,22.0,26.0,14.0,0.0,26.0,32.0,0.0,30.0,0.0,0.0
2020-02-20,28.0,20.0,0.0,22.0,16.0,49.0,0.0,12.0,0.0,0.0
2020-02-21,31.0,28.0,15.0,33.0,23.0,0.0,0.0,9.0,27.0,0.0
2020-02-22,44.0,35.0,16.0,0.0,20.0,0.0,0.0,24.0,0.0,0.0
2020-02-23,44.0,40.0,16.0,0.0,12.0,0.0,0.0,20.0,30.0,0.0
