,bangs,hairstyle,haircut,beard,mullet,moustache,shave,buzz cut,afro,shaving
2020-01-01,78.0,27.0,52.0,37.0,48.0,69.0,57.0,0.0,86.0,39.0
2020-01-02,44.0,35.0,49.0,22.0,0.0,22.0,85.0,37.0,32.0,33.0
2020-01-03,31.0,22.0,47.0,18.0,0.0,42.0,0.0,0.0,70.0,32.0
2020-01-04,56.0,95.0,70.0,39.0,0.0,45.0,25.0,0.0,33.0,34.0
2020-01-05,100.0,47.0,50.0,22.0,42.0,34.0,49.0,0.0,25.0,34.0
2020-01-06,61.0,32.0,34.0,26.0,38.0,34.0,22.0,34.0,22.0,61.0
2020-01-07,51.0,0.0,50.0,59.0,0.0,27.0,23.0,0.0,0.0,61.0
2020-01-08,30.0,0.0,45.0,75.0,38.0,47.0,33.0,34.0,22.0,30.0
2020-01-09,91.0,0.0,41.0,100.0,0.0,31.0,23.0,0.0,30.0,62.0
2020-01-10,31.0,43.0,50.0,56.0,0.0,35.0,23.0,35.0,34.0,31.0
2020-01-11,55.0,35.0,69.0,51.0,0.0,74.0,74.0,0.0,49.0,100.0
2020-01-12,63.0,0.0,63.0,54.0,0.0,28.0,23.0,0.0,23.0,32.0
2020-01-13,46.0,0.0,37.0,49.0,0.0,19.0,41.0,31.0,42.0,28.0
2020-01-14,27.0,19.0,66.0,13.0,0.0,28.0,0.0,31.0,27.0,28.0
2020-01-15,45.0,21.0,53.0,20.0,38.0,33.0,0.0,33.0,44.0,60.0
2020-01-16,61.0,0.0,34.0,35.0,0.0,31.0,45.0,0.0,45.0,30.0
2020-01-17,62.0,22.0,62.0,41.0,39.0,49.0,46.0,35.0,0.0,47.0
2020-01-18,68.0,24.0,66.0,46.0,0.0,38.0,50.0,0.0,25.0,34.0
2020-01-19,50.0,47.0,25.0,42.0,0.0,22.0,37.0,0.0,37.0,0.0
2020-01-20,90.0,0.0,27.0,32.0,0.0,27.0,22.0,0.0,0.0,31.0
2020-01-21,30.0,32.0,67.0,26.0,57.0,20.0,34.0,0.0,22.0,30.0
2020-01-22,30.0,0.0,74.0,20.0,0.0,34.0,0.0,0.0,45.0,31.0
2020-01-23,30.0,0.0,45.0,13.0,38.0,31.0,0.0,34.0,38.0,31.0
2020-01-24,93.0,0.0,32.0,27.0,0.0,31.0,23.0,0.0,0.0,31.0
2020-01-25,51.0,72.0,41.0,33.0,43.0,23.0,38.0,0.0,25.0,0.0
