,blood pressure,hospitals near,dry cough,cancer symptoms,coronavirus symptoms,sore throat,HIV,health insurance,ambulance,fever
2020-01-01,28.0,0.0,39.0,0.0,0.0,37.0,37.0,74.0,51.0,51.0
2020-01-02,64.0,0.0,67.0,0.0,0.0,21.0,42.0,63.0,69.0,38.0
2020-01-03,46.0,0.0,0.0,48.0,0.0,15.0,27.0,31.0,75.0,39.0
2020-01-04,66.0,0.0,34.0,0.0,0.0,27.0,22.0,0.0,27.0,17.0
2020-01-05,66.0,0.0,34.0,26.0,0.0,44.0,22.0,48.0,53.0,36.0
2020-01-06,66.0,87.0,61.0,23.0,0.0,20.0,20.0,78.0,56.0,25.0
2020-01-07,30.0,89.0,0.0,23.0,0.0,30.0,60.0,45.0,24.0,20.0
2020-01-08,95.0,0.0,30.0,23.0,0.0,29.0,38.0,29.0,55.0,37.0
2020-01-09,30.0,0.0,31.0,23.0,0.0,15.0,29.0,44.0,84.0,30.0
2020-01-10,46.0,0.0,32.0,47.0,0.0,15.0,27.0,60.0,66.0,28.0
2020-01-11,33.0,0.0,0.0,25.0,0.0,16.0,0.0,43.0,35.0,19.0
2020-01-12,54.0,0.0,0.0,24.0,0.0,15.0,50.0,45.0,37.0,44.0
2020-01-13,41.0,0.0,0.0,21.0,0.0,41.0,30.0,36.0,67.0,26.0
2020-01-14,61.0,80.0,37.0,21.0,0.0,13.0,18.0,27.0,73.0,30.0
2020-01-15,80.0,0.0,0.0,23.0,0.0,14.0,48.0,58.0,59.0,20.0
2020-01-16,22.0,0.0,95.0,23.0,0.0,22.0,46.0,49.0,57.0,18.0
2020-01-17,61.0,0.0,32.0,0.0,0.0,38.0,60.0,0.0,100.0,21.0
2020-01-18,25.0,0.0,35.0,26.0,0.0,34.0,29.0,33.0,27.0,28.0
2020-01-19,41.0,96.0,0.0,38.0,1.0,33.0,36.0,33.0,67.0,20.0
2020-01-20,37.0,0.0,0.0,45.0,1.0,24.0,39.0,29.0,48.0,37.0
2020-01-21,52.0,0.0,0.0,23.0,2.0,29.0,26.0,29.0,36.0,40.0
2020-01-22,59.0,0.0,0.0,23.0,4.0,30.0,26.0,29.0,32.0,18.0
2020-01-23,52.0,0.0,31.0,0.0,13.0,30.0,39.0,59.0,24.0,53.0
