,daycare,homeschooling,child abuse,domestic violence,divorce,separation,home issues,custody,pregnant,condom
2020-01-01,15.0,0.0,0.0,0.0,32.0,34.0,0.0,33.0,30.0,27.0
2020-01-02,22.0,0.0,0.0,0.0,64.0,64.0,0.0,28.0,44.0,45.0
2020-01-03,14.0,0.0,49.0,0.0,100.0,66.0,0.0,27.0,51.0,43.0
2020-01-04,13.0,0.0,0.0,0.0,75.0,41.0,0.0,29.0,100.0,39.0
2020-01-05,13.0,55.0,0.0,0.0,83.0,29.0,94.0,0.0,49.0,57.0
2020-01-06,20.0,50.0,0.0,0.0,46.0,43.0,0.0,26.0,52.0,63.0
2020-01-07,35.0,0.0,0.0,25.0,55.0,27.0,0.0,0.0,51.0,43.0
2020-01-08,29.0,0.0,0.0,24.0,67.0,21.0,0.0,26.0,42.0,49.0
2020-01-09,18.0,0.0,47.0,0.0,47.0,22.0,0.0,39.0,55.0,42.0
2020-01-10,21.0,0.0,47.0,25.0,90.0,38.0,0.0,26.0,34.0,64.0
2020-01-11,33.0,0.0,51.0,0.0,60.0,53.0,0.0,29.0,48.0,54.0
2020-01-12,36.0,0.0,0.0,25.0,100.0,39.0,0.0,27.0,44.0,51.0
2020-01-13,28.0,0.0,0.0,0.0,54.0,25.0,0.0,24.0,35.0,64.0
2020-01-14,32.0,0.0,42.0,22.0,80.0,24.0,0.0,24.0,51.0,38.0
2020-01-15,23.0,0.0,0.0,24.0,58.0,26.0,0.0,26.0,44.0,28.0
2020-01-16,26.0,0.0,0.0,25.0,68.0,38.0,0.0,26.0,36.0,64.0
2020-01-17,27.0,0.0,95.0,25.0,60.0,38.0,0.0,0.0,37.0,29.0
2020-01-18,23.0,0.0,0.0,27.0,43.0,54.0,0.0,0.0,37.0,47.0
2020-01-19,19.0,0.0,0.0,27.0,51.0,100.0,0.0,0.0,39.0,23.0
2020-01-20,26.0,50.0,47.0,0.0,71.0,43.0,0.0,39.0,38.0,49.0
2020-01-21,32.0,0.0,0.0,0.0,62.0,37.0,0.0,0.0,42.0,28.0
2020-01-22,29.0,0.0,0.0,24.0,50.0,22.0,0.0,26.0,45.0,35.0
2020-01-23,21.0,0.0,47.0,0.0,72.0,27.0,0.0,0.0,33.0,42.0
2020-01-24,18.0,0.0,0.0,25.0,60.0,22.0,0.0,0.0,39.0,28.0
2020-01-25,20.0,0.0,0.0,0.0,76.0,30.0,0.0,29.0,55.0,83.0
2020-01-26,14.0,0.0,100.0,52.0,59.0,29.0,0.0,0.0,50.0,22.0
2020-01-27,31.0,48.0,0.0,24.0,48.0,41.0,0.0,25.0,47.0,40.0
2020-01-28,34.0,0.0,0.0,24.0,57.0,26.0,83.0,38.0,27.0,41.0
2020-01-29,34.0,0.0,46.0,0.0,37.0,42.0,0.0,43.0,30.0,31.0
2020-01-30,35.0,0.0,0.0,25.0,81.0,44.0,0.0,0.0,43.0,32.0
2020-01-31,27.0,0.0,0.0,0.0,47.0,27.0,0.0,0.0,45.0,36.0
2020-02-01,10.0,56.0,0.0,0.0,62.0,48.0,0.0,0.0,70.0,24.0
2020-02-02,22.0,54.0,0.0,0.0,64.0,41.0,0.0,28.0,32.0,34.0
2020-02-03,16.0,0.0,42.0,54.0,45.0,29.0,0.0,23.0,38.0,56.0
