,Expedia,hotels.com,Airbnb,Flighthub,hotel,Trivago,Marriott,hostel,hotel booking,couchsurfing
2020-01-01,71.0,43.0,79.0,40.0,79.0,74.0,46.0,34.0,36.0,0.0
2020-01-02,59.0,28.0,78.0,63.0,84.0,69.0,63.0,29.0,60.0,71.0
2020-01-03,68.0,0.0,72.0,49.0,79.0,88.0,63.0,55.0,29.0,0.0
2020-01-04,75.0,0.0,79.0,52.0,87.0,82.0,68.0,39.0,31.0,0.0
2020-01-05,75.0,28.0,81.0,40.0,86.0,80.0,52.0,49.0,51.0,0.0
2020-01-06,87.0,26.0,73.0,47.0,81.0,85.0,72.0,53.0,28.0,0.0
2020-01-07,71.0,39.0,74.0,64.0,78.0,68.0,84.0,49.0,70.0,0.0
2020-01-08,76.0,25.0,65.0,73.0,76.0,83.0,86.0,18.0,28.0,0.0
2020-01-09,76.0,26.0,72.0,95.0,76.0,70.0,56.0,58.0,28.0,0.0
2020-01-10,74.0,39.0,63.0,96.0,86.0,72.0,54.0,45.0,42.0,0.0
2020-01-11,100.0,28.0,77.0,75.0,88.0,74.0,61.0,58.0,61.0,72.0
2020-01-12,70.0,26.0,98.0,44.0,95.0,88.0,72.0,37.0,77.0,0.0
2020-01-13,61.0,47.0,91.0,48.0,78.0,74.0,100.0,45.0,26.0,0.0
2020-01-14,89.0,47.0,85.0,81.0,82.0,80.0,81.0,52.0,59.0,0.0
2020-01-15,81.0,50.0,69.0,57.0,79.0,89.0,66.0,39.0,27.0,65.0
2020-01-16,88.0,52.0,65.0,74.0,82.0,59.0,76.0,45.0,37.0,67.0
2020-01-17,70.0,39.0,57.0,75.0,82.0,76.0,63.0,45.0,28.0,0.0
2020-01-18,71.0,57.0,68.0,41.0,95.0,64.0,81.0,55.0,94.0,0.0
2020-01-19,82.0,28.0,91.0,58.0,88.0,88.0,70.0,54.0,61.0,0.0
2020-01-20,77.0,34.0,84.0,100.0,90.0,76.0,64.0,44.0,56.0,65.0
2020-01-21,82.0,34.0,75.0,83.0,92.0,68.0,74.0,57.0,27.0,0.0
2020-01-22,96.0,26.0,71.0,95.0,83.0,58.0,47.0,53.0,37.0,66.0
2020-01-23,90.0,26.0,70.0,42.0,89.0,68.0,45.0,31.0,47.0,66.0
2020-01-24,62.0,39.0,67.0,48.0,91.0,58.0,48.0,50.0,57.0,67.0
2020-01-25,70.0,29.0,70.0,59.0,90.0,66.0,63.0,65.0,42.0,75.0
2020-01-26,70.0,27.0,73.0,85.0,87.0,74.0,48.0,48.0,50.0,0.0
2020-01-27,73.0,24.0,74.0,61.0,83.0,83.0,96.0,64.0,27.0,63.0
2020-01-28,86.0,25.0,60.0,66.0,87.0,64.0,48.0,39.0,27.0,64.0
2020-01-29,65.0,50.0,72.0,67.0,79.0,54.0,46.0,48.0,0.0,65.0
2020-01-30,57.0,26.0,81.0,53.0,77.0,72.0,73.0,40.0,28.0,100.0
2020-01-31,63.0,26.0,68.0,65.0,90.0,64.0,48.0,27.0,29.0,0.0
2020-02-01,55.0,48.0,79.0,53.0,81.0,54.0,56.0,30.0,31.0,0.0
2020-02-02,70.0,28.0,89.0,69.0,79.0,81.0,55.0,44.0,76.0,72.0
2020-02-03,77.0,23.0,66.0,66.0,77.0,49.0,45.0,36.0,100.0,59.0
2020-02-04,62.0,25.0,80.0,54.0,78.0,63.0,60.0,35.0,82.0,0.0
2020-02-05,69.0,25.0,69.0,63.0,84.0,54.0,55.0,26.0,55.0,0.0
2020-02-06,55.0,34.0,66.0,73.0,78.0,44.0,71.0,33.0,68.0,0.0
2020-02-07,62.0,24.0,70.0,65.0,81.0,56.0,45.0,63.0,35.0,0.0
2020-02-08,67.0,30.0,65.0,67.0,84.0,74.0,65.0,46.0,43.0,0.0
2020-02-09,65.0,28.0,91.0,29.0,90.0,63.0,65.0,54.0,46.0,73.0
2020-02-10,57.0,33.0,80.0,57.0,78.0,64.0,46.0,33.0,41.0,0.0
2020-02-11,81.0,25.0,77.0,57.0,84.0,73.0,79.0,61.0,40.0,0.0
2020-02-12,59.0,25.0,61.0,83.0,77.0,56.0,47.0,66.0,55.0,0.0
2020-02-13,74.0,25.0,73.0,31.0,86.0,49.0,74.0,70.0,41.0,0.0
2020-02-14,69.0,34.0,54.0,32.0,83.0,81.0,61.0,35.0,37.0,0.0
2020-02-15,73.0,57.0,76.0,47.0,90.0,59.0,68.0,49.0,51.0,73.0
2020-02-16,90.0,28.0,90.0,57.0,100.0,73.0,81.0,48.0,50.0,0.0
2020-02-17,68.0,24.0,67.0,71.0,87.0,70.0,56.0,51.0,40.0,0.0
2020-02-18,72.0,24.0,67.0,40.0,86.0,57.0,70.0,62.0,52.0,0.0
2020-02-19,76.0,36.0,67.0,50.0,76.0,57.0,39.0,44.0,35.0,0.0
2020-02-20,63.0,25.0,65.0,56.0,90.0,51.0,80.0,43.0,53.0,63.0
2020-02-21,48.0,100.0,68.0,51.0,83.0,61.0,71.0,43.0,54.0,64.0
2020-02-22,67.0,28.0,63.0,29.0,92.0,70.0,48.0,58.0,30.0,0.0
2020-02-23,70.0,27.0,78.0,67.0,98.0,100.0,71.0,71.0,45.0,0.0
2020-02-24,55.0,24.0,69.0,65.0,77.0,59.0,61.0,50.0,53.0,0.0
2020-02-25,67.0,48.0,79.0,64.0,79.0,45.0,73.0,19.0,39.0,0.0
2020-02-26,60.0,35.0,65.0,43.0,75.0,63.0,66.0,36.0,25.0,61.0
2020-02-27,57.0,44.0,56.0,41.0,73.0,63.0,56.0,50.0,36.0,57.0
2020-02-28,62.0,0.0,53.0,31.0,86.0,67.0,49.0,48.0,41.0,0.0
2020-02-29,69.0,0.0,73.0,29.0,91.0,69.0,64.0,63.0,0.0,0.0
2020-03-01,73.0,55.0,100.0,57.0,87.0,92.0,57.0,29.0,30.0,0.0
2020-03-02,59.0,24.0,71.0,70.0,86.0,72.0,63.0,46.0,53.0,63.0
2020-03-03,54.0,24.0,70.0,45.0,81.0,56.0,80.0,85.0,27.0,63.0
