,Expedia,hotels.com,airbnb,Flighthub,Hôtel,trivago,Marriott,hôtel,réservation,couchsurfing
2020-01-01,67.0,43.0,88.0,40.0,42.0,74.0,46.0,54.0,0.0,0.0
2020-01-02,61.0,28.0,76.0,63.0,66.0,69.0,63.0,70.0,58.0,71.0
2020-01-03,63.0,0.0,68.0,49.0,57.0,88.0,63.0,71.0,59.0,0.0
2020-01-04,76.0,0.0,70.0,52.0,74.0,82.0,68.0,64.0,48.0,0.0
2020-01-05,70.0,28.0,88.0,40.0,49.0,80.0,52.0,46.0,24.0,0.0
2020-01-06,92.0,26.0,59.0,47.0,33.0,85.0,72.0,50.0,43.0,0.0
2020-01-07,73.0,39.0,68.0,64.0,73.0,68.0,84.0,89.0,51.0,0.0
2020-01-08,80.0,25.0,59.0,73.0,55.0,83.0,86.0,84.0,86.0,0.0
2020-01-09,77.0,26.0,74.0,95.0,56.0,70.0,56.0,50.0,86.0,0.0
2020-01-10,71.0,39.0,62.0,96.0,62.0,72.0,54.0,62.0,22.0,0.0
2020-01-11,94.0,28.0,73.0,75.0,49.0,74.0,61.0,63.0,71.0,72.0
2020-01-12,62.0,26.0,94.0,44.0,34.0,88.0,72.0,44.0,30.0,0.0
2020-01-13,57.0,47.0,76.0,48.0,61.0,74.0,100.0,63.0,33.0,0.0
2020-01-14,93.0,47.0,72.0,81.0,80.0,80.0,81.0,80.0,59.0,0.0
2020-01-15,77.0,50.0,59.0,57.0,93.0,89.0,66.0,87.0,32.0,65.0
2020-01-16,85.0,52.0,60.0,74.0,79.0,59.0,76.0,65.0,29.0,67.0
2020-01-17,70.0,39.0,55.0,75.0,85.0,76.0,63.0,70.0,37.0,0.0
2020-01-18,77.0,57.0,72.0,41.0,56.0,64.0,81.0,73.0,81.0,0.0
2020-01-19,75.0,28.0,85.0,58.0,73.0,88.0,70.0,67.0,59.0,0.0
2020-01-20,79.0,34.0,70.0,100.0,67.0,76.0,64.0,84.0,43.0,65.0
2020-01-21,70.0,34.0,73.0,83.0,61.0,68.0,74.0,76.0,43.0,0.0
2020-01-22,84.0,26.0,68.0,95.0,100.0,58.0,47.0,88.0,50.0,66.0
2020-01-23,100.0,26.0,79.0,42.0,84.0,68.0,45.0,89.0,44.0,66.0
2020-01-24,61.0,39.0,57.0,48.0,51.0,58.0,48.0,94.0,44.0,67.0
2020-01-25,71.0,29.0,66.0,59.0,56.0,66.0,63.0,78.0,49.0,75.0
2020-01-26,70.0,27.0,81.0,85.0,54.0,74.0,48.0,58.0,54.0,0.0
2020-01-27,75.0,24.0,65.0,61.0,53.0,83.0,96.0,48.0,48.0,63.0
2020-01-28,84.0,25.0,60.0,66.0,54.0,64.0,48.0,63.0,49.0,64.0
2020-01-29,61.0,50.0,74.0,67.0,77.0,54.0,46.0,56.0,53.0,65.0
2020-01-30,59.0,26.0,81.0,53.0,85.0,72.0,73.0,81.0,65.0,100.0
2020-01-31,54.0,26.0,66.0,65.0,51.0,64.0,48.0,59.0,55.0,0.0
2020-02-01,50.0,48.0,78.0,53.0,31.0,54.0,56.0,43.0,24.0,0.0
2020-02-02,71.0,28.0,84.0,69.0,61.0,81.0,55.0,63.0,23.0,72.0
2020-02-03,76.0,23.0,60.0,66.0,69.0,49.0,45.0,65.0,39.0,59.0
2020-02-04,57.0,25.0,82.0,54.0,82.0,63.0,60.0,87.0,63.0,0.0
2020-02-05,73.0,25.0,67.0,63.0,61.0,54.0,55.0,57.0,35.0,0.0
2020-02-06,59.0,34.0,56.0,73.0,71.0,44.0,71.0,76.0,28.0,0.0
2020-02-07,72.0,24.0,66.0,65.0,79.0,56.0,45.0,73.0,54.0,0.0
2020-02-08,62.0,30.0,72.0,67.0,39.0,74.0,65.0,49.0,100.0,0.0
2020-02-09,51.0,28.0,100.0,29.0,49.0,63.0,65.0,46.0,48.0,73.0
2020-02-10,54.0,33.0,72.0,57.0,87.0,64.0,46.0,79.0,35.0,0.0
2020-02-11,80.0,25.0,73.0,57.0,71.0,73.0,79.0,71.0,91.0,0.0
2020-02-12,59.0,25.0,59.0,83.0,49.0,56.0,47.0,68.0,50.0,0.0
