,Remax,DuProprio,Kijiji,Centris,Zumper,Realtor,real estate agent,mortgage,Royal Lepage,Sutton
2020-01-01,44.0,47.0,62.0,52.0,43.0,44.0,0.0,14.0,34.0,43.0
2020-01-02,56.0,63.0,71.0,61.0,36.0,74.0,35.0,22.0,42.0,54.0
2020-01-03,65.0,48.0,69.0,63.0,0.0,53.0,34.0,29.0,72.0,56.0
2020-01-04,69.0,55.0,80.0,64.0,0.0,41.0,36.0,40.0,85.0,68.0
2020-01-05,61.0,81.0,75.0,72.0,0.0,76.0,36.0,25.0,47.0,65.0
2020-01-06,40.0,55.0,65.0,61.0,34.0,40.0,33.0,42.0,35.0,48.0
2020-01-07,52.0,61.0,66.0,62.0,34.0,49.0,50.0,20.0,51.0,35.0
2020-01-08,46.0,57.0,59.0,66.0,0.0,51.0,0.0,35.0,69.0,23.0
2020-01-09,54.0,52.0,61.0,60.0,0.0,40.0,33.0,34.0,46.0,41.0
2020-01-10,58.0,50.0,57.0,60.0,0.0,52.0,66.0,15.0,47.0,62.0
2020-01-11,74.0,65.0,66.0,83.0,36.0,82.0,36.0,35.0,67.0,60.0
2020-01-12,54.0,55.0,67.0,71.0,35.0,89.0,34.0,22.0,68.0,54.0
2020-01-13,52.0,54.0,63.0,70.0,31.0,56.0,0.0,33.0,35.0,50.0
2020-01-14,54.0,69.0,60.0,72.0,30.0,36.0,0.0,35.0,63.0,60.0
2020-01-15,64.0,57.0,62.0,68.0,0.0,73.0,0.0,37.0,65.0,61.0
2020-01-16,71.0,65.0,65.0,68.0,0.0,55.0,66.0,19.0,62.0,65.0
2020-01-17,66.0,75.0,59.0,61.0,34.0,68.0,0.0,25.0,51.0,54.0
2020-01-18,65.0,51.0,72.0,74.0,0.0,16.0,0.0,33.0,61.0,100.0
2020-01-19,67.0,73.0,69.0,69.0,37.0,69.0,0.0,33.0,51.0,80.0
2020-01-20,61.0,61.0,69.0,68.0,0.0,57.0,49.0,31.0,62.0,37.0
2020-01-21,66.0,76.0,62.0,67.0,0.0,71.0,32.0,32.0,50.0,59.0
2020-01-22,65.0,69.0,63.0,77.0,45.0,49.0,33.0,44.0,62.0,46.0
2020-01-23,60.0,58.0,58.0,68.0,100.0,75.0,0.0,43.0,50.0,60.0
2020-01-24,70.0,71.0,62.0,84.0,34.0,50.0,0.0,41.0,79.0,56.0
2020-01-25,83.0,78.0,73.0,84.0,38.0,52.0,37.0,24.0,78.0,67.0
2020-01-26,88.0,80.0,71.0,81.0,0.0,83.0,53.0,33.0,70.0,56.0
2020-01-27,70.0,65.0,66.0,68.0,0.0,49.0,31.0,37.0,63.0,50.0
2020-01-28,67.0,68.0,65.0,81.0,32.0,95.0,0.0,38.0,78.0,53.0
2020-01-29,64.0,78.0,62.0,66.0,0.0,68.0,32.0,30.0,53.0,45.0
2020-01-30,78.0,56.0,61.0,77.0,34.0,55.0,33.0,30.0,86.0,62.0
2020-01-31,66.0,63.0,61.0,83.0,0.0,65.0,67.0,33.0,63.0,65.0
2020-02-01,80.0,95.0,74.0,93.0,0.0,90.0,37.0,41.0,52.0,72.0
2020-02-02,90.0,78.0,73.0,90.0,36.0,100.0,36.0,16.0,71.0,37.0
2020-02-03,72.0,69.0,68.0,73.0,30.0,72.0,59.0,37.0,76.0,57.0
