,jewelry,diamond ring,earrings,bracelet,watch,Pandora,Tiffany & Co	,Swarovski,piercing,ring
2020-01-01,32.0,46.0,94.0,80.0,79.0,80.0,0.0,93.0,56.0,75.0
2020-01-02,100.0,39.0,62.0,79.0,71.0,100.0,0.0,100.0,76.0,87.0
2020-01-03,70.0,56.0,76.0,78.0,71.0,75.0,0.0,45.0,91.0,86.0
2020-01-04,51.0,40.0,63.0,72.0,73.0,49.0,0.0,38.0,65.0,78.0
2020-01-05,70.0,0.0,27.0,61.0,79.0,47.0,0.0,64.0,93.0,56.0
2020-01-06,75.0,36.0,65.0,45.0,58.0,61.0,0.0,44.0,41.0,71.0
2020-01-07,40.0,0.0,50.0,43.0,68.0,47.0,0.0,34.0,74.0,55.0
2020-01-08,42.0,36.0,57.0,100.0,70.0,31.0,0.0,24.0,48.0,70.0
2020-01-09,50.0,73.0,74.0,53.0,67.0,48.0,0.0,44.0,100.0,69.0
2020-01-10,54.0,0.0,37.0,41.0,58.0,45.0,0.0,45.0,56.0,48.0
2020-01-11,66.0,0.0,54.0,55.0,66.0,28.0,99.0,37.0,89.0,41.0
2020-01-12,44.0,0.0,68.0,42.0,80.0,44.0,0.0,38.0,76.0,73.0
2020-01-13,56.0,33.0,60.0,53.0,52.0,46.0,0.0,45.0,54.0,76.0
2020-01-14,58.0,0.0,44.0,62.0,58.0,49.0,0.0,27.0,57.0,55.0
2020-01-15,46.0,35.0,64.0,52.0,63.0,38.0,0.0,19.0,65.0,78.0
2020-01-16,47.0,0.0,62.0,53.0,45.0,34.0,0.0,59.0,63.0,59.0
2020-01-17,47.0,74.0,50.0,54.0,50.0,44.0,0.0,40.0,41.0,70.0
2020-01-18,60.0,40.0,74.0,74.0,80.0,48.0,0.0,49.0,37.0,63.0
2020-01-19,67.0,0.0,54.0,69.0,100.0,43.0,100.0,37.0,61.0,74.0
2020-01-20,50.0,37.0,33.0,68.0,46.0,24.0,0.0,24.0,48.0,62.0
2020-01-21,49.0,0.0,49.0,40.0,58.0,40.0,0.0,48.0,66.0,44.0
2020-01-22,39.0,0.0,49.0,40.0,51.0,46.0,0.0,34.0,63.0,57.0
2020-01-23,57.0,36.0,62.0,56.0,48.0,24.0,0.0,25.0,44.0,51.0
2020-01-24,40.0,37.0,58.0,54.0,63.0,23.0,0.0,20.0,75.0,85.0
2020-01-25,44.0,0.0,55.0,79.0,71.0,29.0,0.0,33.0,75.0,74.0
2020-01-26,54.0,0.0,35.0,73.0,81.0,28.0,0.0,24.0,87.0,79.0
2020-01-27,55.0,34.0,78.0,75.0,51.0,27.0,0.0,42.0,42.0,80.0
2020-01-28,48.0,35.0,40.0,34.0,54.0,41.0,0.0,24.0,61.0,57.0
2020-01-29,38.0,70.0,64.0,59.0,47.0,44.0,0.0,22.0,72.0,72.0
2020-01-30,43.0,36.0,50.0,69.0,44.0,41.0,0.0,49.0,45.0,65.0
2020-01-31,44.0,37.0,63.0,62.0,54.0,44.0,0.0,30.0,68.0,76.0
2020-02-01,48.0,40.0,64.0,59.0,68.0,38.0,0.0,38.0,79.0,76.0
2020-02-02,54.0,40.0,36.0,41.0,92.0,36.0,0.0,58.0,88.0,100.0
2020-02-03,41.0,0.0,88.0,43.0,59.0,40.0,81.0,26.0,40.0,73.0
2020-02-04,63.0,88.0,36.0,52.0,46.0,33.0,0.0,62.0,54.0,76.0
2020-02-05,53.0,0.0,49.0,55.0,50.0,28.0,0.0,39.0,69.0,75.0
2020-02-06,42.0,36.0,73.0,67.0,59.0,59.0,89.0,22.0,22.0,53.0
2020-02-07,44.0,34.0,39.0,48.0,52.0,40.0,0.0,32.0,63.0,61.0
2020-02-08,66.0,84.0,86.0,73.0,65.0,52.0,0.0,28.0,90.0,63.0
2020-02-09,59.0,40.0,41.0,69.0,98.0,76.0,0.0,32.0,53.0,67.0
2020-02-10,70.0,0.0,60.0,42.0,69.0,42.0,0.0,29.0,61.0,67.0
2020-02-11,42.0,35.0,48.0,66.0,64.0,31.0,88.0,19.0,75.0,69.0
2020-02-12,49.0,0.0,89.0,72.0,57.0,44.0,90.0,29.0,58.0,65.0
2020-02-13,53.0,36.0,48.0,72.0,50.0,64.0,0.0,82.0,36.0,62.0
2020-02-14,50.0,72.0,65.0,65.0,52.0,57.0,0.0,49.0,51.0,69.0
2020-02-15,95.0,40.0,54.0,76.0,63.0,41.0,0.0,54.0,65.0,89.0
2020-02-16,46.0,39.0,93.0,65.0,60.0,50.0,0.0,40.0,80.0,74.0
2020-02-17,55.0,0.0,78.0,58.0,45.0,30.0,0.0,28.0,74.0,83.0
2020-02-18,23.0,0.0,46.0,59.0,49.0,36.0,0.0,37.0,48.0,89.0
2020-02-19,44.0,34.0,46.0,33.0,46.0,35.0,0.0,37.0,52.0,51.0
2020-02-20,55.0,34.0,35.0,51.0,45.0,39.0,86.0,49.0,56.0,60.0
2020-02-21,36.0,71.0,32.0,34.0,57.0,27.0,0.0,64.0,83.0,53.0
2020-02-22,47.0,39.0,93.0,69.0,68.0,50.0,0.0,69.0,76.0,87.0
2020-02-23,49.0,39.0,61.0,56.0,62.0,55.0,0.0,31.0,51.0,78.0
2020-02-24,40.0,68.0,62.0,50.0,52.0,46.0,0.0,23.0,56.0,65.0
2020-02-25,64.0,0.0,100.0,64.0,53.0,24.0,0.0,34.0,66.0,74.0
2020-02-26,29.0,0.0,60.0,53.0,53.0,25.0,0.0,22.0,57.0,43.0
2020-02-27,37.0,31.0,36.0,48.0,48.0,21.0,0.0,19.0,67.0,46.0
2020-02-28,59.0,35.0,48.0,59.0,62.0,34.0,0.0,33.0,79.0,73.0
2020-02-29,47.0,39.0,80.0,49.0,60.0,36.0,0.0,21.0,40.0,71.0
2020-03-01,50.0,39.0,88.0,62.0,63.0,46.0,0.0,53.0,91.0,62.0
2020-03-02,54.0,34.0,58.0,55.0,60.0,58.0,0.0,37.0,87.0,65.0
2020-03-03,96.0,35.0,39.0,60.0,55.0,48.0,0.0,28.0,64.0,58.0
2020-03-04,64.0,0.0,54.0,36.0,49.0,37.0,0.0,32.0,81.0,73.0
