,Agriculture,Arts	,Education,Hospitality,IT,Health Services,Science	,Dentist,Human Resources,Lawyer
2020-01-01,21.0,42.0,16.0,0.0,76.0,0.0,20.0,33.0,32.0,31.0
2020-01-02,11.0,52.0,24.0,35.0,71.0,56.0,43.0,49.0,27.0,50.0
2020-01-03,41.0,47.0,26.0,0.0,67.0,27.0,54.0,47.0,0.0,51.0
2020-01-04,16.0,79.0,19.0,36.0,72.0,0.0,46.0,54.0,28.0,61.0
2020-01-05,16.0,65.0,28.0,0.0,79.0,29.0,47.0,33.0,0.0,66.0
2020-01-06,16.0,37.0,44.0,66.0,74.0,52.0,75.0,79.0,25.0,49.0
2020-01-07,45.0,49.0,50.0,33.0,79.0,40.0,80.0,98.0,100.0,89.0
2020-01-08,33.0,66.0,46.0,66.0,76.0,26.0,82.0,71.0,37.0,57.0
2020-01-09,26.0,49.0,26.0,0.0,80.0,26.0,69.0,79.0,63.0,61.0
2020-01-10,30.0,44.0,36.0,33.0,77.0,0.0,71.0,65.0,64.0,61.0
2020-01-11,16.0,63.0,24.0,36.0,77.0,29.0,67.0,49.0,41.0,69.0
2020-01-12,24.0,45.0,28.0,0.0,69.0,27.0,56.0,47.0,26.0,37.0
2020-01-13,39.0,58.0,38.0,61.0,71.0,24.0,79.0,83.0,0.0,71.0
2020-01-14,36.0,52.0,55.0,40.0,75.0,24.0,78.0,78.0,79.0,67.0
2020-01-15,52.0,39.0,51.0,43.0,75.0,26.0,92.0,78.0,25.0,59.0
2020-01-16,30.0,51.0,39.0,55.0,69.0,26.0,58.0,53.0,33.0,61.0
2020-01-17,30.0,42.0,61.0,34.0,74.0,0.0,61.0,77.0,25.0,67.0
2020-01-18,18.0,45.0,72.0,37.0,73.0,29.0,52.0,25.0,28.0,68.0
2020-01-19,18.0,39.0,88.0,36.0,69.0,29.0,63.0,45.0,27.0,54.0
2020-01-20,15.0,51.0,100.0,33.0,76.0,26.0,63.0,79.0,58.0,69.0
2020-01-21,23.0,46.0,92.0,32.0,77.0,26.0,100.0,74.0,0.0,35.0
2020-01-22,23.0,51.0,99.0,33.0,71.0,35.0,86.0,60.0,25.0,58.0
2020-01-23,30.0,39.0,91.0,100.0,74.0,26.0,71.0,76.0,33.0,41.0
2020-01-24,20.0,48.0,77.0,0.0,88.0,27.0,60.0,100.0,38.0,56.0
2020-01-25,22.0,52.0,59.0,0.0,77.0,0.0,72.0,42.0,28.0,56.0
2020-01-26,25.0,50.0,57.0,0.0,75.0,28.0,54.0,36.0,27.0,62.0
2020-01-27,47.0,34.0,62.0,31.0,74.0,25.0,70.0,93.0,24.0,37.0
2020-01-28,22.0,50.0,48.0,48.0,78.0,25.0,77.0,69.0,24.0,80.0
2020-01-29,32.0,42.0,55.0,97.0,76.0,26.0,92.0,66.0,37.0,62.0
2020-01-30,60.0,45.0,55.0,33.0,77.0,40.0,66.0,84.0,38.0,44.0
2020-01-31,30.0,51.0,68.0,67.0,76.0,27.0,72.0,50.0,25.0,53.0
2020-02-01,44.0,49.0,50.0,55.0,64.0,29.0,53.0,21.0,28.0,49.0
2020-02-02,21.0,49.0,52.0,0.0,69.0,28.0,55.0,31.0,0.0,45.0
2020-02-03,38.0,39.0,48.0,59.0,74.0,47.0,59.0,64.0,22.0,49.0
2020-02-04,32.0,55.0,52.0,48.0,76.0,26.0,81.0,74.0,49.0,57.0
2020-02-05,39.0,65.0,69.0,33.0,68.0,26.0,70.0,71.0,25.0,52.0
2020-02-06,23.0,58.0,54.0,64.0,69.0,77.0,67.0,48.0,37.0,73.0
2020-02-07,19.0,47.0,40.0,31.0,64.0,100.0,61.0,50.0,47.0,52.0
2020-02-08,23.0,49.0,33.0,0.0,73.0,0.0,71.0,65.0,0.0,32.0
2020-02-09,14.0,47.0,49.0,0.0,80.0,29.0,48.0,17.0,0.0,51.0
2020-02-10,23.0,63.0,49.0,64.0,67.0,26.0,72.0,70.0,24.0,32.0
2020-02-11,29.0,70.0,56.0,32.0,74.0,25.0,77.0,66.0,24.0,48.0
2020-02-12,29.0,58.0,63.0,0.0,83.0,26.0,71.0,71.0,25.0,52.0
2020-02-13,19.0,57.0,48.0,33.0,73.0,26.0,69.0,63.0,25.0,54.0
2020-02-14,23.0,50.0,34.0,66.0,73.0,26.0,50.0,38.0,25.0,38.0
2020-02-15,11.0,48.0,36.0,0.0,82.0,29.0,78.0,33.0,42.0,33.0
2020-02-16,25.0,55.0,31.0,36.0,83.0,28.0,54.0,28.0,27.0,45.0
2020-02-17,41.0,64.0,43.0,47.0,72.0,25.0,81.0,61.0,24.0,55.0
2020-02-18,31.0,46.0,47.0,62.0,78.0,25.0,83.0,46.0,23.0,67.0
2020-02-19,15.0,63.0,46.0,62.0,86.0,25.0,78.0,64.0,47.0,49.0
2020-02-20,28.0,57.0,41.0,32.0,85.0,25.0,90.0,68.0,24.0,60.0
2020-02-21,19.0,57.0,42.0,32.0,77.0,25.0,52.0,51.0,0.0,56.0
2020-02-22,21.0,47.0,35.0,36.0,77.0,0.0,60.0,57.0,36.0,24.0
2020-02-23,21.0,41.0,36.0,35.0,79.0,0.0,71.0,28.0,26.0,55.0
2020-02-24,14.0,58.0,41.0,46.0,72.0,33.0,66.0,60.0,24.0,42.0
2020-02-25,9.0,50.0,51.0,31.0,75.0,25.0,75.0,53.0,39.0,54.0
2020-02-26,30.0,55.0,51.0,0.0,64.0,48.0,67.0,55.0,23.0,75.0
2020-02-27,20.0,52.0,39.0,0.0,71.0,34.0,59.0,65.0,22.0,74.0
2020-02-28,35.0,64.0,37.0,64.0,74.0,42.0,79.0,73.0,36.0,27.0
2020-02-29,11.0,100.0,26.0,36.0,77.0,0.0,51.0,24.0,27.0,39.0
2020-03-01,21.0,78.0,36.0,36.0,75.0,28.0,64.0,57.0,27.0,53.0
2020-03-02,34.0,65.0,33.0,0.0,70.0,50.0,63.0,50.0,24.0,65.0
2020-03-03,33.0,64.0,37.0,31.0,80.0,50.0,64.0,58.0,36.0,100.0
2020-03-04,31.0,59.0,37.0,31.0,70.0,25.0,70.0,100.0,59.0,60.0
2020-03-05,32.0,77.0,36.0,32.0,81.0,26.0,49.0,37.0,41.0,62.0
2020-03-06,19.0,60.0,21.0,48.0,79.0,51.0,54.0,40.0,36.0,56.0
2020-03-07,25.0,63.0,24.0,36.0,78.0,0.0,73.0,37.0,27.0,48.0
2020-03-08,41.0,54.0,28.0,0.0,83.0,0.0,55.0,59.0,26.0,66.0
2020-03-09,33.0,48.0,42.0,60.0,77.0,40.0,82.0,62.0,23.0,48.0
2020-03-10,32.0,56.0,47.0,44.0,79.0,23.0,93.0,54.0,45.0,52.0
2020-03-11,34.0,60.0,42.0,31.0,76.0,24.0,70.0,59.0,23.0,74.0
2020-03-12,21.0,85.0,48.0,29.0,72.0,47.0,59.0,37.0,33.0,49.0
2020-03-13,20.0,51.0,31.0,58.0,64.0,23.0,49.0,66.0,22.0,56.0
2020-03-14,32.0,44.0,34.0,35.0,75.0,28.0,40.0,20.0,27.0,47.0
2020-03-15,10.0,24.0,39.0,69.0,72.0,54.0,48.0,43.0,25.0,37.0
2020-03-16,12.0,31.0,38.0,29.0,68.0,62.0,45.0,64.0,22.0,59.0
2020-03-17,15.0,24.0,41.0,30.0,70.0,24.0,45.0,47.0,30.0,54.0
2020-03-18,27.0,27.0,31.0,45.0,72.0,60.0,66.0,58.0,30.0,58.0
2020-03-19,18.0,28.0,45.0,30.0,69.0,32.0,55.0,31.0,23.0,47.0
2020-03-20,29.0,25.0,41.0,48.0,71.0,23.0,49.0,36.0,22.0,31.0
2020-03-21,20.0,17.0,29.0,0.0,86.0,26.0,47.0,49.0,50.0,47.0
2020-03-22,20.0,14.0,47.0,32.0,84.0,0.0,55.0,33.0,25.0,41.0
2020-03-23,36.0,34.0,29.0,43.0,80.0,28.0,36.0,75.0,33.0,33.0
2020-03-24,13.0,26.0,29.0,0.0,82.0,45.0,42.0,46.0,29.0,48.0
2020-03-25,18.0,21.0,30.0,30.0,77.0,24.0,44.0,27.0,23.0,50.0
2020-03-26,26.0,13.0,41.0,29.0,84.0,39.0,45.0,44.0,34.0,25.0
2020-03-27,14.0,23.0,27.0,0.0,74.0,23.0,56.0,39.0,33.0,29.0
2020-03-28,23.0,24.0,36.0,0.0,86.0,0.0,55.0,22.0,25.0,41.0
2020-03-29,22.0,24.0,30.0,31.0,87.0,50.0,42.0,39.0,47.0,39.0
2020-03-30,30.0,22.0,46.0,28.0,74.0,22.0,54.0,32.0,35.0,32.0
2020-03-31,20.0,23.0,48.0,29.0,75.0,23.0,48.0,49.0,22.0,36.0
2020-04-01,19.0,23.0,39.0,28.0,85.0,22.0,59.0,38.0,42.0,32.0
2020-04-02,22.0,27.0,36.0,41.0,83.0,0.0,56.0,28.0,0.0,44.0
2020-04-03,23.0,20.0,38.0,28.0,80.0,22.0,54.0,32.0,22.0,40.0
2020-04-04,25.0,6.0,20.0,33.0,83.0,26.0,56.0,34.0,25.0,50.0
2020-04-05,42.0,9.0,23.0,0.0,88.0,24.0,58.0,28.0,23.0,66.0
2020-04-06,21.0,13.0,34.0,0.0,81.0,21.0,41.0,21.0,27.0,45.0
2020-04-07,33.0,10.0,46.0,27.0,84.0,89.0,73.0,32.0,31.0,35.0
2020-04-08,16.0,25.0,38.0,0.0,84.0,0.0,70.0,31.0,28.0,27.0
2020-04-09,18.0,27.0,25.0,0.0,74.0,21.0,49.0,45.0,40.0,26.0
2020-04-10,14.0,25.0,27.0,0.0,84.0,23.0,50.0,29.0,22.0,31.0
2020-04-11,15.0,15.0,30.0,0.0,88.0,0.0,52.0,24.0,0.0,43.0
