,Indeed,layoff,Linkedin,jobless,internship,placement,EI,employment insurance,laid off,unemployment
2020-01-01,22.0,0.0,34.0,0.0,28.0,35.0,5.0,9.0,0.0,16.0
2020-01-02,44.0,0.0,29.0,0.0,37.0,34.0,7.0,7.0,0.0,6.0
2020-01-03,47.0,0.0,49.0,0.0,47.0,42.0,8.0,7.0,19.0,11.0
2020-01-04,31.0,0.0,28.0,0.0,75.0,51.0,7.0,8.0,0.0,14.0
2020-01-05,39.0,0.0,32.0,0.0,37.0,40.0,4.0,0.0,0.0,6.0
2020-01-06,75.0,0.0,73.0,0.0,45.0,51.0,12.0,10.0,0.0,9.0
2020-01-07,71.0,0.0,82.0,0.0,45.0,75.0,14.0,14.0,0.0,10.0
2020-01-08,69.0,25.0,83.0,0.0,52.0,80.0,5.0,14.0,0.0,10.0
2020-01-09,64.0,25.0,81.0,0.0,38.0,69.0,10.0,7.0,18.0,9.0
2020-01-10,57.0,25.0,90.0,0.0,46.0,80.0,10.0,7.0,0.0,9.0
2020-01-11,40.0,0.0,33.0,0.0,49.0,41.0,7.0,0.0,0.0,6.0
2020-01-12,37.0,0.0,35.0,0.0,58.0,42.0,7.0,7.0,0.0,8.0
2020-01-13,59.0,0.0,89.0,0.0,42.0,73.0,6.0,16.0,0.0,10.0
2020-01-14,80.0,22.0,87.0,0.0,41.0,70.0,9.0,0.0,0.0,7.0
2020-01-15,56.0,24.0,87.0,0.0,89.0,78.0,4.0,7.0,18.0,8.0
2020-01-16,79.0,0.0,81.0,0.0,57.0,74.0,6.0,9.0,0.0,12.0
2020-01-17,60.0,0.0,65.0,0.0,58.0,77.0,10.0,7.0,0.0,13.0
2020-01-18,38.0,0.0,37.0,0.0,38.0,54.0,7.0,15.0,0.0,6.0
2020-01-19,42.0,27.0,31.0,0.0,74.0,27.0,7.0,8.0,0.0,9.0
2020-01-20,72.0,25.0,85.0,0.0,53.0,76.0,9.0,7.0,18.0,10.0
2020-01-21,73.0,0.0,86.0,0.0,52.0,84.0,7.0,0.0,18.0,7.0
2020-01-22,100.0,25.0,94.0,61.0,90.0,84.0,5.0,7.0,0.0,10.0
2020-01-23,72.0,0.0,87.0,0.0,68.0,74.0,6.0,9.0,0.0,5.0
2020-01-24,62.0,0.0,82.0,0.0,38.0,49.0,11.0,10.0,0.0,11.0
2020-01-25,48.0,0.0,57.0,0.0,51.0,33.0,6.0,0.0,0.0,6.0
2020-01-26,41.0,27.0,48.0,0.0,97.0,57.0,7.0,15.0,0.0,6.0
2020-01-27,56.0,0.0,85.0,0.0,43.0,66.0,6.0,13.0,0.0,10.0
2020-01-28,79.0,0.0,89.0,0.0,33.0,79.0,7.0,7.0,17.0,5.0
2020-01-29,64.0,25.0,94.0,0.0,66.0,100.0,5.0,17.0,0.0,12.0
2020-01-30,65.0,0.0,80.0,0.0,61.0,75.0,5.0,7.0,0.0,5.0
2020-01-31,70.0,0.0,84.0,0.0,62.0,72.0,6.0,7.0,0.0,12.0
2020-02-01,39.0,0.0,38.0,0.0,42.0,43.0,5.0,0.0,20.0,6.0
2020-02-02,40.0,0.0,41.0,0.0,74.0,34.0,7.0,7.0,0.0,6.0
2020-02-03,57.0,0.0,79.0,0.0,61.0,76.0,8.0,6.0,0.0,9.0
2020-02-04,72.0,24.0,91.0,0.0,44.0,76.0,9.0,7.0,18.0,7.0
2020-02-05,81.0,0.0,100.0,0.0,33.0,86.0,6.0,0.0,0.0,8.0
2020-02-06,66.0,0.0,83.0,0.0,45.0,81.0,9.0,7.0,0.0,10.0
2020-02-07,59.0,0.0,68.0,0.0,64.0,69.0,8.0,13.0,0.0,7.0
2020-02-08,55.0,0.0,44.0,0.0,52.0,32.0,7.0,8.0,0.0,6.0
