,knife,cutting board,mixing bowl,measuring cup,can opener,spoon,spatula,tupperware,pan,dishwasher
2020-01-01,83.0,100.0,0.0,0.0,0.0,41.0,0.0,51.0,55.0,53.0
2020-01-02,73.0,29.0,0.0,0.0,0.0,39.0,0.0,37.0,60.0,66.0
2020-01-03,63.0,27.0,0.0,0.0,0.0,42.0,42.0,31.0,55.0,63.0
2020-01-04,59.0,0.0,0.0,0.0,45.0,45.0,45.0,41.0,45.0,49.0
2020-01-05,67.0,29.0,0.0,0.0,45.0,53.0,0.0,60.0,54.0,49.0
2020-01-06,57.0,27.0,88.0,0.0,41.0,24.0,0.0,24.0,55.0,72.0
2020-01-07,74.0,53.0,0.0,0.0,41.0,24.0,0.0,31.0,52.0,50.0
2020-01-08,49.0,26.0,0.0,0.0,0.0,72.0,40.0,37.0,41.0,33.0
2020-01-09,62.0,27.0,0.0,49.0,41.0,61.0,41.0,41.0,43.0,50.0
2020-01-10,62.0,27.0,0.0,0.0,0.0,74.0,0.0,17.0,58.0,57.0
2020-01-11,76.0,29.0,0.0,0.0,0.0,53.0,0.0,48.0,56.0,85.0
2020-01-12,51.0,0.0,0.0,51.0,42.0,100.0,0.0,35.0,38.0,69.0
2020-01-13,53.0,24.0,0.0,0.0,0.0,45.0,0.0,37.0,36.0,51.0
2020-01-14,33.0,24.0,0.0,0.0,0.0,44.0,0.0,46.0,54.0,61.0
2020-01-15,64.0,26.0,0.0,0.0,40.0,24.0,0.0,27.0,42.0,55.0
2020-01-16,70.0,27.0,0.0,0.0,0.0,49.0,0.0,24.0,49.0,33.0
2020-01-17,63.0,27.0,0.0,0.0,0.0,49.0,42.0,31.0,44.0,51.0
2020-01-18,41.0,45.0,0.0,0.0,0.0,0.0,45.0,30.0,62.0,100.0
2020-01-19,67.0,0.0,0.0,0.0,45.0,40.0,0.0,37.0,54.0,49.0
2020-01-20,61.0,0.0,0.0,0.0,0.0,36.0,0.0,27.0,68.0,50.0
2020-01-21,61.0,0.0,0.0,0.0,41.0,24.0,40.0,37.0,49.0,50.0
2020-01-22,53.0,27.0,0.0,49.0,0.0,24.0,0.0,34.0,37.0,42.0
2020-01-23,45.0,26.0,0.0,50.0,0.0,37.0,0.0,31.0,70.0,84.0
2020-01-24,54.0,27.0,0.0,50.0,42.0,25.0,83.0,21.0,36.0,60.0
2020-01-25,60.0,30.0,99.0,56.0,92.0,27.0,0.0,38.0,51.0,56.0
2020-01-26,66.0,0.0,0.0,0.0,44.0,52.0,44.0,47.0,51.0,66.0
2020-01-27,20.0,25.0,0.0,0.0,39.0,62.0,77.0,32.0,41.0,48.0
2020-01-28,40.0,26.0,0.0,0.0,0.0,23.0,0.0,33.0,50.0,64.0
2020-01-29,44.0,0.0,87.0,0.0,0.0,35.0,40.0,37.0,36.0,55.0
2020-01-30,41.0,26.0,0.0,0.0,42.0,48.0,41.0,41.0,37.0,51.0
2020-01-31,50.0,0.0,0.0,0.0,0.0,33.0,42.0,38.0,42.0,46.0
2020-02-01,69.0,0.0,100.0,0.0,46.0,36.0,46.0,38.0,53.0,50.0
2020-02-02,36.0,0.0,0.0,0.0,44.0,66.0,0.0,48.0,47.0,73.0
2020-02-03,22.0,0.0,0.0,0.0,37.0,32.0,36.0,33.0,37.0,50.0
2020-02-04,60.0,26.0,0.0,0.0,0.0,24.0,0.0,37.0,42.0,33.0
2020-02-05,53.0,26.0,0.0,0.0,41.0,40.0,40.0,17.0,53.0,44.0
2020-02-06,40.0,26.0,0.0,0.0,40.0,24.0,0.0,30.0,40.0,58.0
2020-02-07,43.0,0.0,0.0,0.0,39.0,34.0,0.0,42.0,43.0,53.0
2020-02-08,100.0,31.0,0.0,0.0,0.0,28.0,47.0,20.0,26.0,90.0
2020-02-09,54.0,0.0,0.0,0.0,0.0,67.0,0.0,30.0,72.0,55.0
2020-02-10,52.0,0.0,86.0,0.0,0.0,48.0,40.0,20.0,62.0,49.0
2020-02-11,80.0,0.0,0.0,0.0,0.0,31.0,0.0,30.0,50.0,38.0
2020-02-12,44.0,0.0,0.0,0.0,0.0,36.0,0.0,33.0,35.0,58.0
2020-02-13,53.0,0.0,0.0,0.0,0.0,64.0,40.0,30.0,24.0,27.0
2020-02-14,82.0,26.0,0.0,0.0,0.0,48.0,40.0,48.0,61.0,39.0
2020-02-15,63.0,29.0,99.0,0.0,46.0,45.0,0.0,64.0,48.0,46.0
2020-02-16,75.0,29.0,0.0,53.0,45.0,79.0,44.0,22.0,58.0,72.0
2020-02-17,43.0,0.0,0.0,0.0,0.0,23.0,78.0,29.0,61.0,43.0
2020-02-18,31.0,25.0,0.0,0.0,0.0,34.0,38.0,32.0,42.0,47.0
2020-02-19,39.0,25.0,0.0,0.0,0.0,46.0,0.0,58.0,58.0,47.0
2020-02-20,27.0,0.0,0.0,0.0,0.0,31.0,39.0,33.0,31.0,37.0
2020-02-21,72.0,0.0,0.0,0.0,40.0,31.0,80.0,30.0,48.0,43.0
2020-02-22,53.0,29.0,0.0,0.0,0.0,53.0,0.0,44.0,51.0,73.0
2020-02-23,39.0,28.0,0.0,0.0,0.0,64.0,43.0,43.0,81.0,35.0
2020-02-24,46.0,0.0,0.0,0.0,39.0,23.0,0.0,23.0,48.0,79.0
2020-02-25,38.0,0.0,83.0,46.0,39.0,23.0,38.0,35.0,39.0,42.0
2020-02-26,33.0,0.0,0.0,0.0,37.0,22.0,0.0,40.0,43.0,40.0
2020-02-27,43.0,23.0,0.0,0.0,0.0,21.0,0.0,21.0,29.0,29.0
2020-02-28,32.0,0.0,0.0,47.0,0.0,31.0,0.0,43.0,50.0,32.0
