,learn french,Duolingo,TED,Khan Academy,goodreads,translate,lessons,classes,online classes,summer courses
2020-01-01,46.0,19.0,75.0,0.0,26.0,45.0,41.0,44.0,42.0,53.0
2020-01-02,0.0,16.0,84.0,30.0,33.0,53.0,98.0,69.0,36.0,90.0
2020-01-03,0.0,31.0,71.0,19.0,21.0,60.0,74.0,83.0,0.0,44.0
2020-01-04,40.0,17.0,100.0,0.0,34.0,45.0,93.0,49.0,0.0,46.0
2020-01-05,0.0,17.0,80.0,0.0,23.0,50.0,92.0,56.0,37.0,46.0
2020-01-06,36.0,27.0,81.0,37.0,41.0,72.0,58.0,98.0,0.0,0.0
2020-01-07,55.0,39.0,55.0,28.0,62.0,87.0,78.0,74.0,34.0,42.0
2020-01-08,0.0,44.0,45.0,36.0,40.0,85.0,57.0,72.0,0.0,41.0
2020-01-09,37.0,36.0,68.0,37.0,31.0,84.0,52.0,74.0,33.0,42.0
2020-01-10,75.0,49.0,47.0,0.0,21.0,84.0,59.0,94.0,34.0,0.0
2020-01-11,79.0,33.0,60.0,40.0,22.0,55.0,56.0,59.0,36.0,0.0
2020-01-12,0.0,28.0,61.0,19.0,21.0,56.0,47.0,76.0,0.0,0.0
2020-01-13,34.0,17.0,50.0,0.0,57.0,84.0,60.0,74.0,31.0,58.0
2020-01-14,33.0,19.0,37.0,50.0,38.0,88.0,64.0,87.0,30.0,0.0
2020-01-15,0.0,24.0,49.0,0.0,100.0,87.0,69.0,100.0,33.0,82.0
2020-01-16,37.0,24.0,60.0,19.0,21.0,85.0,49.0,97.0,33.0,42.0
2020-01-17,0.0,19.0,28.0,0.0,32.0,83.0,53.0,59.0,0.0,0.0
2020-01-18,41.0,34.0,61.0,20.0,23.0,55.0,73.0,79.0,0.0,47.0
2020-01-19,40.0,20.0,91.0,20.0,23.0,52.0,86.0,88.0,0.0,46.0
2020-01-20,36.0,24.0,41.0,18.0,31.0,89.0,32.0,54.0,49.0,42.0
2020-01-21,0.0,44.0,81.0,18.0,20.0,87.0,76.0,50.0,33.0,42.0
2020-01-22,0.0,24.0,59.0,0.0,31.0,97.0,39.0,63.0,33.0,42.0
2020-01-23,37.0,49.0,69.0,37.0,41.0,92.0,49.0,61.0,0.0,42.0
2020-01-24,37.0,40.0,28.0,0.0,42.0,85.0,46.0,52.0,34.0,43.0
2020-01-25,0.0,17.0,56.0,42.0,23.0,59.0,51.0,36.0,37.0,0.0
2020-01-26,0.0,42.0,73.0,20.0,0.0,59.0,55.0,68.0,0.0,0.0
2020-01-27,0.0,23.0,56.0,0.0,59.0,83.0,46.0,100.0,0.0,0.0
2020-01-28,35.0,32.0,53.0,0.0,20.0,98.0,44.0,49.0,32.0,41.0
2020-01-29,0.0,30.0,85.0,18.0,61.0,96.0,26.0,54.0,0.0,0.0
2020-01-30,37.0,37.0,41.0,0.0,42.0,99.0,29.0,65.0,67.0,42.0
2020-01-31,37.0,28.0,60.0,0.0,0.0,88.0,53.0,75.0,34.0,0.0
2020-02-01,0.0,10.0,72.0,62.0,0.0,55.0,37.0,54.0,0.0,0.0
2020-02-02,40.0,13.0,85.0,0.0,0.0,53.0,64.0,66.0,36.0,0.0
2020-02-03,0.0,24.0,36.0,0.0,37.0,90.0,46.0,68.0,0.0,38.0
2020-02-04,0.0,41.0,53.0,18.0,20.0,95.0,19.0,50.0,0.0,81.0
2020-02-05,72.0,39.0,50.0,37.0,41.0,90.0,67.0,47.0,0.0,41.0
2020-02-06,72.0,42.0,90.0,0.0,20.0,91.0,29.0,73.0,0.0,0.0
2020-02-07,0.0,26.0,56.0,18.0,0.0,87.0,43.0,58.0,0.0,0.0
2020-02-08,0.0,21.0,64.0,0.0,24.0,65.0,23.0,70.0,39.0,49.0
2020-02-09,41.0,23.0,60.0,20.0,46.0,59.0,32.0,56.0,0.0,47.0
2020-02-10,0.0,32.0,36.0,0.0,0.0,89.0,44.0,81.0,0.0,41.0
2020-02-11,0.0,44.0,75.0,27.0,0.0,97.0,50.0,40.0,0.0,41.0
2020-02-12,36.0,36.0,36.0,18.0,20.0,94.0,45.0,73.0,0.0,42.0
2020-02-13,54.0,60.0,54.0,37.0,41.0,91.0,58.0,41.0,33.0,42.0
2020-02-14,36.0,18.0,50.0,0.0,21.0,90.0,52.0,41.0,0.0,0.0
2020-02-15,40.0,30.0,61.0,21.0,23.0,60.0,36.0,46.0,37.0,0.0
2020-02-16,40.0,46.0,35.0,20.0,45.0,58.0,35.0,69.0,0.0,0.0
2020-02-17,0.0,43.0,57.0,18.0,20.0,88.0,31.0,79.0,0.0,40.0
2020-02-18,34.0,51.0,56.0,34.0,38.0,97.0,42.0,78.0,32.0,40.0
2020-02-19,34.0,28.0,43.0,34.0,39.0,92.0,24.0,72.0,0.0,39.0
2020-02-20,35.0,52.0,70.0,0.0,29.0,97.0,19.0,61.0,0.0,60.0
2020-02-21,36.0,27.0,58.0,27.0,40.0,92.0,63.0,66.0,0.0,41.0
2020-02-22,39.0,26.0,39.0,20.0,22.0,52.0,49.0,41.0,0.0,0.0
2020-02-23,0.0,19.0,83.0,20.0,33.0,59.0,62.0,55.0,0.0,45.0
2020-02-24,34.0,43.0,39.0,0.0,19.0,94.0,49.0,81.0,31.0,0.0
2020-02-25,34.0,51.0,51.0,0.0,39.0,96.0,100.0,93.0,0.0,0.0
2020-02-26,33.0,39.0,50.0,17.0,19.0,94.0,35.0,58.0,0.0,0.0
2020-02-27,95.0,26.0,64.0,32.0,18.0,89.0,42.0,84.0,0.0,74.0
2020-02-28,0.0,23.0,35.0,18.0,20.0,86.0,31.0,37.0,0.0,81.0
2020-02-29,79.0,39.0,35.0,20.0,0.0,56.0,35.0,80.0,54.0,45.0
2020-03-01,0.0,42.0,74.0,20.0,22.0,55.0,70.0,75.0,0.0,46.0
2020-03-02,52.0,20.0,35.0,0.0,19.0,83.0,55.0,73.0,32.0,100.0
2020-03-03,69.0,13.0,57.0,18.0,49.0,90.0,43.0,58.0,0.0,40.0
2020-03-04,69.0,23.0,34.0,26.0,19.0,82.0,37.0,33.0,0.0,40.0
2020-03-05,0.0,18.0,62.0,36.0,40.0,82.0,19.0,53.0,65.0,0.0
2020-03-06,71.0,9.0,31.0,0.0,20.0,85.0,64.0,53.0,0.0,0.0
2020-03-07,0.0,15.0,50.0,20.0,0.0,56.0,35.0,73.0,0.0,46.0
2020-03-08,38.0,47.0,48.0,19.0,32.0,55.0,91.0,73.0,0.0,0.0
2020-03-09,33.0,22.0,79.0,17.0,38.0,91.0,41.0,58.0,0.0,39.0
2020-03-10,33.0,40.0,49.0,33.0,18.0,88.0,40.0,60.0,0.0,38.0
2020-03-11,0.0,17.0,47.0,17.0,29.0,93.0,48.0,68.0,31.0,39.0
2020-03-12,0.0,36.0,33.0,33.0,0.0,96.0,35.0,60.0,0.0,0.0
2020-03-13,0.0,27.0,36.0,49.0,37.0,84.0,29.0,59.0,0.0,37.0
2020-03-14,39.0,26.0,48.0,0.0,44.0,67.0,21.0,64.0,35.0,0.0
2020-03-15,37.0,37.0,56.0,19.0,21.0,65.0,60.0,36.0,34.0,0.0
2020-03-16,33.0,53.0,66.0,33.0,18.0,87.0,46.0,57.0,30.0,0.0
2020-03-17,0.0,35.0,45.0,33.0,28.0,89.0,35.0,69.0,60.0,38.0
2020-03-18,33.0,38.0,66.0,100.0,28.0,84.0,47.0,43.0,0.0,0.0
2020-03-19,33.0,27.0,58.0,25.0,38.0,95.0,24.0,52.0,60.0,0.0
2020-03-20,0.0,34.0,48.0,16.0,18.0,89.0,28.0,36.0,58.0,37.0
2020-03-21,0.0,45.0,55.0,28.0,41.0,63.0,45.0,45.0,33.0,0.0
2020-03-22,36.0,42.0,45.0,37.0,20.0,65.0,26.0,47.0,33.0,42.0
2020-03-23,29.0,69.0,54.0,22.0,16.0,87.0,62.0,58.0,26.0,33.0
2020-03-24,32.0,66.0,48.0,24.0,18.0,95.0,40.0,45.0,43.0,0.0
2020-03-25,33.0,69.0,33.0,17.0,19.0,97.0,18.0,61.0,30.0,39.0
2020-03-26,0.0,59.0,37.0,33.0,28.0,87.0,58.0,66.0,30.0,0.0
2020-03-27,32.0,55.0,48.0,40.0,54.0,90.0,62.0,42.0,44.0,36.0
2020-03-28,0.0,48.0,36.0,55.0,20.0,64.0,45.0,48.0,100.0,0.0
