,Sephora,M.A.C,Eyeliner,Glossier,L'Oreal,Eyeshadow,Mascara	,Makeup,Eyebrow,Makeup artist
2020-01-01,33.0,0.0,39.0,40.0,35.0,36.0,50.0,45.0,0.0,0.0
2020-01-02,44.0,0.0,66.0,23.0,45.0,46.0,29.0,66.0,28.0,41.0
2020-01-03,45.0,0.0,32.0,22.0,55.0,59.0,48.0,52.0,27.0,39.0
2020-01-04,37.0,0.0,34.0,24.0,54.0,31.0,73.0,58.0,47.0,42.0
2020-01-05,38.0,0.0,34.0,23.0,35.0,64.0,66.0,61.0,42.0,42.0
2020-01-06,34.0,0.0,31.0,21.0,56.0,28.0,39.0,69.0,26.0,0.0
2020-01-07,35.0,0.0,31.0,21.0,78.0,48.0,20.0,45.0,39.0,0.0
2020-01-08,36.0,0.0,30.0,0.0,41.0,56.0,39.0,46.0,50.0,56.0
2020-01-09,29.0,0.0,31.0,21.0,31.0,28.0,40.0,44.0,25.0,38.0
2020-01-10,38.0,0.0,31.0,22.0,29.0,29.0,41.0,62.0,44.0,76.0
2020-01-11,29.0,0.0,34.0,23.0,38.0,62.0,22.0,48.0,42.0,0.0
2020-01-12,31.0,0.0,79.0,22.0,54.0,29.0,31.0,88.0,80.0,0.0
2020-01-13,30.0,0.0,0.0,26.0,58.0,53.0,37.0,43.0,32.0,35.0
2020-01-14,33.0,0.0,42.0,77.0,58.0,26.0,42.0,52.0,46.0,51.0
2020-01-15,31.0,0.0,40.0,21.0,41.0,28.0,39.0,51.0,42.0,37.0
2020-01-16,32.0,0.0,31.0,21.0,28.0,38.0,20.0,42.0,51.0,0.0
2020-01-17,35.0,0.0,62.0,0.0,22.0,0.0,51.0,57.0,53.0,0.0
2020-01-18,19.0,0.0,58.0,24.0,24.0,64.0,30.0,62.0,43.0,0.0
2020-01-19,25.0,0.0,51.0,24.0,35.0,31.0,33.0,67.0,28.0,42.0
2020-01-20,28.0,0.0,31.0,21.0,49.0,0.0,33.0,30.0,51.0,38.0
2020-01-21,34.0,0.0,61.0,21.0,28.0,55.0,46.0,52.0,50.0,0.0
2020-01-22,32.0,0.0,46.0,43.0,35.0,0.0,53.0,58.0,60.0,75.0
2020-01-23,25.0,0.0,31.0,32.0,28.0,0.0,50.0,28.0,26.0,38.0
2020-01-24,30.0,0.0,31.0,43.0,32.0,29.0,31.0,37.0,26.0,0.0
2020-01-25,29.0,0.0,52.0,72.0,47.0,63.0,45.0,59.0,87.0,0.0
2020-01-26,39.0,0.0,49.0,34.0,37.0,45.0,21.0,47.0,27.0,41.0
2020-01-27,26.0,0.0,29.0,20.0,30.0,27.0,47.0,58.0,24.0,36.0
2020-01-28,24.0,0.0,0.0,27.0,51.0,0.0,64.0,51.0,49.0,0.0
2020-01-29,18.0,0.0,30.0,21.0,42.0,37.0,53.0,27.0,64.0,75.0
2020-01-30,39.0,0.0,61.0,22.0,43.0,0.0,34.0,50.0,26.0,38.0
2020-01-31,26.0,0.0,0.0,0.0,43.0,29.0,51.0,45.0,53.0,38.0
2020-02-01,31.0,0.0,70.0,24.0,36.0,32.0,23.0,44.0,58.0,43.0
2020-02-02,33.0,100.0,33.0,23.0,57.0,77.0,29.0,66.0,28.0,41.0
2020-02-03,24.0,0.0,0.0,19.0,19.0,0.0,41.0,67.0,46.0,50.0
2020-02-04,31.0,0.0,45.0,32.0,52.0,28.0,39.0,30.0,25.0,37.0
2020-02-05,26.0,91.0,0.0,21.0,35.0,56.0,49.0,49.0,25.0,56.0
2020-02-06,39.0,0.0,45.0,42.0,52.0,0.0,46.0,57.0,63.0,37.0
2020-02-07,32.0,0.0,0.0,60.0,30.0,0.0,57.0,55.0,24.0,72.0
2020-02-08,43.0,0.0,70.0,25.0,32.0,33.0,61.0,57.0,0.0,44.0
2020-02-09,42.0,0.0,34.0,47.0,58.0,47.0,98.0,70.0,57.0,42.0
2020-02-10,36.0,0.0,0.0,0.0,27.0,55.0,71.0,67.0,0.0,0.0
2020-02-11,25.0,0.0,44.0,27.0,41.0,54.0,64.0,56.0,24.0,0.0
2020-02-12,38.0,92.0,30.0,32.0,69.0,28.0,39.0,38.0,25.0,37.0
2020-02-13,38.0,0.0,46.0,32.0,28.0,0.0,39.0,44.0,34.0,38.0
2020-02-14,30.0,0.0,46.0,0.0,49.0,28.0,26.0,71.0,64.0,0.0
2020-02-15,34.0,0.0,51.0,24.0,59.0,64.0,74.0,40.0,48.0,0.0
2020-02-16,49.0,0.0,100.0,23.0,38.0,41.0,58.0,42.0,56.0,0.0
2020-02-17,25.0,0.0,29.0,27.0,40.0,36.0,38.0,74.0,73.0,0.0
2020-02-18,30.0,0.0,44.0,20.0,30.0,0.0,37.0,73.0,49.0,0.0
2020-02-19,29.0,0.0,43.0,30.0,49.0,26.0,68.0,72.0,24.0,35.0
2020-02-20,32.0,89.0,44.0,20.0,47.0,27.0,51.0,34.0,24.0,0.0
2020-02-21,27.0,0.0,30.0,63.0,31.0,28.0,58.0,38.0,38.0,37.0
2020-02-22,33.0,0.0,33.0,23.0,57.0,46.0,54.0,81.0,28.0,81.0
2020-02-23,42.0,0.0,33.0,30.0,37.0,45.0,35.0,41.0,27.0,0.0
2020-02-24,30.0,0.0,29.0,20.0,33.0,0.0,81.0,36.0,40.0,36.0
2020-02-25,23.0,0.0,0.0,20.0,46.0,0.0,65.0,52.0,36.0,0.0
2020-02-26,32.0,0.0,75.0,29.0,32.0,26.0,79.0,53.0,23.0,35.0
2020-02-27,35.0,0.0,27.0,28.0,43.0,0.0,44.0,58.0,45.0,100.0
2020-02-28,28.0,0.0,30.0,21.0,20.0,27.0,51.0,53.0,50.0,37.0
2020-02-29,41.0,0.0,50.0,23.0,91.0,0.0,72.0,36.0,42.0,0.0
2020-03-01,21.0,0.0,50.0,46.0,75.0,76.0,64.0,71.0,41.0,40.0
2020-03-02,22.0,0.0,44.0,51.0,40.0,27.0,44.0,63.0,49.0,0.0
2020-03-03,23.0,0.0,88.0,41.0,0.0,27.0,51.0,45.0,49.0,36.0
2020-03-04,31.0,0.0,29.0,20.0,66.0,53.0,31.0,52.0,24.0,0.0
2020-03-05,32.0,0.0,60.0,31.0,48.0,37.0,58.0,43.0,42.0,0.0
2020-03-06,37.0,0.0,60.0,42.0,62.0,70.0,59.0,57.0,25.0,0.0
2020-03-07,17.0,0.0,0.0,35.0,46.0,47.0,65.0,39.0,66.0,41.0
2020-03-08,35.0,0.0,64.0,22.0,33.0,30.0,63.0,64.0,40.0,0.0
2020-03-09,25.0,0.0,42.0,19.0,29.0,52.0,24.0,30.0,47.0,34.0
2020-03-10,31.0,0.0,28.0,38.0,38.0,25.0,65.0,40.0,23.0,0.0
2020-03-11,22.0,0.0,29.0,30.0,29.0,26.0,56.0,67.0,40.0,0.0
2020-03-12,29.0,0.0,27.0,19.0,25.0,25.0,36.0,30.0,23.0,0.0
2020-03-13,21.0,0.0,27.0,19.0,31.0,0.0,35.0,56.0,23.0,0.0
2020-03-14,25.0,0.0,98.0,53.0,22.0,45.0,74.0,50.0,0.0,0.0
2020-03-15,17.0,0.0,63.0,55.0,43.0,29.0,51.0,54.0,40.0,39.0
2020-03-16,22.0,0.0,27.0,19.0,38.0,0.0,30.0,37.0,23.0,0.0
2020-03-17,40.0,0.0,0.0,48.0,38.0,25.0,42.0,32.0,23.0,0.0
2020-03-18,22.0,0.0,0.0,19.0,19.0,34.0,30.0,38.0,23.0,68.0
2020-03-19,17.0,84.0,42.0,19.0,32.0,26.0,60.0,45.0,23.0,0.0
2020-03-20,25.0,0.0,40.0,19.0,18.0,25.0,35.0,58.0,23.0,0.0
2020-03-21,31.0,0.0,0.0,21.0,42.0,29.0,33.0,52.0,26.0,75.0
2020-03-22,32.0,0.0,0.0,63.0,55.0,42.0,59.0,44.0,64.0,0.0
2020-03-23,29.0,0.0,24.0,17.0,42.0,22.0,32.0,35.0,20.0,0.0
2020-03-24,27.0,0.0,0.0,56.0,37.0,0.0,52.0,48.0,22.0,0.0
2020-03-25,27.0,0.0,0.0,20.0,32.0,65.0,61.0,33.0,24.0,35.0
2020-03-26,35.0,0.0,27.0,19.0,44.0,51.0,36.0,42.0,23.0,0.0
2020-03-27,31.0,0.0,0.0,18.0,30.0,49.0,23.0,53.0,44.0,0.0
2020-03-28,35.0,0.0,60.0,50.0,52.0,56.0,60.0,71.0,25.0,38.0
2020-03-29,50.0,0.0,29.0,27.0,20.0,0.0,19.0,81.0,48.0,0.0
2020-03-30,31.0,0.0,26.0,27.0,18.0,48.0,33.0,65.0,43.0,0.0
2020-03-31,41.0,0.0,27.0,31.0,43.0,25.0,35.0,63.0,45.0,0.0
2020-04-01,41.0,0.0,39.0,36.0,53.0,0.0,56.0,47.0,22.0,32.0
2020-04-02,40.0,0.0,39.0,18.0,59.0,24.0,45.0,72.0,22.0,0.0
2020-04-03,37.0,0.0,27.0,31.0,24.0,24.0,51.0,64.0,33.0,32.0
2020-04-04,41.0,0.0,31.0,21.0,74.0,43.0,20.0,58.0,26.0,38.0
2020-04-05,41.0,0.0,0.0,49.0,58.0,26.0,43.0,46.0,24.0,0.0
2020-04-06,32.0,0.0,25.0,35.0,40.0,35.0,43.0,40.0,35.0,0.0
2020-04-07,42.0,0.0,26.0,30.0,53.0,24.0,67.0,54.0,22.0,32.0
2020-04-08,48.0,0.0,38.0,36.0,41.0,48.0,33.0,44.0,21.0,31.0
2020-04-09,47.0,0.0,25.0,43.0,51.0,0.0,32.0,44.0,34.0,0.0
2020-04-10,44.0,0.0,62.0,56.0,31.0,0.0,26.0,51.0,45.0,0.0
2020-04-11,62.0,0.0,57.0,20.0,33.0,26.0,49.0,44.0,36.0,0.0
2020-04-12,44.0,90.0,30.0,35.0,27.0,56.0,39.0,62.0,100.0,0.0
2020-04-13,60.0,0.0,26.0,27.0,54.0,24.0,51.0,49.0,44.0,0.0
2020-04-14,61.0,0.0,34.0,18.0,58.0,23.0,25.0,39.0,84.0,31.0
2020-04-15,61.0,0.0,25.0,29.0,93.0,35.0,41.0,48.0,28.0,31.0
2020-04-16,68.0,0.0,34.0,65.0,35.0,36.0,100.0,60.0,22.0,0.0
2020-04-17,100.0,0.0,78.0,84.0,47.0,36.0,73.0,51.0,22.0,32.0
2020-04-18,84.0,0.0,60.0,62.0,61.0,28.0,68.0,67.0,75.0,37.0
2020-04-19,63.0,0.0,55.0,39.0,32.0,51.0,66.0,67.0,35.0,0.0
2020-04-20,79.0,0.0,26.0,35.0,35.0,31.0,33.0,57.0,53.0,31.0
2020-04-21,63.0,0.0,37.0,23.0,51.0,38.0,81.0,56.0,21.0,0.0
2020-04-22,63.0,0.0,38.0,58.0,52.0,35.0,33.0,84.0,53.0,31.0
2020-04-23,75.0,77.0,38.0,53.0,53.0,24.0,44.0,76.0,32.0,0.0
2020-04-24,61.0,0.0,27.0,31.0,62.0,25.0,59.0,100.0,68.0,0.0
2020-04-25,57.0,0.0,31.0,21.0,64.0,29.0,74.0,72.0,52.0,0.0
2020-04-26,58.0,0.0,49.0,61.0,100.0,54.0,38.0,52.0,24.0,0.0
2020-04-27,58.0,0.0,51.0,41.0,41.0,35.0,66.0,46.0,28.0,31.0
2020-04-28,64.0,79.0,26.0,46.0,36.0,25.0,63.0,69.0,23.0,0.0
2020-04-29,61.0,0.0,40.0,50.0,37.0,25.0,41.0,39.0,22.0,0.0
2020-04-30,48.0,0.0,24.0,25.0,33.0,22.0,84.0,74.0,30.0,0.0
2020-05-01,50.0,0.0,26.0,36.0,24.0,0.0,40.0,52.0,44.0,0.0
2020-05-02,58.0,94.0,31.0,44.0,29.0,58.0,54.0,73.0,26.0,0.0
2020-05-03,58.0,0.0,0.0,21.0,68.0,41.0,77.0,38.0,25.0,0.0
2020-05-04,47.0,0.0,51.0,44.0,40.0,46.0,43.0,56.0,21.0,0.0
2020-05-05,49.0,72.0,36.0,33.0,44.0,33.0,47.0,50.0,33.0,0.0
2020-05-06,45.0,0.0,0.0,37.0,81.0,61.0,34.0,59.0,22.0,65.0
2020-05-07,40.0,79.0,0.0,43.0,30.0,0.0,68.0,31.0,44.0,0.0
2020-05-08,43.0,79.0,26.0,49.0,48.0,24.0,34.0,40.0,22.0,0.0
2020-05-09,48.0,0.0,28.0,29.0,39.0,39.0,30.0,76.0,47.0,35.0
2020-05-10,39.0,0.0,29.0,100.0,49.0,53.0,56.0,69.0,48.0,0.0
2020-05-11,47.0,0.0,51.0,47.0,53.0,35.0,33.0,69.0,21.0,0.0
2020-05-12,41.0,0.0,26.0,30.0,41.0,0.0,39.0,49.0,22.0,32.0
2020-05-13,35.0,0.0,65.0,54.0,30.0,36.0,34.0,56.0,55.0,0.0
2020-05-14,42.0,0.0,27.0,28.0,49.0,37.0,46.0,65.0,37.0,49.0
2020-05-15,40.0,0.0,39.0,18.0,47.0,24.0,84.0,60.0,22.0,0.0
2020-05-16,34.0,0.0,62.0,36.0,50.0,100.0,34.0,61.0,26.0,0.0
2020-05-17,55.0,0.0,32.0,30.0,58.0,44.0,83.0,66.0,0.0,0.0
2020-05-18,32.0,0.0,29.0,47.0,47.0,54.0,28.0,50.0,24.0,0.0
2020-05-19,40.0,0.0,52.0,30.0,36.0,24.0,43.0,35.0,44.0,32.0
2020-05-20,30.0,0.0,0.0,37.0,55.0,24.0,26.0,29.0,67.0,0.0
