,Sephora,MAC,eyeliner,luisante,L'Oréal,Fard,mascara,maquillage,sourcil,maquilleur
2020-01-01,44.0,64.0,62.0,0.0,0.0,43.0,48.0,46.0,33.0,0.0
2020-01-02,36.0,70.0,35.0,0.0,0.0,36.0,32.0,64.0,85.0,0.0
2020-01-03,53.0,59.0,0.0,0.0,0.0,0.0,46.0,30.0,41.0,0.0
2020-01-04,37.0,60.0,54.0,0.0,0.0,0.0,75.0,76.0,58.0,0.0
2020-01-05,43.0,66.0,36.0,0.0,0.0,55.0,66.0,61.0,77.0,0.0
2020-01-06,30.0,73.0,33.0,0.0,0.0,33.0,22.0,56.0,40.0,0.0
2020-01-07,28.0,68.0,99.0,0.0,0.0,0.0,34.0,26.0,26.0,0.0
2020-01-08,26.0,60.0,0.0,0.0,0.0,0.0,67.0,55.0,0.0,0.0
2020-01-09,29.0,67.0,0.0,0.0,0.0,0.0,53.0,40.0,27.0,0.0
2020-01-10,31.0,84.0,0.0,0.0,0.0,33.0,57.0,33.0,27.0,0.0
2020-01-11,31.0,63.0,53.0,0.0,0.0,55.0,25.0,54.0,29.0,0.0
2020-01-12,28.0,68.0,34.0,0.0,0.0,34.0,70.0,47.0,27.0,0.0
2020-01-13,29.0,76.0,50.0,0.0,0.0,0.0,48.0,60.0,36.0,0.0
2020-01-14,36.0,80.0,44.0,0.0,0.0,0.0,68.0,27.0,48.0,0.0
2020-01-15,24.0,76.0,32.0,0.0,0.0,0.0,59.0,36.0,52.0,0.0
2020-01-16,36.0,66.0,33.0,0.0,0.0,100.0,68.0,43.0,27.0,0.0
2020-01-17,28.0,95.0,100.0,91.0,0.0,0.0,46.0,34.0,40.0,0.0
2020-01-18,37.0,75.0,37.0,100.0,0.0,37.0,51.0,66.0,30.0,0.0
2020-01-19,30.0,71.0,36.0,0.0,0.0,72.0,58.0,47.0,43.0,95.0
2020-01-20,37.0,80.0,32.0,0.0,0.0,0.0,37.0,26.0,44.0,0.0
2020-01-21,37.0,84.0,49.0,0.0,0.0,0.0,74.0,42.0,61.0,86.0
2020-01-22,43.0,69.0,0.0,0.0,0.0,33.0,75.0,56.0,26.0,0.0
2020-01-23,31.0,65.0,44.0,0.0,0.0,0.0,53.0,40.0,53.0,0.0
2020-01-24,42.0,68.0,33.0,0.0,0.0,0.0,23.0,33.0,27.0,0.0
2020-01-25,37.0,71.0,73.0,0.0,0.0,0.0,51.0,44.0,49.0,0.0
2020-01-26,30.0,59.0,35.0,0.0,0.0,36.0,73.0,56.0,85.0,0.0
2020-01-27,36.0,68.0,31.0,0.0,0.0,32.0,58.0,50.0,42.0,0.0
