,SQDC,marijuana,weed,indica	,sativa,CBD,hash,cannabis,edibles	,THC
2020-01-01,35.0,23.0,65.0,33.0,26.0,42.0,27.0,49.0,34.0,76.0
2020-01-02,51.0,66.0,64.0,28.0,22.0,36.0,31.0,36.0,100.0,65.0
2020-01-03,37.0,44.0,60.0,41.0,42.0,39.0,23.0,78.0,41.0,44.0
2020-01-04,38.0,74.0,62.0,49.0,45.0,67.0,32.0,53.0,39.0,40.0
2020-01-05,33.0,34.0,54.0,29.0,45.0,52.0,40.0,70.0,44.0,67.0
2020-01-06,24.0,30.0,61.0,44.0,34.0,19.0,43.0,59.0,53.0,60.0
2020-01-07,32.0,25.0,80.0,27.0,20.0,72.0,29.0,61.0,80.0,43.0
2020-01-08,24.0,42.0,45.0,26.0,40.0,55.0,21.0,85.0,26.0,45.0
2020-01-09,21.0,31.0,58.0,26.0,40.0,61.0,29.0,48.0,40.0,67.0
2020-01-10,24.0,81.0,68.0,27.0,31.0,53.0,52.0,25.0,0.0,62.0
2020-01-11,29.0,47.0,68.0,0.0,37.0,57.0,16.0,53.0,73.0,66.0
2020-01-12,20.0,57.0,46.0,36.0,42.0,49.0,45.0,62.0,55.0,44.0
2020-01-13,20.0,57.0,70.0,49.0,38.0,26.0,47.0,61.0,49.0,50.0
2020-01-14,21.0,77.0,70.0,32.0,27.0,43.0,13.0,79.0,24.0,38.0
2020-01-15,23.0,54.0,73.0,26.0,20.0,55.0,28.0,73.0,26.0,59.0
2020-01-16,17.0,61.0,70.0,80.0,27.0,61.0,44.0,48.0,40.0,30.0
2020-01-17,29.0,31.0,69.0,40.0,21.0,72.0,45.0,89.0,64.0,81.0
2020-01-18,39.0,55.0,57.0,30.0,23.0,80.0,32.0,78.0,80.0,48.0
2020-01-19,25.0,47.0,57.0,29.0,45.0,83.0,56.0,56.0,59.0,67.0
2020-01-20,18.0,61.0,83.0,26.0,33.0,23.0,50.0,56.0,66.0,72.0
2020-01-21,22.0,66.0,62.0,39.0,20.0,33.0,64.0,60.0,26.0,48.0
2020-01-22,29.0,49.0,52.0,26.0,40.0,80.0,0.0,57.0,26.0,48.0
2020-01-23,19.0,55.0,61.0,27.0,31.0,76.0,15.0,84.0,27.0,61.0
2020-01-24,23.0,69.0,67.0,27.0,42.0,72.0,30.0,58.0,27.0,49.0
2020-01-25,33.0,76.0,53.0,30.0,23.0,48.0,65.0,40.0,30.0,82.0
2020-01-26,25.0,39.0,50.0,28.0,22.0,56.0,31.0,61.0,57.0,58.0
2020-01-27,16.0,23.0,55.0,25.0,32.0,54.0,55.0,40.0,63.0,63.0
2020-01-28,22.0,53.0,44.0,25.0,0.0,46.0,63.0,73.0,26.0,70.0
2020-01-29,20.0,54.0,50.0,26.0,60.0,47.0,14.0,77.0,39.0,48.0
2020-01-30,23.0,25.0,38.0,27.0,41.0,33.0,37.0,88.0,27.0,37.0
2020-01-31,26.0,31.0,54.0,72.0,48.0,58.0,52.0,52.0,36.0,49.0
2020-02-01,39.0,69.0,64.0,80.0,34.0,53.0,66.0,54.0,90.0,69.0
2020-02-02,26.0,100.0,58.0,29.0,52.0,67.0,32.0,59.0,39.0,59.0
2020-02-03,23.0,58.0,45.0,31.0,36.0,38.0,32.0,59.0,0.0,38.0
2020-02-04,21.0,18.0,62.0,26.0,33.0,46.0,29.0,62.0,26.0,54.0
2020-02-05,26.0,42.0,44.0,52.0,100.0,74.0,29.0,77.0,44.0,45.0
2020-02-06,19.0,42.0,60.0,26.0,40.0,51.0,28.0,41.0,79.0,54.0
2020-02-07,24.0,47.0,51.0,50.0,39.0,22.0,41.0,40.0,0.0,58.0
2020-02-08,35.0,28.0,60.0,61.0,39.0,55.0,33.0,59.0,61.0,42.0
2020-02-09,34.0,34.0,55.0,43.0,37.0,41.0,65.0,62.0,58.0,53.0
2020-02-10,17.0,80.0,52.0,43.0,40.0,46.0,28.0,59.0,26.0,53.0
2020-02-11,20.0,53.0,65.0,38.0,39.0,41.0,28.0,64.0,51.0,47.0
2020-02-12,20.0,27.0,71.0,26.0,30.0,65.0,21.0,71.0,26.0,48.0
2020-02-13,24.0,36.0,65.0,39.0,20.0,47.0,29.0,59.0,39.0,42.0
2020-02-14,28.0,18.0,50.0,26.0,60.0,47.0,43.0,63.0,53.0,60.0
2020-02-15,32.0,68.0,70.0,44.0,34.0,42.0,24.0,57.0,0.0,47.0
2020-02-16,29.0,53.0,46.0,0.0,44.0,56.0,32.0,49.0,58.0,72.0
2020-02-17,28.0,64.0,54.0,50.0,26.0,40.0,27.0,100.0,76.0,52.0
2020-02-18,24.0,57.0,53.0,33.0,19.0,49.0,41.0,34.0,25.0,68.0
2020-02-19,22.0,63.0,64.0,0.0,19.0,53.0,27.0,65.0,50.0,51.0
2020-02-20,18.0,64.0,55.0,38.0,29.0,59.0,28.0,75.0,51.0,69.0
2020-02-21,26.0,54.0,67.0,26.0,39.0,69.0,35.0,44.0,39.0,47.0
2020-02-22,36.0,33.0,53.0,57.0,44.0,51.0,39.0,42.0,29.0,46.0
2020-02-23,38.0,52.0,63.0,47.0,36.0,70.0,16.0,64.0,42.0,52.0
2020-02-24,20.0,46.0,56.0,25.0,19.0,44.0,27.0,68.0,42.0,43.0
2020-02-25,22.0,57.0,54.0,0.0,38.0,53.0,34.0,53.0,37.0,28.0
2020-02-26,20.0,50.0,50.0,32.0,31.0,73.0,27.0,77.0,24.0,33.0
2020-02-27,23.0,54.0,49.0,23.0,27.0,66.0,32.0,55.0,35.0,43.0
2020-02-28,25.0,59.0,50.0,42.0,46.0,59.0,63.0,64.0,26.0,18.0
2020-02-29,34.0,66.0,73.0,43.0,51.0,51.0,16.0,33.0,58.0,53.0
2020-03-01,28.0,66.0,67.0,57.0,44.0,41.0,47.0,62.0,43.0,39.0
2020-03-02,21.0,35.0,64.0,50.0,0.0,23.0,41.0,60.0,51.0,43.0
2020-03-03,24.0,41.0,45.0,25.0,19.0,54.0,14.0,72.0,42.0,46.0
2020-03-04,24.0,52.0,40.0,41.0,38.0,71.0,27.0,57.0,25.0,46.0
2020-03-05,23.0,66.0,52.0,52.0,20.0,46.0,64.0,56.0,26.0,47.0
2020-03-06,23.0,48.0,60.0,26.0,20.0,42.0,21.0,50.0,52.0,66.0
2020-03-07,38.0,60.0,53.0,58.0,52.0,26.0,32.0,53.0,87.0,60.0
2020-03-08,33.0,58.0,40.0,0.0,21.0,25.0,30.0,57.0,28.0,38.0
2020-03-09,20.0,50.0,49.0,36.0,19.0,73.0,66.0,63.0,73.0,83.0
2020-03-10,25.0,55.0,55.0,0.0,18.0,47.0,39.0,51.0,24.0,57.0
2020-03-11,16.0,57.0,52.0,49.0,0.0,48.0,20.0,56.0,25.0,39.0
2020-03-12,14.0,44.0,65.0,39.0,27.0,30.0,19.0,54.0,24.0,57.0
2020-03-13,30.0,16.0,64.0,31.0,45.0,46.0,19.0,42.0,94.0,53.0
2020-03-14,28.0,39.0,63.0,42.0,29.0,45.0,23.0,48.0,28.0,39.0
2020-03-15,40.0,63.0,64.0,45.0,21.0,48.0,52.0,43.0,82.0,69.0
2020-03-16,54.0,55.0,58.0,36.0,27.0,47.0,13.0,54.0,24.0,27.0
2020-03-17,43.0,22.0,60.0,24.0,24.0,51.0,26.0,46.0,24.0,33.0
2020-03-18,51.0,55.0,84.0,40.0,31.0,51.0,13.0,49.0,24.0,55.0
2020-03-19,50.0,58.0,62.0,32.0,37.0,38.0,26.0,60.0,0.0,50.0
2020-03-20,48.0,38.0,64.0,23.0,27.0,25.0,26.0,68.0,39.0,48.0
2020-03-21,41.0,43.0,56.0,61.0,60.0,38.0,22.0,69.0,40.0,42.0
2020-03-22,64.0,54.0,66.0,52.0,27.0,61.0,50.0,45.0,40.0,60.0
2020-03-23,100.0,39.0,57.0,21.0,21.0,30.0,46.0,50.0,0.0,58.0
2020-03-24,63.0,53.0,50.0,46.0,53.0,66.0,25.0,47.0,39.0,58.0
2020-03-25,40.0,45.0,72.0,48.0,18.0,39.0,47.0,63.0,24.0,50.0
2020-03-26,42.0,49.0,60.0,39.0,54.0,42.0,33.0,51.0,24.0,33.0
2020-03-27,41.0,48.0,62.0,53.0,53.0,29.0,31.0,63.0,23.0,100.0
2020-03-28,40.0,61.0,50.0,66.0,40.0,47.0,43.0,30.0,53.0,24.0
2020-03-29,42.0,35.0,63.0,25.0,38.0,31.0,41.0,57.0,50.0,51.0
2020-03-30,45.0,46.0,57.0,66.0,34.0,40.0,42.0,60.0,22.0,56.0
2020-03-31,44.0,43.0,58.0,38.0,24.0,65.0,44.0,68.0,58.0,40.0
2020-04-01,46.0,36.0,62.0,44.0,17.0,36.0,49.0,58.0,34.0,61.0
2020-04-02,37.0,47.0,72.0,59.0,17.0,48.0,31.0,61.0,45.0,31.0
2020-04-03,38.0,37.0,63.0,45.0,26.0,53.0,0.0,46.0,23.0,36.0
2020-04-04,40.0,74.0,60.0,53.0,61.0,43.0,29.0,48.0,67.0,43.0
2020-04-05,33.0,59.0,55.0,48.0,37.0,43.0,53.0,63.0,24.0,45.0
2020-04-06,38.0,60.0,46.0,43.0,33.0,46.0,65.0,61.0,22.0,49.0
2020-04-07,31.0,26.0,56.0,56.0,17.0,24.0,18.0,43.0,33.0,36.0
2020-04-08,33.0,46.0,61.0,44.0,42.0,43.0,54.0,53.0,66.0,75.0
2020-04-09,40.0,49.0,76.0,32.0,41.0,53.0,46.0,53.0,43.0,68.0
2020-04-10,38.0,80.0,54.0,0.0,36.0,29.0,13.0,31.0,23.0,58.0
2020-04-11,47.0,40.0,48.0,57.0,19.0,57.0,61.0,45.0,25.0,79.0
2020-04-12,22.0,30.0,69.0,43.0,60.0,41.0,43.0,38.0,65.0,47.0
2020-04-13,44.0,47.0,56.0,30.0,23.0,20.0,25.0,51.0,34.0,31.0
2020-04-14,33.0,45.0,68.0,22.0,25.0,31.0,24.0,54.0,44.0,55.0
2020-04-15,32.0,30.0,65.0,33.0,25.0,31.0,42.0,45.0,77.0,55.0
2020-04-16,31.0,31.0,67.0,44.0,45.0,47.0,24.0,48.0,22.0,66.0
2020-04-17,30.0,36.0,64.0,100.0,46.0,68.0,49.0,64.0,34.0,56.0
2020-04-18,34.0,54.0,84.0,26.0,26.0,55.0,36.0,70.0,26.0,71.0
2020-04-19,21.0,17.0,84.0,24.0,27.0,51.0,26.0,95.0,64.0,44.0
2020-04-20,38.0,81.0,88.0,32.0,39.0,27.0,54.0,47.0,54.0,40.0
2020-04-21,36.0,35.0,75.0,36.0,66.0,27.0,100.0,48.0,43.0,98.0
2020-04-22,42.0,45.0,61.0,29.0,17.0,31.0,66.0,59.0,44.0,65.0
2020-04-23,34.0,51.0,69.0,73.0,68.0,27.0,48.0,70.0,22.0,91.0
2020-04-24,30.0,38.0,67.0,54.0,54.0,21.0,64.0,61.0,47.0,80.0
2020-04-25,41.0,68.0,63.0,35.0,61.0,48.0,37.0,55.0,53.0,67.0
2020-04-26,25.0,52.0,71.0,33.0,77.0,54.0,69.0,57.0,42.0,43.0
2020-04-27,36.0,56.0,91.0,36.0,28.0,43.0,60.0,70.0,33.0,70.0
2020-04-28,23.0,56.0,59.0,23.0,47.0,45.0,38.0,47.0,46.0,47.0
2020-04-29,25.0,32.0,65.0,54.0,18.0,33.0,44.0,81.0,46.0,69.0
2020-04-30,25.0,19.0,70.0,31.0,37.0,48.0,57.0,57.0,21.0,53.0
2020-05-01,32.0,26.0,63.0,53.0,61.0,73.0,37.0,57.0,23.0,52.0
2020-05-02,34.0,28.0,76.0,63.0,31.0,72.0,67.0,67.0,27.0,74.0
2020-05-03,27.0,59.0,56.0,34.0,33.0,46.0,28.0,53.0,26.0,41.0
2020-05-04,30.0,45.0,75.0,50.0,33.0,50.0,53.0,49.0,22.0,45.0
2020-05-05,22.0,57.0,62.0,31.0,26.0,18.0,34.0,68.0,21.0,43.0
2020-05-06,21.0,31.0,52.0,23.0,26.0,28.0,37.0,44.0,34.0,47.0
2020-05-07,21.0,37.0,59.0,22.0,17.0,28.0,12.0,57.0,23.0,83.0
2020-05-08,23.0,52.0,61.0,34.0,29.0,52.0,19.0,56.0,68.0,72.0
2020-05-09,34.0,56.0,84.0,48.0,19.0,87.0,40.0,69.0,49.0,61.0
2020-05-10,18.0,43.0,69.0,73.0,38.0,35.0,41.0,47.0,25.0,56.0
2020-05-11,23.0,41.0,98.0,88.0,17.0,27.0,79.0,58.0,37.0,76.0
2020-05-12,21.0,31.0,66.0,89.0,34.0,32.0,31.0,58.0,22.0,61.0
2020-05-13,27.0,31.0,65.0,22.0,51.0,60.0,24.0,61.0,0.0,77.0
2020-05-14,18.0,58.0,86.0,23.0,0.0,16.0,38.0,62.0,38.0,42.0
2020-05-15,25.0,31.0,71.0,59.0,60.0,60.0,37.0,68.0,45.0,41.0
2020-05-16,26.0,25.0,94.0,27.0,31.0,100.0,29.0,42.0,40.0,92.0
2020-05-17,28.0,38.0,100.0,27.0,32.0,44.0,38.0,53.0,28.0,32.0
2020-05-18,40.0,64.0,72.0,0.0,19.0,54.0,27.0,74.0,25.0,92.0
2020-05-19,19.0,36.0,63.0,34.0,34.0,44.0,37.0,41.0,23.0,41.0
2020-05-20,21.0,55.0,83.0,23.0,18.0,33.0,50.0,57.0,23.0,55.0
