,anxiety,depression,meditation	,psychotherapy,online therapy,mental health clinic,social anxiety,telehealth,ADHD,insomnia
2020-01-01,45.0,87.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0
2020-01-02,55.0,60.0,60.0,0.0,0.0,0.0,0.0,56.0,55.0,48.0
2020-01-03,49.0,81.0,60.0,0.0,0.0,0.0,52.0,0.0,61.0,34.0
2020-01-04,96.0,72.0,52.0,0.0,0.0,100.0,55.0,0.0,56.0,55.0
2020-01-05,43.0,55.0,48.0,0.0,0.0,0.0,0.0,56.0,56.0,36.0
2020-01-06,55.0,68.0,73.0,0.0,0.0,0.0,0.0,0.0,42.0,49.0
2020-01-07,76.0,78.0,59.0,50.0,0.0,0.0,50.0,0.0,38.0,50.0
2020-01-08,86.0,71.0,90.0,50.0,48.0,0.0,50.0,0.0,25.0,33.0
2020-01-09,52.0,53.0,59.0,100.0,0.0,0.0,0.0,0.0,59.0,33.0
2020-01-10,48.0,47.0,53.0,0.0,0.0,0.0,0.0,0.0,69.0,34.0
2020-01-11,26.0,71.0,80.0,55.0,0.0,0.0,0.0,57.0,42.0,0.0
2020-01-12,33.0,67.0,45.0,0.0,0.0,0.0,52.0,0.0,26.0,34.0
2020-01-13,36.0,77.0,73.0,91.0,0.0,0.0,0.0,48.0,58.0,0.0
2020-01-14,61.0,65.0,80.0,0.0,0.0,0.0,0.0,0.0,31.0,90.0
2020-01-15,70.0,58.0,72.0,49.0,48.0,0.0,50.0,0.0,50.0,33.0
2020-01-16,60.0,69.0,59.0,0.0,0.0,0.0,50.0,51.0,64.0,0.0
2020-01-17,36.0,35.0,63.0,0.0,100.0,0.0,51.0,0.0,52.0,0.0
2020-01-18,76.0,84.0,43.0,0.0,0.0,0.0,0.0,0.0,47.0,93.0
2020-01-19,52.0,68.0,51.0,0.0,0.0,0.0,0.0,0.0,46.0,36.0
2020-01-20,67.0,62.0,73.0,0.0,0.0,0.0,50.0,0.0,51.0,66.0
2020-01-21,86.0,71.0,55.0,0.0,0.0,0.0,0.0,0.0,83.0,65.0
2020-01-22,63.0,68.0,41.0,49.0,0.0,0.0,50.0,0.0,38.0,33.0
2020-01-23,72.0,69.0,41.0,0.0,0.0,0.0,50.0,52.0,59.0,34.0
2020-01-24,61.0,70.0,60.0,0.0,50.0,0.0,0.0,0.0,52.0,34.0
2020-01-25,45.0,49.0,43.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0
2020-01-26,64.0,80.0,31.0,0.0,0.0,0.0,0.0,0.0,55.0,47.0
2020-01-27,53.0,62.0,56.0,48.0,47.0,0.0,0.0,0.0,49.0,32.0
2020-01-28,65.0,72.0,62.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0
2020-01-29,54.0,67.0,69.0,97.0,48.0,0.0,0.0,0.0,25.0,32.0
2020-01-30,100.0,91.0,83.0,0.0,0.0,0.0,51.0,0.0,34.0,34.0
2020-01-31,24.0,54.0,60.0,0.0,0.0,0.0,0.0,53.0,26.0,34.0
2020-02-01,36.0,77.0,46.0,56.0,0.0,0.0,57.0,0.0,28.0,50.0
2020-02-02,39.0,81.0,64.0,0.0,0.0,0.0,54.0,56.0,83.0,36.0
2020-02-03,64.0,100.0,60.0,0.0,44.0,0.0,44.0,0.0,38.0,59.0
2020-02-04,74.0,76.0,69.0,48.0,0.0,0.0,49.0,0.0,33.0,49.0
2020-02-05,67.0,55.0,72.0,49.0,0.0,0.0,99.0,0.0,42.0,65.0
2020-02-06,55.0,58.0,75.0,49.0,48.0,0.0,0.0,0.0,75.0,33.0
2020-02-07,64.0,59.0,50.0,94.0,0.0,0.0,48.0,0.0,72.0,63.0
2020-02-08,46.0,29.0,27.0,0.0,0.0,0.0,0.0,0.0,59.0,77.0
2020-02-09,83.0,55.0,39.0,0.0,0.0,0.0,55.0,0.0,42.0,36.0
2020-02-10,39.0,55.0,46.0,0.0,48.0,0.0,0.0,51.0,37.0,32.0
2020-02-11,62.0,73.0,54.0,96.0,0.0,0.0,0.0,0.0,66.0,32.0
2020-02-12,86.0,64.0,58.0,98.0,48.0,0.0,50.0,51.0,42.0,82.0
2020-02-13,55.0,64.0,49.0,49.0,48.0,90.0,50.0,51.0,100.0,33.0
2020-02-14,87.0,46.0,73.0,0.0,0.0,0.0,51.0,0.0,42.0,33.0
2020-02-15,53.0,38.0,52.0,0.0,0.0,0.0,0.0,0.0,56.0,37.0
2020-02-16,60.0,54.0,47.0,0.0,0.0,98.0,0.0,0.0,64.0,36.0
2020-02-17,46.0,92.0,62.0,0.0,0.0,0.0,0.0,0.0,73.0,79.0
2020-02-18,56.0,76.0,77.0,46.0,46.0,0.0,0.0,0.0,32.0,0.0
2020-02-19,64.0,70.0,83.0,0.0,0.0,0.0,0.0,0.0,72.0,31.0
2020-02-20,68.0,71.0,42.0,47.0,0.0,0.0,0.0,49.0,57.0,32.0
2020-02-21,81.0,58.0,54.0,0.0,48.0,0.0,0.0,50.0,74.0,32.0
2020-02-22,43.0,34.0,70.0,54.0,0.0,0.0,0.0,0.0,55.0,0.0
2020-02-23,72.0,76.0,50.0,52.0,0.0,0.0,53.0,0.0,72.0,71.0
2020-02-24,60.0,94.0,55.0,0.0,47.0,0.0,0.0,0.0,64.0,31.0
2020-02-25,63.0,64.0,99.0,0.0,0.0,0.0,47.0,0.0,71.0,42.0
2020-02-26,54.0,59.0,72.0,45.0,0.0,0.0,0.0,0.0,23.0,45.0
