,comedy,romantic,thriller,science fiction,horror,documentary,adventure,mystery,drama	,action
2020-01-01,85.0,36.0,58.0,38.0,37.0,68.0,49.0,63.0,59.0,35.0
2020-01-02,100.0,46.0,56.0,0.0,51.0,96.0,58.0,45.0,65.0,48.0
2020-01-03,42.0,52.0,30.0,31.0,79.0,69.0,62.0,24.0,77.0,61.0
2020-01-04,68.0,69.0,0.0,33.0,28.0,59.0,67.0,46.0,52.0,45.0
2020-01-05,62.0,16.0,43.0,33.0,56.0,73.0,84.0,46.0,67.0,45.0
2020-01-06,57.0,33.0,20.0,30.0,54.0,53.0,57.0,23.0,79.0,55.0
2020-01-07,57.0,53.0,20.0,71.0,44.0,54.0,48.0,46.0,85.0,59.0
2020-01-08,51.0,38.0,19.0,0.0,25.0,35.0,57.0,49.0,79.0,66.0
2020-01-09,46.0,48.0,33.0,30.0,48.0,67.0,32.0,38.0,28.0,49.0
2020-01-10,42.0,34.0,0.0,31.0,52.0,59.0,45.0,31.0,43.0,40.0
2020-01-11,62.0,47.0,28.0,0.0,84.0,68.0,42.0,37.0,61.0,26.0
2020-01-12,69.0,44.0,27.0,31.0,64.0,55.0,56.0,35.0,63.0,35.0
2020-01-13,81.0,22.0,24.0,28.0,30.0,82.0,56.0,42.0,52.0,59.0
2020-01-14,75.0,56.0,41.0,27.0,36.0,61.0,66.0,31.0,30.0,57.0
2020-01-15,61.0,64.0,29.0,30.0,43.0,35.0,53.0,34.0,55.0,62.0
2020-01-16,47.0,53.0,20.0,41.0,40.0,40.0,42.0,34.0,56.0,65.0
2020-01-17,68.0,24.0,20.0,31.0,30.0,55.0,72.0,47.0,52.0,58.0
2020-01-18,64.0,43.0,44.0,34.0,49.0,60.0,61.0,38.0,68.0,42.0
2020-01-19,57.0,52.0,53.0,100.0,32.0,49.0,31.0,46.0,36.0,37.0
2020-01-20,51.0,38.0,39.0,30.0,33.0,71.0,51.0,42.0,70.0,67.0
2020-01-21,54.0,33.0,48.0,45.0,36.0,31.0,44.0,26.0,65.0,53.0
2020-01-22,31.0,33.0,39.0,30.0,33.0,40.0,70.0,38.0,70.0,58.0
2020-01-23,47.0,43.0,0.0,41.0,37.0,67.0,64.0,46.0,61.0,73.0
2020-01-24,47.0,29.0,27.0,31.0,30.0,45.0,42.0,23.0,52.0,64.0
2020-01-25,87.0,48.0,44.0,34.0,53.0,45.0,72.0,26.0,47.0,46.0
