,rap,rock,jazz	,blues,country,heavy metal,hip hop,classical music,bob marley,beatles
2020-01-01,28.0,76.0,64.0,46.0,61.0,53.0,18.0,38.0,39.0,55.0
2020-01-02,24.0,69.0,52.0,20.0,47.0,22.0,62.0,48.0,33.0,33.0
2020-01-03,31.0,65.0,68.0,38.0,39.0,32.0,30.0,31.0,16.0,45.0
2020-01-04,32.0,64.0,56.0,83.0,53.0,46.0,24.0,33.0,17.0,41.0
2020-01-05,30.0,64.0,79.0,66.0,69.0,0.0,48.0,33.0,17.0,34.0
2020-01-06,21.0,54.0,38.0,34.0,51.0,21.0,28.0,44.0,31.0,37.0
2020-01-07,20.0,62.0,51.0,42.0,39.0,0.0,22.0,0.0,0.0,37.0
2020-01-08,28.0,51.0,41.0,49.0,41.0,31.0,28.0,29.0,31.0,18.0
2020-01-09,26.0,53.0,42.0,42.0,45.0,31.0,14.0,30.0,23.0,25.0
2020-01-10,30.0,62.0,37.0,45.0,52.0,85.0,44.0,31.0,0.0,44.0
2020-01-11,42.0,75.0,71.0,60.0,59.0,46.0,32.0,33.0,34.0,40.0
2020-01-12,26.0,75.0,50.0,54.0,46.0,22.0,15.0,0.0,32.0,39.0
2020-01-13,16.0,52.0,27.0,29.0,48.0,39.0,40.0,27.0,36.0,40.0
2020-01-14,32.0,58.0,55.0,31.0,45.0,19.0,52.0,0.0,21.0,39.0
2020-01-15,38.0,65.0,64.0,25.0,45.0,20.0,28.0,87.0,30.0,48.0
2020-01-16,36.0,69.0,76.0,50.0,56.0,0.0,72.0,0.0,31.0,43.0
2020-01-17,31.0,67.0,52.0,35.0,49.0,21.0,37.0,0.0,0.0,19.0
2020-01-18,37.0,79.0,57.0,79.0,54.0,0.0,16.0,34.0,18.0,55.0
2020-01-19,23.0,64.0,54.0,40.0,39.0,0.0,40.0,33.0,17.0,62.0
2020-01-20,30.0,55.0,56.0,41.0,60.0,0.0,21.0,44.0,23.0,55.0
2020-01-21,23.0,58.0,42.0,26.0,44.0,21.0,29.0,0.0,15.0,55.0
2020-01-22,35.0,47.0,59.0,31.0,49.0,21.0,14.0,0.0,23.0,18.0
2020-01-23,42.0,74.0,61.0,20.0,50.0,0.0,22.0,30.0,16.0,12.0
2020-01-24,26.0,62.0,45.0,32.0,68.0,21.0,37.0,30.0,32.0,13.0
2020-01-25,36.0,64.0,45.0,59.0,63.0,23.0,56.0,0.0,18.0,48.0
2020-01-26,38.0,81.0,43.0,70.0,48.0,22.0,15.0,32.0,25.0,53.0
2020-01-27,23.0,61.0,44.0,20.0,63.0,20.0,55.0,43.0,22.0,23.0
2020-01-28,42.0,60.0,61.0,55.0,60.0,20.0,28.0,29.0,15.0,30.0
