,CBC,CTV ,Fox News,CNN,La Presse,Global News,CityNews,TVA Nouvelles,MTL Blog,Montreal Gazette
2020-01-01,22.0,22.0,40.0,21.0,30.0,16.0,0.0,25.0,29.0,27.0
2020-01-02,17.0,11.0,22.0,23.0,28.0,41.0,0.0,23.0,25.0,19.0
2020-01-03,22.0,16.0,42.0,30.0,32.0,8.0,0.0,25.0,72.0,17.0
2020-01-04,12.0,16.0,38.0,25.0,29.0,13.0,0.0,26.0,26.0,25.0
2020-01-05,17.0,22.0,35.0,27.0,28.0,17.0,64.0,25.0,51.0,12.0
2020-01-06,22.0,22.0,26.0,35.0,35.0,15.0,0.0,29.0,46.0,29.0
2020-01-07,19.0,16.0,50.0,30.0,36.0,12.0,0.0,30.0,39.0,21.0
2020-01-08,41.0,25.0,100.0,100.0,48.0,25.0,0.0,44.0,38.0,22.0
2020-01-09,33.0,21.0,38.0,38.0,38.0,15.0,0.0,33.0,35.0,23.0
2020-01-10,18.0,19.0,58.0,26.0,38.0,18.0,0.0,29.0,35.0,21.0
2020-01-11,31.0,24.0,38.0,23.0,27.0,17.0,0.0,27.0,25.0,33.0
2020-01-12,29.0,21.0,45.0,18.0,30.0,16.0,0.0,43.0,24.0,22.0
2020-01-13,21.0,20.0,11.0,22.0,33.0,19.0,0.0,26.0,28.0,33.0
2020-01-14,22.0,21.0,29.0,18.0,33.0,7.0,0.0,26.0,21.0,32.0
2020-01-15,21.0,15.0,45.0,27.0,34.0,19.0,0.0,26.0,34.0,40.0
2020-01-16,23.0,22.0,29.0,24.0,34.0,11.0,0.0,34.0,23.0,23.0
2020-01-17,21.0,18.0,24.0,25.0,34.0,18.0,0.0,37.0,24.0,21.0
2020-01-18,23.0,18.0,36.0,16.0,28.0,9.0,0.0,26.0,43.0,27.0
2020-01-19,19.0,15.0,35.0,15.0,23.0,25.0,64.0,29.0,25.0,28.0
2020-01-20,20.0,17.0,26.0,24.0,36.0,11.0,0.0,29.0,23.0,35.0
2020-01-21,23.0,19.0,40.0,28.0,29.0,23.0,0.0,30.0,23.0,16.0
2020-01-22,19.0,23.0,46.0,22.0,35.0,19.0,59.0,32.0,23.0,22.0
2020-01-23,22.0,20.0,35.0,25.0,38.0,20.0,0.0,31.0,46.0,31.0
2020-01-24,22.0,24.0,53.0,25.0,29.0,16.0,0.0,36.0,47.0,20.0
2020-01-25,21.0,15.0,35.0,17.0,26.0,30.0,0.0,31.0,52.0,16.0
2020-01-26,23.0,21.0,77.0,31.0,30.0,12.0,0.0,34.0,74.0,31.0
2020-01-27,25.0,28.0,66.0,36.0,36.0,10.0,0.0,37.0,0.0,28.0
2020-01-28,22.0,22.0,47.0,38.0,34.0,17.0,0.0,38.0,30.0,19.0
2020-01-29,21.0,26.0,51.0,27.0,37.0,15.0,0.0,37.0,38.0,24.0
2020-01-30,21.0,26.0,73.0,30.0,35.0,21.0,0.0,34.0,47.0,36.0
2020-01-31,20.0,22.0,21.0,31.0,31.0,31.0,0.0,31.0,24.0,26.0
2020-02-01,17.0,14.0,32.0,19.0,28.0,14.0,0.0,31.0,26.0,27.0
2020-02-02,21.0,47.0,50.0,19.0,30.0,19.0,63.0,25.0,33.0,16.0
2020-02-03,26.0,35.0,33.0,22.0,37.0,17.0,0.0,31.0,31.0,24.0
2020-02-04,26.0,27.0,62.0,38.0,31.0,15.0,0.0,26.0,45.0,24.0
2020-02-05,22.0,23.0,49.0,39.0,40.0,10.0,0.0,30.0,46.0,32.0
2020-02-06,22.0,16.0,63.0,28.0,35.0,25.0,0.0,32.0,34.0,35.0
2020-02-07,29.0,27.0,25.0,23.0,33.0,24.0,0.0,58.0,44.0,27.0
2020-02-08,17.0,20.0,33.0,23.0,26.0,27.0,0.0,28.0,27.0,26.0
2020-02-09,16.0,25.0,35.0,14.0,28.0,13.0,0.0,22.0,26.0,27.0
2020-02-10,22.0,36.0,14.0,19.0,33.0,22.0,0.0,35.0,23.0,22.0
2020-02-11,27.0,21.0,34.0,17.0,38.0,17.0,0.0,23.0,37.0,20.0
2020-02-12,23.0,26.0,40.0,23.0,40.0,20.0,0.0,26.0,53.0,22.0
2020-02-13,17.0,18.0,20.0,26.0,34.0,20.0,0.0,19.0,46.0,32.0
2020-02-14,19.0,17.0,43.0,19.0,34.0,11.0,0.0,18.0,31.0,21.0
2020-02-15,21.0,16.0,38.0,18.0,27.0,17.0,0.0,20.0,43.0,21.0
2020-02-16,16.0,12.0,34.0,20.0,30.0,17.0,0.0,18.0,25.0,19.0
2020-02-17,22.0,19.0,41.0,20.0,33.0,15.0,0.0,17.0,22.0,31.0
2020-02-18,23.0,15.0,57.0,23.0,42.0,19.0,0.0,23.0,22.0,30.0
2020-02-19,27.0,23.0,33.0,19.0,42.0,14.0,55.0,25.0,33.0,32.0
2020-02-20,23.0,25.0,44.0,24.0,42.0,17.0,0.0,23.0,33.0,28.0
2020-02-21,26.0,25.0,48.0,15.0,33.0,19.0,57.0,24.0,34.0,23.0
2020-02-22,21.0,19.0,28.0,18.0,26.0,21.0,0.0,16.0,25.0,24.0
2020-02-23,18.0,15.0,28.0,17.0,27.0,16.0,62.0,20.0,74.0,12.0
2020-02-24,31.0,28.0,52.0,26.0,35.0,31.0,0.0,21.0,22.0,35.0
2020-02-25,27.0,26.0,41.0,25.0,40.0,18.0,0.0,20.0,33.0,26.0
2020-02-26,22.0,24.0,21.0,25.0,32.0,14.0,0.0,24.0,21.0,26.0
2020-02-27,24.0,26.0,37.0,24.0,37.0,29.0,0.0,31.0,40.0,28.0
2020-02-28,26.0,32.0,65.0,26.0,39.0,20.0,56.0,31.0,37.0,36.0
2020-02-29,18.0,18.0,37.0,20.0,28.0,19.0,63.0,20.0,67.0,26.0
2020-03-01,20.0,19.0,19.0,25.0,30.0,16.0,0.0,17.0,33.0,22.0
2020-03-02,24.0,20.0,33.0,27.0,35.0,17.0,0.0,22.0,33.0,32.0
2020-03-03,23.0,23.0,30.0,29.0,32.0,20.0,0.0,20.0,22.0,34.0
2020-03-04,18.0,26.0,52.0,49.0,36.0,25.0,0.0,19.0,22.0,24.0
2020-03-05,23.0,21.0,51.0,26.0,35.0,23.0,0.0,17.0,38.0,24.0
2020-03-06,24.0,24.0,28.0,28.0,37.0,20.0,0.0,20.0,30.0,28.0
2020-03-07,27.0,19.0,47.0,23.0,28.0,22.0,0.0,19.0,42.0,33.0
2020-03-08,16.0,16.0,24.0,26.0,30.0,32.0,0.0,21.0,57.0,10.0
2020-03-09,28.0,27.0,37.0,39.0,41.0,14.0,0.0,24.0,42.0,21.0
2020-03-10,27.0,28.0,57.0,32.0,41.0,9.0,0.0,24.0,34.0,26.0
2020-03-11,28.0,36.0,56.0,40.0,48.0,26.0,0.0,26.0,50.0,40.0
2020-03-12,63.0,60.0,67.0,58.0,96.0,46.0,0.0,55.0,62.0,49.0
2020-03-13,77.0,81.0,64.0,56.0,100.0,96.0,51.0,93.0,41.0,85.0
2020-03-14,53.0,46.0,46.0,38.0,63.0,41.0,0.0,56.0,41.0,65.0
2020-03-15,59.0,66.0,54.0,46.0,69.0,58.0,0.0,66.0,32.0,100.0
2020-03-16,100.0,95.0,67.0,63.0,89.0,100.0,52.0,84.0,76.0,83.0
2020-03-17,74.0,100.0,36.0,52.0,79.0,71.0,53.0,84.0,90.0,78.0
2020-03-18,65.0,83.0,71.0,46.0,78.0,70.0,0.0,82.0,42.0,44.0
2020-03-19,62.0,77.0,71.0,40.0,70.0,58.0,0.0,72.0,56.0,52.0
2020-03-20,55.0,67.0,73.0,41.0,62.0,63.0,0.0,68.0,61.0,59.0
2020-03-21,47.0,60.0,66.0,35.0,65.0,53.0,0.0,62.0,58.0,67.0
2020-03-22,60.0,78.0,80.0,42.0,63.0,50.0,0.0,67.0,30.0,65.0
2020-03-23,71.0,88.0,66.0,42.0,72.0,75.0,47.0,100.0,67.0,84.0
2020-03-24,53.0,70.0,65.0,38.0,59.0,44.0,0.0,73.0,100.0,63.0
2020-03-25,51.0,62.0,45.0,41.0,63.0,35.0,0.0,67.0,49.0,59.0
2020-03-26,44.0,59.0,54.0,42.0,54.0,41.0,0.0,55.0,34.0,68.0
2020-03-27,47.0,59.0,73.0,48.0,67.0,49.0,0.0,59.0,60.0,74.0
2020-03-28,44.0,58.0,60.0,37.0,52.0,58.0,58.0,60.0,31.0,75.0
2020-03-29,36.0,58.0,68.0,37.0,54.0,43.0,0.0,63.0,55.0,70.0
2020-03-30,45.0,56.0,44.0,42.0,64.0,62.0,49.0,56.0,32.0,65.0
2020-03-31,44.0,59.0,57.0,42.0,55.0,49.0,76.0,67.0,47.0,47.0
2020-04-01,43.0,59.0,70.0,34.0,54.0,58.0,49.0,75.0,49.0,53.0
2020-04-02,43.0,53.0,84.0,34.0,52.0,45.0,0.0,72.0,77.0,50.0
2020-04-03,50.0,57.0,79.0,43.0,61.0,55.0,0.0,69.0,30.0,30.0
2020-04-04,38.0,47.0,46.0,33.0,51.0,28.0,0.0,68.0,39.0,65.0
2020-04-05,37.0,51.0,53.0,40.0,53.0,33.0,0.0,63.0,43.0,64.0
2020-04-06,36.0,44.0,45.0,39.0,53.0,52.0,0.0,67.0,47.0,52.0
2020-04-07,41.0,43.0,63.0,34.0,56.0,39.0,49.0,72.0,65.0,47.0
2020-04-08,32.0,46.0,43.0,36.0,52.0,42.0,0.0,64.0,38.0,56.0
2020-04-09,32.0,39.0,42.0,29.0,41.0,20.0,0.0,57.0,43.0,48.0
2020-04-10,30.0,38.0,40.0,31.0,50.0,22.0,0.0,53.0,20.0,56.0
2020-04-11,25.0,40.0,37.0,22.0,45.0,26.0,0.0,49.0,43.0,58.0
2020-04-12,29.0,40.0,42.0,29.0,46.0,15.0,0.0,52.0,38.0,57.0
2020-04-13,27.0,40.0,32.0,31.0,46.0,24.0,0.0,60.0,46.0,69.0
2020-04-14,31.0,34.0,50.0,32.0,54.0,27.0,0.0,59.0,25.0,48.0
2020-04-15,30.0,39.0,57.0,30.0,53.0,27.0,0.0,59.0,19.0,50.0
2020-04-16,30.0,41.0,41.0,32.0,52.0,34.0,0.0,54.0,29.0,51.0
2020-04-17,26.0,46.0,49.0,31.0,46.0,37.0,0.0,54.0,20.0,50.0
2020-04-18,26.0,35.0,61.0,28.0,45.0,17.0,0.0,50.0,67.0,58.0
2020-04-19,37.0,35.0,46.0,30.0,47.0,18.0,0.0,55.0,21.0,42.0
2020-04-20,37.0,41.0,84.0,33.0,54.0,34.0,49.0,59.0,83.0,52.0
2020-04-21,32.0,42.0,42.0,33.0,46.0,33.0,0.0,57.0,25.0,46.0
2020-04-22,28.0,41.0,64.0,22.0,53.0,32.0,0.0,61.0,38.0,53.0
2020-04-23,32.0,35.0,56.0,31.0,47.0,30.0,0.0,53.0,45.0,50.0
2020-04-24,36.0,33.0,71.0,31.0,45.0,22.0,0.0,52.0,41.0,34.0
2020-04-25,37.0,31.0,64.0,32.0,38.0,21.0,59.0,48.0,24.0,57.0
2020-04-26,33.0,37.0,66.0,34.0,42.0,19.0,0.0,54.0,22.0,34.0
2020-04-27,37.0,53.0,40.0,25.0,65.0,34.0,48.0,67.0,44.0,65.0
2020-04-28,28.0,45.0,40.0,28.0,51.0,20.0,50.0,63.0,60.0,40.0
2020-04-29,29.0,33.0,46.0,28.0,47.0,18.0,0.0,49.0,27.0,47.0
2020-04-30,27.0,40.0,36.0,26.0,41.0,32.0,0.0,49.0,27.0,30.0
2020-05-01,23.0,33.0,52.0,24.0,40.0,22.0,0.0,49.0,33.0,41.0
2020-05-02,21.0,27.0,29.0,18.0,49.0,29.0,60.0,47.0,47.0,43.0
2020-05-03,27.0,29.0,34.0,25.0,44.0,25.0,0.0,47.0,45.0,39.0
