,staples,pens,envelopes,scissors,stapler	,quill,calculator,printer,printer ink,glue
2020-01-01,43.0,97.0,56.0,67.0,32.0,0.0,46.0,50.0,0.0,45.0
2020-01-02,80.0,49.0,49.0,0.0,27.0,48.0,56.0,40.0,31.0,70.0
2020-01-03,87.0,31.0,0.0,41.0,0.0,69.0,64.0,38.0,0.0,67.0
2020-01-04,67.0,68.0,0.0,58.0,0.0,0.0,61.0,46.0,0.0,50.0
2020-01-05,44.0,50.0,0.0,29.0,0.0,0.0,57.0,37.0,0.0,49.0
2020-01-06,74.0,91.0,46.0,0.0,0.0,0.0,74.0,73.0,29.0,45.0
2020-01-07,48.0,31.0,91.0,26.0,0.0,0.0,86.0,58.0,28.0,55.0
2020-01-08,57.0,61.0,45.0,26.0,25.0,44.0,64.0,60.0,28.0,30.0
2020-01-09,78.0,0.0,45.0,26.0,0.0,0.0,67.0,61.0,28.0,35.0
2020-01-10,72.0,62.0,0.0,0.0,26.0,91.0,70.0,37.0,29.0,46.0
2020-01-11,52.0,34.0,49.0,29.0,0.0,0.0,51.0,32.0,0.0,55.0
2020-01-12,49.0,31.0,47.0,27.0,0.0,46.0,60.0,41.0,29.0,31.0
2020-01-13,43.0,28.0,0.0,24.0,23.0,0.0,68.0,72.0,52.0,51.0
2020-01-14,61.0,41.0,0.0,36.0,0.0,0.0,80.0,62.0,26.0,32.0
2020-01-15,56.0,45.0,44.0,39.0,25.0,0.0,86.0,67.0,56.0,20.0
2020-01-16,74.0,0.0,45.0,0.0,0.0,68.0,59.0,71.0,29.0,40.0
2020-01-17,52.0,31.0,0.0,27.0,51.0,0.0,61.0,91.0,0.0,41.0
2020-01-18,53.0,68.0,0.0,30.0,0.0,100.0,62.0,21.0,0.0,67.0
2020-01-19,22.0,0.0,0.0,29.0,27.0,49.0,54.0,49.0,31.0,60.0
2020-01-20,40.0,31.0,45.0,27.0,25.0,44.0,78.0,45.0,0.0,65.0
2020-01-21,77.0,0.0,44.0,52.0,0.0,0.0,76.0,52.0,0.0,54.0
2020-01-22,61.0,31.0,0.0,26.0,0.0,0.0,91.0,79.0,28.0,45.0
2020-01-23,68.0,46.0,46.0,26.0,25.0,45.0,91.0,69.0,29.0,50.0
2020-01-24,55.0,94.0,46.0,0.0,0.0,46.0,82.0,45.0,29.0,46.0
2020-01-25,46.0,34.0,50.0,59.0,0.0,51.0,67.0,35.0,31.0,62.0
2020-01-26,47.0,33.0,97.0,42.0,0.0,0.0,64.0,25.0,61.0,32.0
2020-01-27,100.0,29.0,0.0,26.0,0.0,0.0,82.0,75.0,41.0,34.0
