,bananas,lemon,strawberries,sugar,bread,cheese,butter,baking powder,eggs,maple syrup
2020-01-01,29.0,36.0,0.0,46.0,38.0,63.0,49.0,30.0,16.0,44.0
2020-01-02,25.0,16.0,0.0,47.0,22.0,44.0,37.0,26.0,10.0,45.0
2020-01-03,0.0,37.0,52.0,56.0,25.0,50.0,30.0,25.0,22.0,32.0
2020-01-04,25.0,53.0,0.0,36.0,22.0,70.0,51.0,27.0,16.0,34.0
2020-01-05,34.0,37.0,0.0,48.0,36.0,55.0,39.0,26.0,18.0,23.0
2020-01-06,54.0,29.0,0.0,36.0,12.0,40.0,31.0,0.0,14.0,31.0
2020-01-07,23.0,39.0,51.0,47.0,28.0,65.0,37.0,0.0,19.0,52.0
2020-01-08,45.0,30.0,25.0,33.0,21.0,45.0,29.0,24.0,13.0,51.0
2020-01-09,46.0,43.0,0.0,31.0,31.0,52.0,28.0,24.0,14.0,28.0
2020-01-10,24.0,54.0,26.0,49.0,17.0,53.0,33.0,25.0,15.0,28.0
2020-01-11,25.0,60.0,55.0,44.0,36.0,74.0,55.0,52.0,22.0,67.0
2020-01-12,48.0,49.0,26.0,45.0,40.0,54.0,60.0,50.0,16.0,28.0
2020-01-13,21.0,42.0,23.0,50.0,27.0,39.0,30.0,0.0,12.0,19.0
2020-01-14,52.0,37.0,0.0,45.0,23.0,63.0,39.0,22.0,19.0,19.0
2020-01-15,56.0,44.0,0.0,55.0,20.0,57.0,44.0,0.0,9.0,20.0
2020-01-16,23.0,36.0,25.0,37.0,19.0,55.0,40.0,0.0,19.0,42.0
2020-01-17,24.0,37.0,0.0,41.0,15.0,47.0,46.0,0.0,13.0,21.0
2020-01-18,35.0,40.0,0.0,41.0,36.0,86.0,50.0,27.0,17.0,31.0
2020-01-19,26.0,56.0,0.0,68.0,38.0,82.0,51.0,27.0,16.0,23.0
2020-01-20,38.0,40.0,25.0,45.0,18.0,50.0,40.0,24.0,16.0,20.0
2020-01-21,30.0,38.0,25.0,53.0,28.0,49.0,36.0,0.0,9.0,20.0
2020-01-22,31.0,40.0,0.0,37.0,25.0,70.0,37.0,48.0,11.0,41.0
2020-01-23,35.0,34.0,25.0,30.0,28.0,51.0,47.0,0.0,17.0,63.0
2020-01-24,47.0,39.0,25.0,46.0,29.0,59.0,39.0,0.0,17.0,0.0
2020-01-25,43.0,62.0,0.0,59.0,25.0,92.0,35.0,27.0,17.0,23.0
2020-01-26,25.0,57.0,27.0,47.0,37.0,67.0,55.0,0.0,16.0,100.0
2020-01-27,33.0,39.0,24.0,38.0,28.0,47.0,37.0,23.0,19.0,29.0
2020-01-28,45.0,30.0,0.0,51.0,25.0,43.0,28.0,0.0,17.0,0.0
2020-01-29,34.0,50.0,0.0,47.0,20.0,36.0,40.0,24.0,16.0,31.0
2020-01-30,47.0,46.0,25.0,38.0,22.0,39.0,44.0,37.0,15.0,42.0
2020-01-31,35.0,44.0,26.0,38.0,23.0,47.0,38.0,25.0,13.0,35.0
2020-02-01,79.0,54.0,28.0,42.0,36.0,66.0,38.0,27.0,24.0,47.0
2020-02-02,38.0,45.0,27.0,58.0,47.0,72.0,62.0,53.0,29.0,68.0
2020-02-03,62.0,23.0,0.0,36.0,21.0,37.0,27.0,32.0,19.0,18.0
2020-02-04,23.0,42.0,25.0,44.0,21.0,53.0,47.0,0.0,12.0,20.0
2020-02-05,23.0,43.0,0.0,52.0,25.0,64.0,26.0,0.0,12.0,30.0
2020-02-06,69.0,43.0,25.0,38.0,23.0,50.0,40.0,24.0,9.0,27.0
2020-02-07,29.0,43.0,48.0,39.0,23.0,57.0,38.0,69.0,17.0,69.0
2020-02-08,27.0,42.0,0.0,62.0,36.0,70.0,39.0,42.0,17.0,32.0
2020-02-09,38.0,61.0,27.0,46.0,34.0,55.0,51.0,26.0,23.0,45.0
2020-02-10,23.0,40.0,37.0,49.0,28.0,47.0,38.0,24.0,11.0,50.0
2020-02-11,22.0,25.0,24.0,50.0,15.0,55.0,36.0,0.0,20.0,20.0
2020-02-12,23.0,40.0,0.0,48.0,30.0,40.0,43.0,24.0,11.0,41.0
2020-02-13,34.0,38.0,100.0,45.0,27.0,48.0,40.0,0.0,16.0,27.0
2020-02-14,35.0,46.0,50.0,41.0,21.0,86.0,43.0,48.0,12.0,21.0
2020-02-15,38.0,45.0,55.0,47.0,31.0,85.0,48.0,27.0,14.0,53.0
2020-02-16,25.0,57.0,55.0,61.0,29.0,100.0,47.0,0.0,22.0,55.0
2020-02-17,0.0,44.0,36.0,49.0,24.0,67.0,40.0,23.0,19.0,30.0
2020-02-18,43.0,59.0,24.0,38.0,25.0,53.0,22.0,23.0,11.0,39.0
2020-02-19,36.0,45.0,35.0,40.0,18.0,51.0,38.0,45.0,14.0,32.0
2020-02-20,44.0,69.0,24.0,50.0,23.0,40.0,46.0,0.0,9.0,26.0
2020-02-21,45.0,47.0,25.0,69.0,27.0,53.0,47.0,47.0,12.0,20.0
2020-02-22,63.0,55.0,0.0,56.0,26.0,73.0,47.0,26.0,23.0,52.0
2020-02-23,58.0,49.0,27.0,59.0,24.0,71.0,58.0,39.0,24.0,77.0
2020-02-24,33.0,52.0,24.0,47.0,22.0,55.0,41.0,23.0,16.0,48.0
2020-02-25,22.0,49.0,24.0,45.0,26.0,55.0,33.0,23.0,13.0,38.0
2020-02-26,0.0,37.0,0.0,42.0,21.0,48.0,27.0,44.0,14.0,19.0
2020-02-27,27.0,40.0,44.0,37.0,24.0,42.0,32.0,0.0,16.0,27.0
2020-02-28,23.0,74.0,24.0,45.0,29.0,43.0,30.0,0.0,13.0,20.0
2020-02-29,100.0,55.0,0.0,56.0,33.0,57.0,44.0,35.0,23.0,52.0
2020-03-01,66.0,80.0,41.0,65.0,40.0,65.0,52.0,78.0,20.0,44.0
2020-03-02,33.0,45.0,95.0,47.0,29.0,38.0,37.0,35.0,16.0,39.0
2020-03-03,33.0,59.0,0.0,49.0,25.0,56.0,38.0,0.0,14.0,20.0
2020-03-04,44.0,52.0,24.0,39.0,24.0,44.0,26.0,0.0,11.0,32.0
2020-03-05,23.0,33.0,24.0,42.0,26.0,59.0,35.0,36.0,19.0,40.0
2020-03-06,45.0,54.0,49.0,43.0,22.0,43.0,38.0,24.0,20.0,40.0
2020-03-07,42.0,66.0,0.0,52.0,40.0,75.0,46.0,40.0,21.0,75.0
2020-03-08,24.0,50.0,26.0,46.0,26.0,61.0,53.0,25.0,15.0,76.0
2020-03-09,32.0,44.0,23.0,58.0,24.0,49.0,37.0,22.0,17.0,28.0
2020-03-10,21.0,39.0,22.0,42.0,18.0,41.0,33.0,22.0,15.0,46.0
2020-03-11,32.0,36.0,0.0,41.0,21.0,45.0,42.0,0.0,12.0,29.0
2020-03-12,31.0,32.0,0.0,38.0,16.0,30.0,29.0,0.0,16.0,25.0
2020-03-13,30.0,51.0,0.0,36.0,23.0,39.0,41.0,0.0,13.0,18.0
2020-03-14,62.0,66.0,0.0,39.0,35.0,60.0,38.0,77.0,20.0,44.0
2020-03-15,48.0,57.0,26.0,62.0,34.0,62.0,45.0,25.0,18.0,78.0
2020-03-16,21.0,41.0,0.0,36.0,36.0,47.0,28.0,33.0,14.0,37.0
2020-03-17,31.0,50.0,23.0,38.0,27.0,51.0,29.0,22.0,20.0,56.0
2020-03-18,21.0,59.0,0.0,59.0,40.0,44.0,36.0,22.0,17.0,19.0
2020-03-19,42.0,46.0,0.0,100.0,37.0,47.0,39.0,0.0,17.0,31.0
2020-03-20,34.0,44.0,22.0,49.0,41.0,60.0,50.0,32.0,12.0,30.0
2020-03-21,31.0,69.0,25.0,55.0,62.0,48.0,77.0,24.0,23.0,31.0
2020-03-22,23.0,69.0,25.0,64.0,61.0,62.0,56.0,47.0,28.0,61.0
2020-03-23,43.0,45.0,0.0,33.0,46.0,46.0,49.0,19.0,20.0,27.0
2020-03-24,20.0,50.0,0.0,41.0,69.0,45.0,43.0,31.0,16.0,30.0
2020-03-25,28.0,68.0,0.0,35.0,46.0,57.0,58.0,44.0,16.0,44.0
2020-03-26,28.0,68.0,0.0,46.0,59.0,61.0,62.0,43.0,16.0,64.0
2020-03-27,60.0,54.0,22.0,40.0,62.0,54.0,50.0,49.0,20.0,72.0
2020-03-28,58.0,88.0,0.0,66.0,82.0,60.0,69.0,48.0,31.0,55.0
2020-03-29,22.0,54.0,24.0,63.0,93.0,70.0,70.0,46.0,36.0,65.0
2020-03-30,58.0,70.0,21.0,50.0,52.0,59.0,54.0,30.0,29.0,40.0
2020-03-31,33.0,60.0,0.0,46.0,50.0,59.0,50.0,70.0,23.0,30.0
2020-04-01,49.0,67.0,21.0,37.0,56.0,54.0,54.0,72.0,35.0,44.0
2020-04-02,33.0,49.0,0.0,51.0,64.0,70.0,73.0,41.0,29.0,17.0
2020-04-03,27.0,51.0,0.0,43.0,62.0,67.0,54.0,62.0,26.0,27.0
2020-04-04,35.0,77.0,25.0,59.0,88.0,80.0,67.0,48.0,42.0,55.0
2020-04-05,32.0,77.0,23.0,61.0,92.0,78.0,80.0,45.0,40.0,25.0
2020-04-06,31.0,35.0,21.0,38.0,58.0,47.0,44.0,26.0,25.0,42.0
2020-04-07,26.0,81.0,21.0,46.0,63.0,63.0,46.0,61.0,36.0,52.0
2020-04-08,64.0,52.0,21.0,44.0,63.0,67.0,58.0,100.0,32.0,51.0
2020-04-09,37.0,67.0,20.0,46.0,66.0,68.0,54.0,45.0,46.0,28.0
2020-04-10,27.0,87.0,54.0,66.0,89.0,82.0,68.0,63.0,52.0,42.0
2020-04-11,43.0,78.0,23.0,68.0,100.0,90.0,92.0,82.0,75.0,48.0
2020-04-12,53.0,92.0,24.0,63.0,81.0,77.0,100.0,71.0,100.0,74.0
2020-04-13,29.0,69.0,32.0,51.0,55.0,62.0,79.0,61.0,39.0,47.0
2020-04-14,47.0,55.0,41.0,38.0,56.0,64.0,56.0,60.0,20.0,56.0
2020-04-15,19.0,68.0,41.0,64.0,45.0,70.0,45.0,40.0,25.0,28.0
2020-04-16,48.0,58.0,0.0,50.0,57.0,62.0,59.0,40.0,35.0,51.0
2020-04-17,39.0,42.0,21.0,56.0,75.0,95.0,61.0,41.0,29.0,26.0
2020-04-18,37.0,100.0,36.0,68.0,81.0,74.0,81.0,55.0,25.0,47.0
2020-04-19,62.0,63.0,34.0,43.0,98.0,67.0,82.0,51.0,31.0,56.0
2020-04-20,38.0,61.0,63.0,52.0,58.0,68.0,46.0,33.0,19.0,34.0
2020-04-21,50.0,73.0,60.0,63.0,56.0,45.0,61.0,39.0,26.0,17.0
2020-04-22,32.0,61.0,21.0,53.0,56.0,58.0,70.0,60.0,26.0,17.0
2020-04-23,19.0,70.0,42.0,48.0,57.0,57.0,73.0,81.0,27.0,34.0
2020-04-24,20.0,76.0,44.0,48.0,56.0,61.0,75.0,74.0,18.0,36.0
