,cats,dogs,cat coronavirus,dog coronavirus,adopt a cat,adopt a dog,adopt a pet,adopt a puppy,Humane Society,SPCA
2020-01-01,86.0,55.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,62.0
2020-01-02,79.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,77.0
2020-01-03,77.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,68.0
2020-01-04,100.0,58.0,0.0,0.0,0.0,59.0,0.0,98.0,51.0,68.0
2020-01-05,74.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0
2020-01-06,76.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,73.0
2020-01-07,52.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,60.0
2020-01-08,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
2020-01-09,53.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0
2020-01-10,57.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,79.0
2020-01-11,74.0,68.0,0.0,0.0,97.0,0.0,0.0,0.0,100.0,60.0
2020-01-12,65.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,72.0
2020-01-13,41.0,65.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,67.0
2020-01-14,45.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,76.0
2020-01-15,34.0,76.0,0.0,0.0,0.0,0.0,0.0,88.0,90.0,73.0
2020-01-16,35.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,58.0
2020-01-17,31.0,66.0,0.0,0.0,0.0,0.0,0.0,91.0,31.0,63.0
2020-01-18,69.0,66.0,0.0,0.0,100.0,60.0,0.0,0.0,0.0,65.0
2020-01-19,47.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,67.0
2020-01-20,34.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,61.0
2020-01-21,42.0,70.0,0.0,34.0,0.0,53.0,0.0,0.0,0.0,61.0
2020-01-22,27.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,73.0
2020-01-23,46.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,65.0
2020-01-24,50.0,66.0,0.0,0.0,0.0,55.0,60.0,0.0,0.0,71.0
2020-01-25,53.0,63.0,0.0,0.0,0.0,0.0,0.0,100.0,34.0,100.0
2020-01-26,38.0,81.0,0.0,36.0,0.0,0.0,0.0,0.0,33.0,73.0
2020-01-27,43.0,59.0,0.0,33.0,0.0,0.0,57.0,0.0,29.0,46.0
2020-01-28,36.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,45.0
2020-01-29,34.0,58.0,68.0,0.0,0.0,52.0,0.0,0.0,30.0,54.0
2020-01-30,38.0,53.0,35.0,34.0,0.0,0.0,0.0,0.0,0.0,73.0
2020-01-31,45.0,55.0,0.0,35.0,0.0,55.0,0.0,0.0,31.0,66.0
2020-02-01,40.0,69.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,64.0
2020-02-02,47.0,69.0,38.0,37.0,0.0,0.0,64.0,0.0,33.0,67.0
2020-02-03,40.0,50.0,62.0,0.0,0.0,0.0,0.0,0.0,27.0,59.0
2020-02-04,42.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,49.0
2020-02-05,34.0,76.0,0.0,0.0,0.0,53.0,0.0,0.0,91.0,56.0
2020-02-06,37.0,41.0,0.0,33.0,0.0,0.0,0.0,0.0,45.0,64.0
2020-02-07,37.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0
2020-02-08,45.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,68.0
2020-02-09,41.0,72.0,0.0,37.0,0.0,58.0,0.0,0.0,34.0,48.0
2020-02-10,25.0,48.0,0.0,0.0,0.0,52.0,0.0,0.0,30.0,43.0
2020-02-11,34.0,71.0,0.0,33.0,0.0,0.0,0.0,0.0,30.0,65.0
2020-02-12,27.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0
2020-02-13,27.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,56.0
2020-02-14,36.0,72.0,34.0,0.0,0.0,0.0,0.0,0.0,31.0,48.0
2020-02-15,44.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
2020-02-16,48.0,90.0,37.0,0.0,0.0,0.0,63.0,0.0,0.0,65.0
2020-02-17,32.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,53.0
2020-02-18,31.0,59.0,0.0,0.0,0.0,50.0,0.0,0.0,28.0,47.0
2020-02-19,30.0,42.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0
2020-02-20,25.0,53.0,0.0,33.0,0.0,50.0,0.0,0.0,29.0,68.0
2020-02-21,41.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,52.0
2020-02-22,44.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,74.0
2020-02-23,47.0,62.0,37.0,36.0,0.0,0.0,0.0,0.0,0.0,69.0
2020-02-24,32.0,44.0,32.0,32.0,0.0,0.0,0.0,0.0,29.0,49.0
2020-02-25,26.0,62.0,33.0,0.0,0.0,0.0,55.0,0.0,29.0,47.0
2020-02-26,26.0,48.0,31.0,62.0,0.0,0.0,0.0,0.0,0.0,66.0
2020-02-27,35.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,48.0
2020-02-28,38.0,51.0,33.0,33.0,0.0,0.0,0.0,0.0,59.0,66.0
2020-02-29,47.0,96.0,0.0,37.0,0.0,58.0,65.0,0.0,0.0,81.0
2020-03-01,48.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,61.0
2020-03-02,29.0,59.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,48.0
2020-03-03,38.0,59.0,0.0,49.0,0.0,0.0,0.0,0.0,39.0,62.0
2020-03-04,26.0,62.0,32.0,32.0,0.0,51.0,0.0,0.0,29.0,44.0
2020-03-05,32.0,38.0,34.0,0.0,0.0,52.0,0.0,0.0,30.0,43.0
2020-03-06,39.0,79.0,34.0,100.0,0.0,0.0,0.0,0.0,0.0,62.0
2020-03-07,41.0,81.0,0.0,37.0,0.0,58.0,0.0,0.0,33.0,39.0
2020-03-08,41.0,80.0,0.0,0.0,0.0,57.0,62.0,0.0,32.0,71.0
2020-03-09,31.0,45.0,31.0,0.0,0.0,98.0,0.0,0.0,28.0,61.0
2020-03-10,40.0,55.0,0.0,31.0,0.0,0.0,0.0,0.0,27.0,55.0
2020-03-11,33.0,66.0,0.0,47.0,0.0,0.0,0.0,0.0,28.0,53.0
2020-03-12,51.0,50.0,31.0,46.0,79.0,0.0,0.0,0.0,28.0,46.0
2020-03-13,50.0,57.0,31.0,70.0,0.0,46.0,51.0,0.0,54.0,50.0
2020-03-14,41.0,78.0,0.0,36.0,0.0,0.0,0.0,0.0,49.0,57.0
2020-03-15,31.0,98.0,36.0,70.0,0.0,0.0,0.0,0.0,0.0,59.0
2020-03-16,26.0,54.0,46.0,46.0,0.0,0.0,0.0,0.0,0.0,52.0
2020-03-17,30.0,67.0,46.0,46.0,0.0,0.0,0.0,0.0,27.0,55.0
2020-03-18,34.0,58.0,63.0,52.0,0.0,0.0,0.0,0.0,0.0,66.0
2020-03-19,30.0,67.0,31.0,46.0,0.0,48.0,0.0,0.0,28.0,66.0
2020-03-20,25.0,76.0,30.0,70.0,0.0,0.0,0.0,0.0,27.0,82.0
2020-03-21,41.0,90.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0
2020-03-22,42.0,67.0,51.0,67.0,0.0,52.0,0.0,0.0,30.0,96.0
2020-03-23,36.0,61.0,27.0,94.0,0.0,0.0,0.0,0.0,0.0,79.0
2020-03-24,31.0,60.0,0.0,44.0,77.0,46.0,0.0,0.0,26.0,83.0
2020-03-25,24.0,76.0,31.0,77.0,0.0,0.0,54.0,0.0,28.0,74.0
