,advil,tylenol,Jean Coutu,Uniprix,hydroxychloroquine,pharmacy	,Pharmaprix,Familiprix,remdesivir,vaccine
2020-01-01,41.0,47.0,100.0,63.0,0.0,42.0,82.0,58.0,0.0,14.0
2020-01-02,24.0,53.0,67.0,72.0,0.0,66.0,37.0,75.0,0.0,10.0
2020-01-03,28.0,43.0,44.0,45.0,0.0,39.0,36.0,55.0,0.0,5.0
2020-01-04,33.0,57.0,55.0,43.0,0.0,83.0,43.0,53.0,0.0,8.0
2020-01-05,16.0,38.0,52.0,47.0,0.0,26.0,42.0,54.0,0.0,16.0
2020-01-06,40.0,22.0,49.0,56.0,0.0,66.0,31.0,50.0,0.0,9.0
2020-01-07,45.0,27.0,43.0,42.0,6.0,53.0,30.0,38.0,0.0,5.0
2020-01-08,27.0,24.0,41.0,39.0,0.0,42.0,26.0,43.0,0.0,19.0
2020-01-09,35.0,42.0,42.0,34.0,6.0,76.0,32.0,38.0,0.0,14.0
2020-01-10,25.0,25.0,40.0,47.0,6.0,72.0,37.0,39.0,0.0,16.0
2020-01-11,25.0,40.0,38.0,40.0,0.0,72.0,37.0,29.0,0.0,16.0
2020-01-12,15.0,43.0,37.0,30.0,0.0,44.0,23.0,24.0,0.0,9.0
2020-01-13,21.0,34.0,38.0,51.0,0.0,57.0,37.0,48.0,0.0,7.0
2020-01-14,14.0,31.0,38.0,38.0,0.0,77.0,30.0,46.0,0.0,10.0
2020-01-15,37.0,41.0,43.0,40.0,0.0,37.0,27.0,56.0,0.0,12.0
2020-01-16,30.0,32.0,34.0,28.0,6.0,57.0,31.0,49.0,0.0,14.0
2020-01-17,25.0,23.0,39.0,46.0,0.0,53.0,27.0,36.0,0.0,20.0
2020-01-18,21.0,49.0,49.0,35.0,0.0,64.0,39.0,35.0,0.0,14.0
2020-01-19,33.0,51.0,41.0,32.0,0.0,52.0,42.0,39.0,0.0,9.0
2020-01-20,26.0,39.0,34.0,32.0,6.0,62.0,29.0,40.0,0.0,11.0
2020-01-21,25.0,44.0,41.0,44.0,0.0,75.0,32.0,39.0,0.0,21.0
2020-01-22,30.0,39.0,39.0,52.0,0.0,38.0,37.0,42.0,0.0,18.0
2020-01-23,30.0,62.0,43.0,39.0,0.0,71.0,31.0,34.0,0.0,14.0
2020-01-24,30.0,35.0,44.0,41.0,0.0,67.0,33.0,34.0,0.0,18.0
2020-01-25,25.0,52.0,44.0,45.0,0.0,37.0,40.0,38.0,0.0,18.0
2020-01-26,51.0,68.0,42.0,32.0,0.0,46.0,41.0,40.0,0.0,11.0
2020-01-27,31.0,56.0,39.0,33.0,6.0,49.0,32.0,42.0,0.0,20.0
2020-01-28,29.0,47.0,43.0,42.0,0.0,46.0,28.0,49.0,0.0,17.0
2020-01-29,24.0,46.0,42.0,47.0,0.0,60.0,26.0,37.0,0.0,24.0
2020-01-30,18.0,32.0,46.0,49.0,6.0,38.0,28.0,43.0,0.0,20.0
2020-01-31,26.0,34.0,36.0,40.0,0.0,63.0,35.0,38.0,0.0,11.0
2020-02-01,45.0,50.0,45.0,38.0,0.0,69.0,44.0,44.0,10.0,18.0
2020-02-02,19.0,48.0,47.0,48.0,0.0,62.0,42.0,42.0,5.0,17.0
2020-02-03,42.0,53.0,41.0,37.0,0.0,29.0,26.0,34.0,4.0,19.0
2020-02-04,24.0,43.0,40.0,46.0,0.0,79.0,23.0,50.0,4.0,9.0
2020-02-05,37.0,41.0,37.0,41.0,0.0,70.0,23.0,45.0,7.0,26.0
2020-02-06,29.0,39.0,36.0,40.0,0.0,56.0,28.0,40.0,0.0,26.0
2020-02-07,24.0,49.0,34.0,33.0,0.0,36.0,22.0,38.0,4.0,17.0
2020-02-08,20.0,31.0,44.0,36.0,0.0,55.0,43.0,55.0,0.0,9.0
2020-02-09,25.0,38.0,48.0,56.0,7.0,47.0,37.0,44.0,0.0,18.0
2020-02-10,37.0,58.0,42.0,47.0,0.0,60.0,27.0,64.0,0.0,16.0
2020-02-11,34.0,38.0,43.0,42.0,0.0,65.0,32.0,41.0,0.0,10.0
2020-02-12,34.0,36.0,43.0,42.0,0.0,42.0,27.0,49.0,0.0,11.0
2020-02-13,17.0,46.0,47.0,48.0,0.0,61.0,31.0,67.0,0.0,12.0
2020-02-14,12.0,32.0,42.0,40.0,6.0,47.0,34.0,42.0,0.0,19.0
2020-02-15,39.0,60.0,47.0,32.0,7.0,73.0,43.0,35.0,10.0,18.0
2020-02-16,40.0,40.0,45.0,49.0,0.0,66.0,27.0,33.0,0.0,0.0
2020-02-17,33.0,23.0,41.0,46.0,0.0,36.0,28.0,44.0,0.0,17.0
2020-02-18,28.0,30.0,38.0,36.0,0.0,40.0,28.0,40.0,0.0,15.0
2020-02-19,26.0,39.0,37.0,37.0,0.0,62.0,29.0,36.0,0.0,13.0
2020-02-20,43.0,37.0,39.0,40.0,0.0,45.0,30.0,32.0,0.0,14.0
2020-02-21,19.0,33.0,42.0,42.0,0.0,46.0,32.0,39.0,0.0,14.0
2020-02-22,19.0,37.0,42.0,51.0,0.0,56.0,44.0,45.0,0.0,15.0
2020-02-23,34.0,34.0,40.0,28.0,0.0,81.0,40.0,44.0,5.0,15.0
2020-02-24,11.0,28.0,47.0,47.0,0.0,31.0,32.0,31.0,4.0,18.0
2020-02-25,12.0,55.0,44.0,38.0,0.0,58.0,31.0,45.0,8.0,22.0
2020-02-26,23.0,40.0,42.0,36.0,0.0,60.0,29.0,44.0,4.0,19.0
2020-02-27,19.0,89.0,38.0,34.0,5.0,70.0,24.0,40.0,0.0,23.0
2020-02-28,36.0,100.0,39.0,33.0,0.0,78.0,32.0,46.0,4.0,31.0
