,Libertarian,Bloc Quebecois,PQ,PPC,Quebec Solidaire,CAQ,Conservative Party,Green Party,Liberal Party,NDP
2020-01-01,0.0,55.0,46.0,38.0,0.0,100.0,0.0,0.0,0.0,80.0
2020-01-02,0.0,0.0,31.0,33.0,0.0,14.0,49.0,0.0,0.0,0.0
2020-01-03,0.0,44.0,51.0,31.0,0.0,27.0,47.0,0.0,0.0,0.0
2020-01-04,0.0,0.0,32.0,50.0,0.0,29.0,50.0,0.0,0.0,47.0
2020-01-05,0.0,48.0,40.0,0.0,0.0,44.0,100.0,54.0,0.0,0.0
2020-01-06,0.0,0.0,47.0,30.0,33.0,13.0,61.0,0.0,0.0,85.0
2020-01-07,58.0,0.0,34.0,0.0,0.0,61.0,69.0,0.0,83.0,43.0
2020-01-08,0.0,0.0,51.0,30.0,33.0,46.0,0.0,0.0,54.0,42.0
2020-01-09,0.0,0.0,55.0,30.0,34.0,40.0,46.0,0.0,0.0,42.0
2020-01-10,0.0,0.0,50.0,0.0,0.0,47.0,0.0,0.0,0.0,43.0
2020-01-11,0.0,0.0,23.0,33.0,0.0,36.0,0.0,0.0,0.0,0.0
2020-01-12,0.0,44.0,38.0,31.0,0.0,48.0,0.0,0.0,0.0,44.0
2020-01-13,0.0,0.0,52.0,37.0,0.0,37.0,42.0,45.0,50.0,39.0
2020-01-14,52.0,39.0,75.0,36.0,0.0,48.0,0.0,0.0,0.0,39.0
2020-01-15,0.0,43.0,72.0,30.0,0.0,46.0,0.0,48.0,0.0,42.0
2020-01-16,59.0,0.0,55.0,30.0,33.0,40.0,91.0,49.0,0.0,0.0
2020-01-17,0.0,0.0,50.0,31.0,0.0,48.0,0.0,0.0,0.0,0.0
2020-01-18,0.0,49.0,55.0,34.0,0.0,37.0,51.0,0.0,0.0,47.0
2020-01-19,0.0,0.0,40.0,33.0,37.0,15.0,50.0,0.0,0.0,0.0
2020-01-20,0.0,0.0,75.0,30.0,34.0,33.0,45.0,0.0,0.0,0.0
2020-01-21,0.0,0.0,38.0,30.0,66.0,20.0,45.0,0.0,0.0,41.0
2020-01-22,57.0,43.0,52.0,30.0,34.0,33.0,0.0,0.0,0.0,84.0
2020-01-23,0.0,0.0,73.0,30.0,0.0,47.0,46.0,0.0,55.0,57.0
2020-01-24,59.0,0.0,61.0,31.0,0.0,61.0,0.0,99.0,0.0,43.0
2020-01-25,0.0,48.0,38.0,34.0,0.0,22.0,51.0,0.0,0.0,0.0
2020-01-26,62.0,0.0,39.0,32.0,36.0,43.0,49.0,0.0,0.0,91.0
2020-01-27,0.0,41.0,45.0,29.0,0.0,0.0,0.0,47.0,0.0,0.0
2020-01-28,0.0,0.0,43.0,29.0,32.0,39.0,44.0,47.0,0.0,41.0
2020-01-29,0.0,42.0,46.0,0.0,0.0,20.0,44.0,0.0,0.0,41.0
2020-01-30,0.0,0.0,44.0,30.0,34.0,41.0,46.0,50.0,0.0,42.0
2020-01-31,59.0,0.0,66.0,62.0,34.0,68.0,47.0,100.0,0.0,0.0
2020-02-01,0.0,0.0,26.0,34.0,0.0,30.0,0.0,0.0,0.0,47.0
2020-02-02,0.0,0.0,39.0,0.0,36.0,36.0,0.0,0.0,0.0,92.0
2020-02-03,52.0,0.0,56.0,27.0,0.0,24.0,41.0,87.0,49.0,0.0
2020-02-04,0.0,84.0,56.0,0.0,0.0,72.0,0.0,0.0,0.0,41.0
2020-02-05,0.0,43.0,26.0,0.0,0.0,59.0,0.0,64.0,0.0,42.0
2020-02-06,0.0,43.0,56.0,0.0,66.0,66.0,0.0,0.0,0.0,42.0
2020-02-07,0.0,0.0,74.0,57.0,0.0,44.0,0.0,0.0,52.0,0.0
2020-02-08,0.0,100.0,42.0,35.0,0.0,70.0,53.0,0.0,63.0,0.0
2020-02-09,63.0,0.0,32.0,100.0,37.0,51.0,50.0,0.0,0.0,70.0
2020-02-10,56.0,43.0,51.0,59.0,0.0,59.0,0.0,0.0,54.0,42.0
2020-02-11,0.0,43.0,18.0,29.0,33.0,46.0,0.0,48.0,0.0,41.0
2020-02-12,0.0,43.0,49.0,0.0,33.0,39.0,45.0,0.0,54.0,0.0
2020-02-13,0.0,0.0,100.0,29.0,0.0,53.0,0.0,0.0,0.0,42.0
2020-02-14,0.0,0.0,65.0,0.0,100.0,53.0,45.0,73.0,54.0,63.0
2020-02-15,0.0,48.0,57.0,33.0,0.0,44.0,0.0,0.0,0.0,47.0
2020-02-16,0.0,0.0,45.0,0.0,0.0,43.0,0.0,53.0,59.0,46.0
2020-02-17,55.0,42.0,57.0,58.0,0.0,45.0,0.0,0.0,52.0,0.0
2020-02-18,0.0,54.0,49.0,56.0,0.0,69.0,0.0,0.0,51.0,39.0
2020-02-19,0.0,0.0,34.0,28.0,32.0,57.0,43.0,0.0,52.0,40.0
2020-02-20,55.0,41.0,62.0,0.0,32.0,51.0,43.0,46.0,52.0,40.0
2020-02-21,0.0,42.0,43.0,29.0,33.0,39.0,0.0,0.0,0.0,41.0
2020-02-22,0.0,94.0,51.0,33.0,0.0,29.0,49.0,0.0,59.0,92.0
2020-02-23,62.0,0.0,61.0,0.0,0.0,42.0,0.0,52.0,0.0,45.0
2020-02-24,0.0,0.0,47.0,29.0,32.0,38.0,43.0,0.0,52.0,100.0
2020-02-25,0.0,0.0,32.0,38.0,0.0,56.0,0.0,0.0,51.0,0.0
2020-02-26,0.0,39.0,68.0,27.0,31.0,42.0,0.0,44.0,49.0,0.0
2020-02-27,0.0,0.0,45.0,39.0,0.0,40.0,0.0,42.0,0.0,0.0
2020-02-28,0.0,0.0,23.0,29.0,0.0,32.0,44.0,0.0,0.0,41.0
2020-02-29,0.0,0.0,37.0,33.0,0.0,86.0,49.0,0.0,60.0,93.0
2020-03-01,0.0,0.0,28.0,0.0,36.0,58.0,0.0,53.0,58.0,0.0
2020-03-02,0.0,0.0,69.0,0.0,32.0,51.0,0.0,46.0,0.0,0.0
2020-03-03,55.0,0.0,35.0,0.0,0.0,57.0,0.0,47.0,52.0,40.0
2020-03-04,54.0,41.0,69.0,0.0,0.0,38.0,0.0,47.0,51.0,60.0
2020-03-05,0.0,43.0,36.0,30.0,0.0,46.0,45.0,0.0,54.0,0.0
