,Justin Trudeau,Celine Dion,Ryan Renolds,Doug Ford,Francois Legault ,Valerie Plante,Donald Trump,Joe Biden,Pierre Arcand,Horacio Arruda
2020-01-01,15.0,28.0,0.0,0.0,6.0,17.0,26.0,4.0,0.0,0.0
2020-01-02,6.0,20.0,0.0,0.0,2.0,14.0,19.0,4.0,0.0,0.0
2020-01-03,4.0,16.0,0.0,0.0,5.0,0.0,36.0,4.0,61.0,0.0
2020-01-04,3.0,21.0,0.0,5.0,2.0,15.0,33.0,4.0,0.0,0.0
2020-01-05,9.0,19.0,0.0,0.0,3.0,0.0,42.0,0.0,0.0,0.0
2020-01-06,3.0,15.0,0.0,5.0,2.0,13.0,67.0,3.0,59.0,0.0
2020-01-07,14.0,10.0,0.0,5.0,2.0,0.0,59.0,4.0,0.0,0.0
2020-01-08,18.0,11.0,0.0,5.0,2.0,0.0,100.0,0.0,0.0,0.0
2020-01-09,28.0,11.0,0.0,0.0,2.0,0.0,40.0,4.0,0.0,0.0
2020-01-10,12.0,7.0,0.0,0.0,2.0,27.0,27.0,0.0,0.0,0.0
2020-01-11,11.0,15.0,0.0,0.0,2.0,15.0,31.0,4.0,0.0,0.0
2020-01-12,12.0,22.0,0.0,0.0,2.0,0.0,23.0,0.0,0.0,0.0
2020-01-13,10.0,12.0,0.0,4.0,2.0,0.0,19.0,0.0,54.0,0.0
2020-01-14,6.0,10.0,0.0,4.0,2.0,0.0,23.0,3.0,53.0,0.0
2020-01-15,6.0,11.0,0.0,0.0,2.0,13.0,24.0,5.0,58.0,0.0
2020-01-16,6.0,16.0,0.0,5.0,2.0,22.0,16.0,7.0,59.0,0.0
2020-01-17,7.0,99.0,0.0,5.0,2.0,0.0,23.0,4.0,0.0,0.0
2020-01-18,8.0,100.0,0.0,5.0,2.0,0.0,21.0,0.0,0.0,0.0
2020-01-19,5.0,50.0,0.0,0.0,2.0,15.0,14.0,0.0,0.0,0.0
2020-01-20,3.0,16.0,0.0,5.0,2.0,22.0,18.0,3.0,0.0,0.0
