,black,asian,latino,indian,african,european,chinese,mexican,italian,immigrant
2020-01-01,92.0,51.0,60.0,43.0,37.0,18.0,35.0,45.0,78.0,26.0
2020-01-02,78.0,47.0,51.0,54.0,52.0,55.0,34.0,56.0,79.0,0.0
2020-01-03,77.0,36.0,65.0,45.0,45.0,29.0,32.0,44.0,64.0,22.0
2020-01-04,87.0,36.0,53.0,42.0,48.0,62.0,28.0,32.0,72.0,23.0
2020-01-05,89.0,48.0,35.0,49.0,48.0,41.0,27.0,54.0,72.0,0.0
2020-01-06,71.0,59.0,32.0,44.0,43.0,32.0,28.0,42.0,44.0,21.0
2020-01-07,77.0,58.0,32.0,38.0,69.0,42.0,17.0,33.0,60.0,21.0
2020-01-08,66.0,32.0,62.0,41.0,48.0,36.0,20.0,26.0,48.0,34.0
2020-01-09,74.0,48.0,53.0,54.0,58.0,37.0,23.0,65.0,69.0,41.0
2020-01-10,65.0,53.0,49.0,54.0,45.0,48.0,26.0,40.0,52.0,21.0
2020-01-11,81.0,68.0,58.0,60.0,85.0,38.0,27.0,50.0,69.0,23.0
2020-01-12,76.0,50.0,49.0,47.0,60.0,34.0,23.0,54.0,31.0,21.0
2020-01-13,62.0,37.0,39.0,45.0,40.0,43.0,23.0,48.0,42.0,32.0
2020-01-14,78.0,49.0,53.0,48.0,61.0,50.0,22.0,35.0,59.0,19.0
2020-01-15,78.0,50.0,31.0,59.0,76.0,73.0,26.0,25.0,46.0,71.0
2020-01-16,67.0,49.0,32.0,41.0,58.0,47.0,30.0,26.0,48.0,31.0
2020-01-17,74.0,58.0,24.0,52.0,15.0,48.0,19.0,53.0,61.0,49.0
2020-01-18,87.0,52.0,66.0,45.0,93.0,26.0,28.0,44.0,79.0,23.0
2020-01-19,81.0,63.0,47.0,45.0,70.0,31.0,26.0,76.0,60.0,46.0
2020-01-20,66.0,45.0,68.0,44.0,77.0,28.0,32.0,63.0,66.0,20.0
2020-01-21,69.0,75.0,37.0,45.0,58.0,64.0,40.0,32.0,47.0,21.0
2020-01-22,73.0,38.0,47.0,40.0,48.0,93.0,38.0,54.0,44.0,21.0
2020-01-23,70.0,35.0,48.0,49.0,54.0,47.0,42.0,66.0,69.0,42.0
2020-01-24,73.0,58.0,32.0,43.0,49.0,61.0,74.0,40.0,54.0,53.0
2020-01-25,81.0,70.0,65.0,50.0,71.0,68.0,100.0,55.0,65.0,46.0
2020-01-26,86.0,70.0,57.0,49.0,89.0,40.0,61.0,56.0,87.0,67.0
2020-01-27,79.0,80.0,45.0,34.0,42.0,49.0,33.0,37.0,72.0,30.0
2020-01-28,81.0,52.0,36.0,51.0,56.0,45.0,32.0,66.0,70.0,27.0
2020-01-29,77.0,35.0,42.0,50.0,58.0,37.0,31.0,64.0,64.0,51.0
2020-01-30,71.0,52.0,32.0,46.0,54.0,47.0,27.0,26.0,48.0,35.0
2020-01-31,64.0,25.0,27.0,39.0,85.0,100.0,19.0,57.0,68.0,42.0
2020-02-01,84.0,58.0,66.0,66.0,49.0,68.0,35.0,55.0,67.0,39.0
2020-02-02,94.0,86.0,98.0,57.0,53.0,31.0,28.0,68.0,71.0,45.0
2020-02-03,79.0,43.0,94.0,55.0,78.0,46.0,19.0,46.0,63.0,37.0
2020-02-04,64.0,32.0,31.0,54.0,77.0,51.0,26.0,39.0,50.0,34.0
2020-02-05,68.0,64.0,24.0,42.0,96.0,55.0,24.0,42.0,74.0,72.0
2020-02-06,67.0,48.0,63.0,40.0,81.0,23.0,23.0,39.0,55.0,41.0
2020-02-07,81.0,51.0,55.0,45.0,46.0,40.0,23.0,40.0,62.0,39.0
2020-02-08,86.0,69.0,73.0,58.0,67.0,43.0,32.0,53.0,61.0,24.0
2020-02-09,86.0,44.0,81.0,55.0,96.0,66.0,25.0,39.0,67.0,34.0
2020-02-10,76.0,66.0,41.0,46.0,57.0,50.0,23.0,38.0,46.0,41.0
2020-02-11,67.0,74.0,46.0,47.0,52.0,23.0,20.0,32.0,60.0,100.0
2020-02-12,74.0,56.0,39.0,51.0,91.0,28.0,21.0,45.0,66.0,27.0
2020-02-13,66.0,59.0,58.0,51.0,53.0,55.0,20.0,45.0,66.0,21.0
2020-02-14,77.0,73.0,37.0,54.0,73.0,56.0,16.0,26.0,95.0,31.0
2020-02-15,81.0,51.0,71.0,61.0,70.0,41.0,23.0,54.0,67.0,23.0
2020-02-16,90.0,79.0,52.0,52.0,58.0,75.0,21.0,60.0,90.0,0.0
2020-02-17,71.0,57.0,46.0,49.0,51.0,58.0,16.0,50.0,84.0,26.0
2020-02-18,62.0,61.0,35.0,47.0,90.0,66.0,20.0,55.0,70.0,26.0
2020-02-19,63.0,56.0,55.0,49.0,78.0,57.0,22.0,31.0,50.0,59.0
2020-02-20,68.0,44.0,40.0,45.0,65.0,44.0,22.0,34.0,60.0,20.0
2020-02-21,78.0,56.0,72.0,53.0,66.0,45.0,23.0,41.0,86.0,41.0
2020-02-22,79.0,73.0,81.0,50.0,48.0,71.0,21.0,64.0,61.0,22.0
2020-02-23,85.0,61.0,34.0,64.0,62.0,30.0,23.0,87.0,69.0,0.0
2020-02-24,72.0,46.0,35.0,53.0,82.0,61.0,19.0,49.0,66.0,20.0
2020-02-25,68.0,48.0,25.0,57.0,32.0,52.0,17.0,43.0,62.0,26.0
2020-02-26,65.0,49.0,34.0,55.0,22.0,59.0,18.0,54.0,64.0,19.0
2020-02-27,66.0,36.0,42.0,46.0,76.0,28.0,15.0,54.0,52.0,36.0
2020-02-28,71.0,57.0,36.0,47.0,70.0,50.0,14.0,50.0,61.0,20.0
2020-02-29,76.0,82.0,78.0,57.0,95.0,53.0,22.0,67.0,52.0,22.0
2020-03-01,82.0,41.0,40.0,49.0,78.0,60.0,22.0,91.0,95.0,37.0
2020-03-02,72.0,85.0,35.0,58.0,41.0,47.0,19.0,49.0,65.0,50.0
2020-03-03,71.0,52.0,76.0,50.0,74.0,49.0,16.0,34.0,45.0,30.0
2020-03-04,69.0,49.0,40.0,56.0,41.0,44.0,15.0,49.0,72.0,29.0
2020-03-05,73.0,63.0,57.0,45.0,86.0,59.0,15.0,54.0,50.0,20.0
2020-03-06,77.0,66.0,52.0,49.0,67.0,48.0,21.0,74.0,62.0,34.0
2020-03-07,92.0,68.0,70.0,87.0,69.0,46.0,24.0,100.0,69.0,23.0
2020-03-08,82.0,59.0,61.0,98.0,71.0,20.0,17.0,86.0,79.0,22.0
2020-03-09,77.0,49.0,58.0,100.0,62.0,38.0,20.0,59.0,43.0,66.0
2020-03-10,74.0,56.0,28.0,48.0,70.0,54.0,16.0,50.0,73.0,25.0
2020-03-11,64.0,55.0,30.0,51.0,100.0,78.0,22.0,33.0,77.0,38.0
2020-03-12,66.0,39.0,38.0,44.0,44.0,83.0,22.0,59.0,74.0,19.0
2020-03-13,59.0,60.0,42.0,24.0,77.0,41.0,21.0,17.0,68.0,27.0
2020-03-14,79.0,49.0,40.0,52.0,88.0,45.0,32.0,31.0,92.0,22.0
2020-03-15,78.0,75.0,71.0,41.0,40.0,43.0,28.0,50.0,69.0,22.0
2020-03-16,63.0,46.0,47.0,44.0,30.0,38.0,22.0,23.0,66.0,38.0
2020-03-17,63.0,56.0,62.0,25.0,35.0,46.0,24.0,44.0,57.0,28.0
2020-03-18,69.0,44.0,15.0,38.0,44.0,42.0,25.0,15.0,78.0,28.0
2020-03-19,63.0,56.0,48.0,40.0,48.0,38.0,25.0,35.0,72.0,19.0
2020-03-20,57.0,64.0,33.0,36.0,47.0,61.0,22.0,32.0,69.0,36.0
2020-03-21,75.0,49.0,53.0,55.0,63.0,21.0,28.0,29.0,54.0,21.0
2020-03-22,85.0,62.0,94.0,47.0,62.0,64.0,25.0,29.0,80.0,0.0
2020-03-23,61.0,56.0,42.0,43.0,69.0,44.0,24.0,49.0,61.0,16.0
2020-03-24,65.0,45.0,60.0,44.0,51.0,42.0,19.0,45.0,72.0,18.0
2020-03-25,70.0,81.0,29.0,41.0,58.0,42.0,15.0,27.0,72.0,38.0
2020-03-26,76.0,65.0,33.0,43.0,56.0,37.0,19.0,29.0,75.0,37.0
2020-03-27,68.0,50.0,60.0,48.0,47.0,49.0,25.0,34.0,81.0,36.0
2020-03-28,76.0,70.0,100.0,38.0,82.0,28.0,18.0,45.0,84.0,21.0
2020-03-29,83.0,46.0,65.0,45.0,69.0,46.0,25.0,40.0,88.0,29.0
2020-03-30,70.0,45.0,36.0,44.0,77.0,43.0,17.0,25.0,75.0,35.0
2020-03-31,70.0,61.0,69.0,42.0,55.0,49.0,20.0,65.0,72.0,18.0
2020-04-01,71.0,64.0,36.0,47.0,62.0,59.0,17.0,44.0,65.0,23.0
2020-04-02,68.0,62.0,31.0,41.0,49.0,24.0,20.0,36.0,77.0,44.0
2020-04-03,71.0,51.0,64.0,35.0,46.0,42.0,21.0,28.0,54.0,24.0
2020-04-04,81.0,60.0,43.0,46.0,39.0,37.0,28.0,46.0,85.0,21.0
2020-04-05,87.0,50.0,54.0,38.0,67.0,45.0,21.0,21.0,71.0,0.0
2020-04-06,62.0,64.0,56.0,46.0,43.0,42.0,21.0,45.0,63.0,34.0
2020-04-07,71.0,39.0,27.0,36.0,78.0,35.0,20.0,49.0,71.0,0.0
2020-04-08,69.0,63.0,31.0,42.0,65.0,43.0,17.0,33.0,47.0,17.0
2020-04-09,74.0,45.0,76.0,33.0,31.0,37.0,12.0,29.0,72.0,0.0
2020-04-10,81.0,52.0,46.0,30.0,67.0,61.0,17.0,43.0,70.0,0.0
2020-04-11,96.0,45.0,89.0,49.0,63.0,35.0,22.0,36.0,87.0,19.0
2020-04-12,84.0,40.0,78.0,47.0,76.0,48.0,20.0,29.0,100.0,20.0
2020-04-13,75.0,57.0,76.0,47.0,90.0,55.0,20.0,22.0,74.0,0.0
2020-04-14,85.0,54.0,65.0,29.0,100.0,46.0,18.0,59.0,56.0,43.0
2020-04-15,74.0,40.0,83.0,36.0,56.0,23.0,19.0,27.0,52.0,17.0
2020-04-16,73.0,59.0,40.0,35.0,41.0,47.0,18.0,27.0,59.0,53.0
2020-04-17,78.0,62.0,76.0,42.0,45.0,31.0,19.0,33.0,64.0,18.0
2020-04-18,85.0,47.0,77.0,47.0,76.0,20.0,19.0,43.0,51.0,0.0
2020-04-19,89.0,71.0,57.0,42.0,83.0,25.0,24.0,44.0,97.0,19.0
2020-04-20,68.0,49.0,39.0,41.0,64.0,46.0,18.0,30.0,58.0,26.0
2020-04-21,76.0,63.0,39.0,27.0,90.0,34.0,21.0,34.0,68.0,34.0
2020-04-22,72.0,45.0,48.0,31.0,80.0,38.0,19.0,48.0,49.0,23.0
2020-04-23,78.0,52.0,71.0,36.0,49.0,27.0,21.0,41.0,62.0,29.0
2020-04-24,81.0,62.0,47.0,38.0,39.0,37.0,21.0,20.0,39.0,18.0
2020-04-25,83.0,52.0,59.0,52.0,88.0,23.0,22.0,25.0,67.0,21.0
2020-04-26,95.0,56.0,35.0,41.0,64.0,22.0,27.0,37.0,77.0,39.0
2020-04-27,75.0,47.0,31.0,46.0,76.0,38.0,16.0,22.0,54.0,17.0
2020-04-28,71.0,37.0,60.0,32.0,42.0,28.0,21.0,38.0,65.0,27.0
2020-04-29,77.0,66.0,42.0,38.0,47.0,37.0,19.0,43.0,46.0,0.0
2020-04-30,83.0,47.0,63.0,33.0,46.0,33.0,19.0,23.0,51.0,16.0
2020-05-01,77.0,56.0,45.0,33.0,54.0,64.0,16.0,39.0,56.0,36.0
2020-05-02,85.0,69.0,60.0,58.0,50.0,33.0,25.0,50.0,61.0,0.0
2020-05-03,89.0,63.0,46.0,69.0,90.0,59.0,23.0,35.0,72.0,30.0
2020-05-04,67.0,100.0,61.0,35.0,40.0,34.0,20.0,29.0,59.0,26.0
2020-05-05,78.0,93.0,41.0,39.0,68.0,33.0,16.0,54.0,36.0,16.0
2020-05-06,81.0,49.0,41.0,36.0,67.0,36.0,15.0,50.0,59.0,27.0
2020-05-07,86.0,60.0,34.0,34.0,62.0,78.0,19.0,22.0,65.0,18.0
2020-05-08,85.0,55.0,32.0,36.0,50.0,48.0,15.0,47.0,75.0,36.0
2020-05-09,100.0,35.0,44.0,52.0,63.0,43.0,22.0,27.0,45.0,19.0
2020-05-10,71.0,60.0,69.0,48.0,67.0,47.0,28.0,48.0,86.0,38.0
2020-05-11,74.0,38.0,40.0,31.0,68.0,27.0,13.0,27.0,66.0,17.0
2020-05-12,80.0,55.0,20.0,37.0,81.0,47.0,19.0,33.0,62.0,26.0
2020-05-13,77.0,44.0,31.0,57.0,53.0,24.0,21.0,30.0,61.0,29.0
2020-05-14,75.0,47.0,41.0,32.0,54.0,32.0,15.0,13.0,55.0,30.0
2020-05-15,70.0,55.0,49.0,44.0,69.0,55.0,21.0,44.0,56.0,44.0
2020-05-16,89.0,66.0,64.0,38.0,39.0,33.0,24.0,49.0,59.0,31.0
2020-05-17,93.0,39.0,66.0,49.0,71.0,44.0,26.0,31.0,57.0,0.0
2020-05-18,83.0,46.0,45.0,32.0,78.0,53.0,16.0,46.0,67.0,20.0
2020-05-19,74.0,30.0,27.0,36.0,58.0,36.0,19.0,28.0,52.0,27.0
2020-05-20,72.0,56.0,41.0,18.0,50.0,48.0,16.0,34.0,68.0,0.0
