,sushi,indian food,mexican food,asian food,vegetarian recipes,vegan,easy recipes,chicken recipes,healthy recipes,fine dining
2020-01-01,41.0,34.0,0.0,0.0,58.0,71.0,53.0,44.0,29.0,0.0
2020-01-02,45.0,43.0,0.0,36.0,66.0,90.0,90.0,37.0,100.0,0.0
2020-01-03,53.0,27.0,30.0,0.0,62.0,75.0,48.0,41.0,24.0,0.0
2020-01-04,47.0,29.0,33.0,0.0,0.0,91.0,31.0,38.0,26.0,0.0
2020-01-05,37.0,29.0,0.0,0.0,34.0,89.0,46.0,69.0,25.0,81.0
2020-01-06,19.0,40.0,29.0,0.0,81.0,61.0,28.0,23.0,0.0,50.0
2020-01-07,23.0,0.0,60.0,34.0,60.0,63.0,70.0,43.0,47.0,0.0
2020-01-08,21.0,26.0,0.0,33.0,30.0,71.0,46.0,57.0,46.0,0.0
2020-01-09,31.0,0.0,30.0,0.0,30.0,78.0,70.0,43.0,23.0,0.0
2020-01-10,43.0,27.0,30.0,0.0,31.0,81.0,66.0,35.0,24.0,100.0
2020-01-11,45.0,29.0,0.0,0.0,0.0,98.0,51.0,66.0,51.0,0.0
2020-01-12,34.0,27.0,0.0,34.0,47.0,90.0,87.0,71.0,24.0,0.0
2020-01-13,23.0,0.0,27.0,31.0,28.0,95.0,51.0,26.0,0.0,0.0
2020-01-14,23.0,48.0,27.0,0.0,41.0,74.0,51.0,52.0,21.0,0.0
2020-01-15,28.0,52.0,0.0,0.0,60.0,61.0,55.0,34.0,0.0,0.0
2020-01-16,32.0,26.0,30.0,0.0,30.0,75.0,28.0,23.0,0.0,0.0
2020-01-17,41.0,27.0,30.0,68.0,31.0,81.0,29.0,44.0,0.0,0.0
2020-01-18,46.0,44.0,100.0,0.0,34.0,91.0,31.0,48.0,52.0,0.0
2020-01-19,34.0,29.0,32.0,0.0,100.0,100.0,31.0,76.0,0.0,0.0
2020-01-20,20.0,27.0,30.0,100.0,0.0,47.0,83.0,17.0,24.0,0.0
2020-01-21,25.0,65.0,29.0,33.0,30.0,66.0,55.0,23.0,35.0,0.0
2020-01-22,23.0,0.0,0.0,0.0,50.0,73.0,42.0,34.0,23.0,0.0
2020-01-23,29.0,27.0,0.0,0.0,31.0,67.0,71.0,43.0,47.0,0.0
2020-01-24,47.0,40.0,0.0,0.0,62.0,73.0,85.0,18.0,24.0,0.0
2020-01-25,47.0,29.0,33.0,0.0,69.0,85.0,63.0,52.0,52.0,56.0
2020-01-26,32.0,28.0,0.0,36.0,32.0,71.0,60.0,49.0,50.0,53.0
2020-01-27,25.0,51.0,28.0,0.0,0.0,62.0,0.0,33.0,22.0,48.0
2020-01-28,27.0,0.0,0.0,0.0,29.0,54.0,41.0,50.0,0.0,47.0
2020-01-29,23.0,39.0,0.0,0.0,45.0,63.0,55.0,34.0,0.0,0.0
2020-01-30,29.0,53.0,30.0,34.0,0.0,53.0,28.0,52.0,24.0,0.0
2020-01-31,42.0,40.0,30.0,0.0,31.0,52.0,57.0,24.0,0.0,0.0
2020-02-01,55.0,30.0,0.0,37.0,34.0,86.0,31.0,39.0,39.0,0.0
2020-02-02,33.0,48.0,32.0,0.0,49.0,75.0,76.0,100.0,25.0,0.0
