,relationship,cheating,condom,sexting,frequentation,mating,marriage,jealous,long distance,breakup
2020-01-01,92.0,68.0,27.0,0.0,56.0,0.0,72.0,51.0,65.0,34.0
2020-01-02,65.0,35.0,30.0,50.0,48.0,0.0,50.0,0.0,70.0,29.0
2020-01-03,76.0,34.0,22.0,0.0,0.0,53.0,55.0,0.0,27.0,56.0
2020-01-04,71.0,59.0,23.0,0.0,0.0,0.0,74.0,56.0,38.0,0.0
2020-01-05,38.0,47.0,46.0,51.0,49.0,56.0,54.0,33.0,28.0,29.0
2020-01-06,73.0,37.0,28.0,0.0,0.0,51.0,60.0,30.0,25.0,66.0
2020-01-07,61.0,32.0,28.0,47.0,0.0,0.0,43.0,61.0,0.0,0.0
2020-01-08,59.0,26.0,69.0,45.0,43.0,75.0,42.0,0.0,25.0,52.0
2020-01-09,82.0,49.0,63.0,0.0,0.0,0.0,46.0,30.0,39.0,27.0
2020-01-10,61.0,100.0,32.0,0.0,0.0,0.0,47.0,62.0,35.0,55.0
2020-01-11,56.0,62.0,23.0,0.0,0.0,0.0,31.0,49.0,28.0,44.0
2020-01-12,58.0,39.0,44.0,0.0,0.0,0.0,44.0,31.0,53.0,28.0
2020-01-13,60.0,45.0,52.0,43.0,0.0,0.0,62.0,0.0,24.0,37.0
2020-01-14,86.0,44.0,57.0,0.0,0.0,0.0,54.0,27.0,23.0,73.0
2020-01-15,88.0,47.0,61.0,45.0,43.0,0.0,73.0,44.0,25.0,26.0
2020-01-16,52.0,71.0,63.0,47.0,0.0,51.0,36.0,31.0,26.0,27.0
2020-01-17,57.0,72.0,43.0,47.0,0.0,78.0,47.0,0.0,26.0,0.0
2020-01-18,48.0,54.0,36.0,52.0,0.0,0.0,28.0,34.0,29.0,30.0
2020-01-19,57.0,36.0,39.0,51.0,0.0,0.0,35.0,33.0,28.0,30.0
2020-01-20,64.0,32.0,62.0,0.0,0.0,0.0,60.0,90.0,76.0,40.0
2020-01-21,42.0,48.0,41.0,0.0,44.0,0.0,63.0,30.0,38.0,0.0
2020-01-22,98.0,24.0,35.0,46.0,44.0,0.0,35.0,30.0,38.0,40.0
2020-01-23,48.0,33.0,28.0,47.0,0.0,0.0,46.0,31.0,0.0,27.0
2020-01-24,44.0,44.0,29.0,94.0,0.0,52.0,54.0,31.0,52.0,27.0
2020-01-25,48.0,42.0,32.0,52.0,50.0,0.0,56.0,34.0,29.0,30.0
2020-01-26,78.0,46.0,23.0,99.0,0.0,54.0,68.0,32.0,46.0,43.0
2020-01-27,78.0,54.0,40.0,0.0,0.0,0.0,44.0,57.0,33.0,51.0
2020-01-28,50.0,16.0,68.0,45.0,0.0,0.0,55.0,0.0,62.0,52.0
2020-01-29,89.0,24.0,31.0,46.0,0.0,0.0,31.0,0.0,42.0,39.0
2020-01-30,52.0,49.0,32.0,94.0,0.0,0.0,39.0,31.0,26.0,27.0
2020-01-31,35.0,49.0,72.0,0.0,0.0,52.0,25.0,92.0,0.0,27.0
2020-02-01,44.0,36.0,40.0,0.0,100.0,58.0,44.0,51.0,58.0,0.0
2020-02-02,70.0,41.0,34.0,0.0,0.0,0.0,58.0,66.0,56.0,0.0
2020-02-03,42.0,34.0,38.0,41.0,0.0,0.0,38.0,36.0,34.0,95.0
2020-02-04,76.0,26.0,49.0,45.0,0.0,50.0,56.0,30.0,25.0,0.0
2020-02-05,38.0,27.0,49.0,0.0,0.0,0.0,49.0,30.0,51.0,0.0
2020-02-06,77.0,32.0,42.0,46.0,44.0,50.0,39.0,0.0,25.0,26.0
2020-02-07,45.0,15.0,30.0,66.0,0.0,48.0,54.0,58.0,49.0,38.0
2020-02-08,80.0,31.0,36.0,0.0,0.0,0.0,74.0,0.0,59.0,0.0
2020-02-09,100.0,27.0,35.0,0.0,0.0,0.0,63.0,51.0,57.0,0.0
2020-02-10,80.0,16.0,62.0,45.0,0.0,0.0,100.0,0.0,0.0,26.0
2020-02-11,87.0,16.0,34.0,0.0,43.0,0.0,65.0,58.0,50.0,0.0
2020-02-12,77.0,27.0,41.0,46.0,0.0,0.0,66.0,0.0,25.0,26.0
2020-02-13,64.0,32.0,35.0,45.0,0.0,50.0,49.0,45.0,25.0,0.0
2020-02-14,43.0,21.0,42.0,0.0,44.0,50.0,39.0,30.0,51.0,0.0
2020-02-15,67.0,42.0,47.0,0.0,0.0,57.0,55.0,68.0,85.0,59.0
2020-02-16,89.0,53.0,68.0,0.0,0.0,55.0,54.0,32.0,55.0,58.0
2020-02-17,62.0,39.0,60.0,0.0,0.0,0.0,34.0,87.0,24.0,77.0
2020-02-18,89.0,71.0,46.0,0.0,0.0,0.0,27.0,100.0,0.0,0.0
2020-02-19,65.0,40.0,39.0,0.0,0.0,47.0,33.0,56.0,24.0,25.0
2020-02-20,68.0,36.0,20.0,44.0,0.0,48.0,81.0,43.0,49.0,26.0
2020-02-21,63.0,32.0,31.0,45.0,0.0,50.0,35.0,29.0,25.0,26.0
2020-02-22,79.0,41.0,38.0,50.0,0.0,0.0,61.0,33.0,28.0,0.0
2020-02-23,46.0,43.0,82.0,0.0,47.0,82.0,53.0,32.0,55.0,57.0
2020-02-24,73.0,36.0,30.0,0.0,0.0,48.0,53.0,57.0,24.0,0.0
2020-02-25,64.0,25.0,20.0,0.0,0.0,71.0,33.0,28.0,36.0,25.0
2020-02-26,90.0,35.0,26.0,0.0,0.0,47.0,45.0,28.0,23.0,24.0
2020-02-27,49.0,52.0,55.0,0.0,0.0,45.0,40.0,53.0,30.0,24.0
2020-02-28,42.0,47.0,30.0,0.0,43.0,49.0,21.0,39.0,25.0,26.0
2020-02-29,70.0,41.0,23.0,100.0,0.0,0.0,23.0,33.0,0.0,0.0
2020-03-01,65.0,17.0,34.0,49.0,0.0,0.0,57.0,33.0,82.0,29.0
2020-03-02,69.0,23.0,50.0,44.0,0.0,0.0,34.0,29.0,32.0,51.0
2020-03-03,41.0,21.0,40.0,0.0,0.0,49.0,34.0,44.0,25.0,38.0
2020-03-04,77.0,46.0,53.0,0.0,0.0,0.0,37.0,57.0,32.0,0.0
2020-03-05,29.0,71.0,62.0,0.0,0.0,100.0,42.0,30.0,38.0,26.0
2020-03-06,47.0,16.0,31.0,0.0,44.0,100.0,49.0,30.0,50.0,52.0
2020-03-07,71.0,35.0,54.0,51.0,0.0,0.0,35.0,33.0,28.0,29.0
2020-03-08,68.0,25.0,44.0,0.0,46.0,0.0,33.0,32.0,27.0,28.0
2020-03-09,43.0,34.0,38.0,43.0,41.0,0.0,52.0,0.0,23.0,0.0
2020-03-10,27.0,19.0,38.0,41.0,0.0,0.0,28.0,27.0,46.0,24.0
2020-03-11,40.0,98.0,39.0,0.0,0.0,95.0,30.0,57.0,36.0,37.0
2020-03-12,58.0,19.0,28.0,0.0,0.0,46.0,35.0,0.0,23.0,24.0
2020-03-13,46.0,38.0,65.0,41.0,0.0,44.0,31.0,27.0,34.0,0.0
2020-03-14,32.0,26.0,34.0,0.0,0.0,0.0,45.0,48.0,0.0,42.0
2020-03-15,49.0,28.0,58.0,48.0,0.0,52.0,40.0,0.0,66.0,27.0
2020-03-16,50.0,22.0,25.0,84.0,39.0,45.0,25.0,27.0,53.0,24.0
2020-03-17,46.0,34.0,19.0,0.0,0.0,46.0,38.0,41.0,62.0,0.0
2020-03-18,39.0,24.0,76.0,0.0,0.0,0.0,26.0,37.0,47.0,24.0
2020-03-19,43.0,44.0,19.0,42.0,0.0,46.0,26.0,28.0,54.0,48.0
2020-03-20,68.0,14.0,46.0,41.0,39.0,45.0,40.0,53.0,45.0,0.0
2020-03-21,47.0,16.0,42.0,46.0,44.0,0.0,46.0,30.0,43.0,0.0
2020-03-22,30.0,21.0,52.0,92.0,0.0,0.0,45.0,45.0,42.0,0.0
2020-03-23,58.0,34.0,25.0,37.0,0.0,0.0,25.0,48.0,34.0,21.0
2020-03-24,56.0,38.0,18.0,40.0,0.0,0.0,28.0,0.0,23.0,0.0
2020-03-25,71.0,44.0,26.0,0.0,0.0,0.0,26.0,28.0,31.0,0.0
2020-03-26,69.0,24.0,19.0,0.0,0.0,46.0,25.0,41.0,35.0,0.0
2020-03-27,60.0,33.0,37.0,41.0,0.0,0.0,28.0,35.0,30.0,70.0
