,Christian,Bible,Catholic,church,Muslim,Islam	,Jewish,synagogue,God,Devil
2020-01-01,38.0,52.0,48.0,65.0,54.0,29.0,31.0,19.0,64.0,62.0
2020-01-02,46.0,53.0,27.0,28.0,26.0,45.0,66.0,16.0,63.0,81.0
2020-01-03,44.0,43.0,30.0,35.0,29.0,63.0,37.0,16.0,58.0,82.0
2020-01-04,63.0,47.0,23.0,51.0,42.0,75.0,31.0,0.0,51.0,83.0
2020-01-05,49.0,48.0,32.0,54.0,42.0,42.0,20.0,0.0,51.0,82.0
2020-01-06,51.0,55.0,29.0,40.0,38.0,57.0,39.0,15.0,55.0,48.0
2020-01-07,60.0,43.0,30.0,38.0,22.0,57.0,40.0,0.0,49.0,71.0
2020-01-08,56.0,54.0,25.0,31.0,46.0,60.0,38.0,0.0,61.0,69.0
2020-01-09,48.0,46.0,34.0,40.0,14.0,42.0,46.0,20.0,22.0,71.0
2020-01-10,55.0,55.0,47.0,41.0,36.0,66.0,18.0,26.0,50.0,72.0
2020-01-11,50.0,64.0,48.0,52.0,26.0,54.0,35.0,0.0,56.0,82.0
2020-01-12,40.0,67.0,35.0,59.0,29.0,66.0,26.0,16.0,50.0,73.0
2020-01-13,45.0,33.0,23.0,44.0,22.0,46.0,43.0,14.0,37.0,61.0
2020-01-14,39.0,48.0,42.0,37.0,34.0,79.0,51.0,14.0,66.0,56.0
2020-01-15,44.0,46.0,25.0,42.0,35.0,67.0,52.0,15.0,61.0,39.0
2020-01-16,42.0,37.0,47.0,32.0,24.0,77.0,39.0,0.0,49.0,89.0
2020-01-17,62.0,41.0,64.0,23.0,22.0,31.0,29.0,0.0,79.0,59.0
2020-01-18,76.0,37.0,14.0,54.0,37.0,60.0,52.0,34.0,72.0,60.0
2020-01-19,47.0,34.0,42.0,46.0,24.0,59.0,35.0,17.0,76.0,84.0
2020-01-20,52.0,43.0,37.0,41.0,38.0,64.0,28.0,15.0,55.0,66.0
2020-01-21,53.0,38.0,54.0,33.0,28.0,41.0,25.0,15.0,61.0,44.0
2020-01-22,57.0,51.0,17.0,29.0,19.0,34.0,21.0,0.0,48.0,62.0
2020-01-23,44.0,35.0,38.0,37.0,34.0,42.0,58.0,31.0,49.0,45.0
2020-01-24,42.0,47.0,51.0,27.0,24.0,38.0,25.0,15.0,77.0,58.0
2020-01-25,48.0,51.0,14.0,36.0,37.0,30.0,32.0,17.0,67.0,50.0
2020-01-26,39.0,58.0,27.0,50.0,31.0,69.0,34.0,0.0,71.0,66.0
2020-01-27,44.0,50.0,18.0,47.0,23.0,54.0,37.0,14.0,50.0,59.0
2020-01-28,41.0,41.0,20.0,39.0,37.0,55.0,59.0,15.0,56.0,34.0
2020-01-29,47.0,52.0,25.0,31.0,35.0,41.0,49.0,30.0,35.0,52.0
2020-01-30,43.0,47.0,32.0,34.0,14.0,50.0,54.0,15.0,47.0,67.0
2020-01-31,29.0,38.0,21.0,46.0,29.0,54.0,51.0,31.0,47.0,32.0
2020-02-01,38.0,42.0,29.0,45.0,37.0,43.0,32.0,0.0,38.0,75.0
2020-02-02,53.0,53.0,32.0,56.0,31.0,54.0,82.0,17.0,46.0,48.0
2020-02-03,100.0,42.0,34.0,38.0,34.0,61.0,35.0,27.0,47.0,55.0
2020-02-04,70.0,35.0,29.0,31.0,14.0,63.0,45.0,22.0,56.0,61.0
2020-02-05,42.0,24.0,33.0,43.0,23.0,68.0,49.0,15.0,48.0,70.0
2020-02-06,54.0,26.0,25.0,20.0,21.0,71.0,21.0,0.0,46.0,39.0
2020-02-07,53.0,33.0,36.0,29.0,27.0,40.0,34.0,14.0,46.0,50.0
2020-02-08,42.0,52.0,29.0,44.0,27.0,70.0,12.0,18.0,75.0,82.0
2020-02-09,45.0,61.0,32.0,56.0,31.0,80.0,59.0,0.0,54.0,83.0
2020-02-10,46.0,58.0,37.0,28.0,32.0,52.0,62.0,15.0,56.0,39.0
2020-02-11,52.0,40.0,32.0,42.0,14.0,55.0,41.0,0.0,56.0,43.0
2020-02-12,42.0,49.0,37.0,39.0,23.0,60.0,39.0,15.0,68.0,39.0
2020-02-13,60.0,31.0,17.0,32.0,21.0,68.0,28.0,15.0,55.0,39.0
2020-02-14,36.0,41.0,42.0,42.0,0.0,53.0,39.0,0.0,35.0,60.0
2020-02-15,43.0,56.0,42.0,44.0,32.0,34.0,55.0,0.0,54.0,59.0
2020-02-16,54.0,63.0,45.0,79.0,31.0,86.0,35.0,16.0,79.0,72.0
2020-02-17,54.0,38.0,42.0,35.0,34.0,55.0,17.0,0.0,57.0,72.0
2020-02-18,41.0,56.0,35.0,31.0,20.0,79.0,40.0,14.0,33.0,50.0
2020-02-19,42.0,57.0,24.0,42.0,33.0,43.0,53.0,14.0,48.0,29.0
2020-02-20,48.0,42.0,66.0,41.0,34.0,51.0,54.0,22.0,61.0,59.0
2020-02-21,37.0,43.0,21.0,31.0,37.0,41.0,35.0,15.0,48.0,39.0
2020-02-22,47.0,45.0,32.0,38.0,21.0,49.0,27.0,17.0,57.0,48.0
2020-02-23,48.0,47.0,31.0,68.0,36.0,57.0,38.0,16.0,50.0,21.0
2020-02-24,39.0,28.0,36.0,42.0,20.0,72.0,57.0,14.0,52.0,50.0
2020-02-25,44.0,32.0,35.0,28.0,31.0,53.0,50.0,21.0,62.0,37.0
2020-02-26,48.0,44.0,46.0,64.0,26.0,69.0,42.0,14.0,43.0,36.0
2020-02-27,34.0,35.0,38.0,38.0,43.0,46.0,68.0,13.0,46.0,46.0
2020-02-28,52.0,43.0,37.0,39.0,14.0,48.0,52.0,15.0,43.0,43.0
2020-02-29,30.0,45.0,27.0,64.0,23.0,29.0,50.0,0.0,39.0,68.0
2020-03-01,46.0,55.0,32.0,62.0,54.0,61.0,42.0,0.0,74.0,71.0
2020-03-02,54.0,36.0,36.0,24.0,27.0,29.0,41.0,14.0,63.0,38.0
2020-03-03,48.0,46.0,20.0,26.0,36.0,47.0,58.0,22.0,59.0,42.0
2020-03-04,40.0,48.0,44.0,32.0,18.0,61.0,57.0,29.0,40.0,38.0
2020-03-05,39.0,28.0,56.0,39.0,42.0,52.0,59.0,15.0,41.0,26.0
2020-03-06,54.0,36.0,25.0,34.0,19.0,41.0,63.0,0.0,43.0,57.0
2020-03-07,51.0,53.0,37.0,51.0,47.0,33.0,47.0,0.0,46.0,58.0
2020-03-08,50.0,72.0,35.0,59.0,60.0,96.0,60.0,16.0,65.0,79.0
2020-03-09,46.0,46.0,23.0,26.0,30.0,38.0,42.0,14.0,38.0,28.0
2020-03-10,44.0,48.0,11.0,43.0,51.0,34.0,57.0,0.0,76.0,63.0
2020-03-11,36.0,41.0,27.0,37.0,27.0,28.0,60.0,21.0,62.0,54.0
2020-03-12,41.0,31.0,45.0,27.0,25.0,41.0,51.0,0.0,63.0,36.0
2020-03-13,40.0,42.0,26.0,32.0,29.0,17.0,35.0,0.0,59.0,74.0
2020-03-14,27.0,47.0,45.0,58.0,23.0,40.0,42.0,16.0,68.0,71.0
2020-03-15,55.0,64.0,30.0,72.0,29.0,23.0,37.0,16.0,64.0,55.0
2020-03-16,39.0,34.0,19.0,21.0,43.0,37.0,42.0,13.0,40.0,48.0
2020-03-17,35.0,55.0,34.0,19.0,21.0,31.0,26.0,14.0,62.0,72.0
2020-03-18,31.0,44.0,23.0,38.0,22.0,72.0,16.0,0.0,54.0,40.0
2020-03-19,27.0,37.0,40.0,42.0,47.0,52.0,32.0,0.0,58.0,44.0
2020-03-20,44.0,45.0,40.0,22.0,25.0,50.0,34.0,40.0,44.0,43.0
2020-03-21,51.0,59.0,17.0,45.0,38.0,53.0,28.0,30.0,89.0,53.0
2020-03-22,35.0,73.0,46.0,65.0,37.0,49.0,39.0,22.0,70.0,31.0
2020-03-23,39.0,47.0,30.0,25.0,28.0,30.0,28.0,12.0,54.0,42.0
2020-03-24,36.0,49.0,33.0,19.0,25.0,46.0,56.0,26.0,79.0,73.0
2020-03-25,28.0,54.0,19.0,38.0,32.0,31.0,39.0,14.0,73.0,44.0
2020-03-26,35.0,52.0,19.0,21.0,21.0,31.0,26.0,0.0,62.0,71.0
2020-03-27,44.0,65.0,40.0,25.0,29.0,53.0,47.0,26.0,60.0,85.0
2020-03-28,36.0,70.0,29.0,45.0,35.0,45.0,28.0,0.0,42.0,62.0
2020-03-29,87.0,73.0,28.0,77.0,40.0,68.0,54.0,14.0,99.0,92.0
2020-03-30,48.0,54.0,18.0,24.0,32.0,48.0,45.0,13.0,76.0,71.0
2020-03-31,47.0,75.0,22.0,19.0,25.0,53.0,52.0,13.0,40.0,50.0
2020-04-01,40.0,64.0,11.0,42.0,12.0,58.0,33.0,0.0,60.0,75.0
2020-04-02,49.0,50.0,18.0,32.0,48.0,51.0,63.0,13.0,69.0,37.0
2020-04-03,57.0,52.0,29.0,26.0,29.0,36.0,61.0,100.0,78.0,61.0
2020-04-04,73.0,62.0,100.0,29.0,21.0,53.0,68.0,30.0,80.0,75.0
2020-04-05,45.0,84.0,39.0,100.0,35.0,46.0,62.0,0.0,86.0,82.0
2020-04-06,42.0,44.0,24.0,34.0,23.0,31.0,75.0,0.0,54.0,61.0
2020-04-07,38.0,58.0,32.0,23.0,18.0,42.0,66.0,38.0,68.0,56.0
2020-04-08,37.0,59.0,17.0,26.0,28.0,38.0,77.0,50.0,81.0,44.0
2020-04-09,30.0,36.0,34.0,20.0,34.0,58.0,100.0,0.0,55.0,32.0
2020-04-10,42.0,81.0,58.0,54.0,33.0,59.0,59.0,13.0,65.0,46.0
2020-04-11,51.0,64.0,39.0,50.0,33.0,60.0,53.0,14.0,60.0,37.0
