,Ikea,Target,Home Depot,Costco,Amazon,Couche Tard,IGA,Best Buy,Metro,Walmart
2020-01-01,48.0,16.0,13.0,36.0,59.0,100.0,62.0,59.0,95.0,48.0
2020-01-02,85.0,58.0,27.0,62.0,73.0,34.0,49.0,100.0,66.0,57.0
2020-01-03,76.0,68.0,19.0,45.0,68.0,25.0,29.0,79.0,49.0,44.0
2020-01-04,92.0,50.0,24.0,50.0,72.0,22.0,29.0,77.0,49.0,42.0
2020-01-05,86.0,54.0,17.0,40.0,69.0,23.0,25.0,72.0,43.0,45.0
2020-01-06,58.0,54.0,22.0,40.0,65.0,31.0,20.0,54.0,43.0,32.0
2020-01-07,53.0,100.0,20.0,34.0,66.0,23.0,27.0,45.0,45.0,32.0
2020-01-08,46.0,62.0,17.0,31.0,56.0,29.0,24.0,51.0,42.0,31.0
2020-01-09,56.0,62.0,17.0,30.0,60.0,26.0,27.0,52.0,44.0,34.0
2020-01-10,47.0,34.0,20.0,33.0,56.0,38.0,23.0,48.0,45.0,29.0
2020-01-11,74.0,36.0,25.0,46.0,68.0,25.0,32.0,44.0,47.0,38.0
2020-01-12,74.0,51.0,23.0,36.0,62.0,30.0,20.0,51.0,46.0,35.0
2020-01-13,54.0,34.0,21.0,32.0,55.0,23.0,17.0,45.0,39.0,29.0
2020-01-14,45.0,52.0,19.0,32.0,64.0,28.0,22.0,46.0,42.0,30.0
2020-01-15,47.0,41.0,18.0,31.0,57.0,37.0,25.0,39.0,52.0,30.0
2020-01-16,51.0,79.0,16.0,30.0,57.0,28.0,26.0,48.0,46.0,30.0
2020-01-17,52.0,63.0,20.0,32.0,51.0,20.0,25.0,47.0,49.0,28.0
2020-01-18,71.0,42.0,22.0,49.0,63.0,33.0,27.0,57.0,54.0,41.0
2020-01-19,64.0,50.0,17.0,40.0,62.0,29.0,24.0,52.0,48.0,37.0
2020-01-20,52.0,41.0,23.0,35.0,58.0,26.0,21.0,40.0,53.0,30.0
2020-01-21,44.0,74.0,19.0,31.0,59.0,26.0,27.0,43.0,54.0,28.0
2020-01-22,47.0,58.0,17.0,33.0,60.0,16.0,21.0,42.0,47.0,30.0
2020-01-23,49.0,62.0,19.0,31.0,52.0,26.0,23.0,44.0,48.0,31.0
2020-01-24,47.0,25.0,14.0,31.0,59.0,18.0,24.0,48.0,51.0,31.0
2020-01-25,74.0,51.0,22.0,46.0,61.0,26.0,25.0,54.0,59.0,41.0
2020-01-26,71.0,73.0,23.0,39.0,67.0,30.0,25.0,51.0,43.0,36.0
