,Simons,Canadian tire,La Baie,Home hardware	,Old Navy,Sears,Aldo,Dollarama,Structube,Reitmans
2020-01-01,50.0,19.0,85.0,9.0,21.0,59.0,13.0,58.0,38.0,21.0
2020-01-02,73.0,37.0,97.0,29.0,34.0,58.0,20.0,41.0,83.0,27.0
2020-01-03,71.0,27.0,99.0,25.0,35.0,48.0,25.0,33.0,62.0,21.0
2020-01-04,66.0,24.0,99.0,28.0,31.0,38.0,24.0,31.0,93.0,32.0
2020-01-05,64.0,23.0,97.0,23.0,38.0,34.0,28.0,36.0,79.0,24.0
2020-01-06,65.0,20.0,84.0,14.0,19.0,46.0,17.0,26.0,61.0,20.0
2020-01-07,59.0,19.0,71.0,18.0,26.0,23.0,16.0,32.0,47.0,17.0
2020-01-08,54.0,18.0,62.0,15.0,21.0,23.0,22.0,34.0,50.0,20.0
2020-01-09,57.0,18.0,45.0,17.0,24.0,39.0,22.0,21.0,36.0,20.0
2020-01-10,47.0,22.0,59.0,24.0,26.0,31.0,23.0,26.0,44.0,24.0
2020-01-11,66.0,27.0,64.0,17.0,23.0,25.0,23.0,31.0,69.0,19.0
2020-01-12,61.0,23.0,74.0,16.0,32.0,32.0,20.0,33.0,63.0,25.0
2020-01-13,56.0,20.0,61.0,22.0,37.0,21.0,21.0,30.0,42.0,17.0
2020-01-14,54.0,19.0,70.0,15.0,23.0,21.0,15.0,24.0,45.0,24.0
2020-01-15,52.0,19.0,63.0,11.0,28.0,34.0,17.0,23.0,37.0,18.0
2020-01-16,55.0,19.0,79.0,20.0,24.0,39.0,22.0,19.0,37.0,22.0
2020-01-17,54.0,20.0,67.0,17.0,35.0,47.0,17.0,19.0,36.0,21.0
2020-01-18,69.0,24.0,68.0,16.0,18.0,26.0,19.0,30.0,50.0,20.0
2020-01-19,69.0,24.0,70.0,25.0,36.0,51.0,27.0,31.0,62.0,26.0
2020-01-20,61.0,19.0,76.0,14.0,38.0,23.0,25.0,27.0,41.0,16.0
2020-01-21,45.0,17.0,58.0,18.0,33.0,0.0,22.0,25.0,29.0,15.0
2020-01-22,46.0,17.0,64.0,17.0,16.0,46.0,25.0,27.0,41.0,19.0
2020-01-23,50.0,17.0,53.0,13.0,26.0,54.0,20.0,32.0,39.0,13.0
2020-01-24,48.0,18.0,61.0,21.0,34.0,47.0,23.0,25.0,34.0,23.0
2020-01-25,61.0,22.0,75.0,19.0,43.0,26.0,18.0,34.0,67.0,15.0
2020-01-26,59.0,21.0,74.0,23.0,50.0,25.0,24.0,31.0,64.0,18.0
2020-01-27,53.0,18.0,62.0,19.0,20.0,22.0,15.0,19.0,49.0,10.0
2020-01-28,47.0,17.0,77.0,22.0,30.0,56.0,23.0,33.0,40.0,15.0
2020-01-29,35.0,17.0,64.0,17.0,17.0,45.0,20.0,26.0,49.0,11.0
2020-01-30,47.0,17.0,65.0,23.0,28.0,23.0,19.0,28.0,39.0,16.0
2020-01-31,41.0,18.0,68.0,20.0,33.0,39.0,22.0,24.0,46.0,21.0
2020-02-01,58.0,22.0,84.0,28.0,39.0,69.0,22.0,35.0,71.0,16.0
2020-02-02,49.0,22.0,83.0,23.0,24.0,38.0,21.0,31.0,63.0,18.0
2020-02-03,48.0,16.0,69.0,16.0,17.0,21.0,21.0,32.0,41.0,16.0
2020-02-04,42.0,15.0,67.0,19.0,30.0,34.0,16.0,27.0,42.0,22.0
2020-02-05,52.0,16.0,61.0,13.0,31.0,23.0,19.0,37.0,34.0,20.0
2020-02-06,43.0,15.0,59.0,21.0,31.0,38.0,21.0,19.0,44.0,18.0
2020-02-07,48.0,14.0,70.0,13.0,24.0,44.0,17.0,22.0,36.0,20.0
2020-02-08,55.0,23.0,85.0,26.0,30.0,40.0,17.0,39.0,78.0,20.0
2020-02-09,57.0,26.0,77.0,23.0,28.0,26.0,10.0,34.0,80.0,29.0
2020-02-10,54.0,17.0,63.0,15.0,24.0,45.0,15.0,33.0,53.0,15.0
2020-02-11,39.0,17.0,52.0,16.0,24.0,38.0,18.0,36.0,39.0,10.0
2020-02-12,51.0,16.0,82.0,14.0,30.0,46.0,27.0,30.0,29.0,18.0
2020-02-13,43.0,18.0,71.0,24.0,22.0,46.0,15.0,37.0,47.0,25.0
2020-02-14,49.0,18.0,72.0,18.0,28.0,46.0,18.0,31.0,42.0,20.0
2020-02-15,48.0,23.0,73.0,23.0,49.0,39.0,15.0,32.0,67.0,23.0
2020-02-16,68.0,23.0,59.0,12.0,36.0,37.0,20.0,42.0,86.0,17.0
2020-02-17,38.0,15.0,60.0,13.0,37.0,44.0,20.0,30.0,48.0,17.0
2020-02-18,39.0,13.0,57.0,17.0,28.0,54.0,24.0,28.0,33.0,25.0
2020-02-19,44.0,15.0,67.0,12.0,34.0,33.0,17.0,27.0,29.0,17.0
2020-02-20,42.0,18.0,69.0,23.0,24.0,22.0,24.0,26.0,34.0,18.0
2020-02-21,44.0,18.0,47.0,14.0,30.0,34.0,26.0,24.0,48.0,18.0
2020-02-22,56.0,22.0,85.0,21.0,57.0,50.0,20.0,46.0,53.0,33.0
2020-02-23,48.0,23.0,85.0,19.0,32.0,49.0,28.0,50.0,58.0,23.0
2020-02-24,50.0,16.0,60.0,20.0,34.0,44.0,29.0,30.0,48.0,22.0
2020-02-25,42.0,18.0,67.0,15.0,24.0,36.0,18.0,36.0,45.0,12.0
2020-02-26,38.0,14.0,63.0,29.0,34.0,21.0,23.0,29.0,30.0,13.0
2020-02-27,50.0,14.0,62.0,10.0,27.0,30.0,17.0,17.0,43.0,13.0
2020-02-28,41.0,15.0,59.0,14.0,31.0,45.0,22.0,26.0,51.0,18.0
2020-02-29,54.0,23.0,80.0,18.0,25.0,25.0,20.0,46.0,52.0,18.0
2020-03-01,68.0,21.0,83.0,17.0,52.0,25.0,25.0,50.0,99.0,20.0
2020-03-02,45.0,17.0,79.0,20.0,36.0,37.0,25.0,30.0,59.0,11.0
2020-03-03,46.0,17.0,52.0,15.0,27.0,33.0,14.0,35.0,54.0,22.0
2020-03-04,54.0,16.0,66.0,25.0,43.0,37.0,16.0,35.0,41.0,23.0
2020-03-05,48.0,19.0,67.0,19.0,31.0,46.0,25.0,31.0,46.0,18.0
2020-03-06,55.0,16.0,72.0,34.0,24.0,45.0,23.0,25.0,70.0,20.0
2020-03-07,43.0,24.0,80.0,21.0,38.0,25.0,26.0,40.0,61.0,11.0
2020-03-08,54.0,21.0,79.0,32.0,34.0,61.0,24.0,43.0,95.0,28.0
2020-03-09,44.0,17.0,65.0,24.0,37.0,28.0,22.0,36.0,65.0,10.0
2020-03-10,44.0,15.0,73.0,15.0,25.0,35.0,22.0,33.0,46.0,10.0
2020-03-11,37.0,16.0,57.0,21.0,22.0,43.0,19.0,38.0,26.0,14.0
2020-03-12,35.0,16.0,57.0,30.0,18.0,21.0,17.0,28.0,33.0,18.0
2020-03-13,33.0,16.0,51.0,11.0,14.0,31.0,12.0,38.0,30.0,9.0
2020-03-14,40.0,22.0,72.0,18.0,30.0,49.0,11.0,60.0,60.0,17.0
2020-03-15,42.0,23.0,54.0,26.0,28.0,40.0,8.0,47.0,56.0,14.0
2020-03-16,29.0,18.0,54.0,24.0,22.0,0.0,14.0,54.0,37.0,10.0
2020-03-17,41.0,19.0,69.0,13.0,25.0,21.0,14.0,47.0,36.0,19.0
2020-03-18,49.0,22.0,54.0,17.0,27.0,32.0,15.0,65.0,44.0,16.0
2020-03-19,26.0,27.0,55.0,27.0,17.0,0.0,5.0,57.0,34.0,13.0
2020-03-20,31.0,23.0,54.0,26.0,47.0,34.0,9.0,55.0,34.0,17.0
2020-03-21,43.0,27.0,59.0,32.0,49.0,0.0,11.0,62.0,56.0,23.0
2020-03-22,53.0,29.0,52.0,31.0,66.0,23.0,9.0,64.0,59.0,14.0
2020-03-23,39.0,25.0,36.0,32.0,39.0,18.0,6.0,91.0,27.0,12.0
2020-03-24,37.0,27.0,34.0,33.0,24.0,27.0,8.0,100.0,19.0,10.0
2020-03-25,38.0,25.0,40.0,31.0,27.0,42.0,7.0,70.0,22.0,16.0
2020-03-26,33.0,27.0,51.0,26.0,39.0,31.0,14.0,58.0,36.0,18.0
2020-03-27,37.0,29.0,43.0,24.0,41.0,20.0,11.0,52.0,31.0,20.0
2020-03-28,55.0,36.0,60.0,50.0,54.0,23.0,14.0,57.0,33.0,15.0
