,facial mask,dry skin,Kylie skin,Lumin skin,best skin care,toners,hand moisturizer,dry hands,pimples,men skin care
2020-01-01,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2020-01-02,0.0,100.0,58.0,0.0,0.0,0.0,0.0,60.0,45.0,0.0
2020-01-03,0.0,32.0,0.0,0.0,51.0,0.0,0.0,0.0,43.0,0.0
2020-01-04,55.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0
2020-01-05,0.0,51.0,59.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0
2020-01-06,0.0,46.0,0.0,0.0,0.0,99.0,0.0,55.0,28.0,0.0
2020-01-07,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,28.0,0.0
2020-01-08,0.0,31.0,0.0,0.0,49.0,0.0,0.0,0.0,56.0,0.0
2020-01-09,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0
2020-01-10,0.0,42.0,0.0,0.0,50.0,0.0,0.0,0.0,47.0,0.0
2020-01-11,0.0,34.0,0.0,100.0,54.0,0.0,0.0,0.0,46.0,0.0
2020-01-12,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-13,0.0,28.0,0.0,0.0,0.0,0.0,0.0,51.0,34.0,0.0
2020-01-14,0.0,28.0,0.0,0.0,45.0,0.0,0.0,0.0,25.0,0.0
2020-01-15,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0
2020-01-16,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0
2020-01-17,0.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,43.0,0.0
2020-01-18,0.0,52.0,0.0,0.0,55.0,0.0,0.0,0.0,32.0,0.0
2020-01-19,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0
2020-01-20,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0
2020-01-21,49.0,30.0,53.0,0.0,0.0,98.0,0.0,0.0,41.0,0.0
2020-01-22,98.0,31.0,54.0,0.0,0.0,0.0,0.0,55.0,28.0,0.0
2020-01-23,100.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0
2020-01-24,0.0,31.0,0.0,0.0,50.0,0.0,0.0,0.0,57.0,81.0
2020-01-25,0.0,46.0,61.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0
2020-01-26,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-27,0.0,59.0,52.0,0.0,47.0,0.0,0.0,0.0,27.0,0.0
