,Facebook,Instagram,Snapchat,Twitter,WeChat,WhatsApp,Skype,Tik Tok,Tumblr,Pinterest
2020-01-01,82.0,100.0,53.0,52.0,0.0,79.0,6.0,30.0,69.0,50.0
2020-01-02,77.0,83.0,44.0,36.0,32.0,61.0,8.0,37.0,50.0,65.0
2020-01-03,73.0,69.0,41.0,68.0,31.0,47.0,9.0,37.0,74.0,52.0
2020-01-04,73.0,80.0,48.0,56.0,33.0,57.0,7.0,34.0,79.0,56.0
2020-01-05,76.0,76.0,52.0,75.0,0.0,46.0,8.0,48.0,97.0,73.0
2020-01-06,78.0,69.0,28.0,82.0,30.0,28.0,23.0,40.0,80.0,58.0
2020-01-07,77.0,68.0,34.0,71.0,30.0,43.0,12.0,36.0,51.0,71.0
2020-01-08,73.0,70.0,50.0,100.0,30.0,53.0,15.0,28.0,58.0,58.0
2020-01-09,74.0,65.0,30.0,73.0,90.0,41.0,14.0,28.0,63.0,62.0
2020-01-10,74.0,66.0,40.0,57.0,0.0,43.0,19.0,47.0,60.0,59.0
2020-01-11,71.0,71.0,34.0,52.0,33.0,58.0,13.0,41.0,74.0,59.0
2020-01-12,73.0,67.0,41.0,54.0,31.0,59.0,6.0,47.0,65.0,75.0
2020-01-13,70.0,69.0,35.0,63.0,55.0,51.0,10.0,31.0,77.0,71.0
2020-01-14,72.0,74.0,33.0,66.0,27.0,52.0,8.0,32.0,61.0,76.0
2020-01-15,76.0,70.0,25.0,54.0,0.0,51.0,12.0,40.0,75.0,65.0
2020-01-16,74.0,68.0,30.0,61.0,0.0,52.0,17.0,47.0,51.0,75.0
2020-01-17,78.0,61.0,33.0,57.0,30.0,51.0,20.0,41.0,43.0,62.0
2020-01-18,71.0,65.0,22.0,51.0,33.0,58.0,22.0,56.0,94.0,68.0
2020-01-19,68.0,78.0,40.0,53.0,0.0,50.0,10.0,53.0,78.0,55.0
2020-01-20,74.0,74.0,41.0,62.0,29.0,48.0,12.0,37.0,59.0,77.0
2020-01-21,73.0,66.0,29.0,55.0,30.0,56.0,20.0,35.0,54.0,68.0
2020-01-22,73.0,63.0,35.0,62.0,45.0,59.0,14.0,40.0,34.0,70.0
2020-01-23,77.0,67.0,21.0,65.0,45.0,57.0,23.0,36.0,51.0,63.0
2020-01-24,73.0,69.0,31.0,63.0,30.0,49.0,9.0,47.0,58.0,85.0
2020-01-25,76.0,66.0,39.0,54.0,100.0,58.0,9.0,54.0,71.0,61.0
2020-01-26,74.0,80.0,33.0,73.0,32.0,45.0,10.0,72.0,81.0,74.0
2020-01-27,73.0,68.0,27.0,81.0,43.0,49.0,10.0,33.0,52.0,86.0
2020-01-28,76.0,64.0,29.0,70.0,29.0,41.0,16.0,33.0,65.0,78.0
2020-01-29,74.0,70.0,23.0,55.0,0.0,32.0,14.0,37.0,62.0,59.0
2020-01-30,72.0,66.0,41.0,61.0,0.0,67.0,19.0,25.0,59.0,83.0
2020-01-31,77.0,71.0,33.0,57.0,92.0,51.0,8.0,49.0,65.0,68.0
2020-02-01,70.0,68.0,49.0,48.0,50.0,39.0,9.0,77.0,71.0,73.0
2020-02-02,72.0,75.0,34.0,57.0,32.0,38.0,13.0,47.0,46.0,39.0
2020-02-03,69.0,62.0,30.0,52.0,0.0,43.0,11.0,32.0,72.0,73.0
2020-02-04,74.0,70.0,34.0,56.0,88.0,41.0,27.0,43.0,83.0,69.0
2020-02-05,75.0,69.0,32.0,64.0,29.0,58.0,12.0,32.0,58.0,84.0
2020-02-06,78.0,67.0,46.0,62.0,29.0,40.0,18.0,37.0,58.0,76.0
2020-02-07,78.0,58.0,41.0,69.0,29.0,73.0,17.0,60.0,72.0,62.0
2020-02-08,71.0,68.0,34.0,60.0,35.0,45.0,12.0,52.0,73.0,59.0
2020-02-09,71.0,71.0,26.0,67.0,0.0,45.0,12.0,46.0,56.0,69.0
2020-02-10,72.0,60.0,32.0,81.0,29.0,59.0,18.0,37.0,54.0,69.0
2020-02-11,73.0,63.0,33.0,71.0,0.0,45.0,18.0,47.0,78.0,80.0
