,Photoshop,Adobe,Winrar,Java,VLC	,Avast,Filehippo,SAP,Shopify	,Zoom
2020-01-01,55.0,24.0,32.0,16.0,79.0,32.0,0.0,18.0,13.0,2.0
2020-01-02,31.0,24.0,27.0,21.0,25.0,82.0,0.0,18.0,12.0,3.0
2020-01-03,45.0,48.0,52.0,34.0,35.0,26.0,0.0,14.0,15.0,3.0
2020-01-04,12.0,48.0,0.0,17.0,66.0,70.0,99.0,12.0,10.0,4.0
2020-01-05,61.0,21.0,0.0,9.0,19.0,47.0,0.0,34.0,16.0,4.0
2020-01-06,43.0,57.0,0.0,33.0,28.0,26.0,91.0,36.0,18.0,3.0
2020-01-07,66.0,75.0,25.0,32.0,29.0,34.0,0.0,48.0,14.0,5.0
2020-01-08,50.0,78.0,50.0,40.0,56.0,50.0,0.0,46.0,21.0,5.0
2020-01-09,80.0,82.0,0.0,55.0,40.0,51.0,0.0,72.0,25.0,6.0
2020-01-10,39.0,73.0,52.0,48.0,35.0,26.0,0.0,57.0,15.0,4.0
2020-01-11,32.0,48.0,56.0,32.0,75.0,41.0,0.0,15.0,6.0,3.0
2020-01-12,39.0,28.0,26.0,30.0,71.0,35.0,0.0,30.0,16.0,2.0
2020-01-13,37.0,81.0,47.0,41.0,32.0,23.0,0.0,51.0,26.0,4.0
2020-01-14,69.0,62.0,23.0,51.0,54.0,23.0,0.0,53.0,29.0,4.0
2020-01-15,75.0,59.0,37.0,51.0,28.0,33.0,0.0,51.0,23.0,5.0
2020-01-16,51.0,74.0,25.0,62.0,46.0,26.0,91.0,69.0,19.0,5.0
2020-01-17,48.0,45.0,26.0,60.0,44.0,39.0,0.0,34.0,28.0,4.0
2020-01-18,78.0,40.0,28.0,26.0,68.0,29.0,0.0,47.0,15.0,3.0
2020-01-19,44.0,64.0,28.0,26.0,38.0,56.0,100.0,12.0,14.0,4.0
2020-01-20,68.0,68.0,37.0,49.0,17.0,38.0,89.0,68.0,19.0,3.0
2020-01-21,40.0,84.0,25.0,56.0,25.0,25.0,0.0,63.0,16.0,4.0
2020-01-22,62.0,82.0,50.0,70.0,51.0,51.0,0.0,58.0,32.0,5.0
2020-01-23,59.0,72.0,0.0,68.0,29.0,77.0,0.0,70.0,23.0,7.0
2020-01-24,59.0,92.0,0.0,53.0,23.0,52.0,0.0,48.0,16.0,6.0
2020-01-25,37.0,40.0,28.0,57.0,64.0,28.0,0.0,22.0,9.0,2.0
2020-01-26,62.0,24.0,0.0,38.0,55.0,45.0,97.0,30.0,12.0,2.0
2020-01-27,69.0,73.0,24.0,64.0,38.0,85.0,0.0,58.0,18.0,3.0
2020-01-28,60.0,58.0,24.0,100.0,55.0,49.0,0.0,62.0,20.0,4.0
2020-01-29,61.0,68.0,0.0,75.0,45.0,75.0,0.0,57.0,23.0,5.0
2020-01-30,66.0,58.0,0.0,61.0,52.0,39.0,91.0,73.0,29.0,5.0
2020-01-31,49.0,64.0,26.0,51.0,47.0,52.0,0.0,57.0,23.0,7.0
2020-02-01,62.0,40.0,0.0,33.0,58.0,72.0,0.0,34.0,14.0,3.0
2020-02-02,64.0,45.0,28.0,35.0,65.0,28.0,0.0,30.0,9.0,3.0
2020-02-03,58.0,54.0,22.0,55.0,46.0,53.0,81.0,52.0,16.0,4.0
2020-02-04,90.0,100.0,25.0,72.0,59.0,50.0,0.0,79.0,20.0,6.0
2020-02-05,90.0,78.0,50.0,62.0,17.0,38.0,0.0,74.0,26.0,6.0
2020-02-06,79.0,62.0,25.0,85.0,56.0,25.0,0.0,65.0,20.0,5.0
2020-02-07,76.0,70.0,0.0,53.0,60.0,24.0,0.0,53.0,18.0,5.0
2020-02-08,42.0,32.0,0.0,44.0,33.0,30.0,0.0,26.0,16.0,4.0
2020-02-09,56.0,30.0,0.0,47.0,56.0,28.0,0.0,18.0,11.0,3.0
2020-02-10,68.0,61.0,62.0,60.0,17.0,50.0,88.0,41.0,21.0,7.0
2020-02-11,56.0,67.0,0.0,61.0,28.0,33.0,0.0,67.0,17.0,4.0
2020-02-12,68.0,70.0,49.0,65.0,28.0,25.0,0.0,85.0,36.0,6.0
2020-02-13,43.0,84.0,75.0,65.0,17.0,42.0,0.0,77.0,39.0,5.0
2020-02-14,66.0,55.0,0.0,50.0,51.0,64.0,0.0,47.0,17.0,6.0
2020-02-15,61.0,49.0,42.0,43.0,76.0,57.0,0.0,37.0,8.0,3.0
2020-02-16,59.0,36.0,83.0,24.0,74.0,28.0,99.0,27.0,10.0,4.0
2020-02-17,70.0,60.0,0.0,60.0,49.0,36.0,0.0,50.0,15.0,4.0
2020-02-18,72.0,70.0,24.0,67.0,59.0,36.0,0.0,47.0,28.0,5.0
2020-02-19,48.0,82.0,0.0,52.0,24.0,56.0,0.0,99.0,20.0,7.0
2020-02-20,90.0,97.0,24.0,49.0,66.0,41.0,0.0,69.0,26.0,6.0
2020-02-21,64.0,78.0,25.0,56.0,17.0,62.0,0.0,100.0,23.0,4.0
2020-02-22,40.0,50.0,0.0,42.0,25.0,37.0,0.0,30.0,11.0,3.0
2020-02-23,66.0,50.0,27.0,41.0,61.0,54.0,96.0,21.0,5.0,3.0
2020-02-24,58.0,72.0,24.0,62.0,43.0,36.0,0.0,63.0,24.0,4.0
2020-02-25,48.0,84.0,59.0,77.0,48.0,48.0,0.0,65.0,22.0,5.0
2020-02-26,73.0,72.0,23.0,49.0,31.0,39.0,0.0,68.0,21.0,6.0
2020-02-27,86.0,53.0,22.0,61.0,15.0,22.0,0.0,53.0,22.0,7.0
2020-02-28,56.0,58.0,37.0,56.0,17.0,49.0,0.0,51.0,20.0,7.0
2020-02-29,71.0,33.0,27.0,45.0,43.0,55.0,0.0,36.0,11.0,4.0
2020-03-01,51.0,24.0,0.0,30.0,37.0,46.0,0.0,21.0,9.0,4.0
2020-03-02,48.0,58.0,24.0,43.0,70.0,0.0,0.0,60.0,16.0,4.0
2020-03-03,66.0,58.0,24.0,60.0,16.0,24.0,0.0,50.0,30.0,6.0
2020-03-04,76.0,60.0,24.0,69.0,43.0,40.0,0.0,81.0,17.0,5.0
2020-03-05,68.0,70.0,37.0,61.0,34.0,37.0,0.0,62.0,20.0,6.0
2020-03-06,86.0,46.0,25.0,42.0,45.0,75.0,0.0,63.0,28.0,5.0
2020-03-07,52.0,24.0,56.0,48.0,38.0,42.0,100.0,36.0,16.0,3.0
2020-03-08,77.0,49.0,0.0,39.0,36.0,36.0,0.0,9.0,14.0,2.0
2020-03-09,80.0,60.0,0.0,66.0,42.0,31.0,0.0,53.0,32.0,7.0
2020-03-10,85.0,59.0,45.0,63.0,15.0,30.0,0.0,50.0,20.0,5.0
2020-03-11,58.0,66.0,23.0,49.0,40.0,35.0,0.0,70.0,23.0,6.0
2020-03-12,56.0,66.0,23.0,46.0,26.0,46.0,0.0,72.0,24.0,9.0
2020-03-13,32.0,61.0,0.0,47.0,20.0,45.0,0.0,44.0,20.0,11.0
