,Photoshop,Adobe,winrar,Java,VLC,avast,FileHippo,SÈVE,Shopify,Zoom
2020-01-01,40.0,39.0,0.0,16.0,76.0,26.0,0.0,78.0,13.0,1.0
2020-01-02,59.0,45.0,71.0,31.0,22.0,33.0,0.0,0.0,16.0,3.0
2020-01-03,37.0,53.0,34.0,39.0,48.0,35.0,0.0,0.0,21.0,3.0
2020-01-04,20.0,29.0,36.0,30.0,44.0,23.0,99.0,45.0,13.0,3.0
2020-01-05,10.0,28.0,36.0,18.0,44.0,45.0,0.0,44.0,15.0,2.0
2020-01-06,36.0,67.0,0.0,56.0,47.0,27.0,0.0,41.0,24.0,4.0
2020-01-07,50.0,87.0,50.0,62.0,51.0,31.0,0.0,0.0,17.0,5.0
2020-01-08,45.0,56.0,49.0,56.0,66.0,34.0,0.0,40.0,22.0,2.0
2020-01-09,73.0,62.0,50.0,75.0,47.0,31.0,0.0,41.0,16.0,4.0
2020-01-10,41.0,42.0,100.0,59.0,54.0,42.0,0.0,41.0,20.0,5.0
2020-01-11,25.0,47.0,36.0,20.0,55.0,45.0,0.0,0.0,17.0,2.0
2020-01-12,56.0,43.0,34.0,39.0,69.0,28.0,0.0,0.0,11.0,2.0
2020-01-13,46.0,70.0,30.0,55.0,49.0,95.0,0.0,37.0,17.0,5.0
2020-01-14,86.0,66.0,40.0,66.0,36.0,25.0,0.0,0.0,25.0,3.0
2020-01-15,49.0,71.0,65.0,80.0,33.0,27.0,0.0,0.0,21.0,5.0
2020-01-16,50.0,57.0,66.0,69.0,74.0,28.0,0.0,41.0,22.0,5.0
2020-01-17,37.0,72.0,34.0,83.0,89.0,21.0,0.0,0.0,19.0,3.0
2020-01-18,25.0,31.0,74.0,31.0,79.0,46.0,0.0,0.0,9.0,3.0
2020-01-19,45.0,25.0,72.0,46.0,44.0,38.0,99.0,0.0,6.0,3.0
2020-01-20,55.0,65.0,33.0,69.0,47.0,0.0,0.0,60.0,8.0,5.0
2020-01-21,45.0,73.0,0.0,86.0,69.0,0.0,0.0,40.0,15.0,6.0
2020-01-22,59.0,77.0,66.0,91.0,40.0,51.0,0.0,41.0,32.0,4.0
2020-01-23,55.0,59.0,0.0,80.0,47.0,52.0,0.0,40.0,30.0,4.0
2020-01-24,51.0,72.0,33.0,68.0,41.0,31.0,0.0,41.0,9.0,3.0
2020-01-25,41.0,39.0,37.0,31.0,56.0,46.0,0.0,0.0,9.0,3.0
2020-01-26,73.0,24.0,35.0,29.0,65.0,22.0,96.0,0.0,13.0,3.0
2020-01-27,47.0,76.0,0.0,92.0,57.0,20.0,87.0,0.0,16.0,3.0
2020-01-28,75.0,42.0,32.0,100.0,39.0,33.0,87.0,0.0,24.0,4.0
