,salt,cumin,black pepper,cinnamon,turmeric,fennel,ginger,nutmeg,oregano,curry
2020-01-01,100.0,0.0,58.0,58.0,50.0,31.0,93.0,0.0,36.0,55.0
2020-01-02,58.0,62.0,0.0,27.0,28.0,27.0,52.0,42.0,30.0,47.0
2020-01-03,32.0,30.0,47.0,32.0,54.0,26.0,33.0,0.0,28.0,42.0
2020-01-04,57.0,53.0,0.0,62.0,29.0,28.0,81.0,44.0,31.0,60.0
2020-01-05,39.0,95.0,0.0,28.0,43.0,0.0,60.0,0.0,30.0,73.0
2020-01-06,48.0,72.0,0.0,15.0,39.0,50.0,46.0,39.0,42.0,51.0
2020-01-07,42.0,48.0,47.0,46.0,53.0,25.0,55.0,39.0,42.0,67.0
2020-01-08,45.0,72.0,0.0,30.0,39.0,49.0,20.0,0.0,41.0,59.0
2020-01-09,35.0,29.0,0.0,36.0,53.0,25.0,46.0,0.0,28.0,57.0
2020-01-10,63.0,29.0,47.0,41.0,79.0,50.0,37.0,0.0,0.0,31.0
2020-01-11,63.0,42.0,0.0,33.0,29.0,27.0,100.0,43.0,30.0,65.0
2020-01-12,66.0,74.0,47.0,32.0,81.0,52.0,95.0,0.0,28.0,87.0
2020-01-13,38.0,27.0,0.0,21.0,36.0,23.0,63.0,36.0,25.0,80.0
2020-01-14,47.0,52.0,0.0,21.0,24.0,0.0,46.0,0.0,50.0,63.0
2020-01-15,41.0,28.0,45.0,25.0,78.0,49.0,81.0,0.0,68.0,38.0
2020-01-16,48.0,58.0,0.0,23.0,53.0,0.0,46.0,59.0,0.0,72.0
2020-01-17,38.0,30.0,0.0,47.0,40.0,25.0,61.0,0.0,0.0,63.0
2020-01-18,56.0,49.0,0.0,69.0,29.0,47.0,82.0,0.0,31.0,75.0
2020-01-19,34.0,32.0,100.0,56.0,29.0,0.0,40.0,0.0,31.0,42.0
2020-01-20,58.0,72.0,46.0,23.0,26.0,50.0,59.0,0.0,0.0,49.0
2020-01-21,47.0,57.0,0.0,38.0,26.0,25.0,50.0,39.0,0.0,53.0
2020-01-22,62.0,67.0,46.0,25.0,26.0,25.0,73.0,40.0,0.0,49.0
2020-01-23,46.0,29.0,47.0,36.0,40.0,25.0,55.0,0.0,37.0,34.0
2020-01-24,51.0,59.0,0.0,21.0,27.0,25.0,51.0,0.0,42.0,60.0
2020-01-25,44.0,33.0,0.0,60.0,44.0,37.0,77.0,0.0,0.0,58.0
2020-01-26,58.0,46.0,49.0,33.0,70.0,36.0,98.0,0.0,30.0,72.0
2020-01-27,30.0,0.0,44.0,22.0,74.0,48.0,39.0,38.0,0.0,64.0
2020-01-28,40.0,56.0,44.0,30.0,51.0,24.0,71.0,39.0,27.0,42.0
2020-01-29,47.0,42.0,0.0,25.0,51.0,0.0,40.0,39.0,0.0,60.0
2020-01-30,23.0,29.0,46.0,39.0,27.0,51.0,49.0,0.0,0.0,39.0
2020-01-31,40.0,0.0,0.0,31.0,54.0,26.0,47.0,0.0,0.0,45.0
2020-02-01,30.0,32.0,0.0,26.0,30.0,28.0,87.0,44.0,31.0,78.0
2020-02-02,56.0,94.0,50.0,50.0,0.0,54.0,65.0,43.0,30.0,92.0
2020-02-03,41.0,26.0,41.0,36.0,35.0,33.0,41.0,0.0,100.0,46.0
2020-02-04,45.0,28.0,45.0,30.0,39.0,25.0,45.0,0.0,41.0,55.0
2020-02-05,23.0,29.0,0.0,35.0,39.0,25.0,41.0,0.0,41.0,53.0
2020-02-06,31.0,29.0,0.0,38.0,26.0,0.0,27.0,0.0,0.0,23.0
2020-02-07,45.0,0.0,0.0,34.0,50.0,35.0,39.0,37.0,0.0,63.0
2020-02-08,48.0,45.0,0.0,42.0,31.0,0.0,27.0,46.0,32.0,90.0
2020-02-09,55.0,53.0,51.0,34.0,29.0,28.0,60.0,43.0,31.0,68.0
2020-02-10,47.0,28.0,45.0,45.0,26.0,24.0,31.0,39.0,0.0,78.0
2020-02-11,38.0,0.0,89.0,22.0,51.0,37.0,36.0,0.0,0.0,43.0
2020-02-12,37.0,57.0,45.0,30.0,0.0,25.0,27.0,0.0,27.0,28.0
2020-02-13,41.0,43.0,0.0,15.0,26.0,25.0,32.0,39.0,27.0,43.0
2020-02-14,33.0,43.0,46.0,36.0,52.0,25.0,46.0,0.0,28.0,38.0
2020-02-15,46.0,32.0,51.0,59.0,58.0,27.0,61.0,44.0,62.0,51.0
2020-02-16,47.0,31.0,49.0,99.0,42.0,63.0,49.0,43.0,0.0,94.0
2020-02-17,24.0,28.0,0.0,29.0,0.0,0.0,57.0,0.0,27.0,61.0
2020-02-18,39.0,27.0,0.0,29.0,25.0,23.0,64.0,0.0,52.0,51.0
2020-02-19,51.0,36.0,43.0,39.0,25.0,47.0,56.0,0.0,26.0,46.0
2020-02-20,52.0,27.0,0.0,34.0,50.0,0.0,46.0,37.0,27.0,37.0
2020-02-21,34.0,56.0,45.0,40.0,38.0,24.0,31.0,0.0,27.0,35.0
2020-02-22,56.0,31.0,50.0,17.0,28.0,27.0,70.0,43.0,30.0,75.0
2020-02-23,37.0,77.0,0.0,41.0,28.0,27.0,58.0,42.0,0.0,79.0
2020-02-24,37.0,27.0,43.0,29.0,37.0,47.0,61.0,0.0,26.0,56.0
2020-02-25,47.0,54.0,43.0,34.0,25.0,23.0,39.0,37.0,26.0,58.0
2020-02-26,34.0,39.0,0.0,14.0,36.0,23.0,33.0,36.0,0.0,40.0
2020-02-27,49.0,25.0,39.0,27.0,57.0,22.0,48.0,0.0,24.0,29.0
2020-02-28,48.0,28.0,0.0,25.0,64.0,24.0,40.0,0.0,27.0,52.0
2020-02-29,61.0,0.0,0.0,28.0,0.0,0.0,55.0,43.0,0.0,67.0
2020-03-01,58.0,46.0,0.0,33.0,57.0,27.0,93.0,0.0,30.0,47.0
2020-03-02,43.0,55.0,0.0,44.0,0.0,0.0,39.0,75.0,26.0,59.0
2020-03-03,40.0,28.0,0.0,29.0,25.0,0.0,53.0,38.0,27.0,47.0
2020-03-04,47.0,46.0,0.0,15.0,100.0,24.0,39.0,0.0,26.0,49.0
2020-03-05,49.0,85.0,68.0,0.0,26.0,0.0,72.0,0.0,27.0,73.0
2020-03-06,45.0,70.0,0.0,15.0,64.0,0.0,76.0,39.0,27.0,45.0
2020-03-07,43.0,52.0,50.0,56.0,57.0,41.0,70.0,43.0,30.0,45.0
2020-03-08,48.0,76.0,48.0,43.0,0.0,39.0,87.0,42.0,58.0,100.0
2020-03-09,51.0,35.0,0.0,28.0,36.0,23.0,50.0,36.0,25.0,49.0
2020-03-10,43.0,39.0,0.0,18.0,47.0,22.0,45.0,0.0,49.0,60.0
2020-03-11,46.0,27.0,43.0,28.0,37.0,23.0,51.0,37.0,26.0,45.0
2020-03-12,30.0,26.0,0.0,18.0,23.0,34.0,25.0,35.0,50.0,44.0
2020-03-13,22.0,25.0,0.0,22.0,46.0,22.0,30.0,0.0,24.0,32.0
2020-03-14,35.0,41.0,49.0,49.0,83.0,79.0,88.0,42.0,74.0,69.0
2020-03-15,26.0,30.0,0.0,53.0,54.0,43.0,52.0,41.0,29.0,80.0
2020-03-16,24.0,39.0,0.0,23.0,0.0,22.0,65.0,0.0,74.0,46.0
2020-03-17,39.0,26.0,0.0,37.0,0.0,0.0,45.0,36.0,37.0,42.0
2020-03-18,45.0,44.0,0.0,28.0,0.0,0.0,50.0,36.0,25.0,40.0
2020-03-19,37.0,39.0,83.0,35.0,36.0,0.0,50.0,0.0,33.0,28.0
2020-03-20,27.0,76.0,0.0,40.0,23.0,22.0,60.0,35.0,49.0,72.0
